DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,4513,4498
WEEKDAY,BP11,4861,4056
WEEKDAY,BP12,4284,3741
WEEKDAY,BP13,2252,1957
WEEKDAY,BP2,4474,3390
WEEKDAY,BP3,5372,4437
WEEKDAY,BP4,4016,3741
WEEKDAY,BP5,2794,2090
WEEKDAY,BP6,13992,17935
WEEKDAY,BP7,2055,1785
WEEKDAY,BP8,3372,3108
WEEKDAY,BP9,3540,3442
WEEKDAY,CC1-NE6-NS24,39862,38104
WEEKDAY,CC10,18144,17042
WEEKDAY,CC11,21252,21667
WEEKDAY,CC12,6716,5727
WEEKDAY,CC14,8852,8364
WEEKDAY,CC16,12363,11805
WEEKDAY,CC17,4596,4473
WEEKDAY,CC19,7953,8438
WEEKDAY,CC2,7002,7806
WEEKDAY,CC20,6287,6251
WEEKDAY,CC21,9584,10498
WEEKDAY,CC23,19898,19637
WEEKDAY,CC24,26584,26229
WEEKDAY,CC25,8587,7804
WEEKDAY,CC26,6015,6264
WEEKDAY,CC27,9475,9421
WEEKDAY,CC28,4322,4698
WEEKDAY,CC3,8878,8363
WEEKDAY,CC4-DT15,22392,23309
WEEKDAY,CC5,5433,5751
WEEKDAY,CC6,10661,10788
WEEKDAY,CC7,8310,8597
WEEKDAY,CC8,9344,8416
WEEKDAY,CE1,28952,28468
WEEKDAY,CG1,18437,19435
WEEKDAY,CG2,19385,18308
WEEKDAY,DT1,33735,32414
WEEKDAY,DT10,5967,4745
WEEKDAY,DT11,32327,35318
WEEKDAY,DT13,11120,11502
WEEKDAY,DT17,30473,30951
WEEKDAY,DT18,22366,23871
WEEKDAY,DT2,3297,2553
WEEKDAY,DT20,7820,8602
WEEKDAY,DT21,8696,8760
WEEKDAY,DT22,7042,7467
WEEKDAY,DT23,5135,5163
WEEKDAY,DT24,5631,5257
WEEKDAY,DT25,4219,4310
WEEKDAY,DT27,8414,8245
WEEKDAY,DT28,11566,10839
WEEKDAY,DT29,7646,6946
WEEKDAY,DT3,8985,7551
WEEKDAY,DT30,8315,8009
WEEKDAY,DT31,8300,8769
WEEKDAY,DT32,22709,24794
WEEKDAY,DT33,20134,18588
WEEKDAY,DT34,5556,5025
WEEKDAY,DT5,14369,14335
WEEKDAY,DT6,8368,7039
WEEKDAY,DT7,4528,5334
WEEKDAY,DT8,5984,5739
WEEKDAY,EW1,35463,33247
WEEKDAY,EW10,12300,12443
WEEKDAY,EW11,22269,22514
WEEKDAY,EW12,59801,62097
WEEKDAY,EW13-NS25,45389,46939
WEEKDAY,EW14-NS26,71046,70265
WEEKDAY,EW15,54177,57232
WEEKDAY,EW16,33979,33370
WEEKDAY,EW17,30511,31614
WEEKDAY,EW18,20318,20734
WEEKDAY,EW19,16472,15175
WEEKDAY,EW2,35221,35998
WEEKDAY,EW20,17448,16795
WEEKDAY,EW21,31694,29663
WEEKDAY,EW22,10509,10572
WEEKDAY,EW23,48332,49641
WEEKDAY,EW24-NS1,82591,87835
WEEKDAY,EW25,10270,8819
WEEKDAY,EW26,35322,30605
WEEKDAY,EW27,51292,59229
WEEKDAY,EW28,34096,25370
WEEKDAY,EW29,19230,19050
WEEKDAY,EW3,20146,20330
WEEKDAY,EW30,3463,2952
WEEKDAY,EW31,4082,3456
WEEKDAY,EW32,3555,3479
WEEKDAY,EW33,3238,3412
WEEKDAY,EW4,19251,17095
WEEKDAY,EW5,37504,36869
WEEKDAY,EW6,12512,14645
WEEKDAY,EW7,15781,18407
WEEKDAY,EW8,40408,40998
WEEKDAY,EW9,24274,23757
WEEKDAY,NE1,49876,50290
WEEKDAY,NE10,15823,16115
WEEKDAY,NE11,6244,5748
WEEKDAY,NE12,62661,65183
WEEKDAY,NE13,21953,22082
WEEKDAY,NE14,34393,32669
WEEKDAY,NE15,18411,16874
WEEKDAY,NE16-STC,45637,46989
WEEKDAY,NE17-PTC,40032,38423
WEEKDAY,NE4,55846,55704
WEEKDAY,NE5,16736,19182
WEEKDAY,NE7,28142,29593
WEEKDAY,NE8,27411,29766
WEEKDAY,NE9,25175,22365
WEEKDAY,NS10,49809,44049
WEEKDAY,NS11,46262,44731
WEEKDAY,NS13,61129,64441
WEEKDAY,NS14,35282,30772
WEEKDAY,NS15,28681,26527
WEEKDAY,NS16,54132,58132
WEEKDAY,NS17,53609,51325
WEEKDAY,NS18,16836,15194
WEEKDAY,NS19,42463,44427
WEEKDAY,NS2,28734,29468
WEEKDAY,NS20,44899,44577
WEEKDAY,NS21,35069,37580
WEEKDAY,NS22,59477,64614
WEEKDAY,NS23,37095,40470
WEEKDAY,NS27,7742,7476
WEEKDAY,NS28,2070,2154
WEEKDAY,NS3,19637,18517
WEEKDAY,NS4,41714,44177
WEEKDAY,NS5,34196,31910
WEEKDAY,NS7,21473,20109
WEEKDAY,NS8,25895,20298
WEEKDAY,NS9,46565,56523
WEEKDAY,PE1,3763,3690
WEEKDAY,PE2,5872,5361
WEEKDAY,PE3,6035,5985
WEEKDAY,PE4,1552,1468
WEEKDAY,PE5,5699,5279
WEEKDAY,PE6,6436,6115
WEEKDAY,PE7,4106,3863
WEEKDAY,PW1,791,805
WEEKDAY,PW3,603,631
WEEKDAY,PW4,466,513
WEEKDAY,PW5,2635,3041
WEEKDAY,PW6,1181,957
WEEKDAY,PW7,2109,2246
WEEKDAY,SE1,4628,4589
WEEKDAY,SE2,6004,5456
WEEKDAY,SE3,3402,3137
WEEKDAY,SE4,3838,3579
WEEKDAY,SE5,2941,2959
WEEKDAY,SW1,2043,2067
WEEKDAY,SW2,3977,3630
WEEKDAY,SW3,2360,2224
WEEKDAY,SW4,772,702
WEEKDAY,SW5,7774,7046
WEEKDAY,SW6,3863,3606
WEEKDAY,SW7,3182,2851
WEEKDAY,SW8,2179,2120
WEEKENDS/HOLIDAY,BP10,3647,3678
WEEKENDS/HOLIDAY,BP11,3715,3234
WEEKENDS/HOLIDAY,BP12,2865,2616
WEEKENDS/HOLIDAY,BP13,1992,1793
WEEKENDS/HOLIDAY,BP2,3137,2588
WEEKENDS/HOLIDAY,BP3,4006,3444
WEEKENDS/HOLIDAY,BP4,1773,1618
WEEKENDS/HOLIDAY,BP5,2163,1684
WEEKENDS/HOLIDAY,BP6,11465,13627
WEEKENDS/HOLIDAY,BP7,1563,1404
WEEKENDS/HOLIDAY,BP8,2512,2397
WEEKENDS/HOLIDAY,BP9,2887,2798
WEEKENDS/HOLIDAY,CC1-NE6-NS24,38036,36759
WEEKENDS/HOLIDAY,CC10,11083,10302
WEEKENDS/HOLIDAY,CC11,10219,9928
WEEKENDS/HOLIDAY,CC12,4269,3916
WEEKENDS/HOLIDAY,CC14,4962,4779
WEEKENDS/HOLIDAY,CC16,7066,7047
WEEKENDS/HOLIDAY,CC17,2208,2293
WEEKENDS/HOLIDAY,CC19,8099,8768
WEEKENDS/HOLIDAY,CC2,4895,5438
WEEKENDS/HOLIDAY,CC20,4507,4491
WEEKENDS/HOLIDAY,CC21,7672,8143
WEEKENDS/HOLIDAY,CC23,3652,3561
WEEKENDS/HOLIDAY,CC24,8081,8038
WEEKENDS/HOLIDAY,CC25,5666,5168
WEEKENDS/HOLIDAY,CC26,2876,3024
WEEKENDS/HOLIDAY,CC27,1970,2105
WEEKENDS/HOLIDAY,CC28,3091,2928
WEEKENDS/HOLIDAY,CC3,11785,10989
WEEKENDS/HOLIDAY,CC4-DT15,15534,16965
WEEKENDS/HOLIDAY,CC5,4631,4677
WEEKENDS/HOLIDAY,CC6,11854,11230
WEEKENDS/HOLIDAY,CC7,5825,6425
WEEKENDS/HOLIDAY,CC8,6440,6317
WEEKENDS/HOLIDAY,CE1,42817,41421
WEEKENDS/HOLIDAY,CG1,13236,14166
WEEKENDS/HOLIDAY,CG2,20231,18842
WEEKENDS/HOLIDAY,DT1,25974,24930
WEEKENDS/HOLIDAY,DT10,3501,2822
WEEKENDS/HOLIDAY,DT11,27051,26389
WEEKENDS/HOLIDAY,DT13,8889,9618
WEEKENDS/HOLIDAY,DT17,4744,4570
WEEKENDS/HOLIDAY,DT18,4537,5171
WEEKENDS/HOLIDAY,DT2,1711,1353
WEEKENDS/HOLIDAY,DT20,5221,5726
WEEKENDS/HOLIDAY,DT21,6133,6119
WEEKENDS/HOLIDAY,DT22,8572,9308
WEEKENDS/HOLIDAY,DT23,2213,2316
WEEKENDS/HOLIDAY,DT24,3760,3719
WEEKENDS/HOLIDAY,DT25,2808,2758
WEEKENDS/HOLIDAY,DT27,5424,5162
WEEKENDS/HOLIDAY,DT28,8098,7636
WEEKENDS/HOLIDAY,DT29,5135,4745
WEEKENDS/HOLIDAY,DT3,6494,5610
WEEKENDS/HOLIDAY,DT30,5788,5550
WEEKENDS/HOLIDAY,DT31,5778,6048
WEEKENDS/HOLIDAY,DT32,17508,17992
WEEKENDS/HOLIDAY,DT33,13136,12393
WEEKENDS/HOLIDAY,DT34,3047,2915
WEEKENDS/HOLIDAY,DT5,12635,12599
WEEKENDS/HOLIDAY,DT6,4606,4208
WEEKENDS/HOLIDAY,DT7,3185,3431
WEEKENDS/HOLIDAY,DT8,2826,2892
WEEKENDS/HOLIDAY,EW1,26903,26113
WEEKENDS/HOLIDAY,EW10,13109,13597
WEEKENDS/HOLIDAY,EW11,17159,17509
WEEKENDS/HOLIDAY,EW12,60779,63826
WEEKENDS/HOLIDAY,EW13-NS25,47707,47918
WEEKENDS/HOLIDAY,EW14-NS26,16552,16975
WEEKENDS/HOLIDAY,EW15,17030,18059
WEEKENDS/HOLIDAY,EW16,16651,16408
WEEKENDS/HOLIDAY,EW17,22149,23330
WEEKENDS/HOLIDAY,EW18,12939,13250
WEEKENDS/HOLIDAY,EW19,11414,11361
WEEKENDS/HOLIDAY,EW2,31972,31676
WEEKENDS/HOLIDAY,EW20,12044,11776
WEEKENDS/HOLIDAY,EW21,16869,16006
WEEKENDS/HOLIDAY,EW22,5188,5431
WEEKENDS/HOLIDAY,EW23,36890,36604
WEEKENDS/HOLIDAY,EW24-NS1,72600,75717
WEEKENDS/HOLIDAY,EW25,9019,8712
WEEKENDS/HOLIDAY,EW26,26070,22394
WEEKENDS/HOLIDAY,EW27,44314,48503
WEEKENDS/HOLIDAY,EW28,24097,19322
WEEKENDS/HOLIDAY,EW29,11473,11683
WEEKENDS/HOLIDAY,EW3,15606,15781
WEEKENDS/HOLIDAY,EW30,2114,1682
WEEKENDS/HOLIDAY,EW31,2744,2151
WEEKENDS/HOLIDAY,EW32,2440,2702
WEEKENDS/HOLIDAY,EW33,3021,3181
WEEKENDS/HOLIDAY,EW4,13668,12450
WEEKENDS/HOLIDAY,EW5,31656,31150
WEEKENDS/HOLIDAY,EW6,10380,11072
WEEKENDS/HOLIDAY,EW7,13304,14620
WEEKENDS/HOLIDAY,EW8,38708,39682
WEEKENDS/HOLIDAY,EW9,23110,22847
WEEKENDS/HOLIDAY,NE1,51896,52090
WEEKENDS/HOLIDAY,NE10,11604,11305
WEEKENDS/HOLIDAY,NE11,4004,3728
WEEKENDS/HOLIDAY,NE12,52949,54843
WEEKENDS/HOLIDAY,NE13,20372,19850
WEEKENDS/HOLIDAY,NE14,26874,25405
WEEKENDS/HOLIDAY,NE15,13538,12978
WEEKENDS/HOLIDAY,NE16-STC,37956,38611
WEEKENDS/HOLIDAY,NE17-PTC,35966,34943
WEEKENDS/HOLIDAY,NE4,51405,52045
WEEKENDS/HOLIDAY,NE5,10882,13348
WEEKENDS/HOLIDAY,NE7,30717,33937
WEEKENDS/HOLIDAY,NE8,35984,38806
WEEKENDS/HOLIDAY,NE9,18824,16489
WEEKENDS/HOLIDAY,NS10,36313,32887
WEEKENDS/HOLIDAY,NS11,37141,36162
WEEKENDS/HOLIDAY,NS13,49118,50490
WEEKENDS/HOLIDAY,NS14,25748,22445
WEEKENDS/HOLIDAY,NS15,14888,13406
WEEKENDS/HOLIDAY,NS16,43752,46260
WEEKENDS/HOLIDAY,NS17,39681,38088
WEEKENDS/HOLIDAY,NS18,12443,11527
WEEKENDS/HOLIDAY,NS19,34167,35308
WEEKENDS/HOLIDAY,NS2,22449,22944
WEEKENDS/HOLIDAY,NS20,29371,29132
WEEKENDS/HOLIDAY,NS21,27527,30050
WEEKENDS/HOLIDAY,NS22,71929,75787
WEEKENDS/HOLIDAY,NS23,35068,36947
WEEKENDS/HOLIDAY,NS27,2128,3248
WEEKENDS/HOLIDAY,NS28,2600,2521
WEEKENDS/HOLIDAY,NS3,15805,15008
WEEKENDS/HOLIDAY,NS4,32947,34668
WEEKENDS/HOLIDAY,NS5,24838,24132
WEEKENDS/HOLIDAY,NS7,22413,20029
WEEKENDS/HOLIDAY,NS8,18942,15472
WEEKENDS/HOLIDAY,NS9,40924,44896
WEEKENDS/HOLIDAY,PE1,3116,2972
WEEKENDS/HOLIDAY,PE2,4425,4138
WEEKENDS/HOLIDAY,PE3,5000,4981
WEEKENDS/HOLIDAY,PE4,1447,1445
WEEKENDS/HOLIDAY,PE5,4280,3964
WEEKENDS/HOLIDAY,PE6,5600,5259
WEEKENDS/HOLIDAY,PE7,3411,3122
WEEKENDS/HOLIDAY,PW1,944,955
WEEKENDS/HOLIDAY,PW3,590,574
WEEKENDS/HOLIDAY,PW4,469,430
WEEKENDS/HOLIDAY,PW5,2704,2736
WEEKENDS/HOLIDAY,PW6,950,766
WEEKENDS/HOLIDAY,PW7,1682,1840
WEEKENDS/HOLIDAY,SE1,3679,3544
WEEKENDS/HOLIDAY,SE2,4862,4531
WEEKENDS/HOLIDAY,SE3,2643,2485
WEEKENDS/HOLIDAY,SE4,3331,3122
WEEKENDS/HOLIDAY,SE5,2258,2208
WEEKENDS/HOLIDAY,SW1,1377,1339
WEEKENDS/HOLIDAY,SW2,4014,3685
WEEKENDS/HOLIDAY,SW3,1723,1627
WEEKENDS/HOLIDAY,SW4,685,646
WEEKENDS/HOLIDAY,SW5,7042,6645
WEEKENDS/HOLIDAY,SW6,2746,2527
WEEKENDS/HOLIDAY,SW7,2696,2409
WEEKENDS/HOLIDAY,SW8,1680,1609
