PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,4234,4233
BP11,4491,3791
BP12,3826,3378
BP13,2168,1904
BP2,4043,3131
BP3,4931,4116
BP4,3292,3056
BP5,2591,1959
BP6,13177,16546
BP7,1897,1662
BP8,3095,2879
BP9,3330,3234
CC1-NE6-NS24,39273,37670
CC10,15866,14868
CC11,17693,17881
CC12,5926,5143
CC14,7597,7208
CC16,10654,10270
CC17,3825,3770
CC19,8000,8544
CC2,6322,7042
CC20,5713,5683
CC21,8967,9739
CC23,14658,14451
CC24,20615,20361
CC25,7645,6954
CC26,5003,5219
CC27,7054,7061
CC28,3925,4127
CC3,9816,9210
CC4-DT15,20180,21263
CC5,5174,5405
CC6,11046,10930
CC7,7508,7896
CC8,8407,7739
CE1,33425,32647
CG1,16759,17735
CG2,19658,18480
DT1,31232,30000
DT10,5172,4125
DT11,30625,32438
DT13,10401,10895
DT17,22173,22441
DT18,16615,17839
DT2,2786,2166
DT20,6982,7674
DT21,7869,7908
DT22,7535,8061
DT23,4193,4245
DT24,5027,4761
DT25,3764,3809
DT27,7449,7250
DT28,10447,9806
DT29,6836,6236
DT3,8182,6925
DT30,7500,7216
DT31,7487,7891
DT32,21031,22599
DT33,17876,16590
DT34,4747,4344
DT5,13810,13775
DT6,7155,6126
DT7,4095,4720
DT8,4965,4820
EW1,32702,30946
EW10,12561,12816
EW11,20620,20899
EW12,60116,62655
EW13-NS25,46137,47255
EW14-NS26,53467,53075
EW15,42194,44596
EW16,28389,27898
EW17,27814,28942
EW18,17938,18320
EW19,14841,13945
EW2,34173,34604
EW20,15705,15176
EW21,26912,25258
EW22,8793,8914
EW23,44641,45436
EW24-NS1,79369,83926
EW25,9867,8784
EW26,32338,27956
EW27,49041,55769
EW28,30871,23419
EW29,16728,16673
EW3,18682,18862
EW30,3028,2543
EW31,3650,3035
EW32,3195,3228
EW33,3168,3338
EW4,17450,15597
EW5,35617,35024
EW6,11824,13492
EW7,14982,17185
EW8,39860,40573
EW9,23899,23463
NE1,50528,50871
NE10,14462,14564
NE11,5521,5096
NE12,59528,61848
NE13,21443,21362
NE14,31968,30326
NE15,16839,15617
NE16-STC,43159,44287
NE17-PTC,38721,37300
NE4,54414,54524
NE5,14847,17300
NE7,28973,30995
NE8,30176,32682
NE9,23126,20470
NS10,45455,40449
NS11,43320,41967
NS13,57255,59941
NS14,32206,28086
NS15,24231,22294
NS16,50783,54302
NS17,49116,47055
NS18,15418,14011
NS19,39787,41486
NS2,26707,27364
NS20,39890,39595
NS21,32636,35151
NS22,63494,68218
NS23,36441,39334
NS27,5931,6112
NS28,2241,2272
NS3,18401,17385
NS4,38886,41109
NS5,31177,29401
NS7,21777,20083
NS8,23652,18741
NS9,44746,52772
PE1,3554,3458
PE2,5405,4966
PE3,5701,5661
PE4,1518,1460
PE5,5242,4855
PE6,6166,5839
PE7,3882,3624
PW1,841,854
PW3,598,612
PW4,467,486
PW5,2657,2943
PW6,1106,895
PW7,1971,2115
SE1,4322,4252
SE2,5636,5157
SE3,3157,2927
SE4,3674,3431
SE5,2721,2717
SW1,1828,1832
SW2,3989,3648
SW3,2154,2031
SW4,744,684
SW5,7538,6917
SW6,3503,3258
SW7,3026,2708
SW8,2018,1955
