,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,144.0,470.0,560.0,305.0,210.0,174.0,156.0,152.0,168.0,140.0,123.0,136.0,159.0,179.0,139.0,95.0,72.0,60.0,26.0
WEEKDAY,BP10,BP9,,64.0,158.0,211.0,111.0,27.0,8.0,10.0,12.0,14.0,13.0,9.0,9.0,55.0,63.0,41.0,10.0,4.0,4.0,2.0
WEEKDAY,BP11,BP10,,36.0,91.0,153.0,85.0,17.0,6.0,7.0,8.0,13.0,11.0,8.0,8.0,47.0,46.0,28.0,6.0,3.0,2.0,1.0
WEEKDAY,BP11,BP12,,313.0,947.0,1134.0,594.0,361.0,288.0,251.0,257.0,276.0,212.0,195.0,201.0,248.0,277.0,189.0,126.0,94.0,70.0,31.0
WEEKDAY,BP12,BP11,,29.0,96.0,152.0,107.0,52.0,39.0,49.0,73.0,85.0,96.0,107.0,146.0,328.0,429.0,319.0,187.0,155.0,87.0,19.0
WEEKDAY,BP12,BP13,,404.0,1238.0,1516.0,830.0,469.0,359.0,312.0,355.0,398.0,368.0,310.0,306.0,375.0,376.0,230.0,148.0,102.0,72.0,30.0
WEEKDAY,BP13,BP12,,24.0,210.0,342.0,156.0,70.0,56.0,75.0,105.0,124.0,136.0,157.0,216.0,492.0,686.0,506.0,265.0,229.0,133.0,34.0
WEEKDAY,BP13,BP6,,469.0,1435.0,1704.0,955.0,538.0,407.0,357.0,392.0,433.0,393.0,338.0,331.0,411.0,410.0,247.0,156.0,114.0,73.0,27.0
WEEKDAY,BP2,BP3,,156.0,694.0,1349.0,1100.0,640.0,390.0,412.0,528.0,543.0,540.0,595.0,728.0,1515.0,1799.0,1004.0,697.0,613.0,369.0,46.0
WEEKDAY,BP2,NS4,,487.0,1861.0,2346.0,1143.0,618.0,531.0,577.0,648.0,576.0,584.0,628.0,751.0,921.0,861.0,596.0,362.0,328.0,214.0,56.0
WEEKDAY,BP3,BP2,,448.0,1716.0,2064.0,989.0,553.0,494.0,547.0,637.0,561.0,603.0,653.0,790.0,980.0,1035.0,758.0,472.0,427.0,290.0,76.0
WEEKDAY,BP3,BP4,,214.0,870.0,1664.0,1302.0,727.0,436.0,433.0,554.0,525.0,498.0,539.0,662.0,1360.0,1564.0,856.0,585.0,529.0,320.0,44.0
WEEKDAY,BP4,BP3,,378.0,1423.0,1661.0,759.0,464.0,417.0,493.0,583.0,563.0,622.0,666.0,805.0,1021.0,1170.0,927.0,572.0,499.0,339.0,82.0
WEEKDAY,BP4,BP5,,228.0,910.0,1470.0,1030.0,539.0,393.0,443.0,517.0,524.0,517.0,578.0,725.0,1387.0,1526.0,827.0,564.0,517.0,309.0,44.0
WEEKDAY,BP5,BP4,,359.0,1330.0,1650.0,863.0,524.0,393.0,381.0,486.0,506.0,527.0,510.0,549.0,822.0,1203.0,991.0,599.0,501.0,356.0,94.0
WEEKDAY,BP5,BP6,,238.0,993.0,1568.0,1075.0,568.0,430.0,477.0,558.0,556.0,549.0,617.0,766.0,1410.0,1560.0,860.0,572.0,515.0,315.0,52.0
WEEKDAY,BP6,BP13,,22.0,196.0,319.0,146.0,81.0,69.0,90.0,124.0,141.0,162.0,182.0,246.0,580.0,825.0,599.0,294.0,251.0,150.0,37.0
WEEKDAY,BP6,BP5,,352.0,1313.0,1594.0,846.0,520.0,390.0,386.0,497.0,529.0,557.0,541.0,571.0,844.0,1240.0,1028.0,621.0,521.0,371.0,98.0
WEEKDAY,BP6,BP7,,43.0,336.0,349.0,245.0,180.0,159.0,172.0,235.0,274.0,311.0,355.0,438.0,710.0,902.0,652.0,442.0,383.0,272.0,72.0
WEEKDAY,BP7,BP6,,217.0,554.0,682.0,350.0,161.0,112.0,121.0,131.0,142.0,180.0,141.0,121.0,205.0,253.0,159.0,76.0,53.0,31.0,3.0
WEEKDAY,BP7,BP8,,41.0,344.0,361.0,252.0,174.0,161.0,167.0,219.0,250.0,271.0,319.0,389.0,620.0,779.0,563.0,381.0,321.0,234.0,64.0
WEEKDAY,BP8,BP7,,166.0,416.0,494.0,246.0,141.0,106.0,117.0,118.0,135.0,168.0,132.0,113.0,195.0,230.0,148.0,72.0,49.0,29.0,2.0
WEEKDAY,BP8,BP9,,21.0,305.0,306.0,194.0,146.0,137.0,156.0,198.0,248.0,239.0,284.0,367.0,559.0,719.0,528.0,364.0,295.0,222.0,62.0
WEEKDAY,BP9,BP10,,17.0,142.0,193.0,151.0,137.0,124.0,144.0,163.0,186.0,202.0,218.0,271.0,408.0,534.0,384.0,271.0,216.0,159.0,45.0
WEEKDAY,BP9,BP8,,123.0,334.0,394.0,202.0,112.0,83.0,89.0,92.0,99.0,137.0,103.0,80.0,145.0,155.0,89.0,42.0,30.0,14.0,3.0
WEEKDAY,CC10,CC11,3.0,406.0,2682.0,4254.0,3560.0,1739.0,1216.0,1267.0,1542.0,1703.0,1818.0,2134.0,2517.0,5488.0,8040.0,4160.0,2766.0,2487.0,1827.0,542.0
WEEKDAY,CC10,DT25,,420.0,2046.0,4920.0,5483.0,2578.0,1427.0,1195.0,1074.0,1009.0,914.0,844.0,917.0,1848.0,2744.0,1317.0,725.0,537.0,381.0,136.0
WEEKDAY,CC10,DT27,22.0,204.0,1438.0,2966.0,2417.0,928.0,600.0,718.0,915.0,1046.0,1215.0,1514.0,1929.0,4596.0,7010.0,3932.0,2611.0,2313.0,1643.0,663.0
WEEKDAY,CC10,EW8,3.0,655.0,3596.0,6507.0,5983.0,3108.0,2061.0,1819.0,2030.0,1913.0,1759.0,1759.0,1926.0,3489.0,5057.0,2540.0,1420.0,1186.0,783.0,213.0
WEEKDAY,CC11,CC10,3.0,699.0,3654.0,7295.0,6543.0,2974.0,1757.0,1500.0,1725.0,1755.0,1648.0,1708.0,1954.0,3677.0,4934.0,2584.0,1530.0,1435.0,928.0,248.0
WEEKDAY,CC11,CC12,2.0,363.0,2668.0,3832.0,2648.0,1422.0,1141.0,1297.0,1615.0,1686.0,1854.0,2367.0,2840.0,6846.0,10220.0,5115.0,3164.0,2595.0,1772.0,570.0
WEEKDAY,CC12,CC11,2.0,853.0,4195.0,9351.0,8838.0,3731.0,2000.0,1562.0,1702.0,1842.0,1689.0,1631.0,1835.0,3182.0,3974.0,2253.0,1404.0,1416.0,957.0,216.0
WEEKDAY,CC12,NE12,3.0,367.0,2673.0,4072.0,2884.0,1542.0,1217.0,1384.0,1692.0,2046.0,2244.0,2511.0,3001.0,6996.0,10262.0,5081.0,3122.0,2555.0,1749.0,556.0
WEEKDAY,CC14,NE12,5.0,1828.0,6988.0,14417.0,14223.0,6874.0,4265.0,3547.0,3689.0,3838.0,3669.0,3870.0,4449.0,8548.0,10067.0,5209.0,3204.0,2858.0,1766.0,380.0
