,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ORIGIN_PT_CODE,DESTINATION_PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,
BP10,BP11,WEEKDAY,,0.2,0.6,4.2,3.6,7.6,6.9,8.4,5.4,4.6,6.2,6.3,5.4,6.4,10.1,7.4,4.0,2.5,1.0,0.3
BP10,BP11,WEEKENDS/HOLIDAY,,0.2,0.7,2.4,5.7,9.3,13.6,9.4,11.2,10.4,6.2,7.2,6.1,6.8,5.4,6.4,2.7,2.4,2.3,0.6
BP10,BP12,WEEKDAY,,0.6,17.3,36.4,9.8,7.0,7.4,7.2,7.7,7.6,6.6,5.2,4.4,5.4,5.6,6.1,5.2,4.2,2.1,0.6
BP10,BP12,WEEKENDS/HOLIDAY,,0.1,1.7,5.2,10.0,11.3,16.0,13.1,10.1,5.4,3.8,5.0,4.1,3.1,5.7,6.0,4.1,1.6,2.6,1.2
BP10,BP13,WEEKDAY,,3.4,5.4,5.8,7.2,7.1,7.8,5.3,6.3,4.2,3.8,4.0,7.0,9.5,9.0,5.6,3.2,2.4,3.2,1.9
BP10,BP13,WEEKENDS/HOLIDAY,,1.6,2.6,3.7,5.7,11.6,11.1,11.9,10.2,5.8,4.8,7.2,5.3,4.8,4.3,3.6,3.6,1.1,2.0,2.1
BP10,BP2,WEEKDAY,,1.3,4.4,3.2,1.4,1.1,1.8,1.0,1.0,3.9,3.4,2.2,3.6,2.0,3.3,2.7,3.4,3.9,2.4,1.2
BP10,BP2,WEEKENDS/HOLIDAY,,0.8,1.2,2.0,2.7,1.0,2.8,1.8,4.8,2.1,2.2,3.1,3.6,2.8,3.3,1.8,5.0,4.4,3.6,1.9
BP10,BP3,WEEKDAY,,1.6,7.8,9.0,4.1,2.8,2.0,3.3,2.5,7.6,7.8,5.4,4.3,4.8,7.0,4.8,3.0,3.0,2.6,0.8
