,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,178.0,559.8,638.6,376.2,207.3,155.6,135.0,128.8,148.6,123.2,105.4,109.8,149.9,171.8,129.2,74.0,56.8,46.4,18.6,0.4,17.2,83.4,166.0,131.0,119.8,101.8,114.4,135.4,174.5,185.3,203.2,249.6,342.6,555.1,461.6,290.6,232.4,188.0,85.8
BP10,WEEKENDS/HOLIDAY,0.0,79.4,136.0,126.0,152.1,181.9,186.4,185.2,192.3,158.4,142.2,128.6,125.1,125.9,129.4,105.8,78.3,58.7,53.1,23.2,0.0,11.3,35.9,55.9,107.8,148.2,149.6,162.9,174.6,180.2,176.3,180.4,180.8,202.4,223.1,205.8,183.3,165.4,162.2,80.4
BP11,WEEKDAY,0.0,188.1,658.8,788.2,425.4,226.6,148.4,133.4,139.2,143.8,104.2,109.5,107.4,167.8,177.5,120.0,67.4,53.5,36.2,11.8,0.4,12.4,61.8,153.6,80.8,80.8,64.8,74.2,94.6,115.4,131.8,136.6,173.6,305.2,541.8,465.5,256.0,193.0,152.0,59.8
BP11,WEEKENDS/HOLIDAY,0.0,76.6,129.6,147.1,195.8,186.0,189.7,175.7,192.7,172.6,149.8,129.4,120.3,135.8,130.4,96.6,67.2,49.3,45.0,13.6,0.0,6.7,14.0,46.2,66.8,86.6,100.2,121.3,129.1,141.0,134.9,126.9,124.1,153.6,172.4,154.2,144.6,146.4,126.4,61.4
BP12,WEEKDAY,0.0,110.4,400.8,619.0,349.6,158.9,105.0,93.8,143.0,182.4,207.1,154.2,142.3,215.4,191.8,91.5,53.6,35.0,19.0,4.4,0.3,4.4,121.2,494.6,138.7,61.2,49.0,53.6,59.0,74.7,91.6,88.0,102.4,181.2,351.1,308.9,138.6,101.8,83.4,40.0
BP12,WEEKENDS/HOLIDAY,0.0,42.8,84.7,108.8,133.2,124.1,129.4,133.2,132.9,109.0,92.6,90.7,100.1,110.6,98.2,71.8,53.4,33.3,23.7,6.4,0.2,3.8,10.1,46.6,74.8,75.6,84.8,93.2,87.9,88.9,77.0,80.9,75.8,83.0,87.8,79.3,74.9,74.6,65.7,44.0
BP13,WEEKDAY,0.0,88.4,276.0,304.1,201.3,105.7,69.1,65.2,62.7,65.6,43.4,40.6,44.2,81.2,73.4,49.5,25.0,22.6,12.0,3.5,0.2,12.4,26.8,64.6,35.7,31.9,31.9,33.1,37.9,53.2,51.0,50.2,49.5,109.3,209.3,168.4,59.4,35.4,34.0,15.1
BP13,WEEKENDS/HOLIDAY,0.0,35.7,57.8,66.8,89.3,91.7,85.0,78.3,77.9,65.6,55.1,61.9,50.1,58.6,60.7,43.4,24.2,22.3,14.0,5.3,0.1,4.9,9.0,18.9,35.4,43.8,50.9,58.4,58.2,47.4,46.0,37.6,35.9,40.8,43.1,39.2,26.3,28.4,26.9,16.4
BP2,WEEKDAY,0.0,126.4,477.4,830.4,551.4,260.8,154.6,130.5,126.6,153.1,105.4,99.2,115.2,148.6,164.6,103.6,64.8,40.7,32.2,9.5,0.0,18.8,67.1,118.4,79.8,51.7,47.0,55.4,80.1,106.8,115.7,143.0,168.7,231.7,424.5,402.0,262.5,222.8,180.1,63.6
BP2,WEEKENDS/HOLIDAY,0.0,56.7,115.7,166.0,193.6,188.0,206.7,195.2,185.9,183.2,149.7,138.1,120.3,142.3,140.0,94.6,64.0,47.4,40.1,12.1,0.0,8.7,23.7,39.4,60.1,76.7,77.8,93.9,99.3,126.7,128.9,130.1,125.7,145.8,151.6,161.3,155.8,165.7,146.7,69.9
BP3,WEEKDAY,0.0,134.8,613.4,954.0,606.0,271.2,182.7,166.8,178.2,161.8,132.4,129.6,163.6,229.1,212.0,156.8,95.0,75.6,60.2,20.2,0.0,7.6,60.2,145.6,106.6,81.2,67.6,82.6,105.7,141.6,202.8,201.4,235.8,364.3,639.5,565.8,339.8,272.0,218.0,73.3
BP3,WEEKENDS/HOLIDAY,0.0,72.8,131.9,199.2,235.6,230.3,231.2,228.3,227.4,210.7,185.7,181.1,168.4,195.4,173.4,138.6,93.7,69.2,53.8,23.2,0.0,4.2,24.3,47.6,62.2,74.8,88.0,104.2,153.2,175.1,183.9,177.6,182.2,198.0,231.0,206.4,214.6,193.1,176.6,77.7
BP4,WEEKDAY,0.0,58.3,242.0,371.1,223.8,129.2,129.0,365.3,503.7,256.4,324.6,534.2,786.8,757.0,277.8,152.0,134.8,147.8,51.6,13.2,0.0,15.2,51.3,587.8,1104.3,771.5,342.2,170.8,364.4,281.7,173.8,124.1,150.8,187.7,305.0,250.4,144.2,128.4,101.6,40.6
BP4,WEEKENDS/HOLIDAY,0.0,30.0,68.4,87.2,97.9,97.8,103.8,110.7,94.8,87.1,87.0,80.2,83.1,84.4,83.3,73.4,45.3,38.3,25.9,10.9,0.0,8.2,21.0,45.8,57.1,53.7,42.2,56.6,79.4,73.0,79.0,74.0,85.0,89.7,93.8,99.9,93.9,99.7,88.7,46.8
BP5,WEEKDAY,0.0,45.3,243.9,324.6,178.2,109.4,92.0,83.9,101.4,99.4,96.0,101.2,107.8,172.0,188.8,132.3,81.8,68.0,49.4,17.1,0.0,22.4,85.9,149.0,104.8,67.4,50.0,48.6,66.6,70.7,95.0,92.7,111.8,137.7,202.8,170.4,106.9,97.4,70.7,30.3
BP5,WEEKENDS/HOLIDAY,0.0,27.7,47.2,67.8,89.4,105.4,119.2,115.9,144.2,107.9,91.3,94.6,95.1,104.4,122.6,86.1,69.9,59.3,47.0,18.8,0.0,12.9,23.7,44.1,69.8,73.8,68.9,85.3,90.6,85.8,80.4,81.0,75.0,75.9,90.9,81.0,78.0,71.2,64.1,31.4
BP6,WEEKDAY,0.0,26.8,291.6,578.4,431.6,307.5,225.6,251.2,399.0,435.8,474.1,519.0,625.2,945.9,1706.8,1633.8,931.4,752.2,564.7,167.3,0.1,489.3,1330.0,2452.5,1861.3,881.0,562.6,548.9,613.7,581.0,593.6,581.7,617.7,765.7,973.8,577.0,343.4,273.2,183.2,66.2
BP6,WEEKENDS/HOLIDAY,0.0,27.7,76.9,164.8,228.8,258.7,271.8,341.4,464.4,520.4,532.0,513.7,537.1,577.0,669.0,618.4,595.4,574.4,516.6,180.6,0.2,196.3,369.8,480.6,649.2,701.2,709.4,680.9,697.0,698.6,611.1,604.6,541.2,601.9,588.4,464.7,327.7,219.8,179.3,73.1
BP7,WEEKDAY,0.0,77.8,216.2,301.5,164.8,56.5,36.8,33.0,42.1,34.4,40.0,32.3,39.3,66.3,80.4,52.6,29.2,20.4,12.8,4.2,0.0,19.1,36.0,80.1,45.5,31.7,25.8,30.6,36.4,53.0,65.5,65.4,81.8,120.0,197.2,149.4,98.6,81.9,73.4,26.0
BP7,WEEKENDS/HOLIDAY,0.0,19.6,25.3,34.1,54.4,47.2,58.2,43.7,48.3,42.7,32.7,37.4,31.1,33.4,34.1,28.7,22.2,24.4,13.3,4.1,0.0,8.0,9.0,18.9,32.9,30.6,31.1,41.2,48.6,71.0,58.7,56.1,56.1,60.1,71.2,61.6,60.1,61.2,62.9,26.2
BP8,WEEKDAY,0.0,86.4,289.0,351.6,162.7,83.7,54.3,60.6,73.3,124.9,80.6,101.0,115.4,183.4,241.2,194.4,109.1,91.8,65.5,17.8,0.0,47.8,201.3,306.5,185.7,93.5,54.6,42.3,60.6,77.8,78.5,83.4,90.4,154.6,245.7,204.9,118.6,88.0,67.0,32.8
