ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP10,BP11,97.0
BP10,BP12,135.0
BP10,BP13,102.0
BP10,BP2,48.0
BP10,BP3,75.0
BP10,BP4,95.0
BP10,BP5,119.0
BP10,BP6,1144.0
BP10,BP7,64.0
BP10,BP8,194.0
BP10,BP9,68.0
BP10,CC1-NE6-NS24,0.0
BP10,CC11,0.0
BP10,CC12,0.0
BP10,CC14,0.0
BP10,CC16,0.0
BP10,CC17,0.0
BP10,CC19,0.0
BP10,CC20,0.0
BP10,CC21,0.0
BP10,CC23,0.0
BP10,CC24,2.0
BP10,CC25,0.0
BP10,CC26,0.0
BP10,CC27,0.0
BP10,CC28,0.0
BP10,CC3,0.0
BP10,CC4-DT15,0.0
BP10,CC6,0.0
BP10,CC8,0.0
BP10,CE1,0.0
BP10,CG2,0.0
BP10,DT1,0.0
BP10,DT11,0.0
BP10,DT13,0.0
BP10,DT18,0.0
BP10,DT3,0.0
BP10,DT5,0.0
BP10,DT7,0.0
BP10,EW1,1.0
BP10,EW10,0.0
BP10,EW11,0.0
BP10,EW12,1.0
BP10,EW13-NS25,1.0
BP10,EW14-NS26,1.0
BP10,EW15,2.0
BP10,EW16,1.0
BP10,EW17,4.0
BP10,EW18,4.0
BP10,EW19,6.0
BP10,EW2,0.0
BP10,EW20,6.0
BP10,EW21,6.0
BP10,EW22,31.0
BP10,EW23,31.0
BP10,EW24-NS1,197.0
BP10,EW25,3.0
BP10,EW26,19.0
BP10,EW27,45.0
BP10,EW28,20.0
BP10,EW29,31.0
BP10,EW30,9.0
BP10,EW31,3.0
BP10,EW32,6.0
BP10,EW33,2.0
BP10,EW4,0.0
BP10,EW5,0.0
BP10,EW7,0.0
BP10,EW8,1.0
BP10,EW9,0.0
BP10,NE1,1.0
BP10,NE12,0.0
BP10,NE13,0.0
BP10,NE14,0.0
BP10,NE15,0.0
BP10,NE16-STC,0.0
BP10,NE17-PTC,0.0
BP10,NE4,0.0
BP10,NE5,0.0
BP10,NE8,0.0
BP10,NE9,0.0
BP10,NS10,19.0
BP10,NS11,15.0
BP10,NS13,15.0
BP10,NS14,7.0
BP10,NS15,24.0
BP10,NS16,11.0
BP10,NS17,2.0
BP10,NS18,1.0
BP10,NS19,1.0
BP10,NS2,40.0
BP10,NS20,0.0
BP10,NS21,0.0
BP10,NS22,0.0
BP10,NS23,0.0
BP10,NS28,0.0
BP10,NS3,28.0
BP10,NS4,245.0
BP10,NS5,48.0
BP10,NS7,32.0
BP10,NS8,8.0
BP10,NS9,31.0
BP11,BP10,33.0
BP11,BP12,55.0
BP11,BP13,66.0
BP11,BP2,47.0
BP11,BP3,74.0
BP11,BP4,93.0
BP11,BP5,128.0
BP11,BP6,1352.0
BP11,BP7,51.0
BP11,BP8,133.0
BP11,BP9,79.0
BP11,CC1-NE6-NS24,0.0
BP11,CC10,0.0
BP11,CC11,0.0
BP11,CC12,0.0
BP11,CC16,0.0
BP11,CC17,0.0
BP11,CC19,0.0
BP11,CC20,0.0
