,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,163.4,387.4,404.6,227.5,161.8,128.6,111.3,119.1,132.3,100.9,89.3,96.5,132.1,153.8,92.1,57.0,40.2,32.8,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP10,WEEKENDS/HOLIDAY,0.0,65.4,97.2,97.1,102.7,134.9,147.3,145.5,149.6,125.4,110.0,114.2,94.2,119.5,109.3,76.2,58.1,40.0,39.9,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP11,WEEKDAY,0.0,159.7,441.0,478.9,252.1,162.6,118.2,111.7,124.5,125.4,97.8,89.3,91.7,135.5,144.1,85.6,49.9,31.8,22.4,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP11,WEEKENDS/HOLIDAY,0.0,61.4,97.5,103.8,128.8,149.6,141.5,152.0,148.0,130.2,116.0,101.5,105.3,103.8,117.3,77.1,48.3,37.0,30.8,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP12,WEEKDAY,0.0,91.3,278.3,349.8,196.8,103.2,80.9,79.0,132.0,158.2,171.8,106.8,97.8,129.1,104.2,56.2,32.0,26.7,14.3,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP12,WEEKENDS/HOLIDAY,0.0,33.9,62.8,70.4,87.4,85.8,84.4,92.9,103.9,84.2,75.5,64.1,72.2,72.1,63.5,47.6,29.4,26.8,18.9,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP13,WEEKDAY,0.0,80.8,204.7,201.0,120.7,64.8,52.6,58.7,52.6,57.3,41.4,36.0,37.1,60.8,57.9,29.8,16.9,12.6,6.2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP13,WEEKENDS/HOLIDAY,0.0,33.8,47.1,45.9,58.1,60.2,75.3,64.2,62.8,59.0,46.7,44.6,42.6,53.6,38.2,29.7,17.5,12.8,8.8,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP2,WEEKDAY,0.0,97.6,307.7,480.8,283.3,171.7,114.7,101.5,118.4,141.3,86.4,72.8,92.3,122.0,132.8,81.3,42.2,27.2,22.9,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP2,WEEKENDS/HOLIDAY,0.0,42.5,92.3,100.3,120.3,134.8,143.4,138.1,152.8,141.9,115.9,123.1,107.6,120.2,109.3,77.4,47.0,32.9,30.7,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP3,WEEKDAY,0.0,121.4,423.8,535.7,311.1,198.9,143.6,148.0,150.4,143.7,118.0,103.3,131.5,179.1,159.2,112.7,72.7,55.3,42.7,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP3,WEEKENDS/HOLIDAY,0.0,70.4,117.5,124.6,138.7,183.3,182.8,198.9,188.9,176.4,157.1,130.9,147.6,159.6,142.7,103.4,77.3,51.7,41.7,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP4,WEEKDAY,0.0,48.6,166.0,215.8,131.2,96.8,89.0,136.0,174.2,111.8,125.7,186.1,274.4,279.3,109.0,57.6,39.1,55.3,22.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP4,WEEKENDS/HOLIDAY,0.0,26.2,62.0,57.9,79.4,81.5,71.4,73.2,85.7,80.9,78.3,65.6,63.5,74.9,68.2,42.5,34.9,22.6,16.9,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP5,WEEKDAY,0.0,41.2,168.3,213.3,122.8,92.2,80.3,78.5,87.1,86.0,82.1,86.5,100.0,138.6,154.3,91.3,58.8,48.2,33.3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP5,WEEKENDS/HOLIDAY,0.0,24.0,37.9,47.9,62.4,79.1,89.8,87.5,104.3,87.3,78.3,76.2,68.1,94.9,82.2,62.0,57.7,42.0,36.8,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP7,WEEKDAY,0.0,68.3,144.4,192.4,88.4,46.7,28.6,29.9,30.8,34.0,39.9,29.6,35.2,50.8,49.7,37.2,16.9,12.0,12.0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP7,WEEKENDS/HOLIDAY,0.0,19.1,15.7,26.4,32.6,39.1,33.8,37.7,38.3,34.6,29.5,27.8,30.1,31.8,28.1,20.8,17.0,13.0,14.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP8,WEEKDAY,0.0,76.1,201.7,214.4,105.2,63.1,55.0,52.0,65.5,101.4,70.8,90.2,88.1,134.1,148.6,103.5,61.2,46.5,39.0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP8,WEEKENDS/HOLIDAY,0.0,28.0,37.4,33.4,47.6,59.3,64.3,67.3,72.9,75.9,71.5,65.0,65.3,77.0,74.0,56.9,55.3,47.6,41.0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP9,WEEKDAY,0.0,82.0,198.0,243.1,142.8,123.8,125.3,115.3,125.8,131.3,175.5,113.7,92.6,109.2,99.6,64.3,42.8,23.5,13.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP9,WEEKENDS/HOLIDAY,0.0,31.9,57.6,68.4,99.7,128.6,144.3,153.8,126.4,114.6,85.3,80.5,73.5,82.4,72.7,60.0,48.5,27.2,15.5,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC10/DT26,WEEKDAY,3.6,122.3,631.2,848.0,718.0,506.0,405.2,376.6,398.8,394.0,354.1,397.0,484.6,1053.4,1533.6,675.4,334.6,203.1,148.5,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC10/DT26,WEEKENDS/HOLIDAY,4.2,43.3,236.1,310.4,356.8,422.6,440.6,464.4,491.0,505.6,442.0,401.7,415.8,516.6,474.5,337.2,230.3,153.7,110.0,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC11,WEEKDAY,2.7,30.2,166.3,189.3,205.0,163.5,176.3,252.3,348.0,314.0,397.3,533.8,738.2,1633.6,1973.4,1050.8,564.4,316.7,260.2,72.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC11,WEEKENDS/HOLIDAY,3.1,12.7,130.8,103.6,131.0,111.2,136.1,177.5,245.5,271.7,309.9,323.0,320.8,419.4,309.7,278.0,251.5,185.5,142.1,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12,WEEKDAY,1.6,19.8,158.0,315.0,243.5,154.3,111.7,130.0,146.4,592.0,476.9,293.9,250.3,227.9,222.3,107.8,61.0,41.0,26.6,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12,WEEKENDS/HOLIDAY,1.6,10.7,34.4,58.7,93.2,124.3,149.8,146.8,166.5,130.0,116.4,122.3,115.1,123.1,115.8,87.9,60.8,46.0,28.2,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
