DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,2643.0,0.0
WEEKDAY,BP11,2731.0,0.0
WEEKDAY,BP12,2213.0,0.0
WEEKDAY,BP13,1195.0,0.0
WEEKDAY,BP2,2504.0,0.0
WEEKDAY,BP3,3162.0,0.0
WEEKDAY,BP4,2323.0,0.0
WEEKDAY,BP5,1773.0,0.0
WEEKDAY,BP7,949.0,0.0
WEEKDAY,BP8,1730.0,0.0
WEEKDAY,BP9,2026.0,0.0
WEEKDAY,CC10/DT26,9642.0,0.0
WEEKDAY,CC11,9389.0,0.0
WEEKDAY,CC12,3592.0,0.0
WEEKDAY,CC14,4323.0,0.0
WEEKDAY,CC16,6182.0,0.0
WEEKDAY,CC17,2217.0,0.0
WEEKDAY,CC19/DT9,3125.0,0.0
WEEKDAY,CC2,1336.0,0.0
WEEKDAY,CC20,3024.0,0.0
WEEKDAY,CC21,5020.0,0.0
WEEKDAY,CC22/EW21,12287.0,0.0
WEEKDAY,CC23,4730.0,0.0
WEEKDAY,CC24,10108.0,0.0
WEEKDAY,CC25,3843.0,0.0
WEEKDAY,CC26,2946.0,0.0
WEEKDAY,CC27,1856.0,0.0
WEEKDAY,CC28,2324.0,0.0
WEEKDAY,CC3,2733.0,0.0
WEEKDAY,CC4/DT15,6554.0,0.0
WEEKDAY,CC5,1892.0,0.0
WEEKDAY,CC6,3566.0,0.0
WEEKDAY,CC7,4238.0,0.0
WEEKDAY,CC8,4997.0,0.0
WEEKDAY,CE1/DT16,7878.0,0.0
WEEKDAY,CG1/DT35,6346.0,0.0
WEEKDAY,CG2,4550.0,0.0
WEEKDAY,DT1/PB6,22666.0,0.0
WEEKDAY,DT10,2752.0,0.0
WEEKDAY,DT13,4065.0,0.0
WEEKDAY,DT17,5213.0,0.0
WEEKDAY,DT18,5986.0,0.0
WEEKDAY,DT2,1605.0,0.0
WEEKDAY,DT20,2341.0,0.0
WEEKDAY,DT21,2519.0,0.0
WEEKDAY,DT22,2939.0,0.0
WEEKDAY,DT23,1838.0,0.0
WEEKDAY,DT24,3193.0,0.0
WEEKDAY,DT25,2444.0,0.0
WEEKDAY,DT27,4756.0,0.0
WEEKDAY,DT28,5667.0,0.0
WEEKDAY,DT29,4568.0,0.0
WEEKDAY,DT3,3989.0,0.0
WEEKDAY,DT30,4224.0,0.0
WEEKDAY,DT31,4614.0,0.0
WEEKDAY,DT33,10444.0,0.0
WEEKDAY,DT34,2179.0,0.0
WEEKDAY,DT5,6544.0,0.0
WEEKDAY,DT6,3037.0,0.0
WEEKDAY,DT7,2093.0,0.0
WEEKDAY,DT8,2912.0,0.0
WEEKDAY,EW1,18874.0,0.0
WEEKDAY,EW10,6362.0,0.0
WEEKDAY,EW11,10649.0,0.0
WEEKDAY,EW12/DT14,22748.0,0.0
WEEKDAY,EW13/NS25,17177.0,0.0
WEEKDAY,EW14/NS26,18339.0,0.0
WEEKDAY,EW15,16760.0,0.0
WEEKDAY,EW16/NE3,18706.0,0.0
WEEKDAY,EW17,16509.0,0.0
WEEKDAY,EW18,10267.0,0.0
WEEKDAY,EW19,8073.0,0.0
WEEKDAY,EW2/DT32,31914.0,0.0
WEEKDAY,EW20,9467.0,0.0
WEEKDAY,EW22,5612.0,0.0
WEEKDAY,EW23,26450.0,0.0
WEEKDAY,EW24/NS1,46281.0,0.0
WEEKDAY,EW25,5347.0,0.0
WEEKDAY,EW26,22160.0,0.0
WEEKDAY,EW27,29169.0,0.0
WEEKDAY,EW28,17951.0,0.0
WEEKDAY,EW29,10998.0,0.0
WEEKDAY,EW3,11109.0,0.0
WEEKDAY,EW30,2586.0,0.0
WEEKDAY,EW31,2656.0,0.0
WEEKDAY,EW32,2548.0,0.0
WEEKDAY,EW33,1549.0,0.0
WEEKDAY,EW4,8922.0,0.0
WEEKDAY,EW5,20650.0,0.0
