DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,BP10,BP11,82.0
WEEKDAY,BP10,BP12,116.0
WEEKDAY,BP10,BP13,84.0
WEEKDAY,BP10,BP2,43.0
WEEKDAY,BP10,BP3,63.0
WEEKDAY,BP10,BP4,52.0
WEEKDAY,BP10,BP5,108.0
WEEKDAY,BP10,BP7,64.0
WEEKDAY,BP10,BP8,191.0
WEEKDAY,BP10,BP9,90.0
WEEKDAY,BP10,CC22/EW21,6.0
WEEKDAY,BP10,CC24,1.0
WEEKDAY,BP10,DT1/PB6,890.0
WEEKDAY,BP10,EW12/DT14,1.0
WEEKDAY,BP10,EW13/NS25,1.0
WEEKDAY,BP10,EW14/NS26,1.0
WEEKDAY,BP10,EW15,1.0
WEEKDAY,BP10,EW16/NE3,1.0
WEEKDAY,BP10,EW17,2.0
WEEKDAY,BP10,EW18,4.0
WEEKDAY,BP10,EW19,6.0
WEEKDAY,BP10,EW20,11.0
WEEKDAY,BP10,EW22,10.0
WEEKDAY,BP10,EW23,28.0
WEEKDAY,BP10,EW24/NS1,170.0
WEEKDAY,BP10,EW25,2.0
WEEKDAY,BP10,EW26,13.0
WEEKDAY,BP10,EW27,47.0
WEEKDAY,BP10,EW28,11.0
WEEKDAY,BP10,EW29,29.0
WEEKDAY,BP10,EW30,12.0
WEEKDAY,BP10,EW31,5.0
WEEKDAY,BP10,EW32,6.0
WEEKDAY,BP10,EW33,2.0
WEEKDAY,BP10,NS10,16.0
WEEKDAY,BP10,NS11,14.0
WEEKDAY,BP10,NS12,3.0
WEEKDAY,BP10,NS13,15.0
WEEKDAY,BP10,NS14,7.0
WEEKDAY,BP10,NS15,14.0
WEEKDAY,BP10,NS16,8.0
WEEKDAY,BP10,NS19,1.0
WEEKDAY,BP10,NS2,36.0
WEEKDAY,BP10,NS3,22.0
WEEKDAY,BP10,NS4/BP1,215.0
WEEKDAY,BP10,NS5,47.0
WEEKDAY,BP10,NS7,15.0
WEEKDAY,BP10,NS8,9.0
WEEKDAY,BP10,NS9/TE2,22.0
WEEKDAY,BP10,TE1,1.0
WEEKDAY,BP10,TE3,1.0
WEEKDAY,BP11,BP10,40.0
WEEKDAY,BP11,BP12,49.0
WEEKDAY,BP11,BP13,54.0
WEEKDAY,BP11,BP2,43.0
WEEKDAY,BP11,BP3,68.0
WEEKDAY,BP11,BP4,56.0
WEEKDAY,BP11,BP5,113.0
WEEKDAY,BP11,BP7,35.0
WEEKDAY,BP11,BP8,110.0
WEEKDAY,BP11,BP9,78.0
WEEKDAY,BP11,CC22/EW21,4.0
WEEKDAY,BP11,CC24,2.0
WEEKDAY,BP11,DT1/PB6,1036.0
WEEKDAY,BP11,EW11,1.0
WEEKDAY,BP11,EW12/DT14,1.0
WEEKDAY,BP11,EW14/NS26,1.0
WEEKDAY,BP11,EW15,3.0
WEEKDAY,BP11,EW16/NE3,1.0
WEEKDAY,BP11,EW17,6.0
WEEKDAY,BP11,EW18,9.0
WEEKDAY,BP11,EW19,11.0
WEEKDAY,BP11,EW20,10.0
WEEKDAY,BP11,EW22,18.0
WEEKDAY,BP11,EW23,49.0
WEEKDAY,BP11,EW24/NS1,212.0
WEEKDAY,BP11,EW25,3.0
WEEKDAY,BP11,EW26,22.0
WEEKDAY,BP11,EW27,56.0
WEEKDAY,BP11,EW28,17.0
WEEKDAY,BP11,EW29,33.0
WEEKDAY,BP11,EW30,7.0
WEEKDAY,BP11,EW31,6.0
WEEKDAY,BP11,EW32,8.0
WEEKDAY,BP11,EW33,4.0
WEEKDAY,BP11,NS10,25.0
WEEKDAY,BP11,NS11,19.0
WEEKDAY,BP11,NS12,4.0
WEEKDAY,BP11,NS13,18.0
WEEKDAY,BP11,NS14,8.0
WEEKDAY,BP11,NS15,22.0
WEEKDAY,BP11,NS16,10.0
WEEKDAY,BP11,NS19,1.0
WEEKDAY,BP11,NS2,47.0
WEEKDAY,BP11,NS3,32.0
WEEKDAY,BP11,NS4/BP1,229.0
WEEKDAY,BP11,NS5,45.0
WEEKDAY,BP11,NS7,14.0
WEEKDAY,BP11,NS8,12.0
WEEKDAY,BP11,NS9/TE2,40.0
WEEKDAY,BP11,TE1,3.0
WEEKDAY,BP11,TE3,3.0
WEEKDAY,BP12,BP10,40.0
WEEKDAY,BP12,BP11,16.0
WEEKDAY,BP12,BP13,45.0
WEEKDAY,BP12,BP2,39.0
WEEKDAY,BP12,BP3,66.0
WEEKDAY,BP12,BP4,36.0
WEEKDAY,BP12,BP5,88.0
WEEKDAY,BP12,BP7,26.0
WEEKDAY,BP12,BP8,68.0
WEEKDAY,BP12,BP9,65.0
WEEKDAY,BP12,CC22/EW21,6.0
WEEKDAY,BP12,CC24,1.0
WEEKDAY,BP12,DT1/PB6,942.0
WEEKDAY,BP12,EW15,1.0
WEEKDAY,BP12,EW16/NE3,1.0
WEEKDAY,BP12,EW17,4.0
WEEKDAY,BP12,EW18,6.0
WEEKDAY,BP12,EW19,6.0
WEEKDAY,BP12,EW20,6.0
WEEKDAY,BP12,EW22,10.0
WEEKDAY,BP12,EW23,25.0
WEEKDAY,BP12,EW24/NS1,147.0
WEEKDAY,BP12,EW25,3.0
WEEKDAY,BP12,EW26,17.0
WEEKDAY,BP12,EW27,30.0
WEEKDAY,BP12,EW28,17.0
WEEKDAY,BP12,EW29,28.0
WEEKDAY,BP12,EW30,5.0
WEEKDAY,BP12,EW31,2.0
WEEKDAY,BP12,EW32,3.0
WEEKDAY,BP12,EW33,3.0
WEEKDAY,BP12,NE1/CC29,1.0
WEEKDAY,BP12,NS10,23.0
WEEKDAY,BP12,NS11,21.0
WEEKDAY,BP12,NS12,3.0
WEEKDAY,BP12,NS13,18.0
WEEKDAY,BP12,NS14,9.0
WEEKDAY,BP12,NS15,16.0
WEEKDAY,BP12,NS16,7.0
WEEKDAY,BP12,NS18,1.0
WEEKDAY,BP12,NS19,1.0
WEEKDAY,BP12,NS2,29.0
WEEKDAY,BP12,NS3,25.0
WEEKDAY,BP12,NS4/BP1,171.0
WEEKDAY,BP12,NS5,47.0
WEEKDAY,BP12,NS7,8.0
WEEKDAY,BP12,NS8,10.0
WEEKDAY,BP12,NS9/TE2,40.0
WEEKDAY,BP12,TE1,3.0
WEEKDAY,BP12,TE3,1.0
WEEKDAY,BP13,BP10,49.0
WEEKDAY,BP13,BP11,24.0
WEEKDAY,BP13,BP12,31.0
WEEKDAY,BP13,BP2,23.0
WEEKDAY,BP13,BP3,24.0
WEEKDAY,BP13,BP4,26.0
WEEKDAY,BP13,BP5,18.0
WEEKDAY,BP13,BP7,8.0
WEEKDAY,BP13,BP8,33.0
WEEKDAY,BP13,BP9,73.0
WEEKDAY,BP13,CC22/EW21,2.0
WEEKDAY,BP13,DT1/PB6,331.0
WEEKDAY,BP13,EW16/NE3,1.0
WEEKDAY,BP13,EW17,4.0
WEEKDAY,BP13,EW18,6.0
WEEKDAY,BP13,EW19,4.0
WEEKDAY,BP13,EW20,4.0
WEEKDAY,BP13,EW22,6.0
WEEKDAY,BP13,EW23,23.0
WEEKDAY,BP13,EW24/NS1,139.0
WEEKDAY,BP13,EW25,1.0
WEEKDAY,BP13,EW26,7.0
WEEKDAY,BP13,EW27,20.0
WEEKDAY,BP13,EW28,8.0
WEEKDAY,BP13,EW29,18.0
WEEKDAY,BP13,EW30,3.0
WEEKDAY,BP13,EW31,2.0
WEEKDAY,BP13,EW32,3.0
WEEKDAY,BP13,EW33,2.0
WEEKDAY,BP13,NS10,18.0
WEEKDAY,BP13,NS11,11.0
WEEKDAY,BP13,NS12,1.0
WEEKDAY,BP13,NS13,12.0
WEEKDAY,BP13,NS14,4.0
WEEKDAY,BP13,NS15,11.0
WEEKDAY,BP13,NS16,5.0
WEEKDAY,BP13,NS2,16.0
WEEKDAY,BP13,NS3,18.0
WEEKDAY,BP13,NS4/BP1,130.0
WEEKDAY,BP13,NS5,21.0
WEEKDAY,BP13,NS7,3.0
