ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP10,BP11,83.0
BP10,BP12,107.0
BP10,BP13,82.0
BP10,BP2,41.0
BP10,BP3,55.0
BP10,BP4,45.0
BP10,BP5,96.0
BP10,BP7,53.0
BP10,BP8,137.0
BP10,BP9,63.0
BP10,CC10/DT26,0.0
BP10,CC11,0.0
BP10,CC14,0.0
BP10,CC16,0.0
BP10,CC19/DT9,0.0
BP10,CC2,0.0
BP10,CC21,0.0
BP10,CC22/EW21,5.0
BP10,CC23,0.0
BP10,CC24,1.0
BP10,CC25,0.0
BP10,CC26,0.0
BP10,CC27,0.0
BP10,CC4/DT15,0.0
BP10,CC6,0.0
BP10,CC8,0.0
BP10,CE1/DT16,0.0
BP10,CG2,0.0
BP10,DT1/PB6,834.0
BP10,DT17,0.0
BP10,DT18,0.0
BP10,DT29,0.0
BP10,DT5,0.0
BP10,EW1,0.0
BP10,EW10,0.0
BP10,EW11,0.0
BP10,EW12/DT14,1.0
BP10,EW13/NS25,1.0
BP10,EW14/NS26,1.0
BP10,EW15,1.0
BP10,EW16/NE3,1.0
BP10,EW17,2.0
BP10,EW18,4.0
BP10,EW19,5.0
BP10,EW2/DT32,0.0
BP10,EW20,9.0
BP10,EW22,7.0
BP10,EW23,26.0
BP10,EW24/NS1,158.0
BP10,EW25,2.0
BP10,EW26,13.0
BP10,EW27,40.0
BP10,EW28,9.0
BP10,EW29,23.0
BP10,EW3,0.0
BP10,EW30,9.0
BP10,EW31,3.0
BP10,EW32,4.0
BP10,EW33,1.0
BP10,EW4,0.0
BP10,EW5,0.0
BP10,EW6,0.0
BP10,EW7,0.0
BP10,EW8/CC9,1.0
BP10,EW9,0.0
BP10,NE1/CC29,0.0
BP10,NE10,0.0
BP10,NE13,0.0
BP10,NE14,0.0
BP10,NE17/PTC,0.0
BP10,NE4/DT19,0.0
BP10,NE5,0.0
BP10,NE7/DT12,0.0
BP10,NE8,0.0
BP10,NS10,14.0
BP10,NS11,14.0
BP10,NS12,2.0
BP10,NS13,15.0
BP10,NS14,7.0
BP10,NS15,11.0
BP10,NS16,7.0
BP10,NS17/CC15,0.0
BP10,NS18,0.0
BP10,NS19,1.0
BP10,NS2,33.0
