PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,2384.0,0.0
BP11,2451.0,0.0
BP12,1880.0,0.0
BP13,1069.0,0.0
BP2,2289.0,0.0
BP3,2919.0,0.0
BP4,1926.0,0.0
BP5,1597.0,0.0
BP7,801.0,0.0
BP8,1512.0,0.0
BP9,1848.0,0.0
CC10/DT26,8598.0,0.0
CC11,7621.0,0.0
CC12,2998.0,0.0
CC14,3700.0,0.0
CC16,5250.0,0.0
CC17,1912.0,0.0
CC19/DT9,3387.0,0.0
CC2,1234.0,0.0
CC20,2705.0,0.0
CC21,4882.0,0.0
CC22/EW21,10693.0,0.0
CC23,3681.0,0.0
CC24,7776.0,0.0
CC25,3445.0,0.0
CC26,2524.0,0.0
CC27,1534.0,0.0
CC28,2195.0,0.0
CC3,2884.0,0.0
CC4/DT15,6289.0,0.0
CC5,1859.0,0.0
CC6,3827.0,0.0
CC7,3810.0,0.0
CC8,4447.0,0.0
CE1/DT16,8598.0,0.0
CG1/DT35,5827.0,0.0
CG2,4799.0,0.0
DT1/PB6,21007.0,0.0
DT10,2373.0,0.0
DT13,3923.0,0.0
DT17,4084.0,0.0
DT18,4754.0,0.0
DT2,1320.0,0.0
DT20,2201.0,0.0
DT21,2387.0,0.0
DT22,2830.0,0.0
DT23,1506.0,0.0
DT24,2907.0,0.0
DT25,2128.0,0.0
DT27,3997.0,0.0
DT28,4850.0,0.0
DT29,4110.0,0.0
DT3,3777.0,0.0
DT30,3861.0,0.0
DT31,4162.0,0.0
DT33,9454.0,0.0
DT34,1983.0,0.0
DT5,6520.0,0.0
DT6,2704.0,0.0
DT7,1863.0,0.0
DT8,2351.0,0.0
EW1,17584.0,0.0
EW10,6151.0,0.0
EW11,9597.0,0.0
EW12/DT14,23734.0,0.0
EW13/NS25,18015.0,0.0
EW14/NS26,14414.0,0.0
EW15,14267.0,0.0
EW16/NE3,15625.0,0.0
EW17,15468.0,0.0
EW18,9254.0,0.0
EW19,7353.0,0.0
EW2/DT32,30195.0,0.0
EW20,8547.0,0.0
EW22,4445.0,0.0
EW23,24281.0,0.0
EW24/NS1,44203.0,0.0
EW25,4909.0,0.0
EW26,20208.0,0.0
EW27,27040.0,0.0
EW28,16117.0,0.0
EW29,9131.0,0.0
EW3,10269.0,0.0
EW30,2055.0,0.0
EW31,2151.0,0.0
EW32,2053.0,0.0
EW33,1301.0,0.0
EW4,8049.0,0.0
EW5,19695.0,0.0
EW6,5380.0,0.0
EW7,7975.0,0.0
EW8/CC9,24651.0,0.0
EW9,10889.0,0.0
NE1/CC29,19347.0,0.0
NE10,7965.0,0.0
NE11,2533.0,0.0
NE12/CC13,15552.0,0.0
NE13,12549.0,0.0
NE14,18738.0,0.0
NE15,9097.0,0.0
NE16/STC,24812.0,0.0
NE17/PTC,22717.0,0.0
NE4/DT19,24353.0,0.0
NE5,5716.0,0.0
NE7/DT12,11858.0,0.0
NE8,11882.0,0.0
NE9,13272.0,0.0
NS10,30750.0,0.0
NS11,25373.0,0.0
NS12,6794.0,0.0
NS13,32802.0,0.0
NS14,20214.0,0.0
NS15,14095.0,0.0
NS16,30824.0,0.0
NS17/CC15,11367.0,0.0
NS18,9221.0,0.0
NS19,22382.0,0.0
NS2,16601.0,0.0
NS20,19889.0,0.0
NS21/DT11,27666.0,0.0
NS22,29951.0,0.0
NS23,16458.0,0.0
NS24/NE6/CC1,17374.0,0.0
NS27/CE2,1165.0,0.0
NS28,891.0,0.0
NS3,12281.0,0.0
NS4/BP1,23097.0,0.0
NS5,19187.0,0.0
NS7,3150.0,0.0
NS8,14753.0,0.0
NS9/TE2,26023.0,0.0
PE1,2117.0,0.0
PE2,3270.0,0.0
PE3,3383.0,0.0
PE4,1015.0,0.0
PE5,3219.0,0.0
PE6,3962.0,0.0
PE7,2439.0,0.0
PW1,483.0,0.0
PW3,143.0,0.0
PW4,292.0,0.0
PW5,1378.0,0.0
PW6,770.0,0.0
PW7,1228.0,0.0
SE1,2670.0,0.0
SE2,3428.0,0.0
SE3,1881.0,0.0
SE4,2202.0,0.0
SE5,1752.0,0.0
SW1,1262.0,0.0
SW2,2099.0,0.0
SW3,1599.0,0.0
SW4,746.0,0.0
SW5,4678.0,0.0
SW6,2186.0,0.0
SW7,1719.0,0.0
SW8,1319.0,0.0
TE1,674.0,0.0
TE3,1820.0,0.0
