,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,176.3,374.3,493.1,333.9,225.9,186.5,172.3,165.3,152.6,135.1,110.5,123.0,166.6,179.6,147.1,87.8,63.7,62.4,22.9,0.0,15.1,56.3,95.5,144.9,147.9,119.7,131.1,144.0,175.1,159.6,173.8,214.7,303.8,479.7,404.2,293.5,249.9,210.0,114.8
BP10,WEEKENDS/HOLIDAY,0.0,85.3,132.7,139.4,157.5,193.6,208.0,203.9,203.6,173.4,152.3,141.0,133.1,158.6,138.7,116.5,85.4,71.6,67.6,28.6,0.3,13.8,35.0,62.2,104.2,152.7,141.9,150.2,162.0,167.9,177.5,186.5,184.0,218.3,247.6,247.3,220.7,201.3,201.6,108.6
BP11,WEEKDAY,0.0,169.7,408.6,609.5,403.9,237.9,183.1,185.5,187.9,164.5,133.4,111.9,123.4,169.4,172.0,135.1,77.3,62.7,48.1,15.4,0.0,11.6,32.4,69.1,83.1,94.1,75.4,85.1,93.5,118.8,117.2,114.9,159.0,243.5,455.8,392.8,248.6,216.2,184.0,88.9
BP11,WEEKENDS/HOLIDAY,0.0,78.9,122.8,139.4,177.4,196.8,224.4,218.6,225.2,194.6,173.1,152.8,146.5,176.8,155.3,119.5,74.0,66.1,44.7,18.5,0.0,6.3,15.4,47.1,73.3,88.0,98.3,102.7,129.6,127.6,133.5,123.5,143.9,159.8,187.1,173.5,177.4,181.0,179.4,89.8
BP12,WEEKDAY,0.0,94.9,252.1,464.8,329.3,176.0,134.8,137.6,140.3,121.2,99.1,83.4,100.3,152.0,141.5,116.0,69.9,36.8,30.0,8.5,0.0,5.0,35.2,113.6,105.0,74.5,70.5,69.3,71.9,86.8,79.0,77.4,95.4,163.4,306.9,274.5,144.6,131.0,109.2,61.2
BP12,WEEKENDS/HOLIDAY,0.0,41.7,80.7,98.2,137.7,151.4,166.2,147.2,164.0,138.1,124.5,108.8,109.2,141.4,113.9,92.1,45.8,34.1,26.5,7.7,0.0,4.6,13.7,53.4,67.9,76.4,101.7,91.9,93.2,97.3,85.8,88.8,92.3,92.4,104.7,111.0,100.5,107.6,99.5,59.4
BP13,WEEKDAY,0.0,79.2,190.0,233.6,193.2,117.9,88.2,93.0,84.1,76.3,56.6,53.4,52.3,80.5,80.6,63.4,35.0,29.4,14.8,4.4,0.0,7.4,17.7,27.1,43.0,39.8,41.8,39.0,44.6,44.0,40.4,43.2,51.5,105.0,184.9,165.1,71.2,48.2,49.3,24.7
BP13,WEEKENDS/HOLIDAY,0.0,30.1,61.8,71.9,99.5,122.7,102.5,102.9,102.1,93.6,75.7,77.5,73.5,77.5,70.5,51.3,32.8,28.2,16.5,3.3,0.0,4.6,10.9,31.0,43.8,44.5,50.5,66.6,56.9,56.2,48.4,56.2,50.2,42.9,47.2,51.9,43.7,38.8,48.2,26.7
BP2,WEEKDAY,0.0,102.8,285.0,658.2,519.4,253.6,180.8,159.3,158.6,143.5,119.7,101.3,104.0,150.4,166.1,109.3,66.8,48.0,41.4,10.0,0.0,15.2,36.5,60.9,79.7,62.5,54.8,65.2,76.1,95.5,107.3,106.1,132.8,197.6,361.5,345.7,243.4,234.1,213.8,89.0
BP2,WEEKENDS/HOLIDAY,0.0,48.7,113.1,157.7,192.6,212.3,224.2,203.1,204.6,180.4,166.7,141.3,154.6,165.8,146.2,103.2,64.7,43.5,38.5,11.7,0.0,8.6,20.7,33.4,56.8,62.9,67.7,81.3,95.3,114.0,115.8,118.2,134.4,147.8,166.0,173.3,186.0,206.9,209.8,97.3
BP3,WEEKDAY,0.0,120.6,348.4,832.3,602.7,290.7,241.0,226.1,221.5,202.5,167.8,134.6,155.0,204.3,214.3,169.4,103.9,84.5,56.9,22.9,0.0,6.2,56.7,92.0,87.5,77.5,71.2,94.7,117.3,145.0,168.1,161.0,204.0,323.4,550.2,474.0,328.6,292.2,265.3,106.9
BP3,WEEKENDS/HOLIDAY,0.0,69.9,141.6,201.1,239.5,264.4,269.5,279.1,263.7,250.0,218.0,205.1,195.4,214.4,207.7,156.5,103.0,66.5,54.7,21.8,0.0,6.5,24.2,46.3,59.9,75.4,81.4,100.9,146.4,163.7,186.7,184.4,188.3,221.0,242.3,248.7,250.7,263.2,270.8,111.5
BP4,WEEKDAY,0.0,52.9,159.6,296.1,206.2,131.3,105.8,117.9,134.8,112.6,107.3,102.3,129.3,177.5,135.2,84.6,57.9,60.2,40.9,13.5,0.0,11.4,36.0,105.4,177.7,123.3,80.2,58.3,86.5,95.7,91.3,83.5,94.9,135.9,216.2,193.0,144.0,125.6,115.5,50.9
BP4,WEEKENDS/HOLIDAY,0.0,30.2,66.9,82.4,98.4,109.1,106.5,105.5,98.8,100.4,92.7,74.3,85.9,90.5,91.0,70.1,49.9,32.2,27.1,9.7,0.0,6.8,19.0,31.8,47.4,48.3,43.1,46.0,62.4,73.8,69.3,75.3,86.6,94.0,104.0,104.2,107.5,106.7,102.1,55.6
BP5,WEEKDAY,0.0,39.6,131.4,227.4,186.3,120.9,107.1,105.4,118.2,105.3,89.8,88.9,104.6,163.9,175.3,135.3,96.0,70.6,58.6,19.6,0.0,17.4,41.2,90.2,105.8,86.4,65.0,68.1,75.3,82.6,83.8,82.0,92.0,123.8,179.0,150.8,112.5,98.1,83.7,31.0
BP5,WEEKENDS/HOLIDAY,0.0,28.2,48.2,76.1,85.6,113.8,112.7,127.3,138.0,112.0,107.9,101.1,105.5,112.2,118.0,98.5,72.7,61.9,48.0,19.4,0.0,9.7,23.9,39.9,62.9,68.8,85.3,78.8,84.2,86.1,88.9,82.3,89.8,84.1,95.7,95.8,93.5,86.3,81.8,37.9
BP6,WEEKDAY,0.0,27.3,162.1,329.1,295.4,245.4,249.0,315.8,400.1,477.9,479.7,516.1,592.5,854.0,1436.6,1369.4,914.4,840.6,707.4,248.4,0.4,430.3,793.4,1813.3,1782.5,938.2,685.8,674.3,704.5,668.5,578.3,540.6,555.2,698.7,950.6,648.0,408.2,302.0,238.7,87.6
BP6,WEEKENDS/HOLIDAY,0.0,21.9,64.6,154.6,204.9,252.9,307.5,376.9,459.2,534.8,543.7,572.3,589.8,637.8,743.4,774.3,728.9,779.6,712.5,264.5,0.0,187.3,350.9,497.2,674.3,805.4,821.4,821.5,855.5,804.6,749.0,704.3,681.2,741.1,705.0,565.1,385.8,258.2,228.0,92.6
BP7,WEEKDAY,0.0,73.7,140.6,229.6,161.1,73.5,56.1,56.0,51.8,48.2,39.9,38.3,47.8,64.8,72.0,57.0,36.6,23.8,18.0,5.0,0.0,19.8,26.5,38.7,41.2,44.3,41.3,44.2,50.1,50.8,64.0,65.0,73.9,103.8,175.3,139.8,107.4,85.6,88.5,36.4
BP7,WEEKENDS/HOLIDAY,0.0,25.8,29.1,39.5,52.7,65.7,61.6,58.8,56.4,60.2,42.2,47.4,46.3,52.3,45.8,41.6,27.2,21.3,14.2,4.4,0.0,10.4,15.4,22.8,30.8,38.0,40.4,53.4,58.7,61.7,64.2,65.3,61.9,60.1,66.7,70.7,69.6,70.7,69.9,35.9
BP8,WEEKDAY,0.0,88.3,183.9,237.2,151.8,101.2,79.8,80.0,88.4,94.0,91.6,88.0,105.9,171.0,234.1,179.3,122.0,104.7,81.5,25.5,0.0,43.1,137.2,220.1,194.7,108.5,63.3,58.3,65.2,77.9,71.1,70.8,85.9,129.2,210.6,180.7,124.0,100.3,89.0,41.9
