ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
BP10,BP11,123.0,589
BP10,BP12,153.0,589
BP10,BP13,108.0,589
BP10,BP2,49.0,589
BP10,BP3,79.0,589
BP10,BP4,88.0,589
BP10,BP5,134.0,589
BP10,BP6,1291.0,589
BP10,BP7,135.0,589
BP10,BP8,469.0,589
BP10,BP9,272.0,589
BP10,CC1-NE6-NS24,0.0,9
BP10,CC10,0.0,53
BP10,CC11,0.0,44
BP10,CC12,0.0,22
BP10,CC14,0.0,88
BP10,CC16,1.0,110
BP10,CC17,0.0,22
BP10,CC19,0.0,80
BP10,CC2,0.0,22
BP10,CC20,0.0,88
BP10,CC21,0.0,27
BP10,CC23,1.0,172
BP10,CC24,3.0,358
BP10,CC25,0.0,62
BP10,CC26,0.0,84
BP10,CC27,1.0,75
BP10,CC28,0.0,66
BP10,CC4-DT15,0.0,62
BP10,CC6,0.0,62
BP10,CC7,0.0,44
BP10,CC8,0.0,22
BP10,CE1,0.0,168
BP10,CG1,0.0,62
BP10,CG2,1.0,212
BP10,DT1,0.0,53
BP10,DT10,0.0,93
BP10,DT11,1.0,248
BP10,DT13,0.0,172
BP10,DT17,0.0,106
BP10,DT18,0.0,97
BP10,DT2,0.0,53
BP10,DT27,0.0,22
BP10,DT3,0.0,40
BP10,DT30,0.0,44
BP10,DT31,0.0,22
BP10,DT32,0.0,62
BP10,DT5,1.0,292
BP10,DT6,1.0,119
BP10,DT7,1.0,84
BP10,DT8,0.0,128
BP10,EW1,0.0,111
BP10,EW10,0.0,9
BP10,EW11,1.0,239
BP10,EW12,1.0,248
BP10,EW13-NS25,2.0,248
BP10,EW14-NS26,1.0,84
BP10,EW15,2.0,340
BP10,EW16,1.0,512
BP10,EW17,4.0,491
BP10,EW18,5.0,478
BP10,EW19,6.0,456
BP10,EW2,1.0,172
BP10,EW20,7.0,443
BP10,EW21,7.0,641
BP10,EW22,30.0,491
BP10,EW23,33.0,558
BP10,EW24-NS1,228.0,580
BP10,EW25,3.0,345
BP10,EW26,17.0,558
BP10,EW27,55.0,558
BP10,EW28,22.0,558
BP10,EW29,33.0,518
BP10,EW3,0.0,31
BP10,EW30,9.0,283
