PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
BP10,4018.0,4045.0,611
BP11,4226.0,3618.0,589
BP12,3512.0,3116.0,589
BP13,1995.0,1775.0,589
BP2,3805.0,2992.0,589
BP3,4723.0,3992.0,589
BP4,4000.0,3834.0,589
BP5,2467.0,1877.0,611
BP6,12339.0,15123.0,620
BP7,1748.0,1568.0,589
BP8,2939.0,2770.0,611
BP9,3160.0,3086.0,589
CC1-NE6-NS24,33681.0,31962.0,620
CC10,15208.0,14275.0,1240
CC11,16421.0,16702.0,620
CC12,6196.0,5309.0,620
CC14,7063.0,6600.0,620
CC16,9906.0,9447.0,620
CC17,3762.0,3590.0,620
CC19,7303.0,7891.0,1240
CC2,5636.0,6179.0,620
CC20,5239.0,5234.0,620
CC21,7954.0,8536.0,620
CC23,12923.0,12754.0,620
CC24,19635.0,19423.0,620
CC25,7023.0,6411.0,620
CC26,5139.0,5322.0,620
CC27,6155.0,6186.0,620
CC28,3632.0,3824.0,620
CC3,8046.0,7816.0,620
CC4-DT15,17238.0,17904.0,620
CC5,4755.0,4910.0,620
CC6,8693.0,8884.0,620
CC7,6991.0,7319.0,620
CC8,7895.0,6951.0,620
CE1,29067.0,28486.0,1240
CG1,16340.0,17019.0,1240
CG2,21838.0,21269.0,620
DT1,28484.0,27691.0,620
DT10,4805.0,3943.0,620
DT11,27327.0,28366.0,620
DT13,9662.0,10044.0,620
DT17,18489.0,19053.0,620
DT18,14616.0,15666.0,620
DT2,2622.0,1955.0,620
DT20,6702.0,7651.0,620
DT21,7168.0,7309.0,620
DT22,7603.0,8208.0,620
DT23,4022.0,4051.0,620
DT24,4922.0,4668.0,620
DT25,3724.0,3784.0,620
DT27,7328.0,7110.0,620
DT28,10261.0,9695.0,620
DT29,6735.0,6081.0,620
DT3,7327.0,6345.0,620
DT30,7090.0,6744.0,620
DT31,7547.0,8034.0,620
DT32,19663.0,21180.0,620
DT33,16853.0,15704.0,620
DT34,4580.0,4200.0,620
DT5,13011.0,12742.0,620
DT6,7206.0,6319.0,620
DT7,3658.0,4513.0,620
DT8,4349.0,4224.0,620
EW1,30439.0,28906.0,620
EW10,12082.0,12333.0,620
EW11,19029.0,19373.0,620
EW12,52484.0,55610.0,1240
EW13-NS25,42135.0,43003.0,620
EW14-NS26,47545.0,47094.0,620
EW15,38734.0,40759.0,620
EW16,26301.0,26285.0,1240
EW17,26453.0,27554.0,620
EW18,16798.0,17205.0,620
EW19,13879.0,12967.0,620
EW2,31533.0,32314.0,620
EW20,14707.0,14159.0,620
EW21,24833.0,23242.0,1240
EW22,12280.0,12572.0,620
EW23,43544.0,44188.0,620
EW24-NS1,76041.0,80273.0,620
EW25,9291.0,8145.0,620
EW26,32324.0,27904.0,620
EW27,47947.0,54200.0,620
EW28,29923.0,22604.0,620
EW29,16194.0,16635.0,620
EW3,16931.0,17220.0,620
EW30,3310.0,2803.0,620
EW31,3857.0,3133.0,620
EW32,3626.0,3732.0,620
EW33,3354.0,3590.0,620
EW4,16199.0,14543.0,620
EW5,33209.0,32630.0,620
EW6,10618.0,12159.0,620
EW7,14004.0,16089.0,620
EW8,42789.0,43693.0,1240
EW9,22102.0,21796.0,620
NE1,46815.0,48941.0,1240
NE10,13965.0,14042.0,620
NE11,5323.0,4949.0,620
NE12,55040.0,56874.0,1240
NE13,20008.0,19943.0,620
NE14,30273.0,28706.0,620
NE15,15915.0,14787.0,620
NE16-STC,41179.0,42314.0,620
NE17-PTC,36985.0,35583.0,620
NE4,52495.0,52675.0,1240
NE5,14233.0,15997.0,620
NE7,30311.0,33188.0,1240
NE8,28955.0,31444.0,620
NE9,22024.0,19520.0,620
NS10,45317.0,39103.0,620
NS11,41868.0,40977.0,620
NS13,53932.0,56562.0,620
NS14,31890.0,27843.0,620
NS15,26002.0,25406.0,620
NS16,48524.0,52043.0,620
NS17,45432.0,43352.0,1240
NS18,14607.0,13230.0,620
NS19,37158.0,38862.0,620
NS2,26032.0,26941.0,620
NS20,36444.0,36559.0,620
NS21,28731.0,30836.0,620
NS22,56434.0,60741.0,620
NS23,32283.0,34833.0,620
NS27,5331.0,5595.0,1218
NS28,2142.0,2004.0,620
NS3,18147.0,17004.0,620
NS4,36823.0,39559.0,1209
NS5,29908.0,28342.0,620
NS7,21372.0,19758.0,620
NS8,24109.0,19007.0,620
NS9,42270.0,51987.0,620
PE1,3317.0,3250.0,620
PE2,5082.0,4745.0,620
PE3,5338.0,5417.0,620
PE4,1379.0,1325.0,620
PE5,4986.0,4640.0,620
PE6,5903.0,5631.0,620
PE7,3683.0,3505.0,620
PW1,713.0,750.0,620
PW3,715.0,722.0,620
PW4,531.0,532.0,620
PW5,2848.0,3259.0,620
PW6,1073.0,937.0,620
PW7,2001.0,2133.0,620
SE1,3956.0,3941.0,620
SE2,5200.0,4811.0,620
SE3,2972.0,2776.0,620
SE4,3409.0,3224.0,620
SE5,2517.0,2524.0,620
SW1,1865.0,1929.0,620
SW2,3533.0,3253.0,620
SW3,2096.0,2015.0,620
SW4,1205.0,1187.0,620
SW5,7039.0,6533.0,620
SW6,3237.0,3055.0,620
SW7,2552.0,2279.0,620
SW8,1917.0,1874.0,620
