,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,182.0,565.1,664.9,402.0,235.2,176.5,155.8,153.0,162.3,139.1,112.0,131.2,167.9,185.0,155.0,89.5,64.4,52.6,20.7,0.0,15.0,90.0,174.6,153.2,141.0,122.2,137.4,162.7,202.9,195.9,212.6,260.7,350.0,561.7,475.2,308.8,256.4,222.6,110.3
BP10,WEEKENDS/HOLIDAY,0.0,73.4,120.1,114.0,147.1,185.5,191.2,195.0,207.2,183.9,177.9,145.6,147.7,151.3,142.8,115.4,85.6,73.9,62.1,25.9,0.0,9.7,31.8,63.0,99.8,145.6,151.8,168.0,197.4,190.8,181.6,187.9,196.2,218.8,236.5,216.5,228.5,200.2,182.9,100.9
BP11,WEEKDAY,0.0,189.0,642.0,788.0,462.7,242.0,176.6,149.1,148.3,152.8,120.3,119.2,119.9,183.2,187.3,129.9,77.5,60.9,44.0,13.7,0.0,13.0,61.4,166.0,92.1,94.8,74.9,86.0,106.5,138.4,147.8,151.4,179.5,293.4,518.6,455.4,269.9,214.0,173.8,84.1
BP11,WEEKENDS/HOLIDAY,0.0,68.7,114.7,134.0,169.4,193.3,199.9,205.0,204.0,176.5,167.6,145.3,130.1,185.1,154.8,107.3,79.5,58.4,47.5,12.3,0.0,4.3,11.1,46.5,67.7,87.3,87.0,121.1,131.1,136.8,133.7,122.2,146.2,156.1,167.9,167.4,162.6,152.1,153.8,77.9
BP12,WEEKDAY,0.0,105.1,397.2,630.5,386.2,185.2,152.4,115.0,153.7,203.9,205.3,156.0,129.3,222.0,190.1,109.4,63.4,39.7,25.1,8.5,0.0,6.3,122.8,472.9,129.4,65.0,61.8,65.6,74.2,98.9,114.1,101.5,115.8,191.1,339.5,322.0,158.7,118.7,100.3,55.5
BP12,WEEKENDS/HOLIDAY,0.0,36.6,67.3,97.1,124.0,134.8,135.9,157.8,144.6,133.0,118.5,105.8,110.9,135.5,107.5,84.3,52.6,44.8,36.1,9.5,0.0,3.5,11.7,42.9,69.2,80.1,79.8,93.8,98.3,96.7,89.6,87.2,85.0,92.6,96.3,101.2,93.6,90.1,85.1,49.8
BP13,WEEKDAY,0.0,86.8,283.4,306.4,216.8,115.0,78.5,70.8,68.0,72.0,53.0,49.6,49.3,86.8,84.0,60.8,31.2,27.5,13.7,5.0,0.0,10.2,26.4,70.5,46.0,42.7,40.1,41.0,44.5,66.5,56.6,55.6,55.7,118.2,208.0,174.1,69.6,47.6,43.2,19.6
BP13,WEEKENDS/HOLIDAY,0.0,26.3,49.3,59.6,91.8,110.4,98.5,103.1,110.7,94.6,77.3,73.1,70.9,82.6,70.7,50.1,32.1,26.9,18.9,6.2,0.0,4.1,8.4,26.5,38.4,47.4,63.3,63.7,66.6,61.0,57.1,56.8,54.0,45.1,48.1,43.8,52.0,35.1,41.5,17.8
BP2,WEEKDAY,0.0,125.5,469.5,854.4,595.3,275.8,171.8,150.7,143.3,175.6,114.0,101.5,118.1,165.0,171.2,109.5,68.6,46.6,39.5,11.9,0.0,17.3,71.0,115.6,93.5,63.0,59.0,69.2,89.0,121.7,136.4,153.0,173.5,239.3,429.5,405.7,260.4,244.2,213.6,86.3
BP2,WEEKENDS/HOLIDAY,0.0,50.8,100.0,150.2,181.2,190.3,206.9,213.1,196.1,185.3,168.8,150.0,138.1,161.6,144.8,111.3,75.1,46.0,39.2,10.8,0.0,9.2,18.3,36.0,48.6,73.2,80.0,95.9,101.8,124.1,127.1,134.4,145.5,147.7,163.7,170.5,187.7,180.3,185.2,78.4
BP3,WEEKDAY,0.0,131.0,622.2,1002.1,678.3,310.0,205.5,189.4,191.4,161.0,142.4,136.9,167.4,227.4,217.4,172.5,97.9,84.0,63.2,21.5,0.0,8.3,57.1,143.7,112.5,85.6,75.3,101.6,118.4,170.0,233.7,218.1,253.7,367.4,632.0,592.3,353.2,303.0,258.3,100.2
BP3,WEEKENDS/HOLIDAY,0.0,65.7,127.6,182.2,220.7,255.6,265.0,264.1,265.6,235.5,208.8,207.0,196.9,225.5,204.5,145.3,109.1,78.9,63.1,20.6,0.0,4.1,25.0,52.2,61.4,77.6,94.7,124.0,144.8,177.7,196.2,190.6,200.8,221.6,250.8,241.9,253.3,257.7,216.8,97.5
BP4,WEEKDAY,0.0,56.2,246.7,376.7,235.1,156.4,132.7,310.1,358.0,222.6,240.8,413.4,560.2,567.4,209.8,126.2,102.1,102.9,51.6,16.4,0.0,14.8,47.4,536.8,885.0,507.4,216.9,132.5,247.8,225.3,156.4,134.7,145.5,180.4,285.2,243.4,158.3,141.0,110.9,46.3
BP4,WEEKENDS/HOLIDAY,0.0,29.2,65.5,78.4,94.6,105.4,103.5,113.6,108.6,96.7,94.7,87.5,85.5,100.8,93.9,75.1,60.6,41.9,26.8,9.6,0.0,6.0,14.8,39.1,47.6,47.8,48.6,55.9,69.5,80.2,82.3,86.6,91.6,91.7,109.4,107.0,110.4,106.4,108.7,45.1
BP5,WEEKDAY,0.0,47.6,245.4,330.4,194.4,125.4,95.9,98.8,116.8,106.6,98.3,106.0,117.4,178.3,189.0,138.0,88.7,74.0,53.3,15.5,0.0,21.5,89.9,136.6,111.8,72.6,61.2,62.0,71.7,85.8,100.7,93.5,108.1,141.6,200.7,178.8,116.6,103.0,83.5,30.8
BP5,WEEKENDS/HOLIDAY,0.0,25.9,42.9,63.9,92.0,104.5,110.5,126.8,133.8,121.5,104.6,110.0,104.4,116.1,123.7,90.6,78.0,61.0,54.5,15.8,0.0,10.2,22.4,39.9,55.2,62.7,72.9,78.8,89.0,86.7,87.4,84.8,81.7,86.5,92.1,88.3,86.3,81.8,72.3,28.2
BP6,WEEKDAY,0.0,26.7,293.4,578.5,422.3,298.0,263.5,301.9,443.5,508.0,569.5,606.4,691.0,1014.9,1779.7,1722.4,1016.2,856.5,704.8,235.1,0.1,487.7,1329.8,2519.7,2053.4,1040.4,678.8,657.9,673.2,673.3,661.1,642.4,647.0,829.5,1026.2,667.4,395.7,312.0,227.3,77.9
BP6,WEEKENDS/HOLIDAY,0.0,24.3,65.7,175.2,219.4,262.0,305.6,401.3,485.3,574.5,603.4,604.7,640.4,657.3,745.7,748.8,739.7,721.7,658.7,221.1,0.4,180.2,338.7,481.1,628.1,778.3,799.0,813.5,810.7,805.0,735.6,688.5,665.9,756.7,715.8,559.1,384.6,277.2,224.0,92.2
BP7,WEEKDAY,0.0,76.3,217.6,290.3,176.9,65.4,41.0,38.9,51.3,44.4,47.9,39.8,43.0,71.6,79.2,57.0,37.7,21.6,16.4,4.8,0.0,22.6,40.5,81.7,49.2,39.0,34.7,36.8,47.8,55.5,72.6,67.5,86.9,112.1,192.5,154.4,103.3,84.1,78.0,33.6
BP7,WEEKENDS/HOLIDAY,0.0,17.2,20.5,34.0,47.8,49.0,56.0,57.8,55.1,52.2,41.4,41.9,43.2,48.0,47.9,37.6,31.7,24.3,16.6,5.2,0.0,7.1,9.7,18.9,28.2,35.2,39.5,55.5,65.5,62.1,70.2,63.6,63.1,63.7,77.9,67.6,66.6,69.1,63.5,27.8
BP8,WEEKDAY,0.0,90.5,279.5,350.0,161.1,92.1,70.1,71.6,91.2,139.0,96.1,99.8,117.2,190.7,255.0,198.5,118.7,100.1,94.0,24.3,0.0,49.4,204.9,298.5,202.6,102.9,56.3,56.4,70.9,87.3,83.3,90.5,101.9,159.8,246.1,207.7,130.0,101.2,82.8,40.4
