,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ORIGIN_PT_CODE,DESTINATION_PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,
BP10,BP11,WEEKDAY,,0.2,1.0,6.0,5.2,8.0,7.1,8.7,6.4,6.5,7.0,6.7,5.7,6.9,9.7,10.0,5.5,4.5,1.2,1.5
BP10,BP11,WEEKENDS/HOLIDAY,,0.2,0.2,1.3,3.7,6.8,8.0,8.9,7.6,5.1,6.3,2.8,7.0,5.2,6.2,4.0,4.4,2.3,2.6,2.0
BP10,BP12,WEEKDAY,,1.7,15.4,34.1,10.5,7.6,10.2,9.9,9.7,8.1,9.1,5.0,5.8,6.5,7.6,9.7,7.0,3.7,1.6,0.7
BP10,BP12,WEEKENDS/HOLIDAY,,0.2,1.1,3.7,6.0,9.7,12.4,9.9,8.9,5.9,5.3,5.6,4.9,3.0,3.5,5.5,4.9,2.3,2.4,0.9
BP10,BP13,WEEKDAY,,2.7,5.4,7.0,9.0,9.0,8.6,7.0,7.0,5.1,4.3,4.7,6.9,7.1,10.4,7.0,5.0,2.9,2.5,1.7
BP10,BP13,WEEKENDS/HOLIDAY,,1.1,2.4,5.4,4.9,8.5,11.0,6.7,7.2,6.1,5.5,4.2,5.0,5.4,3.6,5.2,4.2,2.3,2.7,1.6
BP10,BP2,WEEKDAY,,1.1,4.9,2.8,2.0,1.7,1.8,1.9,1.8,3.8,2.3,1.9,4.4,2.1,2.1,2.7,3.5,3.5,3.5,1.7
BP10,BP2,WEEKENDS/HOLIDAY,,0.4,1.1,1.9,2.0,2.3,3.1,2.3,4.4,3.2,3.8,2.4,3.2,2.6,3.0,1.9,1.8,6.2,4.4,1.6
BP10,BP3,WEEKDAY,,1.9,7.5,8.9,3.4,3.2,2.6,3.4,3.4,9.3,6.8,4.5,5.5,5.8,7.3,4.3,4.0,3.1,2.6,0.4
