,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,133.0,284.0,360.0,252.0,189.0,190.0,166.0,170.0,145.0,124.0,112.0,132.0,165.0,168.0,117.0,79.0,64.0,45.0,19.0
WEEKDAY,BP10,BP9,,63.0,84.0,103.0,102.0,51.0,12.0,10.0,12.0,8.0,9.0,7.0,11.0,47.0,51.0,43.0,8.0,4.0,4.0,
WEEKDAY,BP11,BP10,,33.0,52.0,68.0,82.0,39.0,8.0,6.0,8.0,5.0,4.0,4.0,6.0,36.0,35.0,28.0,4.0,2.0,2.0,
WEEKDAY,BP11,BP12,,269.0,589.0,774.0,505.0,364.0,325.0,294.0,300.0,256.0,215.0,174.0,193.0,252.0,257.0,167.0,108.0,92.0,56.0,23.0
WEEKDAY,BP12,BP11,,21.0,51.0,83.0,106.0,72.0,38.0,47.0,70.0,74.0,84.0,94.0,131.0,268.0,306.0,238.0,175.0,140.0,92.0,22.0
WEEKDAY,BP12,BP13,,348.0,796.0,1066.0,698.0,466.0,399.0,383.0,380.0,338.0,276.0,221.0,253.0,346.0,329.0,193.0,117.0,100.0,58.0,22.0
WEEKDAY,BP13,BP12,,18.0,61.0,116.0,139.0,88.0,62.0,71.0,104.0,112.0,125.0,140.0,188.0,405.0,491.0,365.0,241.0,198.0,137.0,35.0
WEEKDAY,BP13,DT1,,423.0,941.0,1209.0,795.0,527.0,452.0,439.0,429.0,386.0,311.0,251.0,281.0,388.0,366.0,212.0,121.0,109.0,60.0,22.0
WEEKDAY,BP2,BP3,,271.0,630.0,1320.0,1231.0,882.0,708.0,699.0,810.0,769.0,697.0,727.0,859.0,1570.0,1641.0,923.0,722.0,603.0,391.0,54.0
WEEKDAY,BP2,NS4,5.0,467.0,1431.0,1843.0,1039.0,665.0,625.0,744.0,787.0,746.0,740.0,777.0,928.0,1241.0,1270.0,798.0,611.0,608.0,460.0,158.0
WEEKDAY,BP3,BP2,5.0,436.0,1322.0,1640.0,929.0,606.0,589.0,707.0,756.0,720.0,737.0,797.0,945.0,1288.0,1372.0,889.0,687.0,696.0,531.0,181.0
WEEKDAY,BP3,BP4,,314.0,704.0,1496.0,1367.0,960.0,763.0,743.0,840.0,778.0,682.0,692.0,822.0,1459.0,1510.0,819.0,625.0,528.0,344.0,54.0
WEEKDAY,BP4,BP3,5.0,371.0,1148.0,1365.0,765.0,523.0,517.0,630.0,695.0,681.0,722.0,790.0,949.0,1319.0,1451.0,976.0,763.0,769.0,584.0,195.0
WEEKDAY,BP4,BP5,,331.0,728.0,1471.0,1289.0,887.0,758.0,771.0,818.0,769.0,703.0,737.0,872.0,1484.0,1488.0,794.0,601.0,505.0,324.0,49.0
WEEKDAY,BP5,BP4,5.0,355.0,1095.0,1336.0,813.0,543.0,498.0,571.0,664.0,668.0,664.0,695.0,832.0,1249.0,1482.0,1022.0,803.0,805.0,611.0,205.0
WEEKDAY,BP5,DT1,,336.0,745.0,1520.0,1324.0,924.0,799.0,805.0,854.0,799.0,727.0,754.0,892.0,1509.0,1512.0,818.0,621.0,507.0,330.0,61.0
WEEKDAY,BP7,BP8,,35.0,107.0,214.0,238.0,178.0,155.0,168.0,202.0,223.0,229.0,272.0,342.0,540.0,593.0,415.0,334.0,278.0,217.0,70.0
WEEKDAY,BP7,DT1,,199.0,345.0,455.0,256.0,154.0,135.0,141.0,137.0,125.0,104.0,91.0,95.0,160.0,188.0,123.0,65.0,34.0,27.0,3.0
WEEKDAY,BP8,BP7,,153.0,255.0,312.0,208.0,138.0,126.0,131.0,126.0,114.0,96.0,82.0,90.0,139.0,165.0,115.0,61.0,33.0,27.0,2.0
