DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKENDS/HOLIDAY,BP8,2371,2226
WEEKENDS/HOLIDAY,BP9,2826,2827
WEEKENDS/HOLIDAY,CC1-NE6-NS24,34406,33423
WEEKENDS/HOLIDAY,CC10,10472,9748
WEEKENDS/HOLIDAY,CC11,8840,8595
WEEKENDS/HOLIDAY,CC12,3896,3529
WEEKENDS/HOLIDAY,CC14,4736,4535
WEEKENDS/HOLIDAY,CC16,6428,6372
WEEKENDS/HOLIDAY,CC17,2079,2160
WEEKENDS/HOLIDAY,CC19,7021,7775
WEEKENDS/HOLIDAY,CC2,3598,3855
WEEKENDS/HOLIDAY,CC20,4021,3976
WEEKENDS/HOLIDAY,CC21,7086,7432
WEEKENDS/HOLIDAY,CC23,3126,3116
WEEKENDS/HOLIDAY,CC24,6381,6337
WEEKENDS/HOLIDAY,CC25,4927,4461
WEEKENDS/HOLIDAY,CC26,2750,2885
WEEKENDS/HOLIDAY,CC27,1649,1784
WEEKENDS/HOLIDAY,CC28,2854,2710
WEEKENDS/HOLIDAY,CC3,9823,9316
WEEKENDS/HOLIDAY,CC4-DT15,13999,14846
WEEKENDS/HOLIDAY,CC5,3992,4108
WEEKENDS/HOLIDAY,CC6,15951,15241
WEEKENDS/HOLIDAY,CC7,5567,6004
WEEKENDS/HOLIDAY,CC8,6102,5865
WEEKENDS/HOLIDAY,CE1,38425,36922
WEEKENDS/HOLIDAY,CG1,13138,13650
WEEKENDS/HOLIDAY,CG2,36407,35574
WEEKENDS/HOLIDAY,DT1,25102,23830
WEEKENDS/HOLIDAY,DT10,3255,2633
WEEKENDS/HOLIDAY,DT11,25012,24467
WEEKENDS/HOLIDAY,DT13,8040,8645
WEEKENDS/HOLIDAY,DT17,4086,4019
WEEKENDS/HOLIDAY,DT18,4057,4503
WEEKENDS/HOLIDAY,DT2,1603,1272
WEEKENDS/HOLIDAY,DT20,4904,5492
WEEKENDS/HOLIDAY,DT21,5367,5372
WEEKENDS/HOLIDAY,DT22,8428,9084
WEEKENDS/HOLIDAY,DT23,2091,2181
WEEKENDS/HOLIDAY,DT24,3638,3630
WEEKENDS/HOLIDAY,DT25,2643,2617
WEEKENDS/HOLIDAY,DT27,5051,4831
WEEKENDS/HOLIDAY,DT28,7760,7353
WEEKENDS/HOLIDAY,DT29,4844,4474
WEEKENDS/HOLIDAY,DT3,6121,5198
WEEKENDS/HOLIDAY,DT30,5451,5122
WEEKENDS/HOLIDAY,DT31,5328,5520
WEEKENDS/HOLIDAY,DT32,16012,16476
WEEKENDS/HOLIDAY,DT33,12366,11593
WEEKENDS/HOLIDAY,DT34,2867,2718
WEEKENDS/HOLIDAY,DT5,11543,11458
WEEKENDS/HOLIDAY,DT6,4183,3890
WEEKENDS/HOLIDAY,DT7,2726,3010
WEEKENDS/HOLIDAY,DT8,2590,2631
WEEKENDS/HOLIDAY,EW1,24896,24136
WEEKENDS/HOLIDAY,EW10,12429,12663
WEEKENDS/HOLIDAY,EW11,15971,16044
WEEKENDS/HOLIDAY,EW12,56269,58168
WEEKENDS/HOLIDAY,EW13-NS25,40757,40843
WEEKENDS/HOLIDAY,EW14-NS26,14834,15174
WEEKENDS/HOLIDAY,EW15,15346,16239
WEEKENDS/HOLIDAY,EW16,14995,14607
WEEKENDS/HOLIDAY,EW17,20926,22067
WEEKENDS/HOLIDAY,EW18,12035,12217
WEEKENDS/HOLIDAY,EW19,10340,10236
WEEKENDS/HOLIDAY,EW2,29513,29058
WEEKENDS/HOLIDAY,EW20,11249,10956
WEEKENDS/HOLIDAY,EW21,14580,13846
WEEKENDS/HOLIDAY,EW22,4435,4806
WEEKENDS/HOLIDAY,EW23,34336,33848
WEEKENDS/HOLIDAY,EW24-NS1,69231,71944
WEEKENDS/HOLIDAY,EW25,9576,8976
WEEKENDS/HOLIDAY,EW26,26311,23466
WEEKENDS/HOLIDAY,EW27,42087,45810
WEEKENDS/HOLIDAY,EW28,22588,18040
WEEKENDS/HOLIDAY,EW29,10661,10972
WEEKENDS/HOLIDAY,EW3,14362,14474
WEEKENDS/HOLIDAY,EW30,2107,1710
WEEKENDS/HOLIDAY,EW31,2534,1944
WEEKENDS/HOLIDAY,EW32,2436,2623
WEEKENDS/HOLIDAY,EW33,2939,3222
WEEKENDS/HOLIDAY,EW4,13112,12311
WEEKENDS/HOLIDAY,EW5,29757,29202
WEEKENDS/HOLIDAY,EW6,9471,9973
WEEKENDS/HOLIDAY,EW7,12829,14112
WEEKENDS/HOLIDAY,EW8,40733,44561
WEEKENDS/HOLIDAY,EW9,21968,21662
WEEKENDS/HOLIDAY,NE1,48461,47751
WEEKENDS/HOLIDAY,NE10,10964,10765
WEEKENDS/HOLIDAY,NE11,3636,3402
WEEKENDS/HOLIDAY,NE12,49541,50907
WEEKENDS/HOLIDAY,NE13,19020,18584
WEEKENDS/HOLIDAY,NE14,25027,23551
WEEKENDS/HOLIDAY,NE15,12688,12258
WEEKENDS/HOLIDAY,NE16-STC,35614,36294
WEEKENDS/HOLIDAY,NE17-PTC,34668,33490
WEEKENDS/HOLIDAY,NE4,49352,49920
WEEKENDS/HOLIDAY,NE5,10340,12254
WEEKENDS/HOLIDAY,NE7,29773,32947
WEEKENDS/HOLIDAY,NE8,33829,36747
WEEKENDS/HOLIDAY,NE9,17443,15222
WEEKENDS/HOLIDAY,NS10,24316,21630
WEEKENDS/HOLIDAY,NS11,24928,24338
WEEKENDS/HOLIDAY,NS13,45802,47920
WEEKENDS/HOLIDAY,NS14,21410,18518
WEEKENDS/HOLIDAY,NS15,12209,10966
WEEKENDS/HOLIDAY,NS16,42774,44969
WEEKENDS/HOLIDAY,NS17,36629,35168
WEEKENDS/HOLIDAY,NS18,11318,10408
WEEKENDS/HOLIDAY,NS19,31600,32529
WEEKENDS/HOLIDAY,NS2,21172,21543
WEEKENDS/HOLIDAY,NS20,26721,26254
WEEKENDS/HOLIDAY,NS21,24445,27561
WEEKENDS/HOLIDAY,NS22,65516,68594
WEEKENDS/HOLIDAY,NS23,31941,33326
WEEKENDS/HOLIDAY,NS27,1736,2671
WEEKENDS/HOLIDAY,NS28,2096,1965
WEEKENDS/HOLIDAY,NS3,15160,14431
WEEKENDS/HOLIDAY,NS4,30686,31920
WEEKENDS/HOLIDAY,NS5,23366,22668
WEEKENDS/HOLIDAY,NS7,20723,17914
WEEKENDS/HOLIDAY,NS8,17188,13968
WEEKENDS/HOLIDAY,NS9,40367,45334
WEEKENDS/HOLIDAY,PE1,2976,2928
WEEKENDS/HOLIDAY,PE2,4246,3994
WEEKENDS/HOLIDAY,PE3,4778,4767
WEEKENDS/HOLIDAY,PE4,1498,1516
WEEKENDS/HOLIDAY,PE5,4050,3766
WEEKENDS/HOLIDAY,PE6,5325,5056
WEEKENDS/HOLIDAY,PE7,3197,2946
