PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,4191,4174
BP11,4445,3776
BP12,3882,3393
BP13,2130,1855
BP2,4080,3189
BP3,4913,4142
BP4,4339,4058
BP5,2549,1963
BP6,13074,16283
BP7,1857,1652
BP8,3063,2859
BP9,3425,3370
CC1-NE6-NS24,35760,34464
CC10,15610,14617
CC11,17011,17169
CC12,6272,5332
CC14,7560,7110
CC16,10516,10024
CC17,3746,3730
CC19,7048,7628
CC2,4674,5037
CC20,5542,5430
CC21,8486,9216
CC23,13670,13443
CC24,16743,16469
CC25,6899,6407
CC26,4988,5134
CC27,6693,6719
CC28,3720,3939
CC3,8654,8291
CC4-DT15,18522,19341
CC5,4811,5031
CC6,11517,11538
CC7,7311,7599
CC8,8394,7466
CE1,30018,29488
CG1,17932,18350
CG2,28501,28164
DT1,30289,29360
DT10,5140,4118
DT11,29327,30725
DT13,9097,9519
DT17,20621,21048
DT18,15894,16887
DT2,2740,2116
DT20,6636,7362
DT21,6731,6753
DT22,7414,7868
DT23,4101,4166
DT24,4982,4755
DT25,3683,3756
DT27,7375,7114
DT28,10483,9826
DT29,6699,6082
DT3,7831,6685
DT30,7280,6996
DT31,7749,8144
DT32,20092,21658
DT33,17342,16171
DT34,4504,4155
DT5,13512,13354
DT6,7254,6176
DT7,3796,4649
DT8,4721,4544
EW1,31316,29632
EW10,12295,12506
EW11,19898,19944
EW12,55460,57148
EW13-NS25,41347,42347
EW14-NS26,50965,50235
EW15,40662,42679
EW16,26964,26350
EW17,27042,28185
EW18,17746,18062
EW19,14320,13404
EW2,32609,32890
EW20,15272,14724
EW21,25588,23899
EW22,15027,15121
EW23,43684,44270
EW24-NS1,77039,81440
EW25,10005,8787
EW26,32794,28636
EW27,47684,54489
EW28,29078,21924
EW29,16179,16199
EW3,17744,17946
EW30,3053,2591
EW31,3599,2942
EW32,3310,3288
EW33,3218,3453
EW4,17368,15746
EW5,34260,33589
EW6,11301,12823
EW7,14572,16803
EW8,42169,45396
EW9,23360,22758
NE1,46673,46253
NE10,14436,14509
NE11,5346,4975
NE12,57648,59552
NE13,20701,20781
NE14,30856,29334
NE15,16300,15235
NE16-STC,41751,42884
NE17-PTC,37908,36484
NE4,52994,53066
NE5,14275,16135
NE7,28258,30317
NE8,28707,31360
NE9,22043,19487
NS10,41512,36265
NS11,39353,38432
NS13,55965,58860
NS14,30937,26997
NS15,29206,27138
NS16,50401,53748
NS17,47345,45467
NS18,15083,13643
NS19,38499,40062
NS2,26511,27117
NS20,37973,37710
NS21,30873,33225
NS22,59236,63538
NS23,33467,35917
NS27,5470,5474
NS28,1752,1789
NS3,18171,17192
NS4,37978,40174
NS5,30716,28991
NS7,20900,19067
NS8,23954,18883
NS9,47785,57157
PE1,3521,3505
PE2,5367,4969
PE3,5626,5696
PE4,1558,1517
PE5,5211,4866
PE6,6059,5798
PE7,3779,3568
PW1,685,685
PW3,632,632
PW4,466,475
PW5,2649,2965
PW6,1079,897
PW7,1967,2086
SE1,4270,4261
SE2,5515,5089
SE3,3142,2905
SE4,3581,3371
SE5,2736,2727
SW1,1884,1933
SW2,3745,3453
SW3,2143,2050
SW4,861,807
SW5,7376,6779
SW6,3464,3275
SW7,2843,2573
SW8,2080,2009
