DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
WEEKDAY,BP10,4673.0,4756.0,22
WEEKDAY,BP11,5042.0,4362.0,22
WEEKDAY,BP12,4539.0,4030.0,22
WEEKDAY,BP13,2354.0,2116.0,22
WEEKDAY,BP14,37.0,28.0,22
WEEKDAY,BP2,4571.0,3656.0,22
WEEKDAY,BP3,5510.0,4686.0,22
WEEKDAY,BP4,5678.0,5460.0,22
WEEKDAY,BP5,2957.0,2237.0,22
WEEKDAY,BP6,15052.0,18414.0,22
WEEKDAY,BP7,2180.0,1930.0,22
WEEKDAY,BP8,3590.0,3376.0,22
WEEKDAY,BP9,3770.0,3715.0,22
WEEKDAY,CC1-NE6-NS24,40178.0,37891.0,22
WEEKDAY,CC10,18244.0,17005.0,22
WEEKDAY,CC11,20645.0,20897.0,22
WEEKDAY,CC12,7635.0,6355.0,22
WEEKDAY,CC14,8548.0,8006.0,22
WEEKDAY,CC16,12172.0,11527.0,22
WEEKDAY,CC17,4692.0,4549.0,22
WEEKDAY,CC19,7782.0,8397.0,22
WEEKDAY,CC2,6796.0,7501.0,22
WEEKDAY,CC20,6501.0,6417.0,22
WEEKDAY,CC21,9844.0,10675.0,22
WEEKDAY,CC23,19918.0,19575.0,22
WEEKDAY,CC24,25511.0,25174.0,22
WEEKDAY,CC25,8248.0,7527.0,22
WEEKDAY,CC26,5919.0,6134.0,22
WEEKDAY,CC27,9608.0,9465.0,22
WEEKDAY,CC28,4348.0,4729.0,22
WEEKDAY,CC3,8305.0,7852.0,22
WEEKDAY,CC4-DT15,21302.0,22201.0,22
WEEKDAY,CC5,5275.0,5561.0,22
WEEKDAY,CC6,8840.0,9146.0,22
WEEKDAY,CC7,8300.0,8662.0,22
WEEKDAY,CC8,9810.0,8676.0,22
WEEKDAY,CE1,26589.0,26405.0,22
WEEKDAY,CG1,17421.0,18131.0,22
WEEKDAY,CG2,19108.0,17951.0,22
WEEKDAY,DT1,34243.0,33162.0,22
WEEKDAY,DT10,6320.0,4994.0,22
WEEKDAY,DT11,33934.0,35804.0,22
WEEKDAY,DT13,10916.0,11308.0,22
WEEKDAY,DT17,30932.0,31870.0,22
WEEKDAY,DT18,21859.0,23346.0,22
WEEKDAY,DT2,3415.0,2659.0,22
WEEKDAY,DT20,8164.0,8693.0,22
WEEKDAY,DT21,8473.0,8515.0,22
WEEKDAY,DT22,7134.0,7524.0,22
WEEKDAY,DT23,5034.0,5058.0,22
WEEKDAY,DT24,5575.0,5234.0,22
WEEKDAY,DT25,4231.0,4313.0,22
WEEKDAY,DT27,8555.0,8339.0,22
WEEKDAY,DT28,11582.0,10854.0,22
WEEKDAY,DT29,7665.0,6986.0,22
WEEKDAY,DT3,8979.0,7672.0,22
WEEKDAY,DT30,8353.0,8111.0,22
WEEKDAY,DT31,8900.0,9416.0,22
WEEKDAY,DT32,22794.0,25073.0,22
WEEKDAY,DT33,20234.0,18810.0,22
WEEKDAY,DT34,5197.0,4755.0,22
WEEKDAY,DT5,15240.0,14859.0,22
WEEKDAY,DT6,9892.0,7791.0,22
WEEKDAY,DT7,4599.0,5938.0,22
WEEKDAY,DT8,5914.0,5662.0,22
WEEKDAY,EW1,35853.0,34009.0,22
WEEKDAY,EW10,12170.0,12383.0,22
WEEKDAY,EW11,22519.0,22562.0,22
WEEKDAY,EW12,61296.0,63877.0,22
WEEKDAY,EW13-NS25,45505.0,47113.0,22
WEEKDAY,EW14-NS26,73181.0,71819.0,22
WEEKDAY,EW15,53891.0,56687.0,22
WEEKDAY,EW16,34524.0,34163.0,22
WEEKDAY,EW17,31167.0,32202.0,22
WEEKDAY,EW18,20613.0,20820.0,22
WEEKDAY,EW19,16830.0,15504.0,22
WEEKDAY,EW2,36121.0,36964.0,22
WEEKDAY,EW20,17652.0,17056.0,22
WEEKDAY,EW21,31910.0,30223.0,22
WEEKDAY,EW22,19244.0,19207.0,22
WEEKDAY,EW23,50513.0,51942.0,22
WEEKDAY,EW24-NS1,83297.0,89168.0,22
WEEKDAY,EW25,10313.0,8879.0,22
WEEKDAY,EW26,36211.0,31041.0,22
WEEKDAY,EW27,51981.0,60614.0,22
WEEKDAY,EW28,34754.0,25552.0,22
WEEKDAY,EW29,18860.0,18937.0,22
WEEKDAY,EW3,20258.0,20421.0,22
WEEKDAY,EW30,3345.0,2799.0,22
WEEKDAY,EW31,4031.0,3352.0,22
WEEKDAY,EW32,3544.0,3509.0,22
WEEKDAY,EW33,3280.0,3284.0,22
WEEKDAY,EW4,20360.0,18180.0,22
WEEKDAY,EW5,37598.0,37313.0,22
WEEKDAY,EW6,12812.0,14986.0,22
WEEKDAY,EW7,15968.0,18561.0,22
WEEKDAY,EW8,39210.0,39580.0,22
WEEKDAY,EW9,24431.0,23665.0,22
WEEKDAY,NE1,50265.0,50389.0,22
WEEKDAY,NE10,15608.0,15806.0,22
WEEKDAY,NE11,6060.0,5606.0,22
WEEKDAY,NE12,64076.0,66773.0,22
WEEKDAY,NE13,22815.0,22968.0,22
WEEKDAY,NE14,35159.0,33909.0,22
WEEKDAY,NE15,18732.0,17224.0,22
WEEKDAY,NE16-STC,46526.0,47718.0,22
WEEKDAY,NE17-PTC,40703.0,39590.0,22
WEEKDAY,NE4,64842.0,64449.0,22
WEEKDAY,NE5,17251.0,19354.0,22
WEEKDAY,NE7,28788.0,30083.0,22
WEEKDAY,NE8,27476.0,29886.0,22
WEEKDAY,NE9,25936.0,23200.0,22
WEEKDAY,NS10,50771.0,45347.0,22
WEEKDAY,NS11,46686.0,45636.0,22
WEEKDAY,NS13,61000.0,64873.0,22
WEEKDAY,NS14,35876.0,31503.0,22
WEEKDAY,NS15,36332.0,34025.0,22
WEEKDAY,NS16,55192.0,59554.0,22
WEEKDAY,NS17,54357.0,52090.0,22
WEEKDAY,NS18,17441.0,15956.0,22
WEEKDAY,NS19,42924.0,45034.0,22
WEEKDAY,NS2,29301.0,29830.0,22
WEEKDAY,NS20,44346.0,43918.0,22
WEEKDAY,NS21,36397.0,37925.0,22
WEEKDAY,NS22,62336.0,67384.0,22
WEEKDAY,NS23,37224.0,40488.0,22
WEEKDAY,NS27,7720.0,7352.0,22
WEEKDAY,NS28,2036.0,2143.0,22
WEEKDAY,NS3,19737.0,18602.0,22
WEEKDAY,NS4,42697.0,45394.0,22
WEEKDAY,NS5,35101.0,32992.0,22
WEEKDAY,NS7,20921.0,19224.0,22
WEEKDAY,NS8,26182.0,20611.0,22
WEEKDAY,NS9,51951.0,62568.0,22
WEEKDAY,PE1,3974.0,3872.0,22
WEEKDAY,PE2,6090.0,5596.0,22
WEEKDAY,PE3,6230.0,6233.0,22
WEEKDAY,PE4,1539.0,1416.0,22
WEEKDAY,PE5,5989.0,5541.0,22
WEEKDAY,PE6,6402.0,6127.0,22
WEEKDAY,PE7,4256.0,4025.0,22
WEEKDAY,PW1,564.0,616.0,22
WEEKDAY,PW3,571.0,593.0,22
WEEKDAY,PW4,491.0,510.0,22
WEEKDAY,PW5,2639.0,2994.0,22
WEEKDAY,PW6,1198.0,948.0,22
WEEKDAY,PW7,2117.0,2299.0,22
WEEKDAY,SE1,4842.0,4820.0,22
WEEKDAY,SE2,6120.0,5659.0,22
WEEKDAY,SE3,3467.0,3223.0,22
WEEKDAY,SE4,4019.0,3776.0,22
WEEKDAY,SE5,3112.0,3097.0,22
WEEKDAY,SW1,1879.0,2009.0,22
WEEKDAY,SW2,3820.0,3477.0,22
WEEKDAY,SW3,2467.0,2357.0,22
WEEKDAY,SW4,844.0,758.0,22
WEEKDAY,SW5,7871.0,7217.0,22
WEEKDAY,SW6,4068.0,3853.0,22
WEEKDAY,SW7,3289.0,2982.0,22
WEEKDAY,SW8,2256.0,2219.0,22
WEEKENDS/HOLIDAY,BP10,3790.0,3843.0,9
WEEKENDS/HOLIDAY,BP11,3785.0,3295.0,9
WEEKENDS/HOLIDAY,BP12,2858.0,2662.0,9
WEEKENDS/HOLIDAY,BP13,1989.0,1822.0,9
WEEKENDS/HOLIDAY,BP14,97.0,77.0,9
WEEKENDS/HOLIDAY,BP2,3154.0,2712.0,9
WEEKENDS/HOLIDAY,BP3,4051.0,3510.0,9
WEEKENDS/HOLIDAY,BP4,1760.0,1619.0,9
WEEKENDS/HOLIDAY,BP5,2183.0,1709.0,9
WEEKENDS/HOLIDAY,BP6,11716.0,13618.0,9
WEEKENDS/HOLIDAY,BP7,1609.0,1467.0,9
WEEKENDS/HOLIDAY,BP8,2624.0,2517.0,9
WEEKENDS/HOLIDAY,BP9,2986.0,2880.0,9
WEEKENDS/HOLIDAY,CC1-NE6-NS24,37649.0,36384.0,9
WEEKENDS/HOLIDAY,CC10,10866.0,10036.0,9
WEEKENDS/HOLIDAY,CC11,9681.0,9392.0,9
WEEKENDS/HOLIDAY,CC12,4092.0,3645.0,9
WEEKENDS/HOLIDAY,CC14,4700.0,4566.0,9
WEEKENDS/HOLIDAY,CC16,6652.0,6576.0,9
WEEKENDS/HOLIDAY,CC17,2157.0,2189.0,9
WEEKENDS/HOLIDAY,CC19,7799.0,8345.0,9
WEEKENDS/HOLIDAY,CC2,4262.0,4619.0,9
WEEKENDS/HOLIDAY,CC20,4327.0,4303.0,9
WEEKENDS/HOLIDAY,CC21,7527.0,7974.0,9
WEEKENDS/HOLIDAY,CC23,3204.0,3156.0,9
WEEKENDS/HOLIDAY,CC24,6940.0,6886.0,9
WEEKENDS/HOLIDAY,CC25,4957.0,4455.0,9
WEEKENDS/HOLIDAY,CC26,2740.0,2898.0,9
WEEKENDS/HOLIDAY,CC27,1802.0,1889.0,9
WEEKENDS/HOLIDAY,CC28,3144.0,3012.0,9
WEEKENDS/HOLIDAY,CC3,9654.0,8894.0,9
WEEKENDS/HOLIDAY,CC4-DT15,13880.0,14843.0,9
WEEKENDS/HOLIDAY,CC5,4359.0,4364.0,9
WEEKENDS/HOLIDAY,CC6,13725.0,13277.0,9
WEEKENDS/HOLIDAY,CC7,5809.0,6221.0,9
WEEKENDS/HOLIDAY,CC8,6350.0,6194.0,9
WEEKENDS/HOLIDAY,CE1,38689.0,36984.0,9
WEEKENDS/HOLIDAY,CG1,12335.0,12857.0,9
WEEKENDS/HOLIDAY,CG2,19977.0,18284.0,9
WEEKENDS/HOLIDAY,DT1,25722.0,25273.0,9
WEEKENDS/HOLIDAY,DT10,3410.0,2733.0,9
WEEKENDS/HOLIDAY,DT11,27257.0,27295.0,9
WEEKENDS/HOLIDAY,DT13,9289.0,9830.0,9
WEEKENDS/HOLIDAY,DT17,4691.0,4584.0,9
WEEKENDS/HOLIDAY,DT18,4093.0,4585.0,9
WEEKENDS/HOLIDAY,DT2,1692.0,1269.0,9
WEEKENDS/HOLIDAY,DT20,5867.0,6245.0,9
WEEKENDS/HOLIDAY,DT21,6037.0,5990.0,9
WEEKENDS/HOLIDAY,DT22,8992.0,9772.0,9
WEEKENDS/HOLIDAY,DT23,2264.0,2297.0,9
WEEKENDS/HOLIDAY,DT24,3670.0,3635.0,9
WEEKENDS/HOLIDAY,DT25,2779.0,2770.0,9
WEEKENDS/HOLIDAY,DT27,5422.0,5198.0,9
WEEKENDS/HOLIDAY,DT28,8222.0,7767.0,9
WEEKENDS/HOLIDAY,DT29,5175.0,4802.0,9
WEEKENDS/HOLIDAY,DT3,6353.0,5459.0,9
