PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,4416,4491
BP11,4677,4052
BP12,4051,3633
BP13,2248,2031
BP14,55,42
BP2,4160,3382
BP3,5087,4345
BP4,4540,4345
BP5,2732,2084
BP6,14083,17022
BP7,2014,1796
BP8,3310,3127
BP9,3542,3473
CC1-NE6-NS24,39444,37454
CC10,16102,14982
CC11,17462,17557
CC12,6607,5568
CC14,7431,7007
CC16,10569,10089
CC17,3956,3864
CC19,7787,8382
CC2,6060,6665
CC20,5870,5803
CC21,9172,9891
CC23,15066,14808
CC24,20119,19864
CC25,7293,6635
CC26,4996,5194
CC27,7341,7265
CC28,3998,4231
CC3,8697,8154
CC4-DT15,19147,20065
CC5,5009,5214
CC6,10258,10345
CC7,7577,7954
CC8,8805,7956
CE1,30102,29476
CG1,15944,16600
CG2,19360,18047
DT1,31769,30872
DT10,5475,4338
DT11,31996,33333
DT13,10443,10879
DT17,23314,23948
DT18,16701,17899
DT2,2915,2255
DT20,7498,7982
DT21,7766,7782
DT22,7674,8177
DT23,4230,4257
DT24,5022,4770
DT25,3809,3865
DT27,7646,7427
DT28,10606,9958
DT29,6942,6352
DT3,8217,7029
DT30,7592,7363
DT31,7976,8430
DT32,21192,23072
DT33,18158,16943
DT34,4502,4148
DT5,14442,14136
DT6,8381,6740
DT7,4149,5184
DT8,4950,4788
EW1,33448,31928
EW10,12406,12625
EW11,20995,21088
EW12,62587,65468
EW13-NS25,45289,46504
EW14-NS26,56927,56051
EW15,43054,45319
EW16,29543,29269
EW17,28503,29553
EW18,18306,18529
EW19,15186,14240
EW2,35096,35570
EW20,15894,15429
EW21,27356,25927
EW22,15351,15441
EW23,46464,47411
EW24-NS1,80480,85723
EW25,9987,8875
EW26,33115,28394
EW27,49706,57082
EW28,31519,23687
EW29,16570,16801
EW3,18789,18946
EW30,2935,2409
EW31,3600,2938
EW32,3209,3282
EW33,3186,3265
EW4,18396,16525
EW5,35797,35452
EW6,12010,13797
EW7,15182,17352
EW8,38616,39126
EW9,24093,23394
NE1,51209,51114
NE10,14415,14442
NE11,5415,5023
NE12,61009,63699
NE13,22251,22192
NE14,32992,31731
NE15,17271,16035
NE16-STC,44214,45102
NE17-PTC,39677,38626
NE4,65593,65217
NE5,15606,17651
NE7,29947,31730
NE8,30261,32807
NE9,24061,21469
NS10,46468,41633
NS11,43722,42742
NS13,57364,60575
NS14,32804,28793
NS15,30187,28171
NS16,51959,55853
NS17,49750,47795
NS18,15936,14664
NS19,40430,42264
NS2,27255,27734
NS20,39824,39384
NS21,33685,35578
NS22,66123,70771
NS23,37337,40163
NS27,6085,6172
NS28,2137,2200
NS3,18475,17439
NS4,39834,42208
NS5,32103,30446
NS7,21546,19446
NS8,24057,19102
NS9,49043,57790
PE1,3733,3624
PE2,5641,5200
PE3,5896,5892
PE4,1496,1420
PE5,5516,5104
PE6,6143,5846
PE7,4022,3785
PW1,663,700
PW3,556,574
PW4,474,475
PW5,2625,2893
PW6,1123,894
PW7,1965,2155
SE1,4499,4463
SE2,5776,5357
SE3,3251,3021
SE4,3852,3621
SE5,2865,2822
SW1,1716,1803
SW2,3909,3566
SW3,2262,2162
SW4,807,730
SW5,7664,7102
SW6,3687,3481
SW7,3111,2824
SW8,2099,2050
