ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
BP10,BP11,132.0,600
BP10,BP12,135.0,591
BP10,BP13,109.0,600
BP10,BP14,14.0,327
BP10,BP2,55.0,600
BP10,BP3,62.0,600
BP10,BP4,72.0,600
BP10,BP5,123.0,600
BP10,BP6,1340.0,600
BP10,BP7,129.0,600
BP10,BP8,497.0,600
BP10,BP9,272.0,600
BP10,CC1-NE6-NS24,0.0,72
BP10,CC10,0.0,42
BP10,CC11,0.0,48
BP10,CC12,0.0,21
BP10,CC14,0.0,42
BP10,CC16,0.0,72
BP10,CC17,0.0,21
BP10,CC19,0.0,51
BP10,CC2,0.0,21
BP10,CC21,0.0,102
BP10,CC23,1.0,132
BP10,CC24,2.0,252
BP10,CC25,0.0,177
BP10,CC26,0.0,81
BP10,CC27,0.0,84
BP10,CC28,0.0,60
BP10,CC3,0.0,51
BP10,CC4-DT15,0.0,69
BP10,CC5,0.0,21
BP10,CC6,0.0,9
BP10,CC7,0.0,30
BP10,CE1,0.0,162
BP10,CG1,0.0,90
BP10,CG2,1.0,150
BP10,DT1,0.0,60
BP10,DT10,0.0,42
BP10,DT11,1.0,267
BP10,DT13,0.0,159
BP10,DT17,0.0,51
BP10,DT18,0.0,63
BP10,DT20,0.0,63
BP10,DT27,0.0,9
BP10,DT28,0.0,9
BP10,DT29,0.0,21
BP10,DT3,0.0,111
BP10,DT31,0.0,42
BP10,DT32,0.0,30
BP10,DT34,0.0,30
BP10,DT5,1.0,240
BP10,DT6,0.0,114
BP10,DT7,0.0,60
BP10,DT8,0.0,21
BP10,EW1,0.0,120
BP10,EW10,0.0,177
BP10,EW11,1.0,213
BP10,EW12,1.0,342
BP10,EW13-NS25,1.0,243
BP10,EW14-NS26,1.0,234
BP10,EW15,2.0,303
BP10,EW16,1.0,369
BP10,EW17,7.0,450
BP10,EW18,5.0,495
BP10,EW19,5.0,450
BP10,EW2,0.0,120
BP10,EW20,9.0,441
BP10,EW21,5.0,684
BP10,EW22,33.0,471
BP10,EW23,32.0,540
BP10,EW24-NS1,246.0,570
BP10,EW25,6.0,474
BP10,EW26,18.0,570
BP10,EW27,54.0,561
BP10,EW28,19.0,540
BP10,EW29,30.0,483
BP10,EW3,0.0,21
BP10,EW30,5.0,141
BP10,EW31,3.0,207
BP10,EW32,3.0,183
BP10,EW33,3.0,357
BP10,EW4,0.0,111
BP10,EW5,0.0,153
BP10,EW6,0.0,78
BP10,EW7,0.0,123
BP10,EW8,1.0,258
BP10,EW9,0.0,129
BP10,NE1,1.0,234
BP10,NE10,0.0,21
BP10,NE11,0.0,21
BP10,NE12,0.0,183
BP10,NE13,0.0,21
BP10,NE14,0.0,81
BP10,NE15,0.0,18
BP10,NE16-STC,0.0,30
BP10,NE17-PTC,0.0,84
BP10,NE4,0.0,225
BP10,NE5,0.0,93
BP10,NE7,0.0,90
BP10,NE8,0.0,96
BP10,NE9,0.0,30
BP10,NS10,16.0,582
BP10,NS11,15.0,561
BP10,NS13,19.0,570
BP10,NS14,9.0,552
BP10,NS15,32.0,543
BP10,NS16,15.0,540
BP10,NS17,4.0,648
BP10,NS18,1.0,285
BP10,NS19,3.0,462
BP10,NS2,48.0,591
BP10,NS20,1.0,255
BP10,NS21,0.0,99
BP10,NS22,0.0,120
BP10,NS23,0.0,30
BP10,NS28,0.0,114
BP10,NS3,35.0,600
BP10,NS4,305.0,1200
BP10,NS5,49.0,600
BP10,NS7,39.0,570
BP10,NS8,8.0,516
BP10,NS9,38.0,591
BP10,PE5,0.0,21
BP10,PW5,0.0,9
BP10,SE4,0.0,21
BP10,SE5,0.0,21
BP10,SW3,0.0,21
BP10,SW5,0.0,30
BP10,SW8,0.0,21
BP11,BP10,145.0,600
BP11,BP12,79.0,591
BP11,BP13,102.0,600
BP11,BP14,8.0,306
BP11,BP2,70.0,600
BP11,BP3,68.0,600
BP11,BP4,89.0,600
BP11,BP5,135.0,600
BP11,BP6,1656.0,600
BP11,BP7,80.0,600
BP11,BP8,298.0,600
BP11,BP9,211.0,600
BP11,CC1-NE6-NS24,0.0,102
BP11,CC10,0.0,63
BP11,CC11,0.0,81
BP11,CC12,0.0,21
BP11,CC14,0.0,60
BP11,CC16,0.0,9
BP11,CC17,0.0,21
BP11,CC19,0.0,111
BP11,CC2,0.0,21
BP11,CC20,0.0,21
BP11,CC21,0.0,81
BP11,CC23,0.0,102
BP11,CC24,2.0,318
BP11,CC25,0.0,81
BP11,CC26,0.0,60
BP11,CC27,0.0,102
BP11,CC28,0.0,30
BP11,CC3,0.0,39
BP11,CC4-DT15,0.0,99
BP11,CC5,0.0,21
BP11,CC6,0.0,81
BP11,CC8,0.0,21
BP11,CE1,1.0,162
BP11,CG1,1.0,192
BP11,CG2,1.0,231
BP11,DT1,0.0,87
BP11,DT10,0.0,27
BP11,DT11,1.0,189
BP11,DT13,0.0,111
BP11,DT17,0.0,93
BP11,DT18,0.0,114
BP11,DT2,0.0,48
BP11,DT20,0.0,9
BP11,DT23,0.0,9
BP11,DT24,0.0,21
BP11,DT27,0.0,42
BP11,DT28,0.0,84
BP11,DT29,0.0,30
BP11,DT3,0.0,51
BP11,DT31,0.0,42
BP11,DT32,0.0,72
BP11,DT33,0.0,21
BP11,DT5,1.0,240
BP11,DT6,0.0,120
BP11,DT7,0.0,81
BP11,DT8,0.0,63
BP11,EW1,0.0,123
BP11,EW10,0.0,54
BP11,EW11,1.0,204
BP11,EW12,2.0,483
BP11,EW13-NS25,1.0,303
BP11,EW14-NS26,1.0,237
BP11,EW15,3.0,324
BP11,EW16,2.0,528
BP11,EW17,7.0,474
BP11,EW18,9.0,474
BP11,EW19,10.0,495
BP11,EW2,0.0,192
BP11,EW20,12.0,552
BP11,EW21,6.0,738
