PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,4134,4205
BP11,4413,3821
BP12,3435,3165
BP13,2165,1924
BP14,146,101
BP2,3767,3208
BP3,4718,4100
BP4,3814,3649
BP5,2583,1980
BP6,13738,16230
BP7,1829,1657
BP8,3124,2957
BP9,3012,2985
CC1-NE6-NS24,39958,38580
CC10,15693,14621
CC11,17177,17283
CC12,5527,4633
CC14,7413,6957
CC16,10014,9452
CC17,3669,3558
CC19,7358,7985
CC2,6236,6974
CC20,5327,5298
CC21,8583,9326
CC23,14699,14390
CC24,19895,19466
CC25,7206,6548
CC26,4838,5055
CC27,6758,6786
CC28,3930,4170
CC3,8794,8326
CC4-DT15,18612,19648
CC5,4834,5092
CC6,10486,10460
CC7,6609,7020
CC8,7696,7205
CE1,29361,28859
CG1,19231,19889
CG2,19647,18572
DT1,30994,29426
DT10,4575,3726
DT11,31094,31807
DT13,9804,10215
DT17,21476,22318
DT18,15526,16726
DT2,2459,1980
DT20,6816,7527
DT21,7345,7403
DT22,7260,7782
DT23,3956,3992
DT24,4828,4570
DT25,3537,3614
DT27,7143,6939
DT28,10337,9678
DT29,6676,6046
DT3,7645,6460
DT30,7158,6818
DT31,7599,7929
DT32,20604,22109
DT33,17497,16180
DT34,4528,4180
DT5,13472,13125
DT6,7564,6059
DT7,3762,4911
DT8,3975,3954
EW1,32503,30741
EW10,12393,12613
EW11,20646,20933
EW12,58946,61880
EW13-NS25,46276,47588
EW14-NS26,54720,54140
EW15,41030,43586
EW16,28633,28268
EW17,27473,28410
EW18,17332,17691
EW19,14593,13620
EW2,34314,34526
EW20,15408,14878
EW21,26032,25208
EW22,14932,15179
EW23,44441,45118
EW24-NS1,80922,86035
EW25,9594,8462
EW26,31910,27099
EW27,49009,55849
EW28,30618,22447
EW29,16627,16655
EW3,18088,17989
EW30,2701,2237
EW31,3265,2660
EW32,2960,3161
EW33,2699,2895
EW4,17455,15609
EW5,35217,34784
EW6,11650,13180
EW7,15142,17271
EW8,38590,39241
EW9,23791,23339
NE1,49424,49660
NE10,13085,13157
NE11,5231,4852
NE12,58671,60410
NE13,19674,19266
NE14,30743,29226
NE15,16304,15045
NE16-STC,42401,43320
NE17-PTC,37835,36714
NE4,54658,55024
NE5,15104,17463
NE7,30137,32623
NE8,29651,31790
NE9,23044,20365
NS10,44872,39823
NS11,42473,41180
NS13,56150,59079
NS14,31150,26969
NS15,28736,26443
NS16,50069,53678
NS17,47444,45471
NS18,15343,14079
NS19,39719,41403
NS2,26433,26842
NS20,38691,38243
NS21,32522,34728
NS22,67878,73306
NS23,38868,42196
NS27,5852,5990
NS28,2086,2073
NS3,17464,16619
NS4,39730,41267
NS5,30752,28945
NS7,21539,19583
NS8,22748,18022
NS9,48704,57362
PE1,3441,3329
PE2,5151,4737
PE3,5600,5516
PE4,1409,1362
PE5,4977,4508
PE6,5786,5477
PE7,3819,3548
PW1,752,765
PW3,498,510
PW4,392,389
PW5,2225,2526
PW6,1064,850
PW7,1758,1938
SE1,4019,4012
SE2,5388,4952
SE3,3118,2856
SE4,3599,3338
SE5,2516,2452
SW1,1508,1581
SW2,3749,3465
SW3,1977,1878
SW4,796,715
SW5,7160,6677
SW6,3147,2940
SW7,2883,2588
SW8,1886,1840
