n1,n2,inverse,time,network,
CC27,CC28,T,0.8,CC,
CC28,CC29,T,1.5,CC,
CC4,CE1,T,1.3,CC,
CE1,CE2,T,0.8,CC,
DT1,DT2,T,1.2,DT,
DT2,DT3,T,0.9,DT,
DT3,DT5,T,2.6,DT,
DT5,DT6,T,1.2,DT,
DT6,DT7,T,1.6,DT,
DT7,DT8,T,1.3,DT,
DT8,DT9,T,1.1,DT,
DT9,DT10,T,1.1,DT,
DT10,DT11,T,1.6,DT,
DT11,DT12,T,1.4,DT,
DT12,DT13,T,0.5,DT,
DT13,DT14,T,0.8,DT,
DT14,DT15,T,0.9,DT,
DT15,DT16,T,1.3,DT,
DT16,DT17,T,0.9,DT,
DT17,DT18,T,0.6,DT,
DT18,DT19,T,0.6,DT,
DT19,DT20,T,1,DT,
DT20,DT21,T,1,DT,
DT21,DT22,T,0.9,DT,
DT22,DT23,T,1.3,DT,
DT23,DT24,T,1.4,DT,
DT24,DT25,T,1.5,DT,
DT25,DT26,T,0.8,DT,
DT26,DT27,T,1.1,DT,
DT27,DT28,T,1.2,DT,
DT28,DT29,T,1.1,DT,
DT29,DT30,T,1.8,DT,
DT30,DT31,T,1.7,DT,
DT31,DT32,T,1.3,DT,
DT32,DT33,T,1.4,DT,
DT33,DT34,T,2.6,DT,
DT34,DT35,T,0.9,DT,
BP1,BP2,T,0.6,BP,
BP2,BP3,T,0.5,BP,
BP3,BP4,T,0.6,BP,
BP4,BP5,T,0.5,BP,
BP5,BP6,T,0.7,BP,
BP6,BP7,T,0.4,BP,
BP7,BP8,T,0.6,BP,
BP8,BP9,T,0.5,BP,
BP9,BP10,T,0.9,BP,
BP10,BP11,T,0.5,BP,
BP11,BP12,T,0.7,BP,
BP12,BP13,T,0.6,BP,
BP13,BP6,T,0.6,BP,
STC,SE1,T,0.8,SP,
SE1,SE2,T,0.7,SP,
SE2,SE3,T,0.5,SP,
SE3,SE4,T,0.6,SP,
SE4,SE5,T,0.8,SP,
SE5,STC,T,1,SP,
STC,SW1,T,0.8,SP,
SW1,SW2,T,0.5,SP,
SW2,SW3,T,0.9,SP,
SW3,SW4,T,0.7,SP,
SW4,SW5,T,0.6,SP,
SW5,SW6,T,0.5,SP,
SW6,SW7,T,0.7,SP,
SW7,SW8,T,0.6,SP,
SW8,STC,T,0.9,SP,
PTC,PE1,T,1,SP,
PE1,PE2,T,0.4,SP,
