,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
month,,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107
WEEKDAY,BP5,3014.0,2993.0,2946.0,2933.0,2766.0,2569.0,2957.0,2856.0,2794.0,2841.0,2814.0,2447.0,2733.0,2698.0,2644.0,2675.0,2464.0,2144.0,2420.0,2293.0,2100.0,954.0,775.0,1406.0,1773.0,1824.0,1875.0,1886.0,1776.0,1733.0,2015.0,1991.0,1944.0,1999.0,1615.0,1431.0,1814.0,2254.0,2262.0,2214.0,2261.0,2111.0,1928.0,2237.0,2135.0,2090.0,2106.0,2151.0,1846.0,2075.0,2073.0,1998.0,2026.0,1861.0,1669.0,1870.0,1781.0,1649.0,724.0,566.0,1049.0,0.0,1370.0,1445.0,1428.0,1366.0,1344.0,1577.0,1580.0,1529.0,1583.0,1234.0,1090.0,1440.0
WEEKDAY,BP6,15203.0,15305.0,14715.0,15389.0,14654.0,13344.0,15052.0,14435.0,13992.0,14172.0,14128.0,13013.0,13558.0,13688.0,13219.0,13324.0,11212.0,10461.0,12332.0,11268.0,10304.0,3904.0,0.0,0.0,0.0,23350.0,25319.0,26310.0,26567.0,27894.0,28625.0,28409.0,28034.0,28148.0,20878.0,18290.0,21930.0,17928.0,18261.0,17830.0,18106.0,17453.0,16508.0,18414.0,17994.0,17935.0,18161.0,17870.0,16211.0,17280.0,16921.0,16577.0,16481.0,13754.0,13499.0,15601.0,14296.0,13079.0,4926.0,0.0,0.0,0.0,25078.0,27125.0,28235.0,28005.0,29125.0,30564.0,30394.0,30270.0,30290.0,22606.0,19478.0,23918.0
WEEKDAY,BP7,2108.0,2129.0,2046.0,2087.0,1954.0,1870.0,2180.0,2071.0,2055.0,2076.0,2044.0,1792.0,2013.0,1963.0,1911.0,1900.0,1728.0,1294.0,1421.0,1341.0,1165.0,535.0,433.0,769.0,949.0,994.0,1011.0,1019.0,960.0,923.0,1129.0,1087.0,1064.0,1115.0,858.0,757.0,959.0,1893.0,1901.0,1844.0,1887.0,1751.0,1619.0,1930.0,1840.0,1785.0,1831.0,1821.0,1565.0,1774.0,1761.0,1689.0,1691.0,1533.0,1297.0,1393.0,1317.0,1176.0,558.0,487.0,811.0,0.0,1013.0,1049.0,1053.0,1008.0,997.0,1134.0,1102.0,1082.0,1118.0,893.0,809.0,968.0
WEEKDAY,BP8,3642.0,3639.0,3517.0,3583.0,3374.0,3015.0,3590.0,3436.0,3372.0,3472.0,3393.0,2901.0,3390.0,3351.0,3142.0,3218.0,2954.0,2308.0,2640.0,2487.0,2159.0,973.0,766.0,1369.0,1730.0,1780.0,1842.0,1853.0,1821.0,1713.0,2033.0,2039.0,1989.0,2067.0,1641.0,1397.0,1764.0,3387.0,3414.0,3268.0,3294.0,3175.0,2793.0,3376.0,3216.0,3108.0,3194.0,3161.0,2717.0,3146.0,3108.0,2916.0,3033.0,2811.0,2072.0,2373.0,2234.0,1972.0,924.0,718.0,1237.0,0.0,1595.0,1662.0,1680.0,1671.0,1586.0,1798.0,1803.0,1777.0,1817.0,1458.0,1291.0,1576.0
WEEKDAY,BP9,3556.0,3605.0,3395.0,3453.0,3071.0,2868.0,3770.0,3707.0,3540.0,3624.0,3711.0,2937.0,3573.0,3518.0,3282.0,3369.0,2871.0,2368.0,3103.0,2772.0,2421.0,1086.0,893.0,1635.0,2026.0,2119.0,2148.0,2117.0,1895.0,1859.0,2438.0,2494.0,2286.0,2375.0,1811.0,1544.0,2062.0,3568.0,3647.0,3380.0,3452.0,3059.0,2796.0,3715.0,3622.0,3442.0,3531.0,3628.0,2910.0,3462.0,3437.0,3230.0,3291.0,2822.0,2148.0,2948.0,2637.0,2315.0,995.0,799.0,1532.0,0.0,2057.0,2061.0,2042.0,1773.0,1714.0,2344.0,2400.0,2162.0,2280.0,1711.0,1458.0,2031.0
WEEKDAY,CC1,39949.0,41256.0,40206.0,39460.0,40118.0,43161.0,40178.0,37925.0,39862.0,36601.0,36405.0,36971.0,36094.0,36068.0,35295.0,33891.0,34230.0,36567.0,30808.0,27601.0,25385.0,6619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38557.0,39933.0,38311.0,37692.0,38749.0,42199.0,37891.0,36045.0,38104.0,35117.0,34960.0,36011.0,34522.0,34402.0,33296.0,31957.0,32674.0,35745.0,30839.0,26157.0,23925.0,5927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEEKDAY,CC10,18532.0,18408.0,18248.0,18298.0,17952.0,17530.0,18244.0,17688.0,18144.0,17926.0,18057.0,17221.0,17635.0,17496.0,17242.0,17112.0,16849.0,16309.0,15989.0,15521.0,14014.0,5223.0,3974.0,7346.0,9642.0,9841.0,10706.0,11355.0,11399.0,11999.0,12594.0,12424.0,12224.0,12575.0,9859.0,9062.0,10078.0,17346.0,17225.0,17106.0,17144.0,16757.0,16292.0,17005.0,16567.0,17042.0,16800.0,16936.0,16170.0,16543.0,16460.0,16264.0,16092.0,15878.0,15348.0,15312.0,14705.0,13336.0,4994.0,3797.0,6984.0,0.0,9329.0,10153.0,10727.0,10835.0,11418.0,11953.0,11895.0,11718.0,11968.0,9460.0,8619.0,9651.0
WEEKDAY,CC11,20398.0,20292.0,20561.0,20354.0,20473.0,19724.0,20645.0,19198.0,21252.0,20624.0,20903.0,20100.0,20099.0,19713.0,19685.0,19488.0,19219.0,18288.0,17458.0,17023.0,15840.0,5527.0,4119.0,7344.0,9389.0,9485.0,10539.0,11193.0,11587.0,11889.0,12340.0,11524.0,12402.0,12852.0,9777.0,8704.0,9588.0,20567.0,20454.0,20823.0,20652.0,20745.0,19816.0,20897.0,19422.0,21667.0,21071.0,21252.0,20452.0,20437.0,20048.0,20162.0,19944.0,19634.0,18510.0,17915.0,17234.0,16112.0,5678.0,4139.0,7386.0,0.0,9632.0,10691.0,11388.0,11672.0,11904.0,12489.0,11658.0,12574.0,13082.0,9956.0,8795.0,9693.0
WEEKDAY,CC12,7647.0,7281.0,6752.0,7166.0,6162.0,4891.0,7635.0,7296.0,6716.0,7272.0,7403.0,5169.0,7305.0,7260.0,6588.0,7031.0,5863.0,4612.0,6921.0,6443.0,5293.0,1481.0,833.0,2624.0,3592.0,4154.0,3986.0,4331.0,3740.0,3274.0,5334.0,5152.0,4799.0,5379.0,3369.0,2194.0,4411.0,6336.0,6054.0,5695.0,5942.0,5081.0,4173.0,6355.0,6112.0,5727.0,6105.0,6191.0,4517.0,6157.0,6117.0,5672.0,5922.0,5006.0,4054.0,5900.0,5445.0,4520.0,1338.0,798.0,2252.0,0.0,3478.0,3408.0,3705.0,3280.0,2982.0,4547.0,4420.0,4122.0,4552.0,2932.0,2000.0,3715.0
WEEKDAY,CC14,8971.0,9425.0,9022.0,8929.0,8592.0,6662.0,8548.0,9173.0,8852.0,8684.0,8904.0,7058.0,8273.0,8682.0,8206.0,8087.0,7963.0,6109.0,7424.0,7702.0,6585.0,1699.0,982.0,3197.0,4323.0,4852.0,5046.0,5306.0,5266.0,4460.0,5448.0,6240.0,6104.0,6491.0,4242.0,3234.0,4878.0,8434.0,8798.0,8450.0,8362.0,7997.0,6168.0,8006.0,8749.0,8364.0,8242.0,8337.0,6549.0,7728.0,8084.0,7595.0,7516.0,7320.0,5609.0,6933.0,7122.0,6122.0,1603.0,951.0,3013.0,0.0,4614.0,4766.0,5016.0,4958.0,4316.0,5229.0,5945.0,5787.0,6178.0,4046.0,3086.0,4659.0
