,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,146.0,529.0,664.0,346.0,221.0,177.0,160.0,150.0,184.0,165.0,141.0,143.0,184.0,201.0,152.0,96.0,88.0,63.0,21.0
WEEKDAY,BP10,BP9,,65.0,190.0,242.0,128.0,28.0,9.0,9.0,13.0,19.0,12.0,11.0,9.0,68.0,76.0,52.0,15.0,4.0,5.0,3.0
WEEKDAY,BP11,BP10,,34.0,117.0,174.0,90.0,17.0,7.0,5.0,11.0,16.0,11.0,9.0,9.0,61.0,59.0,38.0,8.0,3.0,2.0,1.0
WEEKDAY,BP11,BP12,,306.0,1088.0,1300.0,698.0,403.0,292.0,257.0,254.0,283.0,228.0,209.0,206.0,265.0,281.0,202.0,124.0,107.0,76.0,26.0
WEEKDAY,BP12,BP11,,25.0,113.0,156.0,106.0,49.0,39.0,50.0,84.0,86.0,101.0,114.0,171.0,375.0,482.0,368.0,200.0,158.0,100.0,24.0
WEEKDAY,BP12,BP13,,404.0,1410.0,1736.0,984.0,523.0,366.0,320.0,366.0,429.0,390.0,332.0,319.0,424.0,406.0,254.0,151.0,118.0,80.0,24.0
WEEKDAY,BP13,BP12,,22.0,278.0,406.0,149.0,65.0,57.0,76.0,119.0,130.0,147.0,173.0,257.0,556.0,769.0,590.0,292.0,234.0,151.0,35.0
WEEKDAY,BP13,BP6,,474.0,1627.0,1957.0,1137.0,606.0,418.0,371.0,412.0,463.0,412.0,351.0,340.0,460.0,438.0,274.0,161.0,126.0,84.0,23.0
WEEKDAY,BP2,BP3,,174.0,844.0,1730.0,1474.0,857.0,424.0,474.0,649.0,554.0,566.0,649.0,831.0,1715.0,2013.0,1076.0,757.0,671.0,431.0,50.0
WEEKDAY,BP2,NS4,,473.0,2088.0,2640.0,1364.0,707.0,561.0,661.0,789.0,645.0,655.0,803.0,989.0,1221.0,980.0,675.0,426.0,389.0,235.0,56.0
WEEKDAY,BP3,BP2,,431.0,1938.0,2310.0,1171.0,624.0,513.0,630.0,776.0,633.0,670.0,840.0,1029.0,1296.0,1167.0,855.0,540.0,498.0,321.0,76.0
WEEKDAY,BP3,BP4,,232.0,1052.0,2089.0,1698.0,950.0,462.0,495.0,662.0,543.0,524.0,580.0,750.0,1529.0,1750.0,933.0,638.0,568.0,364.0,48.0
WEEKDAY,BP4,BP3,,366.0,1622.0,1866.0,899.0,513.0,435.0,572.0,726.0,630.0,684.0,854.0,1037.0,1344.0,1335.0,1030.0,644.0,583.0,373.0,89.0
WEEKDAY,BP4,BP5,,249.0,1066.0,1648.0,1141.0,566.0,395.0,502.0,601.0,516.0,547.0,673.0,894.0,1621.0,1715.0,918.0,630.0,573.0,348.0,47.0
WEEKDAY,BP5,BP4,,347.0,1515.0,1914.0,1119.0,654.0,440.0,420.0,559.0,569.0,545.0,546.0,565.0,914.0,1325.0,1079.0,637.0,558.0,394.0,99.0
WEEKDAY,BP5,BP6,,259.0,1172.0,1773.0,1188.0,598.0,432.0,528.0,636.0,557.0,587.0,710.0,926.0,1643.0,1751.0,947.0,638.0,569.0,349.0,53.0
WEEKDAY,BP6,BP13,,21.0,259.0,380.0,137.0,75.0,73.0,97.0,140.0,155.0,176.0,198.0,299.0,663.0,932.0,694.0,324.0,260.0,169.0,40.0
WEEKDAY,BP6,BP5,,340.0,1498.0,1849.0,1089.0,633.0,432.0,415.0,556.0,589.0,576.0,575.0,600.0,940.0,1364.0,1131.0,661.0,581.0,408.0,102.0
WEEKDAY,BP6,BP7,,47.0,404.0,391.0,259.0,189.0,161.0,186.0,274.0,288.0,328.0,390.0,490.0,796.0,1013.0,724.0,506.0,416.0,308.0,73.0
WEEKDAY,BP7,BP6,,221.0,643.0,756.0,425.0,189.0,127.0,126.0,143.0,157.0,205.0,158.0,138.0,239.0,300.0,178.0,87.0,69.0,35.0,6.0
WEEKDAY,BP7,BP8,,45.0,417.0,405.0,263.0,190.0,164.0,181.0,258.0,266.0,286.0,345.0,433.0,687.0,881.0,633.0,433.0,351.0,258.0,63.0
WEEKDAY,BP8,BP7,,164.0,489.0,543.0,303.0,165.0,117.0,119.0,126.0,149.0,193.0,148.0,128.0,220.0,276.0,163.0,83.0,61.0,33.0,5.0
WEEKDAY,BP8,BP9,,24.0,375.0,360.0,199.0,153.0,138.0,164.0,232.0,277.0,253.0,323.0,415.0,623.0,805.0,587.0,406.0,335.0,250.0,64.0
WEEKDAY,BP9,BP10,,19.0,170.0,224.0,151.0,140.0,126.0,151.0,178.0,213.0,230.0,250.0,311.0,462.0,587.0,423.0,306.0,259.0,181.0,46.0
WEEKDAY,BP9,BP8,,120.0,394.0,440.0,247.0,126.0,87.0,90.0,93.0,105.0,161.0,113.0,90.0,174.0,200.0,99.0,52.0,34.0,18.0,4.0
WEEKDAY,CC10,CC11,5.0,402.0,2776.0,4536.0,3974.0,1926.0,1297.0,1392.0,1701.0,1794.0,1920.0,2386.0,2809.0,6048.0,8848.0,4505.0,2966.0,2747.0,2070.0,593.0
WEEKDAY,CC10,DT25,,431.0,2159.0,5501.0,6387.0,2893.0,1505.0,1283.0,1142.0,1069.0,968.0,936.0,1025.0,2080.0,3050.0,1478.0,804.0,616.0,437.0,164.0
WEEKDAY,CC10,DT27,24.0,203.0,1603.0,3080.0,2637.0,1036.0,652.0,765.0,969.0,1122.0,1239.0,1621.0,2053.0,5100.0,8027.0,4343.0,2787.0,2550.0,1904.0,735.0
WEEKDAY,CC10,EW8,4.0,704.0,4128.0,7253.0,6940.0,3492.0,2168.0,1936.0,2212.0,1991.0,1808.0,1905.0,2074.0,3751.0,5629.0,2818.0,1524.0,1293.0,865.0,227.0
WEEKDAY,CC11,CC10,5.0,765.0,4092.0,7905.0,7376.0,3312.0,1822.0,1580.0,1822.0,1832.0,1704.0,1849.0,2061.0,3910.0,5458.0,2866.0,1657.0,1540.0,1013.0,263.0
WEEKDAY,CC11,CC12,4.0,354.0,2774.0,4109.0,2959.0,1579.0,1219.0,1435.0,1795.0,1751.0,1948.0,2627.0,3135.0,7504.0,11199.0,5552.0,3389.0,2896.0,2062.0,609.0
WEEKDAY,CC12,CC11,4.0,920.0,4653.0,10163.0,9867.0,4148.0,2077.0,1631.0,1760.0,1917.0,1756.0,1775.0,1946.0,3421.0,4366.0,2503.0,1519.0,1510.0,1032.0,229.0
WEEKDAY,CC12,NE12,6.0,356.0,2769.0,4401.0,3255.0,1710.0,1312.0,1534.0,1881.0,2140.0,2372.0,2892.0,3426.0,7745.0,11291.0,5530.0,3367.0,2858.0,2046.0,599.0
WEEKDAY,CC14,NE12,11.0,1950.0,7649.0,15903.0,16381.0,7471.0,4334.0,3774.0,3915.0,4041.0,3900.0,4307.0,4992.0,9705.0,11500.0,5915.0,3577.0,3255.0,2113.0,456.0
