,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,102.0,244.0,224.0,113.0,89.0,82.0,69.0,72.0,85.0,66.0,56.0,60.0,71.0,84.0,54.0,44.0,29.0,19.0,8.0
WEEKDAY,BP10,BP9,,47.0,79.0,84.0,54.0,17.0,5.0,7.0,6.0,6.0,6.0,3.0,5.0,25.0,24.0,23.0,8.0,1.0,1.0,1.0
WEEKDAY,BP11,BP10,,29.0,48.0,64.0,43.0,11.0,3.0,5.0,4.0,3.0,4.0,1.0,3.0,19.0,18.0,15.0,3.0,,,1.0
WEEKDAY,BP11,BP12,,217.0,478.0,449.0,201.0,134.0,117.0,108.0,116.0,132.0,101.0,84.0,81.0,104.0,120.0,79.0,51.0,41.0,27.0,12.0
WEEKDAY,BP12,BP11,,22.0,51.0,66.0,59.0,26.0,19.0,30.0,34.0,38.0,43.0,52.0,67.0,166.0,168.0,111.0,86.0,54.0,27.0,5.0
WEEKDAY,BP12,BP13,,278.0,615.0,585.0,264.0,154.0,135.0,127.0,153.0,166.0,153.0,120.0,109.0,137.0,146.0,87.0,58.0,46.0,27.0,11.0
WEEKDAY,BP13,BP12,,15.0,78.0,112.0,72.0,33.0,25.0,40.0,46.0,57.0,60.0,74.0,99.0,240.0,266.0,167.0,114.0,74.0,38.0,11.0
WEEKDAY,BP13,BP6,,330.0,716.0,664.0,300.0,175.0,149.0,140.0,167.0,178.0,165.0,130.0,114.0,156.0,162.0,93.0,61.0,53.0,29.0,10.0
WEEKDAY,BP2,BP3,,85.0,263.0,398.0,301.0,173.0,130.0,147.0,182.0,218.0,220.0,275.0,337.0,683.0,686.0,369.0,307.0,194.0,119.0,19.0
WEEKDAY,BP2,NS4,,382.0,1005.0,957.0,387.0,232.0,195.0,185.0,218.0,219.0,215.0,212.0,197.0,286.0,277.0,167.0,114.0,87.0,59.0,15.0
WEEKDAY,BP3,BP2,,357.0,920.0,859.0,349.0,220.0,188.0,178.0,207.0,213.0,225.0,226.0,213.0,313.0,334.0,206.0,142.0,110.0,79.0,21.0
WEEKDAY,BP3,BP4,,119.0,334.0,494.0,354.0,200.0,138.0,152.0,180.0,208.0,205.0,252.0,297.0,612.0,592.0,315.0,265.0,165.0,102.0,15.0
WEEKDAY,BP4,BP3,,300.0,765.0,699.0,287.0,177.0,162.0,159.0,193.0,204.0,230.0,236.0,221.0,337.0,385.0,242.0,168.0,131.0,91.0,24.0
WEEKDAY,BP4,BP5,,135.0,366.0,493.0,344.0,197.0,141.0,159.0,179.0,205.0,203.0,259.0,296.0,600.0,574.0,296.0,250.0,155.0,93.0,16.0
WEEKDAY,BP5,BP4,,279.0,716.0,674.0,287.0,173.0,151.0,142.0,178.0,200.0,222.0,215.0,208.0,324.0,412.0,269.0,182.0,146.0,107.0,27.0
WEEKDAY,BP5,BP6,,136.0,391.0,532.0,360.0,213.0,162.0,181.0,197.0,222.0,220.0,277.0,320.0,618.0,601.0,314.0,258.0,162.0,96.0,19.0
WEEKDAY,BP6,BP13,,13.0,72.0,111.0,71.0,39.0,34.0,48.0,54.0,68.0,70.0,87.0,118.0,281.0,323.0,198.0,129.0,81.0,43.0,12.0
WEEKDAY,BP6,BP5,,273.0,698.0,651.0,287.0,173.0,155.0,147.0,190.0,216.0,236.0,228.0,223.0,331.0,429.0,283.0,191.0,153.0,117.0,28.0
WEEKDAY,BP6,BP7,,26.0,120.0,142.0,129.0,94.0,83.0,94.0,110.0,131.0,142.0,179.0,215.0,345.0,368.0,230.0,183.0,128.0,92.0,26.0
WEEKDAY,BP7,BP6,,163.0,284.0,266.0,123.0,66.0,54.0,52.0,55.0,60.0,70.0,59.0,53.0,84.0,89.0,53.0,34.0,11.0,11.0,
WEEKDAY,BP7,BP8,,25.0,123.0,147.0,129.0,90.0,80.0,93.0,102.0,121.0,127.0,159.0,184.0,299.0,318.0,203.0,158.0,109.0,77.0,23.0
WEEKDAY,BP8,BP7,,125.0,216.0,191.0,91.0,62.0,51.0,49.0,51.0,54.0,65.0,55.0,47.0,76.0,81.0,52.0,36.0,10.0,11.0,
WEEKDAY,BP8,BP9,,12.0,102.0,122.0,100.0,78.0,76.0,84.0,96.0,110.0,113.0,146.0,173.0,271.0,293.0,194.0,145.0,102.0,69.0,20.0
WEEKDAY,BP9,BP10,,11.0,67.0,86.0,86.0,80.0,72.0,75.0,83.0,90.0,94.0,111.0,131.0,197.0,222.0,150.0,112.0,78.0,54.0,15.0
WEEKDAY,BP9,BP8,,86.0,160.0,152.0,83.0,55.0,39.0,37.0,42.0,40.0,49.0,40.0,34.0,56.0,53.0,38.0,26.0,5.0,4.0,1.0
WEEKDAY,CC10,CC11,,286.0,1270.0,1662.0,1243.0,651.0,447.0,460.0,528.0,610.0,688.0,823.0,935.0,1824.0,2144.0,1251.0,902.0,674.0,530.0,114.0
WEEKDAY,CC10,DT25,,239.0,994.0,1671.0,1269.0,691.0,408.0,331.0,308.0,320.0,327.0,305.0,352.0,619.0,776.0,400.0,269.0,185.0,137.0,27.0
WEEKDAY,CC10,DT27,,140.0,696.0,1226.0,891.0,368.0,235.0,254.0,324.0,403.0,492.0,614.0,787.0,1600.0,1807.0,1029.0,759.0,572.0,390.0,132.0
WEEKDAY,CC10,EW8,,362.0,1532.0,2156.0,1590.0,920.0,622.0,540.0,558.0,627.0,568.0,539.0,627.0,1117.0,1272.0,714.0,468.0,388.0,245.0,35.0
WEEKDAY,CC11,CC10,,414.0,1565.0,2525.0,1884.0,926.0,548.0,469.0,518.0,604.0,590.0,589.0,708.0,1330.0,1392.0,807.0,572.0,468.0,318.0,56.0
WEEKDAY,CC11,CC12,,238.0,1152.0,1433.0,1015.0,569.0,439.0,473.0,560.0,626.0,783.0,988.0,1140.0,2421.0,2724.0,1526.0,1063.0,739.0,577.0,142.0
WEEKDAY,CC12,CC11,,569.0,2023.0,3321.0,2474.0,1146.0,624.0,506.0,544.0,659.0,595.0,537.0,630.0,1121.0,1178.0,713.0,520.0,476.0,302.0,42.0
WEEKDAY,CC12,NE12,,239.0,1163.0,1493.0,1055.0,591.0,449.0,494.0,575.0,723.0,899.0,1028.0,1180.0,2456.0,2741.0,1522.0,1056.0,733.0,569.0,137.0
WEEKDAY,CC14,NE12,,1074.0,3180.0,4909.0,3813.0,2172.0,1360.0,1125.0,1193.0,1337.0,1250.0,1273.0,1474.0,2827.0,2752.0,1586.0,1131.0,882.0,496.0,65.0
WEEKDAY,CC14,NS17,,795.0,2789.0,3573.0,2226.0,1146.0,807.0,899.0,1063.0,1185.0,1281.0,1566.0,1969.0,3586.0,4008.0,2472.0,1883.0,1510.0,1052.0,300.0
WEEKDAY,CC16,CC17,1.0,849.0,2411.0,2607.0,1476.0,780.0,434.0,427.0,466.0,507.0,459.0,459.0,540.0,1079.0,1101.0,566.0,362.0,313.0,191.0,39.0
