DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,4018.0,3990.0
WEEKDAY,BP11,4186.0,3560.0
WEEKDAY,BP12,3338.0,2938.0
WEEKDAY,BP13,1920.0,1684.0
WEEKDAY,BP2,3794.0,2921.0
WEEKDAY,BP3,4765.0,3991.0
WEEKDAY,BP4,4393.0,4158.0
WEEKDAY,BP5,2464.0,1861.0
WEEKDAY,BP6,11212.0,13754.0
WEEKDAY,BP7,1728.0,1533.0
WEEKDAY,BP8,2954.0,2811.0
WEEKDAY,BP9,2871.0,2822.0
WEEKDAY,CC1-NE6-NS24,34230.0,32674.0
WEEKDAY,CC10,16849.0,15878.0
WEEKDAY,CC11,19219.0,19634.0
WEEKDAY,CC12,5863.0,5006.0
WEEKDAY,CC14,7963.0,7320.0
WEEKDAY,CC16,10731.0,10148.0
WEEKDAY,CC17,4284.0,4060.0
WEEKDAY,CC19,6766.0,7320.0
WEEKDAY,CC2,5968.0,6614.0
WEEKDAY,CC20,5236.0,5297.0
WEEKDAY,CC21,8275.0,9032.0
WEEKDAY,CC23,16409.0,16051.0
WEEKDAY,CC24,22509.0,22287.0
WEEKDAY,CC25,7533.0,6928.0
WEEKDAY,CC26,6084.0,6255.0
WEEKDAY,CC27,7945.0,8028.0
WEEKDAY,CC28,3915.0,4144.0
WEEKDAY,CC3,7953.0,7674.0
WEEKDAY,CC4-DT15,19230.0,19971.0
WEEKDAY,CC5,4801.0,5084.0
WEEKDAY,CC6,7750.0,7961.0
WEEKDAY,CC7,7129.0,7588.0
WEEKDAY,CC8,7496.0,6800.0
WEEKDAY,CE1,24914.0,24941.0
WEEKDAY,CG1,17379.0,17991.0
WEEKDAY,CG2,20940.0,20340.0
WEEKDAY,DT1,27564.0,26995.0
WEEKDAY,DT10,4689.0,3948.0
WEEKDAY,DT11,23874.0,25566.0
WEEKDAY,DT13,9340.0,9743.0
WEEKDAY,DT17,23192.0,23924.0
WEEKDAY,DT18,18340.0,19806.0
WEEKDAY,DT2,2707.0,2050.0
WEEKDAY,DT20,7114.0,8025.0
WEEKDAY,DT21,7504.0,7640.0
WEEKDAY,DT22,6807.0,7346.0
WEEKDAY,DT23,4783.0,4786.0
WEEKDAY,DT24,5327.0,5017.0
WEEKDAY,DT25,4005.0,4154.0
WEEKDAY,DT27,7732.0,7567.0
WEEKDAY,DT28,10929.0,10248.0
WEEKDAY,DT29,7287.0,6514.0
WEEKDAY,DT3,7401.0,6346.0
WEEKDAY,DT30,7457.0,7075.0
WEEKDAY,DT31,8268.0,8790.0
WEEKDAY,DT32,20045.0,21772.0
WEEKDAY,DT33,18067.0,16639.0
WEEKDAY,DT34,5139.0,4624.0
WEEKDAY,DT5,12990.0,12658.0
WEEKDAY,DT6,7831.0,6651.0
WEEKDAY,DT7,3635.0,4986.0
WEEKDAY,DT8,4141.0,4023.0
WEEKDAY,EW1,31933.0,29862.0
WEEKDAY,EW10,11422.0,11574.0
WEEKDAY,EW11,20202.0,20576.0
WEEKDAY,EW12,52490.0,55100.0
WEEKDAY,EW13-NS25,42252.0,43361.0
