PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,3809.0,3796.0
BP11,3942.0,3363.0
BP12,3119.0,2775.0
BP13,1857.0,1634.0
BP2,3496.0,2740.0
BP3,4434.0,3732.0
BP4,3565.0,3365.0
BP5,2323.0,1779.0
BP6,10838.0,13176.0
BP7,1625.0,1463.0
BP8,2764.0,2628.0
BP9,2848.0,2786.0
CC1-NE6-NS24,34194.0,32767.0
CC10,15117.0,14201.0
CC11,16211.0,16455.0
CC12,5330.0,4630.0
CC14,6975.0,6477.0
CC16,9550.0,9102.0
CC17,3633.0,3486.0
CC19,6879.0,7469.0
CC2,5508.0,6063.0
CC20,4894.0,4944.0
CC21,7796.0,8443.0
CC23,12486.0,12232.0
CC24,17786.0,17585.0
CC25,6792.0,6214.0
CC26,5203.0,5348.0
CC27,6064.0,6111.0
CC28,3640.0,3763.0
CC3,8728.0,8333.0
CC4-DT15,17966.0,18929.0
CC5,4614.0,4832.0
CC6,9092.0,9266.0
CC7,6642.0,7082.0
CC8,7094.0,6513.0
CE1,28647.0,28338.0
CG1,16384.0,17020.0
CG2,22215.0,21521.0
DT1,26182.0,25543.0
DT10,4294.0,3592.0
DT11,23634.0,24749.0
DT13,8973.0,9424.0
DT17,17548.0,18055.0
DT18,14065.0,15240.0
DT2,2382.0,1797.0
DT20,6607.0,7538.0
DT21,6983.0,7044.0
DT22,7304.0,7944.0
DT23,4010.0,4046.0
DT24,4828.0,4607.0
DT25,3649.0,3747.0
DT27,7056.0,6876.0
DT28,10057.0,9457.0
DT29,6646.0,5949.0
DT3,6918.0,5949.0
DT30,6843.0,6494.0
DT31,7428.0,7864.0
DT32,18888.0,20224.0
DT33,16344.0,15100.0
DT34,4559.0,4134.0
DT5,12469.0,12173.0
DT6,6730.0,5839.0
DT7,3367.0,4400.0
DT8,3588.0,3524.0
EW1,29846.0,28152.0
EW10,11824.0,12069.0
EW11,18976.0,19408.0
EW12,52993.0,55758.0
EW13-NS25,43491.0,44198.0
EW14-NS26,46250.0,45798.0
EW15,37802.0,39831.0
EW16,26095.0,26356.0
EW17,25918.0,26998.0
EW18,16396.0,16842.0
EW19,13775.0,12771.0
EW2,30557.0,31237.0
EW20,14420.0,13865.0
EW21,23894.0,22865.0
EW22,14335.0,14603.0
EW23,42487.0,43233.0
EW24-NS1,77112.0,81618.0
EW25,8925.0,7776.0
EW26,31753.0,27134.0
EW27,47303.0,53225.0
EW28,28936.0,21797.0
EW29,16295.0,16567.0
EW3,16482.0,16661.0
EW30,3366.0,2894.0
EW31,3854.0,3081.0
EW32,3540.0,3634.0
EW33,3286.0,3529.0
EW4,15480.0,13988.0
EW5,33035.0,32545.0
EW6,10472.0,11954.0
EW7,13821.0,15775.0
EW8,42817.0,44107.0
EW9,21787.0,21626.0
NE1,46079.0,46447.0
NE10,13358.0,13481.0
NE11,5289.0,4954.0
NE12,53965.0,57005.0
NE13,19395.0,19121.0
NE14,29527.0,27788.0
NE15,15439.0,14119.0
NE16-STC,40043.0,40934.0
NE17-PTC,36088.0,34501.0
NE4,51722.0,51869.0
NE5,13849.0,15778.0
NE7,26761.0,28955.0
NE8,27383.0,29912.0
NE9,21565.0,19039.0
NS10,44711.0,38570.0
NS11,38911.0,38511.0
NS13,51289.0,53510.0
NS14,31005.0,26970.0
NS15,26717.0,25342.0
NS16,47535.0,51015.0
NS17,44197.0,42336.0
NS18,14239.0,12920.0
NS19,36618.0,38199.0
NS2,25739.0,26597.0
NS20,36258.0,36117.0
NS21,25176.0,27525.0
NS22,59247.0,64365.0
NS23,33319.0,36054.0
NS27,5176.0,5463.0
NS28,2080.0,2045.0
NS3,17907.0,16783.0
NS4,35718.0,38385.0
NS5,29311.0,27540.0
NS7,22373.0,20747.0
NS8,23797.0,18820.0
NS9,42787.0,52507.0
PE1,3179.0,3075.0
PE2,4815.0,4431.0
PE3,5212.0,5237.0
PE4,1329.0,1268.0
PE5,4787.0,4353.0
PE6,5796.0,5496.0
PE7,3611.0,3409.0
PW1,779.0,804.0
PW3,691.0,695.0
PW4,510.0,508.0
PW5,2687.0,3066.0
PW6,1033.0,884.0
PW7,1937.0,2023.0
SE1,3747.0,3664.0
SE2,5076.0,4646.0
SE3,2892.0,2614.0
SE4,3340.0,3122.0
SE5,2306.0,2256.0
SW1,1856.0,1886.0
SW2,3593.0,3263.0
SW3,2057.0,1942.0
SW4,1256.0,1213.0
SW5,6906.0,6340.0
SW6,3061.0,2814.0
SW7,2477.0,2178.0
SW8,1846.0,1805.0
