DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,BP10,BP11,107.0
WEEKDAY,BP10,BP12,128.0
WEEKDAY,BP10,BP13,96.0
WEEKDAY,BP10,BP2,47.0
WEEKDAY,BP10,BP3,85.0
WEEKDAY,BP10,BP4,94.0
WEEKDAY,BP10,BP5,118.0
WEEKDAY,BP10,BP6,1201.0
WEEKDAY,BP10,BP7,127.0
WEEKDAY,BP10,BP8,503.0
WEEKDAY,BP10,BP9,248.0
WEEKDAY,BP10,CC11,1.0
WEEKDAY,BP10,CC16,2.0
WEEKDAY,BP10,CC19,1.0
WEEKDAY,BP10,CC20,1.0
WEEKDAY,BP10,CC23,2.0
WEEKDAY,BP10,CC24,7.0
WEEKDAY,BP10,CC25,1.0
WEEKDAY,BP10,CC26,1.0
WEEKDAY,BP10,CC27,2.0
WEEKDAY,BP10,CC4-DT15,1.0
WEEKDAY,BP10,CE1,3.0
WEEKDAY,BP10,CG1,1.0
WEEKDAY,BP10,CG2,1.0
WEEKDAY,BP10,DT11,4.0
WEEKDAY,BP10,DT13,2.0
WEEKDAY,BP10,DT17,2.0
WEEKDAY,BP10,DT18,2.0
WEEKDAY,BP10,DT32,1.0
WEEKDAY,BP10,DT33,1.0
WEEKDAY,BP10,DT5,5.0
WEEKDAY,BP10,DT6,2.0
WEEKDAY,BP10,DT7,2.0
WEEKDAY,BP10,DT8,1.0
WEEKDAY,BP10,EW11,1.0
WEEKDAY,BP10,EW12,3.0
WEEKDAY,BP10,EW13-NS25,2.0
WEEKDAY,BP10,EW14-NS26,2.0
WEEKDAY,BP10,EW15,3.0
WEEKDAY,BP10,EW16,2.0
WEEKDAY,BP10,EW17,4.0
WEEKDAY,BP10,EW18,5.0
WEEKDAY,BP10,EW19,7.0
WEEKDAY,BP10,EW20,7.0
WEEKDAY,BP10,EW21,11.0
WEEKDAY,BP10,EW22,54.0
WEEKDAY,BP10,EW23,37.0
WEEKDAY,BP10,EW24-NS1,250.0
WEEKDAY,BP10,EW25,4.0
WEEKDAY,BP10,EW26,20.0
WEEKDAY,BP10,EW27,60.0
WEEKDAY,BP10,EW28,23.0
WEEKDAY,BP10,EW29,40.0
WEEKDAY,BP10,EW30,10.0
WEEKDAY,BP10,EW31,4.0
WEEKDAY,BP10,EW32,8.0
WEEKDAY,BP10,EW33,4.0
WEEKDAY,BP10,EW5,1.0
WEEKDAY,BP10,EW7,1.0
WEEKDAY,BP10,EW8,1.0
WEEKDAY,BP10,EW9,1.0
WEEKDAY,BP10,NE1,2.0
WEEKDAY,BP10,NE12,1.0
WEEKDAY,BP10,NE4,2.0
WEEKDAY,BP10,NE7,1.0
WEEKDAY,BP10,NE8,1.0
WEEKDAY,BP10,NE9,1.0
WEEKDAY,BP10,NS10,22.0
WEEKDAY,BP10,NS11,17.0
WEEKDAY,BP10,NS13,16.0
WEEKDAY,BP10,NS14,9.0
WEEKDAY,BP10,NS15,39.0
WEEKDAY,BP10,NS16,16.0
WEEKDAY,BP10,NS17,3.0
WEEKDAY,BP10,NS18,1.0
WEEKDAY,BP10,NS19,3.0
WEEKDAY,BP10,NS2,44.0
WEEKDAY,BP10,NS20,2.0
WEEKDAY,BP10,NS22,1.0
WEEKDAY,BP10,NS3,26.0
WEEKDAY,BP10,NS4,271.0
WEEKDAY,BP10,NS5,47.0
WEEKDAY,BP10,NS7,40.0
WEEKDAY,BP10,NS8,8.0
WEEKDAY,BP10,NS9,41.0
WEEKDAY,BP11,BP10,123.0
WEEKDAY,BP11,BP12,82.0
WEEKDAY,BP11,BP13,87.0
WEEKDAY,BP11,BP2,62.0
WEEKDAY,BP11,BP3,73.0
WEEKDAY,BP11,BP4,105.0
WEEKDAY,BP11,BP5,128.0
WEEKDAY,BP11,BP6,1374.0
WEEKDAY,BP11,BP7,78.0
WEEKDAY,BP11,BP8,323.0
WEEKDAY,BP11,BP9,190.0
WEEKDAY,BP11,CC10,1.0
WEEKDAY,BP11,CC11,1.0
WEEKDAY,BP11,CC19,1.0
WEEKDAY,BP11,CC2,1.0
WEEKDAY,BP11,CC23,3.0
WEEKDAY,BP11,CC24,7.0
WEEKDAY,BP11,CC25,1.0
WEEKDAY,BP11,CC26,1.0
WEEKDAY,BP11,CC27,1.0
WEEKDAY,BP11,CC3,1.0
WEEKDAY,BP11,CC4-DT15,1.0
WEEKDAY,BP11,CE1,3.0
WEEKDAY,BP11,CG1,1.0
WEEKDAY,BP11,CG2,1.0
WEEKDAY,BP11,DT1,1.0
WEEKDAY,BP11,DT11,6.0
WEEKDAY,BP11,DT13,2.0
WEEKDAY,BP11,DT17,2.0
WEEKDAY,BP11,DT18,3.0
WEEKDAY,BP11,DT3,1.0
WEEKDAY,BP11,DT5,6.0
WEEKDAY,BP11,DT6,3.0
WEEKDAY,BP11,DT7,1.0
WEEKDAY,BP11,DT8,2.0
WEEKDAY,BP11,EW11,1.0
WEEKDAY,BP11,EW12,3.0
WEEKDAY,BP11,EW13-NS25,2.0
WEEKDAY,BP11,EW14-NS26,1.0
WEEKDAY,BP11,EW15,5.0
WEEKDAY,BP11,EW16,3.0
WEEKDAY,BP11,EW17,8.0
WEEKDAY,BP11,EW18,16.0
WEEKDAY,BP11,EW19,13.0
WEEKDAY,BP11,EW2,1.0
WEEKDAY,BP11,EW20,16.0
WEEKDAY,BP11,EW21,8.0
WEEKDAY,BP11,EW22,64.0
WEEKDAY,BP11,EW23,67.0
WEEKDAY,BP11,EW24-NS1,342.0
WEEKDAY,BP11,EW25,3.0
WEEKDAY,BP11,EW26,26.0
WEEKDAY,BP11,EW27,71.0
WEEKDAY,BP11,EW28,35.0
WEEKDAY,BP11,EW29,50.0
WEEKDAY,BP11,EW30,9.0
WEEKDAY,BP11,EW31,4.0
WEEKDAY,BP11,EW32,7.0
WEEKDAY,BP11,EW33,3.0
WEEKDAY,BP11,EW4,1.0
WEEKDAY,BP11,EW5,1.0
WEEKDAY,BP11,EW7,1.0
WEEKDAY,BP11,EW8,1.0
WEEKDAY,BP11,EW9,1.0
WEEKDAY,BP11,NE1,3.0
WEEKDAY,BP11,NE12,1.0
WEEKDAY,BP11,NE4,2.0
WEEKDAY,BP11,NE5,1.0
WEEKDAY,BP11,NE7,2.0
WEEKDAY,BP11,NE8,1.0
WEEKDAY,BP11,NE9,1.0
WEEKDAY,BP11,NS10,30.0
WEEKDAY,BP11,NS11,22.0
WEEKDAY,BP11,NS13,23.0
WEEKDAY,BP11,NS14,7.0
WEEKDAY,BP11,NS15,52.0
WEEKDAY,BP11,NS16,15.0
WEEKDAY,BP11,NS17,2.0
WEEKDAY,BP11,NS19,2.0
WEEKDAY,BP11,NS2,51.0
WEEKDAY,BP11,NS20,2.0
WEEKDAY,BP11,NS22,1.0
WEEKDAY,BP11,NS3,31.0
WEEKDAY,BP11,NS4,295.0
WEEKDAY,BP11,NS5,64.0
WEEKDAY,BP11,NS7,35.0
WEEKDAY,BP11,NS8,14.0
WEEKDAY,BP11,NS9,62.0
WEEKDAY,BP12,BP10,114.0
WEEKDAY,BP12,BP11,72.0
WEEKDAY,BP12,BP13,36.0
WEEKDAY,BP12,BP2,51.0
WEEKDAY,BP12,BP3,74.0
WEEKDAY,BP12,BP4,73.0
WEEKDAY,BP12,BP5,95.0
WEEKDAY,BP12,BP6,1263.0
WEEKDAY,BP12,BP7,34.0
WEEKDAY,BP12,BP8,154.0
WEEKDAY,BP12,BP9,146.0
WEEKDAY,BP12,CC1-NE6-NS24,1.0
WEEKDAY,BP12,CC10,1.0
WEEKDAY,BP12,CC11,1.0
WEEKDAY,BP12,CC16,1.0
