,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,183.7,448.0,630.6,412.6,294.2,227.0,206.9,213.7,191.4,159.0,137.3,138.5,186.5,195.5,142.1,95.3,76.2,55.5,24.0,0.0,17.4,68.0,146.8,151.1,151.6,129.7,149.0,163.0,185.0,170.6,189.1,242.4,338.9,556.6,454.9,306.5,256.7,204.5,108.2
BP10,WEEKENDS/HOLIDAY,0.0,99.4,170.6,206.6,231.1,277.4,284.4,265.0,245.4,218.4,176.7,173.0,170.8,186.6,185.4,153.8,103.1,80.4,65.1,27.6,0.0,15.8,51.2,100.7,144.3,190.0,183.8,189.2,192.9,198.0,204.2,195.8,202.4,223.0,255.8,262.9,227.4,207.8,193.9,104.4
BP11,WEEKDAY,0.0,179.1,483.2,748.5,487.3,302.2,215.5,195.8,215.9,188.3,154.9,125.8,140.8,189.5,200.0,137.6,90.1,72.7,45.1,13.5,0.0,11.8,51.4,129.4,101.1,104.3,90.4,104.0,134.7,147.7,140.7,138.7,209.3,310.8,524.1,472.3,319.5,271.5,203.7,95.2
BP11,WEEKENDS/HOLIDAY,0.0,92.9,166.4,220.6,253.3,292.9,275.1,255.7,259.4,232.4,200.6,167.4,172.9,201.1,187.7,143.2,101.1,87.2,47.6,16.8,0.0,5.8,20.1,60.3,82.8,114.1,130.0,139.6,165.6,181.4,174.9,172.4,182.8,215.2,237.2,255.8,233.6,229.4,200.9,99.9
BP12,WEEKDAY,0.0,101.3,304.3,603.7,422.0,232.9,165.0,151.9,179.3,152.1,129.2,111.8,126.1,184.8,155.6,117.5,82.0,62.5,41.9,13.9,0.0,4.1,47.4,175.7,129.9,99.0,94.2,92.3,114.1,136.9,115.9,119.0,163.0,230.3,384.0,362.9,237.5,196.1,157.8,77.8
BP12,WEEKENDS/HOLIDAY,0.0,55.0,115.2,171.6,208.6,208.8,240.2,188.1,202.3,189.4,143.2,115.6,135.2,153.1,144.6,127.7,82.7,64.7,50.6,11.1,0.0,3.3,19.8,88.2,114.8,116.7,138.2,136.1,154.2,145.0,135.4,133.4,136.8,154.9,171.2,196.1,171.3,165.7,140.3,73.3
BP13,WEEKDAY,0.0,84.6,213.9,289.7,233.5,152.4,107.2,105.1,98.3,89.5,69.0,58.6,61.3,89.4,92.0,69.6,43.7,40.6,17.5,4.0,0.0,8.5,21.2,53.0,51.9,50.2,55.5,59.7,72.9,81.9,82.6,75.9,108.3,134.3,221.3,201.8,143.6,115.5,103.7,41.7
BP13,WEEKENDS/HOLIDAY,0.0,40.0,88.0,111.4,147.8,171.8,142.6,128.9,123.4,104.3,90.6,87.3,88.2,111.0,98.0,69.8,45.3,36.6,20.8,4.1,0.0,5.0,14.1,56.0,62.8,70.1,84.6,96.6,99.6,90.8,96.6,97.6,101.7,96.0,103.1,109.7,110.6,88.7,96.1,38.4
BP2,WEEKDAY,0.0,117.2,355.2,815.6,615.2,292.3,192.1,159.9,159.0,180.8,116.1,100.2,103.7,149.2,171.2,114.1,65.7,43.1,34.9,7.9,0.0,15.1,54.7,97.3,95.1,68.0,58.4,69.0,97.6,105.6,106.5,117.1,157.7,230.5,412.8,403.0,268.3,262.1,217.2,84.8
BP2,WEEKENDS/HOLIDAY,0.0,56.2,140.4,196.3,235.7,233.9,239.2,215.1,215.0,191.4,170.7,153.2,146.2,158.0,165.2,114.8,65.6,45.1,46.9,12.3,0.0,7.2,25.7,43.8,65.0,77.8,84.8,97.8,116.0,138.4,138.2,144.8,139.1,161.1,178.7,202.2,208.2,214.8,192.1,83.2
BP3,WEEKDAY,0.0,136.9,465.5,992.4,699.4,322.8,229.5,214.1,209.1,189.0,146.1,134.0,160.0,224.4,209.3,169.0,101.3,82.2,57.3,22.6,0.0,7.5,61.6,107.0,97.9,89.7,79.4,102.9,126.9,163.0,176.9,162.1,219.5,355.3,626.1,582.4,358.5,311.6,262.7,100.3
BP3,WEEKENDS/HOLIDAY,0.0,78.0,170.0,248.8,275.1,299.1,288.9,300.6,266.1,256.3,214.7,201.7,189.8,229.1,224.8,166.9,102.6,67.6,59.7,23.0,0.0,5.9,30.2,59.6,81.2,82.3,104.3,130.8,151.9,192.0,189.4,197.7,209.3,238.8,260.4,294.8,279.2,271.8,234.2,114.6
BP4,WEEKDAY,0.0,57.3,192.1,359.0,248.2,138.6,147.1,302.3,382.7,224.1,275.3,369.1,553.1,520.3,216.3,126.0,102.5,111.4,56.2,11.0,0.0,14.2,51.3,340.1,680.3,590.5,320.5,142.2,253.8,242.8,140.7,108.8,116.9,175.1,289.0,239.4,159.9,137.0,110.5,44.8
BP4,WEEKENDS/HOLIDAY,0.0,30.8,78.9,104.7,110.6,125.9,116.9,115.9,123.0,108.8,99.9,99.9,94.7,111.1,97.9,86.2,54.1,39.8,22.4,11.2,0.0,8.8,23.1,37.8,82.8,57.7,58.6,61.7,73.3,91.6,86.3,90.2,93.7,116.3,124.2,119.2,116.7,116.4,104.8,50.8
BP5,WEEKDAY,0.0,42.9,154.1,318.7,226.5,137.8,109.0,108.5,122.0,112.1,96.3,100.8,117.8,198.1,200.6,148.7,97.5,85.1,65.4,22.0,0.0,19.8,54.4,116.7,120.5,88.8,62.4,66.3,78.6,97.3,92.0,86.0,104.9,146.0,207.1,175.2,119.3,110.4,81.6,33.5
BP5,WEEKENDS/HOLIDAY,0.0,30.4,53.9,97.7,111.9,123.4,133.3,151.7,155.6,131.4,126.2,118.8,119.4,145.7,132.1,115.0,75.3,82.9,62.0,26.4,0.0,12.2,30.3,58.8,79.2,86.0,98.6,93.8,101.0,110.6,95.4,85.2,94.4,92.7,117.7,109.6,105.7,95.7,84.3,36.6
BP6,WEEKDAY,0.0,27.9,188.1,441.0,390.5,289.4,261.3,318.8,454.9,516.1,468.5,484.1,622.6,918.5,1565.1,1544.5,1000.5,847.0,656.9,216.6,0.0,426.3,904.0,2081.7,1842.3,937.2,665.2,651.5,718.0,635.4,547.0,520.9,563.0,767.7,974.5,646.0,362.4,260.1,182.0,68.2
BP6,WEEKENDS/HOLIDAY,0.0,17.4,71.2,177.6,247.3,293.3,346.0,432.7,545.3,637.7,649.2,652.4,688.6,761.4,858.2,910.4,870.4,830.8,721.0,252.6,0.3,219.7,416.2,598.7,807.3,902.4,907.7,891.3,914.1,922.0,796.8,706.2,679.0,775.0,744.0,614.4,390.1,257.6,203.4,83.8
BP7,WEEKDAY,0.0,70.8,179.5,294.6,189.3,122.2,95.6,82.2,79.1,78.7,60.0,50.9,67.3,80.6,90.9,69.2,48.9,36.8,24.4,6.9,0.0,24.8,30.3,49.2,49.5,51.6,54.8,59.4,68.4,80.7,78.5,74.1,91.2,127.0,202.1,160.9,113.5,95.8,85.4,35.3
BP7,WEEKENDS/HOLIDAY,0.0,38.9,63.7,87.4,105.3,111.0,117.2,100.6,101.8,91.3,79.9,75.6,75.1,81.0,82.9,56.4,44.9,34.6,27.3,9.0,0.0,10.9,16.0,23.6,46.9,55.0,74.3,78.3,85.8,90.4,91.9,80.9,88.1,85.1,94.4,86.2,92.4,82.7,82.0,36.9
BP8,WEEKDAY,0.0,91.4,220.0,306.6,189.9,137.4,115.5,113.5,127.9,148.7,110.3,115.2,150.6,217.8,278.7,217.5,143.3,126.1,109.7,34.0,0.0,50.0,183.0,306.0,255.3,154.5,109.1,99.0,123.0,130.6,110.7,102.6,120.5,173.2,262.9,217.1,148.4,118.7,100.8,45.3
