PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,4263,4262
BP11,4525,3840
BP12,3949,3442
BP13,2141,1855
BP2,4189,3235
BP3,5057,4227
BP4,4184,3937
BP5,2554,1958
BP6,12994,16289
BP7,1890,1679
BP8,3149,2938
BP9,3392,3302
CC1-NE6-NS24,36272,34831
CC10,15943,14939
CC11,17342,17540
CC12,6539,5593
CC14,7342,6897
CC16,10781,10212
CC17,3839,3686
CC19,7566,8247
CC2,5203,5460
CC20,5501,5498
CC21,8552,9160
CC23,13925,13814
CC24,18218,18070
CC25,7235,6707
CC26,5337,5442
CC27,6934,6950
CC28,3831,4075
CC3,9196,8536
CC4-DT15,19235,19665
CC5,5279,5439
CC6,10286,10581
CC7,7640,7799
CC8,8527,7589
CE1,34080,33031
CG1,14889,15482
CG2,25097,24041
DT1,29960,29522
DT10,5258,4194
DT11,29064,31784
DT13,9454,9723
DT17,21275,21769
DT18,16512,17634
DT2,2862,2231
DT20,7263,8203
DT21,7293,7294
DT22,7579,8057
DT23,4434,4521
DT24,5148,4901
DT25,3827,3932
DT27,7651,7439
DT28,10676,10011
DT29,6909,6275
DT3,7678,6632
DT30,7495,7180
DT31,7930,8453
DT32,20167,22012
DT33,17699,16424
DT34,4673,4331
DT5,13922,13675
DT6,7504,6579
DT7,3709,4534
DT8,5001,4603
EW1,31776,30283
EW10,12712,12977
EW11,20902,21191
EW12,58148,60145
EW13-NS25,48618,49425
EW14-NS26,54585,53530
EW15,42609,44800
EW16,28566,28159
EW17,27726,28993
EW18,17974,18520
EW19,14753,13797
EW2,32840,33402
EW20,15727,15191
EW21,26669,24902
EW22,14631,14794
EW23,45082,45946
EW24-NS1,78112,82428
EW25,9227,8236
EW26,33420,29015
EW27,48040,55244
EW28,30070,22877
EW29,16679,16977
EW3,17854,18171
EW30,3232,2659
EW31,3884,3178
EW32,3538,3499
EW33,3363,3627
EW4,17291,15507
EW5,34933,34414
EW6,11298,13026
EW7,14406,16621
EW8,39448,40237
EW9,23862,23514
NE1,50380,50183
NE10,14732,14869
NE11,5129,4759
NE12,57593,60888
NE13,20964,20899
NE14,31875,30257
NE15,16543,15303
NE16-STC,42266,43138
NE17-PTC,38111,36588
NE4,57169,57149
NE5,15892,17905
NE7,29105,31038
NE8,29196,31727
NE9,22119,19625
NS10,46977,40600
NS11,43395,42442
NS13,56860,59751
NS14,33243,29304
NS15,30590,28508
NS16,50716,54158
NS17,48060,46248
NS18,15496,14006
NS19,39590,41342
NS2,27281,28116
NS20,39641,39383
NS21,31382,33941
NS22,60697,65148
NS23,34571,37082
NS27,5785,6088
NS28,1800,1691
NS3,18808,17678
NS4,38429,41043
NS5,31474,29842
NS7,21783,20163
NS8,25198,19767
NS9,45842,55865
PE1,3524,3477
PE2,5415,5013
PE3,5670,5713
PE4,1456,1388
PE5,5302,4932
PE6,6048,5828
PE7,3859,3633
PW1,735,767
PW3,747,750
PW4,514,529
PW5,2767,2986
PW6,1095,925
PW7,1991,2136
SE1,4266,4236
SE2,5501,5071
SE3,3188,2905
SE4,3626,3399
SE5,2738,2727
SW1,1914,1922
SW2,3720,3454
SW3,2205,2081
SW4,1062,1057
SW5,7384,6723
SW6,3537,3321
SW7,2811,2520
SW8,2042,1997
