ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
BP11,DT5,5.0,431
BP11,DT6,3.0,269
BP11,DT7,2.0,184
BP11,DT8,3.0,161
BP11,EW1,0.0,178
BP11,EW10,0.0,146
BP11,EW11,1.0,307
BP11,EW12,4.0,777
BP11,EW13-NS25,1.0,256
BP11,EW14-NS26,1.0,246
BP11,EW15,5.0,347
BP11,EW16,3.0,476
BP11,EW17,7.0,581
BP11,EW18,10.0,519
BP11,EW19,11.0,510
BP11,EW2,1.0,185
BP11,EW20,12.0,526
BP11,EW21,10.0,843
BP11,EW22,44.0,534
BP11,EW23,62.0,581
BP11,EW24-NS1,304.0,581
BP11,EW25,3.0,426
BP11,EW26,30.0,581
BP11,EW27,65.0,589
BP11,EW28,24.0,550
BP11,EW29,34.0,534
BP11,EW3,0.0,77
BP11,EW30,8.0,270
BP11,EW31,4.0,185
BP11,EW32,7.0,162
BP11,EW33,3.0,239
BP11,EW4,1.0,123
BP11,EW5,1.0,247
BP11,EW6,0.0,85
BP11,EW7,0.0,162
BP11,EW8,2.0,440
BP11,EW9,1.0,324
BP11,NE1,3.0,524
BP11,NE10,0.0,138
BP11,NE11,0.0,23
BP11,NE12,1.0,430
BP11,NE13,1.0,146
BP11,NE14,1.0,299
BP11,NE15,0.0,77
BP11,NE16-STC,0.0,207
BP11,NE17-PTC,0.0,207
BP11,NE4,4.0,561
BP11,NE5,1.0,322
BP11,NE7,2.0,569
BP11,NE8,1.0,307
BP11,NE9,1.0,230
BP11,NS10,27.0,581
BP11,NS11,25.0,581
BP11,NS13,22.0,581
BP11,NS14,10.0,565
BP11,NS15,47.0,550
BP11,NS16,15.0,573
BP11,NS17,3.0,631
BP11,NS18,0.0,192
BP11,NS19,2.0,378
BP11,NS2,56.0,589
BP11,NS20,2.0,246
BP11,NS21,0.0,69
BP11,NS22,1.0,278
BP11,NS23,0.0,170
BP11,NS27,0.0,69
BP11,NS28,0.0,8
BP11,NS3,37.0,581
BP11,NS4,335.0,1178
BP11,NS5,62.0,589
BP11,NS7,36.0,581
BP11,NS8,13.0,566
BP11,NS9,60.0,589
BP11,PE2,0.0,31
BP11,PW3,0.0,23
BP11,PW5,0.0,23
BP11,PW7,0.0,46
BP11,SE1,0.0,46
BP11,SW3,0.0,23
BP11,SW5,0.0,54
BP11,SW6,0.0,23
BP12,BP10,160.0,589
BP12,BP11,69.0,589
BP12,BP13,60.0,589
BP12,BP2,79.0,589
BP12,BP3,100.0,581
BP12,BP4,71.0,589
BP12,BP5,113.0,589
BP12,BP6,1624.0,589
BP12,BP7,50.0,589
BP12,BP8,184.0,589
BP12,BP9,199.0,589
BP12,CC1-NE6-NS24,1.0,261
BP12,CC10,1.0,230
BP12,CC11,1.0,207
BP12,CC12,0.0,115
BP12,CC14,0.0,69
BP12,CC16,1.0,161
BP12,CC17,0.0,46
BP12,CC19,0.0,138
BP12,CC2,0.0,69
BP12,CC20,1.0,100
BP12,CC21,1.0,315
BP12,CC23,2.0,230
BP12,CC24,3.0,369
BP12,CC25,0.0,138
BP12,CC26,1.0,215
BP12,CC27,1.0,146
BP12,CC28,0.0,69
BP12,CC3,0.0,92
BP12,CC4-DT15,1.0,269
BP12,CC5,0.0,115
BP12,CC6,0.0,69
BP12,CC7,0.0,69
BP12,CC8,0.0,92
BP12,CE1,1.0,261
BP12,CG1,1.0,131
BP12,CG2,1.0,378
BP12,DT1,0.0,92
BP12,DT10,2.0,207
BP12,DT11,6.0,445
BP12,DT13,2.0,230
BP12,DT17,2.0,161
BP12,DT18,2.0,192
BP12,DT2,0.0,69
BP12,DT20,1.0,161
BP12,DT21,0.0,69
BP12,DT22,0.0,46
BP12,DT23,1.0,92
BP12,DT24,0.0,115
BP12,DT25,0.0,46
BP12,DT27,1.0,161
BP12,DT28,0.0,92
BP12,DT29,0.0,69
BP12,DT3,1.0,215
BP12,DT30,0.0,92
BP12,DT31,1.0,138
BP12,DT32,1.0,192
BP12,DT33,0.0,230
BP12,DT34,0.0,92
BP12,DT5,4.0,384
BP12,DT6,3.0,276
BP12,DT7,2.0,207
BP12,DT8,2.0,276
BP12,EW1,0.0,201
BP12,EW10,0.0,147
BP12,EW11,1.0,286
BP12,EW12,3.0,615
BP12,EW13-NS25,2.0,294
BP12,EW14-NS26,2.0,238
BP12,EW15,2.0,278
BP12,EW16,2.0,523
BP12,EW17,8.0,527
BP12,EW18,9.0,472
BP12,EW19,5.0,410
BP12,EW2,1.0,170
BP12,EW20,8.0,434
BP12,EW21,8.0,780
BP12,EW22,33.0,518
BP12,EW23,43.0,581
BP12,EW24-NS1,220.0,581
BP12,EW25,3.0,402
BP12,EW26,23.0,558
BP12,EW27,41.0,550
BP12,EW28,31.0,573
BP12,EW29,36.0,496
BP12,EW3,0.0,184
BP12,EW30,6.0,178
BP12,EW31,5.0,162
BP12,EW32,2.0,216
BP12,EW33,2.0,309
BP12,EW4,1.0,169
BP12,EW5,1.0,201
BP12,EW6,0.0,123
BP12,EW7,0.0,123
BP12,EW8,2.0,401
BP12,EW9,1.0,169
BP12,NE1,3.0,630
BP12,NE10,1.0,69
BP12,NE11,0.0,23
BP12,NE12,1.0,361
BP12,NE13,0.0,261
BP12,NE14,1.0,207
BP12,NE15,0.0,92
BP12,NE16-STC,1.0,261
BP12,NE17-PTC,1.0,246
BP12,NE4,4.0,553
BP12,NE5,1.0,170
BP12,NE7,3.0,644
BP12,NE8,2.0,369
BP12,NE9,1.0,161
BP12,NS10,24.0,573
BP12,NS11,37.0,589
BP12,NS13,24.0,589
BP12,NS14,9.0,550
BP12,NS15,36.0,526
BP12,NS16,14.0,565
BP12,NS17,3.0,593
BP12,NS18,1.0,208
BP12,NS19,1.0,347
BP12,NS2,41.0,589
BP12,NS20,2.0,277
BP12,NS21,0.0,54
BP12,NS22,1.0,224
BP12,NS23,0.0,238
BP12,NS28,0.0,23
BP12,NS3,33.0,589
BP12,NS4,262.0,1178
BP12,NS5,55.0,589
BP12,NS7,24.0,581
BP12,NS8,23.0,565
BP12,NS9,59.0,581
BP12,PE2,0.0,31
BP12,PE3,0.0,23
BP12,PW1,0.0,23
BP12,PW3,0.0,23
BP12,PW4,0.0,23
BP12,PW5,0.0,31
BP12,SE1,0.0,23
BP12,SE2,0.0,23
BP12,SE4,0.0,46
BP12,SW3,0.0,23
BP12,SW5,0.0,23
BP13,BP10,124.0,589
BP13,BP11,96.0,589
BP13,BP12,73.0,581
BP13,BP2,47.0,589
BP13,BP3,49.0,589
BP13,BP4,51.0,550
BP13,BP5,32.0,589
BP13,BP6,590.0,589
BP13,BP7,14.0,581
BP13,BP8,53.0,581
BP13,BP9,156.0,581
BP13,CC1-NE6-NS24,1.0,230
BP13,CC10,0.0,31
BP13,CC11,0.0,115
BP13,CC12,0.0,46
BP13,CC14,0.0,115
BP13,CC16,0.0,92
BP13,CC17,0.0,46
BP13,CC19,0.0,138
BP13,CC2,0.0,92
BP13,CC20,0.0,46
BP13,CC21,0.0,85
BP13,CC23,0.0,115
BP13,CC24,1.0,293
BP13,CC25,0.0,92
BP13,CC26,0.0,69
BP13,CC27,0.0,69
BP13,CC28,0.0,123
BP13,CC3,0.0,31
BP13,CC4-DT15,1.0,161
BP13,CC5,0.0,92
BP13,CC6,0.0,69
BP13,CC7,0.0,23
BP13,CC8,0.0,23
BP13,CE1,0.0,192
BP13,CG1,0.0,77
BP13,CG2,1.0,247
BP13,DT1,0.0,54
BP13,DT10,1.0,138
BP13,DT11,4.0,376
BP13,DT13,1.0,253
BP13,DT17,1.0,161
BP13,DT18,1.0,161
BP13,DT2,0.0,46
BP13,DT20,0.0,92
BP13,DT21,0.0,23
BP13,DT23,0.0,69
BP13,DT25,0.0,69
BP13,DT27,0.0,46
BP13,DT28,0.0,46
BP13,DT29,0.0,46
BP13,DT3,0.0,69
BP13,DT30,0.0,46
BP13,DT31,0.0,161
BP13,DT32,0.0,115
BP13,DT33,0.0,46
BP13,DT34,0.0,23
BP13,DT5,1.0,261
BP13,DT6,1.0,230
BP13,DT7,0.0,46
BP13,DT8,2.0,123
BP13,EW1,0.0,100
BP13,EW10,0.0,92
BP13,EW11,1.0,216
BP13,EW12,1.0,469
BP13,EW13-NS25,1.0,239
BP13,EW14-NS26,1.0,200
BP13,EW15,2.0,224
BP13,EW16,2.0,447
BP13,EW17,8.0,487
BP13,EW18,6.0,434
BP13,EW19,6.0,417
BP13,EW2,0.0,31
BP13,EW20,6.0,480
BP13,EW21,4.0,549
BP13,EW22,28.0,448
BP13,EW23,34.0,542
BP13,EW24-NS1,200.0,558
BP13,EW25,1.0,202
BP13,EW26,7.0,518
BP13,EW27,31.0,589
BP13,EW28,8.0,511
BP13,EW29,19.0,433
BP13,EW3,0.0,77
BP13,EW30,2.0,169
BP13,EW31,4.0,162
BP13,EW32,4.0,131
BP13,EW33,1.0,293
BP13,EW4,0.0,69
BP13,EW5,0.0,115
BP13,EW6,0.0,69
