DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
WEEKDAY,NS11,45786.0,44765.0,23
WEEKDAY,NS13,59972.0,63323.0,23
WEEKDAY,NS14,35748.0,31488.0,23
WEEKDAY,NS15,35942.0,33612.0,23
WEEKDAY,NS16,53342.0,57067.0,23
WEEKDAY,NS17,51346.0,49310.0,23
WEEKDAY,NS18,16675.0,14988.0,23
WEEKDAY,NS19,41383.0,43296.0,23
WEEKDAY,NS2,28837.0,29693.0,23
WEEKDAY,NS20,43161.0,42886.0,23
WEEKDAY,NS21,32816.0,35339.0,23
WEEKDAY,NS22,57093.0,61629.0,23
WEEKDAY,NS23,34405.0,37132.0,23
WEEKDAY,NS27,7093.0,6976.0,23
WEEKDAY,NS28,1543.0,1501.0,23
WEEKDAY,NS3,19792.0,18548.0,23
WEEKDAY,NS4,40636.0,43626.0,23
WEEKDAY,NS5,33868.0,31856.0,23
WEEKDAY,NS7,21627.0,20137.0,23
WEEKDAY,NS8,27044.0,21058.0,23
WEEKDAY,NS9,47991.0,59651.0,23
WEEKDAY,PE1,3669.0,3643.0,23
WEEKDAY,PE2,5746.0,5296.0,23
WEEKDAY,PE3,5880.0,5967.0,23
WEEKDAY,PE4,1469.0,1379.0,23
WEEKDAY,PE5,5662.0,5290.0,23
WEEKDAY,PE6,6250.0,6037.0,23
WEEKDAY,PE7,4035.0,3842.0,23
WEEKDAY,PW1,617.0,670.0,23
WEEKDAY,PW3,764.0,771.0,23
WEEKDAY,PW4,519.0,554.0,23
WEEKDAY,PW5,2740.0,3073.0,23
WEEKDAY,PW6,1155.0,975.0,23
WEEKDAY,PW7,2110.0,2248.0,23
WEEKDAY,SE1,4533.0,4545.0,23
WEEKDAY,SE2,5786.0,5325.0,23
WEEKDAY,SE3,3391.0,3079.0,23
WEEKDAY,SE4,3752.0,3525.0,23
WEEKDAY,SE5,2927.0,2953.0,23
WEEKDAY,SW1,2097.0,2119.0,23
WEEKDAY,SW2,3661.0,3405.0,23
WEEKDAY,SW3,2375.0,2239.0,23
WEEKDAY,SW4,1060.0,1043.0,23
WEEKDAY,SW5,7566.0,6815.0,23
WEEKDAY,SW6,3839.0,3611.0,23
WEEKDAY,SW7,2983.0,2672.0,23
WEEKDAY,SW8,2167.0,2131.0,23
WEEKENDS/HOLIDAY,BP10,3611.0,3633.0,8
WEEKENDS/HOLIDAY,BP11,3629.0,3196.0,8
WEEKENDS/HOLIDAY,BP12,2922.0,2693.0,8
WEEKENDS/HOLIDAY,BP13,1890.0,1667.0,8
WEEKENDS/HOLIDAY,BP2,3178.0,2642.0,8
WEEKENDS/HOLIDAY,BP3,4006.0,3422.0,8
WEEKENDS/HOLIDAY,BP4,1949.0,1813.0,8
WEEKENDS/HOLIDAY,BP5,2039.0,1624.0,8
WEEKENDS/HOLIDAY,BP6,11371.0,13442.0,8
WEEKENDS/HOLIDAY,BP7,1536.0,1406.0,8
WEEKENDS/HOLIDAY,BP8,2455.0,2337.0,8
WEEKENDS/HOLIDAY,BP9,2871.0,2842.0,8
WEEKENDS/HOLIDAY,CC1-NE6-NS24,36784.0,35720.0,8
WEEKENDS/HOLIDAY,CC10,11079.0,10330.0,8
WEEKENDS/HOLIDAY,CC11,9415.0,9213.0,8
WEEKENDS/HOLIDAY,CC12,4337.0,3972.0,8
WEEKENDS/HOLIDAY,CC14,4665.0,4505.0,8
WEEKENDS/HOLIDAY,CC16,6985.0,6895.0,8
WEEKENDS/HOLIDAY,CC17,2110.0,2151.0,8
WEEKENDS/HOLIDAY,CC19,8147.0,8917.0,8
WEEKENDS/HOLIDAY,CC2,4990.0,4783.0,8
WEEKENDS/HOLIDAY,CC20,4195.0,4242.0,8
WEEKENDS/HOLIDAY,CC21,7293.0,7628.0,8
WEEKENDS/HOLIDAY,CC23,3320.0,3284.0,8
WEEKENDS/HOLIDAY,CC24,6825.0,6863.0,8
WEEKENDS/HOLIDAY,CC25,5216.0,4741.0,8
WEEKENDS/HOLIDAY,CC26,3066.0,3185.0,8
