,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ORIGIN_PT_CODE,DESTINATION_PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,
BP10,BP11,WEEKDAY,,,2.0,10.0,5.0,6.0,8.0,11.0,6.0,7.0,7.0,8.0,6.0,8.0,10.0,9.0,7.0,3.0,2.0,1.0
BP10,BP11,WEEKENDS/HOLIDAY,,,1.0,3.0,5.0,11.0,14.0,12.0,12.0,8.0,9.0,7.0,7.0,9.0,7.0,7.0,5.0,3.0,3.0,2.0
BP10,BP12,WEEKDAY,,1.0,16.0,41.0,9.0,9.0,10.0,11.0,9.0,9.0,7.0,10.0,6.0,9.0,9.0,9.0,10.0,5.0,2.0,1.0
BP10,BP12,WEEKENDS/HOLIDAY,,,3.0,4.0,14.0,15.0,18.0,16.0,12.0,9.0,8.0,13.0,10.0,9.0,8.0,9.0,6.0,5.0,4.0,1.0
BP10,BP13,WEEKDAY,,3.0,3.0,7.0,8.0,6.0,9.0,7.0,7.0,7.0,4.0,5.0,6.0,9.0,10.0,7.0,6.0,5.0,3.0,1.0
BP10,BP13,WEEKENDS/HOLIDAY,,1.0,2.0,6.0,10.0,12.0,12.0,14.0,11.0,8.0,4.0,6.0,8.0,5.0,5.0,6.0,5.0,6.0,2.0,1.0
BP10,BP2,WEEKDAY,,2.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0
BP10,BP2,WEEKENDS/HOLIDAY,,1.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,2.0
BP10,BP3,WEEKDAY,,2.0,4.0,13.0,4.0,3.0,3.0,3.0,2.0,6.0,6.0,6.0,4.0,7.0,12.0,5.0,3.0,6.0,2.0,1.0
BP10,BP3,WEEKENDS/HOLIDAY,,,1.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,2.0,3.0,3.0,1.0
