,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
WEEKDAY,CC10,EW8,,652.0,2787.0,3800.0,3091.0,2145.0,1480.0,1261.0,1320.0,1382.0,1241.0,1155.0,1277.0,2023.0,2132.0,1184.0,770.0,617.0,395.0,60.0
WEEKDAY,CC11,CC10,,491.0,2057.0,3130.0,2421.0,1340.0,835.0,704.0,776.0,908.0,910.0,928.0,1067.0,1761.0,1698.0,896.0,576.0,470.0,321.0,43.0
WEEKDAY,CC11,CC12,,276.0,1360.0,1564.0,1100.0,641.0,469.0,570.0,683.0,748.0,967.0,1289.0,1544.0,2984.0,3410.0,1750.0,1187.0,829.0,615.0,125.0
WEEKDAY,CC12,CC11,,699.0,2686.0,4169.0,3293.0,1696.0,948.0,761.0,821.0,981.0,890.0,821.0,921.0,1427.0,1342.0,741.0,489.0,467.0,289.0,34.0
WEEKDAY,CC12,NE12,,278.0,1344.0,1617.0,1165.0,676.0,491.0,587.0,693.0,1005.0,1184.0,1358.0,1603.0,3011.0,3416.0,1731.0,1173.0,818.0,609.0,125.0
WEEKDAY,CC14,NE12,,641.0,2343.0,3436.0,2651.0,1444.0,946.0,830.0,990.0,1245.0,1308.0,1367.0,1621.0,2886.0,2618.0,1331.0,855.0,713.0,376.0,50.0
WEEKDAY,CC14,NS17,,702.0,3088.0,3637.0,2162.0,1116.0,737.0,760.0,870.0,961.0,1048.0,1244.0,1429.0,2581.0,2813.0,1427.0,1024.0,758.0,539.0,95.0
WEEKDAY,CC16,CC17,,969.0,3170.0,3318.0,1867.0,988.0,612.0,600.0,658.0,741.0,672.0,758.0,805.0,1302.0,1294.0,595.0,348.0,287.0,174.0,30.0
WEEKDAY,CC16,NS17,,277.0,1141.0,1526.0,1064.0,507.0,452.0,460.0,652.0,774.0,966.0,1117.0,1379.0,2572.0,2319.0,1238.0,821.0,608.0,339.0,55.0
WEEKDAY,CC17,CC16,,269.0,1224.0,1629.0,1069.0,507.0,385.0,433.0,610.0,695.0,878.0,979.0,1305.0,2531.0,2236.0,1243.0,833.0,628.0,343.0,55.0
WEEKDAY,CC17,CC19,,997.0,3260.0,3467.0,1949.0,1033.0,646.0,621.0,673.0,792.0,692.0,774.0,820.0,1329.0,1339.0,610.0,356.0,298.0,174.0,28.0
WEEKDAY,CC19,CC17,,265.0,1249.0,1653.0,1097.0,521.0,392.0,451.0,629.0,692.0,907.0,1006.0,1358.0,2646.0,2352.0,1299.0,881.0,664.0,368.0,58.0
WEEKDAY,CC19,CC20,,1601.0,4647.0,4813.0,2845.0,1615.0,1096.0,1135.0,1388.0,1560.0,1465.0,1638.0,1931.0,3130.0,3032.0,1688.0,1284.0,1065.0,635.0,149.0
WEEKDAY,CC19,DT10,,837.0,2796.0,4306.0,3437.0,2369.0,1733.0,1498.0,1565.0,1662.0,1624.0,1515.0,1719.0,2689.0,2418.0,1296.0,924.0,671.0,393.0,51.0
WEEKDAY,CC19,DT8,1.0,162.0,1135.0,1388.0,687.0,406.0,389.0,491.0,640.0,782.0,897.0,1124.0,1355.0,2343.0,2378.0,1382.0,979.0,739.0,499.0,137.0
WEEKDAY,CC2,CC3,,39.0,120.0,121.0,132.0,120.0,83.0,76.0,82.0,73.0,66.0,66.0,67.0,86.0,84.0,58.0,42.0,26.0,10.0,2.0
WEEKDAY,CC2,NS24,,35.0,37.0,46.0,55.0,43.0,56.0,67.0,80.0,89.0,99.0,115.0,149.0,225.0,224.0,187.0,151.0,110.0,83.0,19.0
WEEKDAY,CC20,CC19,,715.0,2467.0,3487.0,2583.0,1658.0,1288.0,1235.0,1460.0,1561.0,1589.0,1767.0,2298.0,4451.0,3984.0,2232.0,1550.0,1092.0,625.0,89.0
