PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
BP10,4047.0,4066.0,609
BP11,4226.0,3627.0,600
BP12,3604.0,3182.0,600
BP13,1993.0,1749.0,620
BP2,3874.0,3057.0,589
BP3,4758.0,4027.0,589
BP4,4007.0,3832.0,589
BP5,2426.0,1874.0,589
BP6,12542.0,15400.0,620
BP7,1783.0,1608.0,589
BP8,2991.0,2791.0,589
BP9,3248.0,3183.0,600
CC1-NE6-NS24,35594.0,34195.0,620
CC10,14988.0,14085.0,1240
CC11,15757.0,15919.0,620
CC12,6081.0,5240.0,620
CC14,7281.0,6830.0,620
CC16,10102.0,9601.0,620
CC17,3673.0,3543.0,620
CC19,7738.0,8435.0,1240
CC2,5805.0,6228.0,620
CC20,5211.0,5229.0,620
CC21,8393.0,9035.0,620
CC23,12038.0,11934.0,620
CC24,18867.0,18612.0,620
CC25,7202.0,6598.0,620
CC26,4911.0,5031.0,620
CC27,5929.0,5961.0,620
CC28,3661.0,3854.0,620
CC3,8997.0,8436.0,620
CC4-DT15,18063.0,18670.0,620
CC5,5037.0,5300.0,620
CC6,9683.0,9611.0,620
CC7,7156.0,7458.0,620
CC8,8182.0,7287.0,620
CE1,35477.0,34709.0,1240
CG1,15187.0,15813.0,1240
CG2,24874.0,24252.0,620
DT1,29129.0,27973.0,620
DT10,4919.0,4001.0,620
DT11,29061.0,29927.0,620
DT13,9659.0,10118.0,620
DT17,18594.0,18315.0,620
DT18,14525.0,15439.0,620
DT2,2601.0,2037.0,620
DT20,7050.0,8088.0,620
DT21,7556.0,7597.0,620
DT22,7525.0,8084.0,620
DT23,4015.0,4092.0,620
DT24,4920.0,4680.0,620
DT25,3696.0,3785.0,620
DT27,7235.0,7009.0,620
DT28,10138.0,9468.0,620
DT29,6577.0,5978.0,620
DT3,7473.0,6477.0,620
DT30,7078.0,6785.0,620
DT31,7248.0,7694.0,620
DT32,19541.0,20819.0,620
DT33,16688.0,15605.0,620
DT34,4402.0,4044.0,620
DT5,13062.0,12922.0,620
DT6,6711.0,6038.0,620
DT7,3724.0,4381.0,620
DT8,4574.0,4298.0,620
EW1,30341.0,28940.0,620
EW10,12257.0,12551.0,620
EW11,19652.0,19965.0,620
EW12,55996.0,58620.0,1240
EW13-NS25,46361.0,47223.0,620
EW14-NS26,48820.0,48413.0,620
EW15,37979.0,39997.0,620
EW16,26240.0,25833.0,1240
EW17,26442.0,27647.0,620
EW18,16798.0,17287.0,620
EW19,13836.0,12977.0,620
EW2,31474.0,31948.0,620
EW20,14842.0,14230.0,620
EW21,24657.0,22897.0,1240
EW22,11301.0,11466.0,620
EW23,43224.0,43546.0,620
EW24-NS1,76050.0,79645.0,620
EW25,9229.0,8260.0,620
EW26,32177.0,27894.0,620
EW27,48158.0,54058.0,620
EW28,29777.0,22861.0,620
EW29,15742.0,15979.0,620
EW3,17143.0,17443.0,620
EW30,3074.0,2583.0,620
EW31,3631.0,2957.0,620
EW32,3423.0,3462.0,620
EW33,3373.0,3597.0,620
EW4,16541.0,14872.0,620
EW5,33537.0,33043.0,620
EW6,10863.0,12441.0,620
EW7,14032.0,16074.0,620
EW8,38672.0,39533.0,1240
EW9,23138.0,22872.0,620
NE1,51536.0,51466.0,1240
NE10,14044.0,14206.0,620
NE11,5281.0,4891.0,620
NE12,55423.0,57329.0,1240
NE13,20356.0,20364.0,620
NE14,30384.0,28858.0,620
NE15,15808.0,14771.0,620
NE16-STC,40597.0,41700.0,620
NE17-PTC,37119.0,35673.0,620
NE4,55492.0,55600.0,1240
NE5,15590.0,17894.0,620
NE7,29041.0,31404.0,1240
NE8,28879.0,31355.0,620
NE9,21869.0,19450.0,620
NS10,44737.0,38663.0,620
NS11,41702.0,40745.0,620
NS13,54060.0,56560.0,620
NS14,31770.0,27915.0,620
NS15,25407.0,23687.0,620
NS16,48605.0,51972.0,620
NS17,45963.0,43902.0,1240
NS18,14657.0,13309.0,620
NS19,37413.0,38990.0,620
NS2,25675.0,26666.0,620
NS20,36980.0,36880.0,620
NS21,30338.0,32306.0,620
NS22,59015.0,63517.0,620
NS23,33713.0,36415.0,620
NS27,5265.0,5921.0,1240
NS28,2238.0,2185.0,620
NS3,17990.0,16917.0,620
NS4,36532.0,39139.0,1209
NS5,29733.0,28260.0,620
NS7,21545.0,20006.0,620
NS8,23689.0,19025.0,620
NS9,42649.0,51993.0,620
PE1,3404.0,3352.0,620
PE2,5160.0,4825.0,620
PE3,5478.0,5504.0,620
PE4,1444.0,1396.0,620
PE5,5094.0,4743.0,620
PE6,5903.0,5625.0,620
PE7,3721.0,3519.0,620
PW1,710.0,752.0,620
PW3,732.0,743.0,620
PW4,518.0,529.0,620
PW5,2893.0,3221.0,620
PW6,1041.0,894.0,620
PW7,1945.0,2098.0,620
SE1,4090.0,4083.0,620
SE2,5300.0,4897.0,620
SE3,3053.0,2795.0,620
SE4,3450.0,3283.0,620
SE5,2612.0,2626.0,620
SW1,1810.0,1875.0,620
SW2,3646.0,3336.0,620
SW3,2149.0,2033.0,620
SW4,1105.0,1108.0,620
SW5,7157.0,6557.0,620
SW6,3345.0,3130.0,620
SW7,2689.0,2414.0,620
SW8,1964.0,1923.0,620
