ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
BP10,BP11,122.0,589
BP10,BP12,165.0,589
BP10,BP13,112.0,589
BP10,BP2,53.0,589
BP10,BP3,86.0,589
BP10,BP4,83.0,589
BP10,BP5,135.0,589
BP10,BP6,1308.0,589
BP10,BP7,147.0,589
BP10,BP8,460.0,589
BP10,BP9,289.0,589
BP10,CC1-NE6-NS24,0.0,102
BP10,CC10,0.0,51
BP10,CC11,0.0,62
BP10,CC14,0.0,40
BP10,CC16,0.0,124
BP10,CC19,0.0,22
BP10,CC20,0.0,62
BP10,CC21,0.0,84
BP10,CC23,0.0,153
BP10,CC24,3.0,257
BP10,CC25,0.0,122
BP10,CC26,0.0,62
BP10,CC27,1.0,31
BP10,CC28,0.0,11
BP10,CC3,0.0,42
BP10,CC4-DT15,0.0,75
BP10,CC5,0.0,31
BP10,CC6,0.0,33
BP10,CC7,0.0,11
BP10,CC8,0.0,11
BP10,CE1,0.0,95
BP10,CG1,0.0,62
BP10,CG2,1.0,190
BP10,DT1,0.0,62
BP10,DT10,0.0,40
BP10,DT11,1.0,201
BP10,DT13,0.0,66
BP10,DT17,0.0,62
BP10,DT18,0.0,93
BP10,DT2,0.0,11
BP10,DT20,0.0,31
BP10,DT23,0.0,11
BP10,DT3,0.0,64
BP10,DT31,0.0,11
BP10,DT32,0.0,11
BP10,DT34,0.0,11
BP10,DT5,1.0,172
BP10,DT6,0.0,113
BP10,DT7,1.0,82
BP10,DT8,0.0,82
BP10,EW1,0.0,153
BP10,EW10,1.0,113
BP10,EW11,1.0,268
BP10,EW12,1.0,267
BP10,EW13-NS25,1.0,148
BP10,EW14-NS26,1.0,235
BP10,EW15,2.0,370
BP10,EW16,1.0,328
BP10,EW17,7.0,487
BP10,EW18,6.0,518
BP10,EW19,6.0,445
BP10,EW2,0.0,102
BP10,EW20,8.0,465
BP10,EW21,7.0,771
BP10,EW22,23.0,494
BP10,EW23,31.0,558
BP10,EW24-NS1,214.0,589
BP10,EW25,5.0,392
BP10,EW26,20.0,578
BP10,EW27,51.0,589
BP10,EW28,22.0,547
BP10,EW29,28.0,467
BP10,EW3,0.0,51
BP10,EW30,7.0,277
BP10,EW31,3.0,175
BP10,EW32,6.0,277
BP10,EW33,2.0,255
BP10,EW4,0.0,82
BP10,EW5,0.0,64
BP10,EW6,0.0,82
BP10,EW7,0.0,104
BP10,EW8,1.0,290
BP10,EW9,1.0,146
BP10,NE1,1.0,290
BP10,NE10,0.0,11
BP10,NE12,0.0,175
BP10,NE13,0.0,20
BP10,NE14,0.0,42
BP10,NE16-STC,0.0,64
BP10,NE17-PTC,0.0,93
BP10,NE4,0.0,186
BP10,NE5,0.0,53
BP10,NE7,0.0,51
BP10,NE8,0.0,44
BP10,NE9,0.0,22
BP10,NS10,17.0,578
BP10,NS11,15.0,567
BP10,NS13,16.0,589
BP10,NS14,7.0,547
BP10,NS15,26.0,578
BP10,NS16,15.0,558
BP10,NS17,3.0,636
BP10,NS18,1.0,84
BP10,NS19,3.0,465
BP10,NS2,49.0,589
BP10,NS20,1.0,341
