DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
WEEKDAY,BP10,4414.0,4440.0,20
WEEKDAY,BP11,4641.0,3983.0,20
WEEKDAY,BP12,4169.0,3662.0,20
WEEKDAY,BP13,2123.0,1866.0,20
WEEKDAY,BP2,4341.0,3399.0,20
WEEKDAY,BP3,5296.0,4475.0,20
WEEKDAY,BP4,5310.0,5117.0,20
WEEKDAY,BP5,2698.0,2073.0,20
WEEKDAY,BP6,13688.0,16921.0,20
WEEKDAY,BP7,1963.0,1761.0,20
WEEKDAY,BP8,3351.0,3108.0,20
WEEKDAY,BP9,3518.0,3437.0,20
WEEKDAY,CC1-NE6-NS24,36068.0,34402.0,20
WEEKDAY,CC10,17496.0,16460.0,20
WEEKDAY,CC11,19713.0,20048.0,20
WEEKDAY,CC12,7260.0,6117.0,20
WEEKDAY,CC14,8682.0,8084.0,20
WEEKDAY,CC16,12184.0,11420.0,20
WEEKDAY,CC17,4584.0,4366.0,20
WEEKDAY,CC19,7614.0,8230.0,20
WEEKDAY,CC2,6407.0,6993.0,20
WEEKDAY,CC20,5950.0,5961.0,20
WEEKDAY,CC21,9179.0,9934.0,20
WEEKDAY,CC23,16926.0,16777.0,20
WEEKDAY,CC24,25255.0,24911.0,20
WEEKDAY,CC25,8391.0,7734.0,20
WEEKDAY,CC26,5975.0,6119.0,20
WEEKDAY,CC27,8320.0,8327.0,20
WEEKDAY,CC28,4074.0,4415.0,20
WEEKDAY,CC3,8120.0,7722.0,20
WEEKDAY,CC4-DT15,20048.0,20783.0,20
WEEKDAY,CC5,5335.0,5646.0,20
WEEKDAY,CC6,8916.0,9097.0,20
WEEKDAY,CC7,8028.0,8195.0,20
WEEKDAY,CC8,9336.0,8081.0,20
WEEKDAY,CE1,28359.0,28016.0,20
WEEKDAY,CG1,16776.0,17402.0,20
WEEKDAY,CG2,22594.0,22031.0,20
WEEKDAY,DT1,31712.0,30471.0,20
WEEKDAY,DT10,5792.0,4710.0,20
WEEKDAY,DT11,30807.0,32239.0,20
WEEKDAY,DT13,10396.0,10868.0,20
WEEKDAY,DT17,25977.0,25977.0,20
WEEKDAY,DT18,20132.0,21389.0,20
WEEKDAY,DT2,3184.0,2477.0,20
WEEKDAY,DT20,7748.0,8731.0,20
WEEKDAY,DT21,8237.0,8389.0,20
WEEKDAY,DT22,6986.0,7468.0,20
WEEKDAY,DT23,4990.0,5059.0,20
WEEKDAY,DT24,5592.0,5242.0,20
WEEKDAY,DT25,4214.0,4359.0,20
WEEKDAY,DT27,8336.0,8106.0,20
WEEKDAY,DT28,11436.0,10642.0,20
WEEKDAY,DT29,7480.0,6774.0,20
WEEKDAY,DT3,8234.0,7167.0,20
WEEKDAY,DT30,8032.0,7714.0,20
WEEKDAY,DT31,8353.0,8883.0,20
WEEKDAY,DT32,21470.0,23152.0,20
WEEKDAY,DT33,19123.0,17889.0,20
WEEKDAY,DT34,5198.0,4736.0,20
WEEKDAY,DT5,13705.0,13638.0,20
WEEKDAY,DT6,8121.0,7218.0,20
WEEKDAY,DT7,4198.0,5063.0,20
WEEKDAY,DT8,5723.0,5259.0,20
WEEKDAY,EW1,33557.0,31803.0,20
WEEKDAY,EW10,11966.0,12166.0,20
WEEKDAY,EW11,21578.0,21831.0,20
WEEKDAY,EW12,55873.0,58289.0,20
WEEKDAY,EW13-NS25,44666.0,45940.0,20
WEEKDAY,EW14-NS26,64680.0,63915.0,20
WEEKDAY,EW15,50206.0,52860.0,20
WEEKDAY,EW16,32204.0,31683.0,20
WEEKDAY,EW17,29496.0,30744.0,20
WEEKDAY,EW18,19529.0,20091.0,20
WEEKDAY,EW19,15866.0,14571.0,20
WEEKDAY,EW2,32997.0,33887.0,20
WEEKDAY,EW20,17016.0,16261.0,20
WEEKDAY,EW21,30219.0,27871.0,20
WEEKDAY,EW22,14952.0,14984.0,20
WEEKDAY,EW23,47954.0,48808.0,20
WEEKDAY,EW24-NS1,79508.0,84168.0,20
WEEKDAY,EW25,9769.0,8350.0,20
WEEKDAY,EW26,35527.0,30873.0,20
WEEKDAY,EW27,50887.0,58391.0,20
WEEKDAY,EW28,33540.0,25322.0,20
WEEKDAY,EW29,18441.0,18583.0,20
WEEKDAY,EW3,18888.0,19301.0,20
WEEKDAY,EW30,3556.0,3011.0,20
WEEKDAY,EW31,4179.0,3458.0,20
WEEKDAY,EW32,3832.0,3724.0,20
WEEKDAY,EW33,3425.0,3567.0,20
WEEKDAY,EW4,18627.0,16580.0,20
WEEKDAY,EW5,35900.0,35359.0,20
WEEKDAY,EW6,11768.0,13845.0,20
WEEKDAY,EW7,15030.0,17584.0,20
WEEKDAY,EW8,39900.0,40652.0,20
WEEKDAY,EW9,23711.0,23283.0,20
WEEKDAY,NE1,49442.0,49366.0,20
WEEKDAY,NE10,15782.0,16112.0,20
WEEKDAY,NE11,6201.0,5726.0,20
WEEKDAY,NE12,59505.0,61780.0,20
WEEKDAY,NE13,21211.0,21469.0,20
WEEKDAY,NE14,33297.0,31776.0,20
WEEKDAY,NE15,17597.0,16265.0,20
WEEKDAY,NE16-STC,43682.0,44981.0,20
WEEKDAY,NE17-PTC,38570.0,36908.0,20
WEEKDAY,NE4,56078.0,56072.0,20
WEEKDAY,NE5,17073.0,19326.0,20
WEEKDAY,NE7,27969.0,29814.0,20
WEEKDAY,NE8,26238.0,28644.0,20
WEEKDAY,NE9,24172.0,21594.0,20
WEEKDAY,NS10,50363.0,43446.0,20
WEEKDAY,NS11,45462.0,44492.0,20
WEEKDAY,NS13,59072.0,62331.0,20
WEEKDAY,NS14,35576.0,31275.0,20
WEEKDAY,NS15,31976.0,29988.0,20
WEEKDAY,NS16,52846.0,56751.0,20
WEEKDAY,NS17,51123.0,48846.0,20
WEEKDAY,NS18,16359.0,14796.0,20
WEEKDAY,NS19,40601.0,42550.0,20
WEEKDAY,NS2,28446.0,29515.0,20
WEEKDAY,NS20,42144.0,42164.0,20
WEEKDAY,NS21,33160.0,34497.0,20
WEEKDAY,NS22,55802.0,60646.0,20
WEEKDAY,NS23,34122.0,37215.0,20
WEEKDAY,NS27,6845.0,6855.0,20
WEEKDAY,NS28,2025.0,2021.0,20
WEEKDAY,NS3,19852.0,18579.0,20
WEEKDAY,NS4,40231.0,43226.0,20
WEEKDAY,NS5,33715.0,31559.0,20
WEEKDAY,NS7,21942.0,20577.0,20
WEEKDAY,NS8,26785.0,21207.0,20
WEEKDAY,NS9,45517.0,57131.0,20
WEEKDAY,PE1,3672.0,3654.0,20
WEEKDAY,PE2,5690.0,5317.0,20
WEEKDAY,PE3,5925.0,5967.0,20
WEEKDAY,PE4,1480.0,1378.0,20
WEEKDAY,PE5,5645.0,5284.0,20
WEEKDAY,PE6,6250.0,5993.0,20
WEEKDAY,PE7,4031.0,3862.0,20
WEEKDAY,PW1,566.0,637.0,20
WEEKDAY,PW3,768.0,788.0,20
WEEKDAY,PW4,526.0,562.0,20
WEEKDAY,PW5,2882.0,3316.0,20
WEEKDAY,PW6,1138.0,986.0,20
WEEKDAY,PW7,2142.0,2298.0,20
WEEKDAY,SE1,4540.0,4577.0,20
WEEKDAY,SE2,5790.0,5318.0,20
WEEKDAY,SE3,3347.0,3046.0,20
WEEKDAY,SE4,3692.0,3519.0,20
WEEKDAY,SE5,2912.0,2967.0,20
WEEKDAY,SW1,2088.0,2207.0,20
WEEKDAY,SW2,3734.0,3415.0,20
WEEKDAY,SW3,2401.0,2271.0,20
WEEKDAY,SW4,1161.0,1157.0,20
WEEKDAY,SW5,7578.0,6835.0,20
WEEKDAY,SW6,3816.0,3595.0,20
WEEKDAY,SW7,2956.0,2656.0,20
WEEKDAY,SW8,2183.0,2140.0,20
WEEKENDS/HOLIDAY,BP10,3380.0,3385.0,11
WEEKENDS/HOLIDAY,BP11,3472.0,2980.0,11
WEEKENDS/HOLIDAY,BP12,2575.0,2309.0,11
WEEKENDS/HOLIDAY,BP13,1757.0,1535.0,11
WEEKENDS/HOLIDAY,BP2,3027.0,2435.0,11
WEEKENDS/HOLIDAY,BP3,3781.0,3214.0,11
WEEKENDS/HOLIDAY,BP4,1637.0,1496.0,11
WEEKENDS/HOLIDAY,BP5,1931.0,1514.0,11
WEEKENDS/HOLIDAY,BP6,10459.0,12635.0,11
WEEKENDS/HOLIDAY,BP7,1456.0,1329.0,11
WEEKENDS/HOLIDAY,BP8,2336.0,2214.0,11
WEEKENDS/HOLIDAY,BP9,2755.0,2721.0,11
WEEKENDS/HOLIDAY,CC1-NE6-NS24,34730.0,33819.0,11
WEEKENDS/HOLIDAY,CC10,10428.0,9767.0,11
WEEKENDS/HOLIDAY,CC11,8564.0,8411.0,11
WEEKENDS/HOLIDAY,CC12,3938.0,3645.0,11
WEEKENDS/HOLIDAY,CC14,4734.0,4551.0,11
WEEKENDS/HOLIDAY,CC16,6318.0,6296.0,11
WEEKENDS/HOLIDAY,CC17,2016.0,2046.0,11
WEEKENDS/HOLIDAY,CC19,7964.0,8807.0,11
WEEKENDS/HOLIDAY,CC2,4711.0,4836.0,11
WEEKENDS/HOLIDAY,CC20,3868.0,3897.0,11
WEEKENDS/HOLIDAY,CC21,6963.0,7401.0,11
WEEKENDS/HOLIDAY,CC23,3150.0,3127.0,11
WEEKENDS/HOLIDAY,CC24,7253.0,7159.0,11
WEEKENDS/HOLIDAY,CC25,5040.0,4534.0,11
WEEKENDS/HOLIDAY,CC26,2976.0,3053.0,11
WEEKENDS/HOLIDAY,CC27,1581.0,1660.0,11
WEEKENDS/HOLIDAY,CC28,2911.0,2835.0,11
WEEKENDS/HOLIDAY,CC3,10591.0,9734.0,11
WEEKENDS/HOLIDAY,CC4-DT15,14454.0,14829.0,11
WEEKENDS/HOLIDAY,CC5,4495.0,4672.0,11
WEEKENDS/HOLIDAY,CC6,11077.0,10545.0,11
WEEKENDS/HOLIDAY,CC7,5571.0,6120.0,11
WEEKENDS/HOLIDAY,CC8,6084.0,5844.0,11
WEEKENDS/HOLIDAY,CE1,48419.0,46877.0,11
WEEKENDS/HOLIDAY,CG1,12299.0,12925.0,11
WEEKENDS/HOLIDAY,CG2,29018.0,28289.0,11
WEEKENDS/HOLIDAY,DT1,24434.0,23430.0,11
WEEKENDS/HOLIDAY,DT10,3332.0,2712.0,11
WEEKENDS/HOLIDAY,DT11,25887.0,25722.0,11
WEEKENDS/HOLIDAY,DT13,8319.0,8753.0,11
WEEKENDS/HOLIDAY,DT17,5170.0,4383.0,11
WEEKENDS/HOLIDAY,DT18,4331.0,4620.0,11
WEEKENDS/HOLIDAY,DT2,1541.0,1236.0,11
WEEKENDS/HOLIDAY,DT20,5780.0,6920.0,11
WEEKENDS/HOLIDAY,DT21,6316.0,6159.0,11
WEEKENDS/HOLIDAY,DT22,8504.0,9203.0,11
WEEKENDS/HOLIDAY,DT23,2243.0,2333.0,11
WEEKENDS/HOLIDAY,DT24,3698.0,3657.0,11
WEEKENDS/HOLIDAY,DT25,2754.0,2741.0,11
WEEKENDS/HOLIDAY,DT27,5235.0,5016.0,11
WEEKENDS/HOLIDAY,DT28,7779.0,7334.0,11
WEEKENDS/HOLIDAY,DT29,4936.0,4531.0,11
WEEKENDS/HOLIDAY,DT3,6089.0,5223.0,11
WEEKENDS/HOLIDAY,DT30,5342.0,5094.0,11
WEEKENDS/HOLIDAY,DT31,5239.0,5533.0,11
WEEKENDS/HOLIDAY,DT32,16035.0,16576.0,11
WEEKENDS/HOLIDAY,DT33,12262.0,11451.0,11
WEEKENDS/HOLIDAY,DT34,2955.0,2785.0,11
WEEKENDS/HOLIDAY,DT5,11894.0,11620.0,11
WEEKENDS/HOLIDAY,DT6,4148.0,3892.0,11
WEEKENDS/HOLIDAY,DT7,2864.0,3143.0,11
WEEKENDS/HOLIDAY,DT8,2485.0,2549.0,11
WEEKENDS/HOLIDAY,EW1,24495.0,23736.0,11
WEEKENDS/HOLIDAY,EW10,12786.0,13252.0,11
WEEKENDS/HOLIDAY,EW11,16150.0,16572.0,11
WEEKENDS/HOLIDAY,EW12,56218.0,59224.0,11
WEEKENDS/HOLIDAY,EW13-NS25,49444.0,49556.0,11
WEEKENDS/HOLIDAY,EW14-NS26,19985.0,20226.0,11
WEEKENDS/HOLIDAY,EW15,15749.0,16612.0,11
WEEKENDS/HOLIDAY,EW16,15396.0,15196.0,11
WEEKENDS/HOLIDAY,EW17,20888.0,22016.0,11
WEEKENDS/HOLIDAY,EW18,11833.0,12189.0,11
WEEKENDS/HOLIDAY,EW19,10144.0,10079.0,11
WEEKENDS/HOLIDAY,EW2,28706.0,28423.0,11
WEEKENDS/HOLIDAY,EW20,10887.0,10536.0,11
WEEKENDS/HOLIDAY,EW21,14546.0,13853.0,11
WEEKENDS/HOLIDAY,EW22,4661.0,5070.0,11
WEEKENDS/HOLIDAY,EW23,34625.0,33977.0,11
WEEKENDS/HOLIDAY,EW24-NS1,69764.0,71421.0,11
WEEKENDS/HOLIDAY,EW25,8247.0,8095.0,11
WEEKENDS/HOLIDAY,EW26,26086.0,22477.0,11
WEEKENDS/HOLIDAY,EW27,43198.0,46182.0,11
WEEKENDS/HOLIDAY,EW28,22935.0,18388.0,11
WEEKENDS/HOLIDAY,EW29,10834.0,11245.0,11
WEEKENDS/HOLIDAY,EW3,13970.0,14064.0,11
WEEKENDS/HOLIDAY,EW30,2198.0,1805.0,11
WEEKENDS/HOLIDAY,EW31,2634.0,2047.0,11
WEEKENDS/HOLIDAY,EW32,2680.0,2987.0,11
WEEKENDS/HOLIDAY,EW33,3277.0,3652.0,11
WEEKENDS/HOLIDAY,EW4,12749.0,11766.0,11
WEEKENDS/HOLIDAY,EW5,29239.0,28834.0,11
WEEKENDS/HOLIDAY,EW6,9220.0,9888.0,11
WEEKENDS/HOLIDAY,EW7,12217.0,13329.0,11
WEEKENDS/HOLIDAY,EW8,36439.0,37498.0,11
WEEKENDS/HOLIDAY,EW9,22096.0,22124.0,11
WEEKENDS/HOLIDAY,NE1,55344.0,55284.0,11
WEEKENDS/HOLIDAY,NE10,10885.0,10739.0,11
WEEKENDS/HOLIDAY,NE11,3608.0,3374.0,11
WEEKENDS/HOLIDAY,NE12,48000.0,49237.0,11
WEEKENDS/HOLIDAY,NE13,18800.0,18355.0,11
WEEKENDS/HOLIDAY,NE14,25089.0,23554.0,11
WEEKENDS/HOLIDAY,NE15,12555.0,12056.0,11
WEEKENDS/HOLIDAY,NE16-STC,34989.0,35736.0,11
WEEKENDS/HOLIDAY,NE17-PTC,34480.0,33429.0,11
WEEKENDS/HOLIDAY,NE4,54427.0,54742.0,11
WEEKENDS/HOLIDAY,NE5,12895.0,15290.0,11
WEEKENDS/HOLIDAY,NE7,30989.0,34295.0,11
WEEKENDS/HOLIDAY,NE8,33681.0,36285.0,11
WEEKENDS/HOLIDAY,NE9,17683.0,15552.0,11
WEEKENDS/HOLIDAY,NS10,34507.0,29967.0,11
WEEKENDS/HOLIDAY,NS11,34865.0,33931.0,11
WEEKENDS/HOLIDAY,NS13,44946.0,46066.0,11
WEEKENDS/HOLIDAY,NS14,24850.0,21805.0,11
WEEKENDS/HOLIDAY,NS15,13462.0,12231.0,11
WEEKENDS/HOLIDAY,NS16,40895.0,43283.0,11
WEEKENDS/HOLIDAY,NS17,36581.0,34913.0,11
WEEKENDS/HOLIDAY,NS18,11565.0,10607.0,11
WEEKENDS/HOLIDAY,NS19,31615.0,32515.0,11
WEEKENDS/HOLIDAY,NS2,20636.0,21486.0,11
WEEKENDS/HOLIDAY,NS20,27592.0,27273.0,11
WEEKENDS/HOLIDAY,NS21,25206.0,28323.0,11
WEEKENDS/HOLIDAY,NS22,64858.0,68737.0,11
WEEKENDS/HOLIDAY,NS23,32968.0,34960.0,11
WEEKENDS/HOLIDAY,NS27,2393.0,4223.0,11
WEEKENDS/HOLIDAY,NS28,2625.0,2484.0,11
WEEKENDS/HOLIDAY,NS3,14605.0,13896.0,11
WEEKENDS/HOLIDAY,NS4,29806.0,31707.0,11
WEEKENDS/HOLIDAY,NS5,22493.0,22260.0,11
WEEKENDS/HOLIDAY,NS7,20822.0,18970.0,11
WEEKENDS/HOLIDAY,NS8,18060.0,15057.0,11
WEEKENDS/HOLIDAY,NS9,37435.0,42651.0,11
WEEKENDS/HOLIDAY,PE1,2916.0,2803.0,11
WEEKENDS/HOLIDAY,PE2,4195.0,3931.0,11
WEEKENDS/HOLIDAY,PE3,4664.0,4662.0,11
WEEKENDS/HOLIDAY,PE4,1377.0,1429.0,11
WEEKENDS/HOLIDAY,PE5,4092.0,3760.0,11
WEEKENDS/HOLIDAY,PE6,5272.0,4957.0,11
WEEKENDS/HOLIDAY,PE7,3158.0,2895.0,11
WEEKENDS/HOLIDAY,PW1,972.0,962.0,11
WEEKENDS/HOLIDAY,PW3,665.0,663.0,11
WEEKENDS/HOLIDAY,PW4,503.0,471.0,11
WEEKENDS/HOLIDAY,PW5,2913.0,3046.0,11
WEEKENDS/HOLIDAY,PW6,863.0,727.0,11
WEEKENDS/HOLIDAY,PW7,1587.0,1735.0,11
WEEKENDS/HOLIDAY,SE1,3272.0,3185.0,11
WEEKENDS/HOLIDAY,SE2,4408.0,4130.0,11
WEEKENDS/HOLIDAY,SE3,2519.0,2337.0,11
WEEKENDS/HOLIDAY,SE4,3012.0,2854.0,11
WEEKENDS/HOLIDAY,SE5,2066.0,2005.0,11
WEEKENDS/HOLIDAY,SW1,1304.0,1272.0,11
WEEKENDS/HOLIDAY,SW2,3487.0,3194.0,11
WEEKENDS/HOLIDAY,SW3,1691.0,1600.0,11
WEEKENDS/HOLIDAY,SW4,1002.0,1019.0,11
WEEKENDS/HOLIDAY,SW5,6391.0,6050.0,11
WEEKENDS/HOLIDAY,SW6,2488.0,2285.0,11
WEEKENDS/HOLIDAY,SW7,2204.0,1975.0,11
WEEKENDS/HOLIDAY,SW8,1566.0,1527.0,11
