,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,199.0,578.8,743.6,437.0,274.0,235.2,196.7,199.0,202.8,159.4,155.6,156.3,207.2,214.6,171.0,113.0,86.2,58.2,26.6,0.1,19.1,80.6,177.1,158.2,155.4,135.2,152.0,164.2,195.0,220.0,233.2,269.5,380.2,612.2,520.3,339.3,276.1,230.2,122.4
BP10,WEEKENDS/HOLIDAY,0.0,96.1,162.9,199.8,228.2,261.2,300.2,274.9,260.8,222.7,202.8,175.5,172.6,189.6,181.4,157.5,109.3,83.6,67.3,33.9,0.0,14.9,39.7,77.4,144.3,199.7,179.1,191.0,199.7,211.6,207.4,198.2,197.6,219.8,253.9,248.0,240.5,226.7,209.4,125.6
BP11,WEEKDAY,0.0,210.6,655.4,870.4,516.0,305.2,219.6,182.8,195.4,189.2,158.1,154.4,161.8,200.6,218.2,154.2,102.9,81.6,47.2,17.6,0.0,12.8,70.6,180.6,97.3,113.0,87.6,104.2,132.8,154.8,175.2,182.8,239.9,336.5,595.6,535.1,346.4,284.8,234.6,98.2
BP11,WEEKENDS/HOLIDAY,0.0,91.5,156.0,217.5,251.5,298.5,282.4,267.8,283.4,237.5,213.0,199.5,181.0,207.0,199.7,135.8,94.7,73.9,58.5,22.7,0.1,5.5,20.0,51.2,93.3,111.8,128.0,147.7,176.0,192.8,185.0,175.6,187.2,209.9,242.9,240.0,234.9,250.2,209.7,117.6
BP12,WEEKDAY,0.0,120.2,434.0,679.0,443.8,228.4,189.9,137.5,215.0,192.8,305.2,203.2,181.5,259.1,255.6,132.2,100.7,50.5,32.2,8.8,0.0,5.2,137.5,633.1,112.2,81.2,81.3,88.4,107.2,136.6,148.9,160.1,190.3,249.2,429.0,377.2,248.2,212.2,178.4,85.8
BP12,WEEKENDS/HOLIDAY,0.0,54.0,113.3,171.6,205.5,208.1,228.7,196.5,208.1,183.5,148.3,127.2,135.4,158.1,151.5,116.4,71.0,49.6,37.8,10.8,0.5,3.9,13.8,73.3,125.9,113.5,120.3,137.9,141.5,132.0,145.5,140.9,135.5,135.0,157.0,164.1,160.4,162.5,155.6,90.1
BP13,WEEKDAY,0.0,90.4,292.2,358.4,235.0,151.9,105.0,91.8,88.7,91.7,80.8,69.2,75.2,111.3,94.0,77.2,44.4,43.3,18.6,3.8,0.1,11.8,33.9,78.6,48.0,46.4,56.8,60.2,72.8,93.0,102.4,107.4,115.4,153.0,244.1,214.2,145.4,131.1,107.7,43.9
BP13,WEEKENDS/HOLIDAY,0.0,36.7,79.9,102.7,144.5,167.7,141.4,136.0,145.5,117.0,100.7,100.8,86.5,103.9,102.5,78.3,47.7,36.4,21.8,6.6,0.5,4.9,11.4,42.0,59.1,75.6,83.3,99.5,95.8,93.3,105.4,90.9,105.8,98.4,113.1,105.8,107.1,95.7,100.1,47.0
BP2,WEEKDAY,0.0,127.2,511.4,945.2,674.2,306.4,221.8,171.0,150.6,205.0,123.4,107.6,121.2,176.4,184.3,131.7,79.0,60.0,33.6,10.6,0.0,19.0,71.2,126.9,86.1,84.2,88.2,75.1,97.6,114.5,138.8,158.5,187.2,275.2,478.2,475.0,298.3,284.6,246.4,93.8
BP2,WEEKENDS/HOLIDAY,0.0,48.7,125.3,182.8,252.4,248.9,244.7,248.2,238.6,229.4,175.9,169.6,173.1,185.6,175.4,135.9,81.0,52.6,44.1,14.6,0.0,9.6,23.9,32.8,66.5,77.3,89.6,103.0,108.1,146.5,149.3,146.0,152.4,172.3,190.6,182.2,220.1,224.0,234.3,106.6
BP3,WEEKDAY,0.0,150.4,681.8,1136.8,725.6,310.2,218.2,211.0,196.3,178.0,181.6,168.2,165.4,255.6,247.0,176.5,110.6,96.0,64.4,22.6,0.0,7.2,58.0,135.4,116.0,91.4,77.8,100.1,117.8,163.5,243.5,249.2,258.2,413.4,704.0,633.4,382.7,326.2,282.3,115.0
BP3,WEEKENDS/HOLIDAY,0.0,74.2,150.5,212.4,279.6,307.3,310.4,294.3,282.0,277.4,237.6,208.1,215.0,246.0,223.3,179.3,105.2,82.9,65.8,29.7,0.0,4.8,24.8,53.6,80.7,83.3,100.8,137.7,170.0,207.5,205.9,209.2,214.2,247.2,260.3,269.4,274.5,278.2,266.1,125.8
BP4,WEEKDAY,0.0,61.0,246.8,386.7,259.6,135.6,141.0,360.2,410.6,265.4,355.7,479.2,703.6,722.2,276.7,152.4,131.1,139.2,65.4,17.7,0.0,13.2,66.6,500.8,957.0,729.7,349.6,176.8,346.5,272.6,157.6,127.2,142.7,187.5,315.6,275.2,178.0,145.0,127.1,48.4
BP4,WEEKENDS/HOLIDAY,0.0,37.3,64.8,91.2,115.1,130.0,115.6,121.1,131.0,118.2,106.1,100.2,97.2,97.2,102.2,80.8,52.3,36.9,29.5,10.6,0.0,9.4,25.7,33.8,62.6,59.2,54.3,61.3,75.2,88.1,89.9,90.0,91.2,104.8,116.8,122.6,118.1,117.8,119.5,56.2
BP5,WEEKDAY,0.0,46.5,250.4,380.1,222.0,130.8,102.2,101.2,119.6,118.5,103.1,115.8,141.8,212.3,214.0,152.3,96.6,89.8,75.6,25.0,0.0,19.4,93.0,176.4,144.5,87.2,64.1,65.3,79.6,88.9,108.0,104.3,117.0,159.4,223.9,189.2,127.6,109.0,85.2,30.6
BP5,WEEKENDS/HOLIDAY,0.0,28.9,49.7,76.5,101.8,127.5,130.0,144.9,162.5,132.5,119.7,116.6,108.5,127.5,131.3,106.9,93.5,74.0,72.5,25.9,0.0,13.1,31.9,51.2,79.7,75.9,89.2,82.5,102.7,101.3,93.5,85.4,86.0,99.9,105.7,95.5,101.0,100.5,79.2,39.9
BP6,WEEKDAY,0.0,28.6,282.3,602.0,453.8,319.6,268.5,326.8,484.6,533.0,607.0,640.4,765.8,1122.2,1954.4,1925.7,1209.8,1002.8,869.6,291.0,0.3,495.0,1392.0,2868.2,2332.0,1061.4,734.2,721.6,767.2,694.2,697.0,686.0,674.0,949.0,1133.2,738.5,412.0,288.8,199.4,76.8
BP6,WEEKENDS/HOLIDAY,0.3,19.5,65.2,172.6,225.5,287.4,355.1,445.2,551.5,674.4,699.5,680.1,705.3,766.4,860.5,909.6,892.4,982.8,850.6,315.1,0.2,217.9,443.3,626.3,823.4,966.3,987.6,983.8,1010.9,970.5,858.5,768.8,748.5,811.7,817.7,637.5,408.7,261.5,203.7,88.6
BP7,WEEKDAY,0.0,84.2,253.0,368.7,212.0,120.5,87.0,76.6,82.0,82.4,73.8,65.5,70.9,96.4,94.6,72.2,46.2,40.4,27.8,9.1,0.0,23.8,43.4,79.6,46.8,46.2,56.0,57.8,76.8,91.6,104.8,99.7,109.8,151.6,226.2,174.0,129.6,109.4,94.4,39.4
BP7,WEEKENDS/HOLIDAY,0.0,38.9,58.9,92.3,99.9,114.9,118.6,107.8,122.1,97.3,84.9,89.1,75.1,81.0,78.8,64.9,46.9,42.1,29.2,13.4,0.0,9.1,14.1,21.2,48.9,64.7,74.0,83.8,90.0,94.4,92.3,80.1,86.5,86.5,91.3,83.8,87.9,96.6,82.9,40.6
BP8,WEEKDAY,0.0,97.8,329.1,420.8,208.6,121.6,110.4,118.6,122.1,162.0,124.0,143.8,167.0,233.8,294.2,228.0,155.8,141.6,134.4,37.5,0.0,52.8,224.2,319.9,231.6,141.4,101.4,101.6,118.8,141.0,144.4,149.9,149.3,200.8,300.6,258.6,169.0,135.9,110.0,57.1
