DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP11,CC3,0.0,21
WEEKDAY,BP11,CC4-DT15,0.0,21
WEEKDAY,BP11,CC5,0.0,21
WEEKDAY,BP11,CC6,0.0,21
WEEKDAY,BP11,CC8,0.0,21
WEEKDAY,BP11,CE1,0.0,21
WEEKDAY,BP11,CG2,0.0,21
WEEKDAY,BP11,DT1,0.0,21
WEEKDAY,BP11,DT11,1.0,21
WEEKDAY,BP11,DT13,0.0,21
WEEKDAY,BP11,DT17,0.0,21
WEEKDAY,BP11,DT18,0.0,21
WEEKDAY,BP11,DT2,0.0,21
WEEKDAY,BP11,DT21,0.0,21
WEEKDAY,BP11,DT24,0.0,21
WEEKDAY,BP11,DT3,0.0,21
WEEKDAY,BP11,DT31,0.0,21
WEEKDAY,BP11,DT32,0.0,21
WEEKDAY,BP11,DT34,0.0,21
WEEKDAY,BP11,DT5,1.0,21
WEEKDAY,BP11,DT6,0.0,21
WEEKDAY,BP11,DT7,0.0,21
WEEKDAY,BP11,DT8,0.0,21
WEEKDAY,BP11,EW1,0.0,21
WEEKDAY,BP11,EW10,0.0,21
WEEKDAY,BP11,EW11,1.0,21
WEEKDAY,BP11,EW12,1.0,21
WEEKDAY,BP11,EW13-NS25,1.0,21
WEEKDAY,BP11,EW14-NS26,1.0,21
WEEKDAY,BP11,EW15,5.0,21
WEEKDAY,BP11,EW16,2.0,21
WEEKDAY,BP11,EW17,10.0,21
WEEKDAY,BP11,EW18,11.0,21
WEEKDAY,BP11,EW19,12.0,21
WEEKDAY,BP11,EW2,0.0,21
WEEKDAY,BP11,EW20,11.0,21
WEEKDAY,BP11,EW21,8.0,21
WEEKDAY,BP11,EW22,42.0,21
WEEKDAY,BP11,EW23,58.0,21
WEEKDAY,BP11,EW24-NS1,338.0,21
WEEKDAY,BP11,EW25,4.0,21
WEEKDAY,BP11,EW26,35.0,21
WEEKDAY,BP11,EW27,77.0,21
WEEKDAY,BP11,EW28,29.0,21
WEEKDAY,BP11,EW29,46.0,21
WEEKDAY,BP11,EW3,0.0,21
WEEKDAY,BP11,EW30,7.0,21
WEEKDAY,BP11,EW31,5.0,21
WEEKDAY,BP11,EW32,6.0,21
WEEKDAY,BP11,EW33,2.0,21
WEEKDAY,BP11,EW4,0.0,21
WEEKDAY,BP11,EW5,1.0,21
WEEKDAY,BP11,EW6,0.0,21
WEEKDAY,BP11,EW7,1.0,21
WEEKDAY,BP11,EW8,2.0,21
WEEKDAY,BP11,EW9,0.0,21
WEEKDAY,BP11,NE1,1.0,21
