PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,4261,4346
BP11,4481,3957
BP12,3879,3576
BP13,2237,2008
BP14,87,82
BP2,3850,3279
BP3,4700,4083
BP4,4227,4055
BP5,2695,2056
BP6,14104,16471
BP7,1919,1746
BP8,3249,3079
BP9,3346,3383
CC1-NE6-NS24,40465,39305
CC10,15870,14839
CC11,16659,16741
CC12,6249,5356
CC14,8012,7517
CC16,10858,10228
CC17,3763,3700
CC19,8289,8960
CC2,6908,7612
CC20,5646,5526
CC21,9422,10174
CC23,14309,14203
CC24,21208,20762
CC25,7392,6735
CC26,4680,4823
CC27,6601,6593
CC28,3971,4247
CC3,9695,9212
CC4-DT15,20196,21005
CC5,5250,5514
CC6,10677,10619
CC7,7089,7285
CC8,8538,7798
CE1,35348,34439
CG1,16916,17630
CG2,20699,19617
DT1,31193,29883
DT10,5137,4098
DT11,31371,32185
DT13,10106,10594
DT17,21882,22584
DT18,15130,16086
DT2,2768,2211
DT20,7132,7908
DT21,8018,7983
DT22,7303,7742
DT23,3859,3882
DT24,4735,4561
DT25,3408,3482
DT27,6974,6736
DT28,10049,9394
DT29,6422,5938
DT3,8000,6964
DT30,7154,6946
DT31,7355,7778
DT32,20432,21812
DT33,17336,16302
DT34,4328,4040
DT5,13682,13471
DT6,7439,6227
DT7,3975,4738
DT8,4696,4402
EW1,32945,31340
EW10,12824,13165
EW11,21970,22196
EW12,60243,63115
EW13-NS25,47974,48531
EW14-NS26,56349,55663
EW15,41082,43582
EW16,29320,28883
EW17,27623,28696
EW18,17942,18140
EW19,14752,14061
EW2,34973,34998
EW20,15933,15133
EW21,27533,26567
EW22,12774,12730
EW23,44858,45273
EW24-NS1,79121,83791
EW25,9776,8800
EW26,32007,27580
EW27,48966,55691
EW28,31271,23547
EW29,16494,16139
EW3,18785,18831
EW30,2538,2054
EW31,2870,2322
EW32,2801,2840
EW33,2476,2627
EW4,18341,16209
EW5,35521,35053
EW6,12045,13562
EW7,15426,17705
EW8,39018,39605
EW9,24441,23787
NE1,52454,52465
NE10,13776,13878
NE11,5086,4647
NE12,59656,61525
NE13,21847,21837
NE14,31525,30096
NE15,16886,15733
NE16-STC,43012,43910
NE17-PTC,38435,37229
NE4,58510,58944
NE5,16833,19642
NE7,29492,31751
NE8,30197,32554
NE9,23420,20622
NS10,44810,40206
NS11,42091,40979
NS13,55764,58780
NS14,31374,27588
NS15,27034,25118
NS16,49957,53536
NS17,49339,47462
NS18,15271,14070
NS19,39814,41658
NS2,26415,26846
NS20,38869,38513
NS21,32641,34385
NS22,64404,69392
NS23,36896,39921
NS27,6350,6897
NS28,1718,1771
NS3,16929,16374
NS4,41460,43380
NS5,31186,29581
NS7,21129,18947
NS8,22482,18043
NS9,47848,56087
PE1,3523,3461
PE2,5342,4929
PE3,5775,5691
PE4,1489,1447
PE5,5144,4759
PE6,5546,5269
PE7,3861,3618
PW1,610,639
PW3,399,390
PW4,337,348
PW5,2019,2297
PW6,972,762
PW7,1363,1609
SE1,4293,4300
SE2,5681,5215
SE3,3177,2998
SE4,3703,3470
SE5,2691,2670
SW1,1064,1123
SW2,3893,3586
SW3,1988,1923
SW4,789,711
SW5,7311,6778
SW6,3335,3184
SW7,2935,2628
SW8,1994,1962
