ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP10,BP11,122
BP10,BP12,129
BP10,BP13,105
BP10,BP14,13
BP10,BP2,50
BP10,BP3,59
BP10,BP4,45
BP10,BP5,116
BP10,BP6,1305
BP10,BP7,127
BP10,BP8,423
BP10,BP9,263
BP10,CC1-NE6-NS24,0
BP10,CC10,0
BP10,CC11,1
BP10,CC12,0
BP10,CC14,0
BP10,CC16,1
BP10,CC17,0
BP10,CC19,0
BP10,CC2,0
BP10,CC20,0
BP10,CC21,0
BP10,CC23,2
BP10,CC24,3
BP10,CC25,1
BP10,CC26,1
BP10,CC27,0
BP10,CC28,0
BP10,CC3,0
BP10,CC4-DT15,1
BP10,CC5,0
BP10,CC6,0
BP10,CC7,0
BP10,CC8,0
BP10,CE1,2
BP10,CG1,0
BP10,CG2,1
BP10,DT1,0
BP10,DT10,0
BP10,DT11,2
BP10,DT13,0
BP10,DT17,1
BP10,DT18,1
BP10,DT2,0
BP10,DT20,0
BP10,DT23,0
BP10,DT24,0
BP10,DT25,0
BP10,DT27,0
BP10,DT28,0
BP10,DT29,0
BP10,DT3,0
BP10,DT30,0
BP10,DT31,0
BP10,DT32,0
BP10,DT33,0
BP10,DT34,0
BP10,DT5,2
BP10,DT6,0
BP10,DT7,0
BP10,DT8,0
BP10,EW1,0
BP10,EW10,1
BP10,EW11,1
BP10,EW12,2
BP10,EW13-NS25,2
BP10,EW14-NS26,1
BP10,EW15,2
BP10,EW16,2
BP10,EW17,6
BP10,EW18,5
BP10,EW19,5
BP10,EW2,0
BP10,EW20,10
BP10,EW21,7
BP10,EW22,13
BP10,EW23,30
BP10,EW24-NS1,252
BP10,EW25,4
BP10,EW26,17
BP10,EW27,49
BP10,EW28,17
BP10,EW29,27
BP10,EW3,0
BP10,EW30,4
BP10,EW31,3
BP10,EW32,5
BP10,EW33,3
BP10,EW4,0
BP10,EW5,0
BP10,EW6,0
BP10,EW7,0
BP10,EW8,1
BP10,EW9,1
BP10,NE1,2
BP10,NE10,0
BP10,NE12,1
BP10,NE13,0
BP10,NE14,0
BP10,NE15,0
BP10,NE16-STC,0
BP10,NE17-PTC,0
BP10,NE4,1
BP10,NE5,1
BP10,NE7,1
BP10,NE8,0
BP10,NE9,0
BP10,NS10,17
BP10,NS11,17
BP10,NS13,18
BP10,NS14,8
BP10,NS15,20
BP10,NS16,14
BP10,NS17,3
BP10,NS18,1
BP10,NS19,2
BP10,NS2,49
BP10,NS20,1
BP10,NS21,0
BP10,NS22,1
BP10,NS23,1
BP10,NS28,0
BP10,NS3,35
BP10,NS4,306
BP10,NS5,44
BP10,NS7,37
BP10,NS8,9
BP10,NS9,39
BP10,PE4,0
BP10,PE6,0
BP10,PW5,0
BP10,PW7,0
BP10,SE2,0
BP10,SE4,0
BP10,SW3,0
BP10,SW8,0
BP11,BP10,136
BP11,BP12,71
BP11,BP13,87
BP11,BP14,7
BP11,BP2,57
BP11,BP3,64
BP11,BP4,42
BP11,BP5,124
BP11,BP6,1608
BP11,BP7,65
BP11,BP8,256
BP11,BP9,189
BP11,CC1-NE6-NS24,0
BP11,CC10,1
BP11,CC11,1
BP11,CC12,0
BP11,CC14,0
BP11,CC16,0
BP11,CC17,0
BP11,CC19,1
BP11,CC2,0
BP11,CC20,0
BP11,CC21,1
BP11,CC23,1
BP11,CC24,4
BP11,CC25,0
BP11,CC26,1
BP11,CC27,1
BP11,CC28,0
BP11,CC3,0
BP11,CC4-DT15,2
BP11,CC5,0
BP11,CC6,0
BP11,CC7,0
BP11,CC8,0
BP11,CE1,2
BP11,CG1,0
BP11,CG2,1
BP11,DT1,0
BP11,DT10,0
BP11,DT11,3
BP11,DT13,1
BP11,DT17,2
BP11,DT18,2
BP11,DT2,0
BP11,DT20,0
BP11,DT22,0
