ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
BP10,BP11,121.0,570
BP10,BP12,156.0,561
BP10,BP13,104.0,570
BP10,BP2,58.0,570
BP10,BP3,72.0,570
BP10,BP4,98.0,570
BP10,BP5,136.0,570
BP10,BP6,1386.0,570
BP10,BP7,144.0,570
BP10,BP8,452.0,570
BP10,BP9,291.0,570
BP10,CC1-NE6-NS24,0.0,186
BP10,CC10,0.0,111
BP10,CC11,1.0,231
BP10,CC12,0.0,21
BP10,CC14,1.0,84
BP10,CC16,1.0,126
BP10,CC17,0.0,63
BP10,CC19,0.0,144
BP10,CC2,0.0,63
BP10,CC20,1.0,105
BP10,CC21,0.0,114
BP10,CC23,2.0,207
BP10,CC24,4.0,318
BP10,CC25,1.0,189
BP10,CC26,1.0,147
BP10,CC27,1.0,177
BP10,CC28,0.0,72
BP10,CC3,0.0,81
BP10,CC4-DT15,1.0,195
BP10,CC5,0.0,84
BP10,CC6,0.0,60
BP10,CC7,0.0,132
BP10,CC8,0.0,21
BP10,CE1,4.0,483
BP10,CG1,1.0,135
BP10,CG2,2.0,375
BP10,DT1,0.0,114
BP10,DT10,0.0,42
BP10,DT11,3.0,420
BP10,DT13,1.0,279
BP10,DT17,2.0,198
BP10,DT18,2.0,198
BP10,DT2,0.0,114
BP10,DT20,0.0,42
BP10,DT22,0.0,21
BP10,DT23,0.0,84
BP10,DT24,0.0,42
BP10,DT27,0.0,63
BP10,DT28,0.0,105
BP10,DT29,0.0,84
BP10,DT3,1.0,231
BP10,DT31,0.0,51
BP10,DT32,0.0,195
BP10,DT33,0.0,126
BP10,DT5,3.0,351
BP10,DT6,2.0,312
BP10,DT7,2.0,156
BP10,DT8,1.0,198
BP10,EW1,1.0,171
BP10,EW10,0.0,99
BP10,EW11,1.0,267
BP10,EW12,2.0,471
BP10,EW13-NS25,1.0,228
BP10,EW14-NS26,1.0,156
BP10,EW15,3.0,327
BP10,EW16,3.0,474
BP10,EW17,4.0,471
BP10,EW18,6.0,534
BP10,EW19,6.0,351
BP10,EW2,1.0,162
BP10,EW20,8.0,465
BP10,EW21,8.0,771
BP10,EW22,26.0,432
BP10,EW23,33.0,519
BP10,EW24-NS1,230.0,570
BP10,EW25,5.0,390
BP10,EW26,18.0,540
BP10,EW27,52.0,570
BP10,EW28,25.0,540
BP10,EW29,29.0,432
BP10,EW3,0.0,111
BP10,EW30,4.0,192
BP10,EW31,4.0,192
BP10,EW32,6.0,180
BP10,EW33,4.0,342
BP10,EW4,1.0,174
BP10,EW5,1.0,234
BP10,EW6,0.0,123
BP10,EW7,0.0,60
BP10,EW8,2.0,471
BP10,EW9,1.0,285
BP10,NE1,2.0,459
