DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,3236.0,3500.0
WEEKDAY,BP11,3472.0,2850.0
WEEKDAY,BP12,2872.0,2193.0
WEEKDAY,BP13,1461.0,982.0
WEEKDAY,BP2,3324.0,2618.0
WEEKDAY,BP3,4190.0,3579.0
WEEKDAY,BP4,3764.0,3600.0
WEEKDAY,BP5,2100.0,1649.0
WEEKDAY,BP6,10304.0,13079.0
WEEKDAY,BP7,1165.0,1176.0
WEEKDAY,BP8,2159.0,1972.0
WEEKDAY,BP9,2421.0,2315.0
WEEKDAY,CC1-NE6-NS24,25385.0,23925.0
WEEKDAY,CC10,14014.0,13336.0
WEEKDAY,CC11,15840.0,16112.0
WEEKDAY,CC12,5293.0,4520.0
WEEKDAY,CC14,6585.0,6122.0
WEEKDAY,CC16,9579.0,9209.0
WEEKDAY,CC17,3703.0,3548.0
WEEKDAY,CC19,5351.0,5785.0
WEEKDAY,CC2,4242.0,4689.0
WEEKDAY,CC20,4408.0,4395.0
WEEKDAY,CC21,6741.0,7327.0
WEEKDAY,CC23,11534.0,11247.0
WEEKDAY,CC24,16825.0,16792.0
WEEKDAY,CC25,5906.0,5434.0
WEEKDAY,CC26,4938.0,5068.0
WEEKDAY,CC27,5283.0,5488.0
WEEKDAY,CC28,3237.0,3285.0
WEEKDAY,CC3,4408.0,4190.0
WEEKDAY,CC4-DT15,11957.0,12322.0
WEEKDAY,CC5,3508.0,3596.0
WEEKDAY,CC6,5898.0,6158.0
WEEKDAY,CC7,6162.0,6221.0
WEEKDAY,CC8,6851.0,6048.0
WEEKDAY,CE1,14419.0,14822.0
WEEKDAY,CG1,10739.0,11218.0
WEEKDAY,CG2,10678.0,9951.0
WEEKDAY,DT1,24796.0,23991.0
WEEKDAY,DT10,4379.0,3451.0
WEEKDAY,DT11,22384.0,22959.0
WEEKDAY,DT13,7582.0,8017.0
WEEKDAY,DT17,14260.0,14432.0
WEEKDAY,DT18,12946.0,13966.0
WEEKDAY,DT2,2690.0,1912.0
WEEKDAY,DT20,4824.0,5298.0
WEEKDAY,DT21,5483.0,5544.0
WEEKDAY,DT22,5197.0,5470.0
WEEKDAY,DT23,3606.0,3620.0
