,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,177.1,505.7,551.2,320.8,192.9,150.1,133.2,131.5,142.8,116.5,97.5,109.8,141.5,158.7,120.4,74.0,51.0,42.2,19.7,0.0,17.1,76.9,145.6,131.1,116.4,103.2,113.6,125.5,158.6,170.2,185.9,220.3,302.6,505.1,422.2,261.6,208.6,159.5,76.0
BP10,WEEKENDS/HOLIDAY,0.0,72.1,121.8,104.9,134.8,155.4,173.0,158.9,153.4,140.7,125.3,111.1,106.3,129.6,122.3,106.1,71.0,52.6,43.4,19.4,0.0,11.3,30.4,57.1,104.2,139.6,124.9,141.8,148.2,167.6,161.1,173.0,164.1,183.4,203.9,180.9,168.4,135.8,140.1,64.1
BP11,WEEKDAY,0.0,194.7,559.1,704.0,356.6,196.8,142.7,127.5,140.0,144.1,105.4,103.7,102.3,155.7,177.0,107.1,61.7,47.6,32.7,13.1,0.0,10.5,54.4,144.3,78.0,83.2,67.6,67.1,90.9,106.1,114.5,124.7,160.0,253.0,473.7,418.7,228.1,184.0,135.7,55.0
BP11,WEEKENDS/HOLIDAY,0.0,67.0,114.1,119.9,151.7,166.7,168.9,153.1,163.2,146.3,122.8,108.1,95.8,114.4,121.1,91.4,65.6,43.1,34.4,14.8,0.0,6.4,15.2,40.2,62.0,82.6,86.0,94.8,110.1,125.9,110.9,112.6,113.1,128.4,143.0,130.7,134.0,126.2,114.2,46.8
BP12,WEEKDAY,0.0,107.6,352.9,525.4,300.8,142.8,102.8,92.8,127.6,157.5,188.5,140.6,128.0,168.5,149.9,83.9,49.4,28.9,18.1,5.9,0.0,5.1,95.5,363.0,145.3,58.6,50.7,51.7,58.5,69.1,76.3,76.6,84.4,154.9,302.9,272.6,121.3,92.9,74.9,38.5
BP12,WEEKENDS/HOLIDAY,0.0,38.0,71.2,88.4,115.4,100.7,117.9,110.2,110.0,99.0,85.9,71.0,77.1,86.3,79.2,59.3,48.2,28.6,20.8,5.3,0.0,3.8,8.9,34.4,57.8,76.9,76.4,84.2,72.4,69.8,68.7,64.3,56.9,65.4,76.1,61.8,69.6,63.3,56.0,33.3
BP13,WEEKDAY,0.0,84.4,241.7,262.3,166.8,88.5,66.6,60.7,58.5,65.5,40.9,45.3,41.4,75.2,68.7,41.1,21.4,20.7,8.5,3.1,0.0,11.8,24.3,56.2,37.6,34.8,29.9,31.1,35.8,42.4,44.0,46.2,43.4,92.8,181.1,143.1,54.9,31.6,26.5,14.4
BP13,WEEKENDS/HOLIDAY,0.0,29.0,52.2,59.3,74.1,82.2,78.2,68.0,68.2,65.2,53.3,50.7,49.3,54.7,48.6,33.3,25.9,22.9,12.1,3.0,0.0,4.3,10.6,17.6,36.6,44.8,48.7,43.8,47.6,42.8,37.1,36.8,33.2,36.9,35.4,29.3,29.4,23.4,20.7,12.9
BP2,WEEKDAY,0.0,122.5,405.5,720.0,474.8,222.0,144.2,130.5,127.0,161.3,100.5,99.5,97.7,139.6,148.5,96.0,56.7,38.5,30.5,8.9,0.0,17.4,56.8,107.2,80.0,54.7,47.5,54.5,71.7,99.0,114.0,123.0,147.6,206.3,400.4,371.5,243.4,202.1,163.8,56.8
BP2,WEEKENDS/HOLIDAY,0.0,50.7,98.7,146.0,158.1,171.4,164.0,164.6,162.0,147.4,130.1,113.7,100.3,111.1,114.2,85.3,57.0,35.9,34.6,9.9,0.0,6.6,24.9,30.2,56.8,76.8,67.3,75.7,90.1,103.0,117.4,110.3,110.1,125.2,121.9,131.2,144.7,135.2,124.7,52.7
BP3,WEEKDAY,0.0,142.4,549.3,855.5,526.9,247.8,183.8,164.6,181.0,150.9,127.6,121.2,146.4,210.8,198.0,140.9,88.9,78.3,56.4,19.1,0.0,7.6,55.5,133.0,98.6,78.9,65.2,81.6,94.0,138.9,199.5,187.1,208.6,318.4,567.2,526.5,326.0,244.2,185.5,62.7
BP3,WEEKENDS/HOLIDAY,0.0,71.4,132.9,177.0,197.0,213.7,207.9,215.2,205.8,182.9,170.2,150.2,131.9,164.4,162.2,120.0,84.3,67.6,45.9,19.1,0.0,5.3,21.7,42.3,59.4,73.1,88.2,99.1,127.0,151.4,168.0,154.2,150.8,169.8,199.2,202.0,193.7,182.1,155.3,60.4
BP4,WEEKDAY,0.0,55.5,211.5,318.3,190.3,126.2,125.4,264.7,312.5,222.2,231.0,304.2,459.8,418.2,187.7,103.6,81.0,93.5,46.5,12.1,0.0,15.3,40.2,355.2,627.9,426.0,224.3,122.3,231.0,191.6,129.2,103.6,120.9,154.2,264.0,218.3,135.2,115.1,87.4,38.2
BP4,WEEKENDS/HOLIDAY,0.0,26.6,65.8,70.9,80.0,95.3,86.7,96.1,83.8,87.2,74.6,72.3,67.7,84.6,70.8,61.4,46.2,25.6,21.1,6.0,0.0,7.6,16.0,35.7,53.4,50.6,41.6,50.6,60.9,67.3,71.2,70.2,71.6,74.1,96.0,79.9,78.4,80.7,77.9,36.4
BP5,WEEKDAY,0.0,45.8,208.8,284.9,154.4,98.3,88.1,82.1,100.5,96.3,85.5,94.2,108.9,147.3,176.2,124.5,79.5,63.8,44.2,16.3,0.0,21.7,77.8,142.8,95.7,67.1,49.9,52.5,68.8,73.9,89.5,87.5,90.2,118.9,187.3,149.7,99.5,86.4,62.4,27.4
BP5,WEEKENDS/HOLIDAY,0.0,23.7,45.2,59.6,74.3,95.2,102.0,100.0,117.3,93.9,92.0,91.2,83.2,94.6,93.2,78.9,62.6,47.9,37.6,14.6,0.0,9.9,22.9,38.3,55.4,60.7,64.4,64.4,71.3,74.4,72.7,74.8,78.3,72.6,79.2,70.4,71.1,66.9,53.4,24.2
BP6,WEEKDAY,0.0,26.7,248.9,477.4,352.0,265.8,220.7,248.8,366.3,412.8,483.9,512.6,583.5,889.2,1552.5,1455.2,849.2,695.5,507.1,155.9,0.2,472.8,1153.9,2206.9,1625.1,823.0,567.6,538.7,590.8,595.0,569.2,539.2,544.7,667.4,870.1,538.0,312.5,235.8,168.9,59.4
BP6,WEEKENDS/HOLIDAY,0.0,24.3,69.1,153.6,197.2,241.4,263.6,327.4,392.2,463.3,465.8,485.0,490.8,514.8,582.0,552.2,523.0,493.4,418.9,140.2,0.0,162.2,310.7,403.8,531.3,621.7,605.0,611.9,619.9,622.7,547.1,505.2,462.9,522.3,517.9,408.8,294.7,209.6,163.4,59.9
BP7,WEEKDAY,0.0,72.4,187.0,264.8,142.6,46.7,31.4,31.5,32.9,29.5,36.8,32.3,33.5,54.4,67.3,43.4,24.7,17.6,13.0,3.6,0.0,19.8,30.8,65.7,37.0,32.6,25.7,30.6,34.1,44.9,59.0,58.5,70.5,98.0,177.6,142.7,91.2,77.1,56.7,23.3
BP7,WEEKENDS/HOLIDAY,0.0,19.4,19.7,27.6,41.9,43.3,46.6,42.0,45.9,31.3,32.8,34.8,29.2,35.2,28.6,26.9,19.0,16.2,9.8,3.1,0.0,5.4,8.3,19.7,27.7,31.2,30.9,36.1,42.6,49.7,46.0,52.3,57.6,56.7,60.7,52.1,50.0,51.2,52.3,22.0
BP8,WEEKDAY,0.0,81.5,248.5,304.7,140.1,69.7,48.9,58.3,67.3,105.4,70.3,74.5,98.8,163.5,219.4,167.5,99.0,66.7,57.9,16.6,0.0,44.0,172.0,272.2,170.0,79.8,49.6,43.9,51.4,70.1,73.9,77.5,84.1,128.0,212.9,169.9,99.0,78.3,64.7,30.6
