,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ORIGIN_PT_CODE,DESTINATION_PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,
BP10,BP11,WEEKDAY,,0.1,0.7,3.7,5.2,8.0,6.9,7.9,6.7,6.3,6.4,5.5,6.4,6.5,9.8,6.6,5.0,2.9,1.9,0.6
BP10,BP11,WEEKENDS/HOLIDAY,,0.4,0.2,1.4,5.4,9.6,11.6,9.9,11.2,6.9,6.2,7.1,7.3,6.8,4.2,3.1,3.1,1.4,1.3,0.8
BP10,BP12,WEEKDAY,,0.2,14.0,26.9,11.3,8.2,8.3,7.1,7.4,6.9,5.5,3.9,4.3,5.5,6.4,7.0,6.9,2.8,1.4,0.6
BP10,BP12,WEEKENDS/HOLIDAY,,,1.9,2.7,8.3,12.1,14.4,13.4,7.1,5.3,5.2,4.4,3.8,4.8,3.9,4.3,5.0,2.9,1.4,0.9
BP10,BP13,WEEKDAY,,3.0,3.9,5.4,7.0,7.4,6.4,6.1,6.3,5.5,3.1,3.6,5.8,7.9,6.6,3.3,3.0,2.2,2.5,2.5
BP10,BP13,WEEKENDS/HOLIDAY,,1.3,3.1,4.0,7.1,10.9,13.3,9.9,9.2,6.0,5.8,3.9,4.0,4.0,3.4,2.8,2.3,2.1,1.8,2.1
BP10,BP2,WEEKDAY,,1.5,4.5,2.5,1.7,1.5,1.8,0.9,1.4,2.4,2.4,1.6,4.0,3.0,3.0,2.3,3.5,3.7,3.0,1.3
BP10,BP2,WEEKENDS/HOLIDAY,,0.4,1.2,0.8,3.4,3.1,1.6,1.7,2.8,2.1,2.8,1.8,1.8,2.1,2.1,3.1,4.3,4.2,4.3,1.0
BP10,BP3,WEEKDAY,,0.5,7.5,9.5,3.5,3.7,3.3,3.0,2.6,7.3,6.0,4.5,4.4,5.3,4.6,4.3,3.9,2.4,2.0,0.9
BP10,BP3,WEEKENDS/HOLIDAY,,0.2,0.2,2.4,2.7,2.0,3.4,1.2,2.6,3.2,4.0,2.2,3.2,4.1,2.8,5.0,2.9,2.1,1.7,1.4
