DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP10,BP11,115.0,19
WEEKDAY,BP10,BP12,126.0,19
WEEKDAY,BP10,BP13,104.0,19
WEEKDAY,BP10,BP2,49.0,19
WEEKDAY,BP10,BP3,67.0,19
WEEKDAY,BP10,BP4,44.0,19
WEEKDAY,BP10,BP5,118.0,19
WEEKDAY,BP10,BP6,1407.0,19
WEEKDAY,BP10,BP7,126.0,19
WEEKDAY,BP10,BP8,460.0,19
WEEKDAY,BP10,BP9,277.0,19
WEEKDAY,BP10,CC11,1.0,19
WEEKDAY,BP10,CC24,2.0,19
WEEKDAY,BP10,CC27,1.0,19
WEEKDAY,BP10,CE1,1.0,19
WEEKDAY,BP10,DT11,1.0,19
WEEKDAY,BP10,DT18,1.0,19
WEEKDAY,BP10,EW14-NS26,1.0,19
WEEKDAY,BP10,EW15,5.0,19
WEEKDAY,BP10,EW16,1.0,19
WEEKDAY,BP10,EW17,3.0,19
WEEKDAY,BP10,EW18,5.0,19
WEEKDAY,BP10,EW19,5.0,19
WEEKDAY,BP10,EW20,8.0,19
WEEKDAY,BP10,EW21,5.0,19
WEEKDAY,BP10,EW22,25.0,19
WEEKDAY,BP10,EW23,38.0,19
WEEKDAY,BP10,EW24-NS1,249.0,19
WEEKDAY,BP10,EW25,5.0,19
WEEKDAY,BP10,EW26,20.0,19
WEEKDAY,BP10,EW27,57.0,19
WEEKDAY,BP10,EW28,17.0,19
WEEKDAY,BP10,EW29,36.0,19
WEEKDAY,BP10,EW30,5.0,19
WEEKDAY,BP10,EW31,5.0,19
WEEKDAY,BP10,EW32,7.0,19
WEEKDAY,BP10,EW33,1.0,19
WEEKDAY,BP10,NS10,23.0,19
WEEKDAY,BP10,NS11,22.0,19
WEEKDAY,BP10,NS13,20.0,19
WEEKDAY,BP10,NS14,6.0,19
WEEKDAY,BP10,NS15,26.0,19
WEEKDAY,BP10,NS16,13.0,19
WEEKDAY,BP10,NS17,1.0,19
WEEKDAY,BP10,NS18,1.0,19
WEEKDAY,BP10,NS19,1.0,19
WEEKDAY,BP10,NS2,56.0,19
WEEKDAY,BP10,NS3,31.0,19
WEEKDAY,BP10,NS4,304.0,19
WEEKDAY,BP10,NS5,47.0,19
WEEKDAY,BP10,NS7,41.0,19
WEEKDAY,BP10,NS8,8.0,19
WEEKDAY,BP10,NS9,44.0,19
WEEKDAY,BP11,BP10,123.0,19
WEEKDAY,BP11,BP12,71.0,19
WEEKDAY,BP11,BP13,87.0,19
WEEKDAY,BP11,BP2,61.0,19
WEEKDAY,BP11,BP3,78.0,19
WEEKDAY,BP11,BP4,61.0,19
WEEKDAY,BP11,BP5,131.0,19
WEEKDAY,BP11,BP6,1742.0,19
WEEKDAY,BP11,BP7,73.0,19
WEEKDAY,BP11,BP8,287.0,19
WEEKDAY,BP11,BP9,190.0,19
WEEKDAY,BP11,CC23,3.0,19
WEEKDAY,BP11,CC24,3.0,19
WEEKDAY,BP11,CC25,1.0,19
WEEKDAY,BP11,CE1,1.0,19
WEEKDAY,BP11,DT11,2.0,19
WEEKDAY,BP11,DT17,2.0,19
WEEKDAY,BP11,DT18,2.0,19
WEEKDAY,BP11,EW12,1.0,19
WEEKDAY,BP11,EW15,4.0,19
WEEKDAY,BP11,EW17,3.0,19
WEEKDAY,BP11,EW18,10.0,19
WEEKDAY,BP11,EW19,9.0,19
WEEKDAY,BP11,EW20,11.0,19
WEEKDAY,BP11,EW21,5.0,19
WEEKDAY,BP11,EW22,30.0,19
WEEKDAY,BP11,EW23,69.0,19
WEEKDAY,BP11,EW24-NS1,353.0,19
WEEKDAY,BP11,EW25,1.0,19
WEEKDAY,BP11,EW26,32.0,19
WEEKDAY,BP11,EW27,72.0,19
WEEKDAY,BP11,EW28,29.0,19
WEEKDAY,BP11,EW29,38.0,19
WEEKDAY,BP11,EW30,8.0,19
WEEKDAY,BP11,EW31,4.0,19
WEEKDAY,BP11,EW32,9.0,19
WEEKDAY,BP11,EW33,2.0,19
WEEKDAY,BP11,NS10,28.0,19
WEEKDAY,BP11,NS11,25.0,19
WEEKDAY,BP11,NS13,25.0,19
WEEKDAY,BP11,NS14,7.0,19
WEEKDAY,BP11,NS15,35.0,19
WEEKDAY,BP11,NS16,17.0,19
WEEKDAY,BP11,NS2,51.0,19
WEEKDAY,BP11,NS3,34.0,19
WEEKDAY,BP11,NS4,359.0,19
WEEKDAY,BP11,NS5,59.0,19
WEEKDAY,BP11,NS7,33.0,19
WEEKDAY,BP11,NS8,13.0,19
WEEKDAY,BP11,NS9,61.0,19
WEEKDAY,BP12,BP10,106.0,19
WEEKDAY,BP12,BP11,57.0,19
WEEKDAY,BP12,BP13,28.0,19
WEEKDAY,BP12,BP2,62.0,19
WEEKDAY,BP12,BP3,75.0,19
WEEKDAY,BP12,BP4,30.0,19
WEEKDAY,BP12,BP5,87.0,19
WEEKDAY,BP12,BP6,1498.0,19
WEEKDAY,BP12,BP7,32.0,19
WEEKDAY,BP12,BP8,134.0,19
WEEKDAY,BP12,BP9,150.0,19
WEEKDAY,BP12,CC23,1.0,19
WEEKDAY,BP12,CC24,1.0,19
WEEKDAY,BP12,CC4-DT15,1.0,19
WEEKDAY,BP12,DT11,3.0,19
WEEKDAY,BP12,DT17,1.0,19
WEEKDAY,BP12,DT18,2.0,19
WEEKDAY,BP12,EW14-NS26,1.0,19
WEEKDAY,BP12,EW17,6.0,19
WEEKDAY,BP12,EW18,9.0,19
WEEKDAY,BP12,EW19,4.0,19
WEEKDAY,BP12,EW20,8.0,19
WEEKDAY,BP12,EW21,5.0,19
WEEKDAY,BP12,EW22,22.0,19
WEEKDAY,BP12,EW23,44.0,19
WEEKDAY,BP12,EW24-NS1,231.0,19
WEEKDAY,BP12,EW25,2.0,19
WEEKDAY,BP12,EW26,23.0,19
WEEKDAY,BP12,EW27,43.0,19
WEEKDAY,BP12,EW28,27.0,19
WEEKDAY,BP12,EW29,43.0,19
WEEKDAY,BP12,EW30,6.0,19
WEEKDAY,BP12,EW31,6.0,19
WEEKDAY,BP12,EW32,2.0,19
