ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP10,BP11,119
BP10,BP12,128
BP10,BP13,108
BP10,BP2,52
BP10,BP3,62
BP10,BP4,44
BP10,BP5,114
BP10,BP6,1292
BP10,BP7,130
BP10,BP8,422
BP10,BP9,285
BP10,CC1-NE6-NS24,0
BP10,CC10,0
BP10,CC11,1
BP10,CC12,0
BP10,CC14,0
BP10,CC16,0
BP10,CC17,0
BP10,CC19,0
BP10,CC20,0
BP10,CC21,0
BP10,CC23,1
BP10,CC24,2
BP10,CC25,0
BP10,CC26,0
BP10,CC27,1
BP10,CC28,0
BP10,CC3,0
BP10,CC4-DT15,1
BP10,CC5,0
BP10,CC6,0
BP10,CC7,0
BP10,CC8,0
BP10,CE1,1
BP10,CG1,0
BP10,CG2,1
BP10,DT1,0
BP10,DT10,0
BP10,DT11,2
BP10,DT13,0
BP10,DT17,1
BP10,DT18,1
BP10,DT2,0
BP10,DT25,0
BP10,DT27,0
BP10,DT28,0
BP10,DT29,0
BP10,DT3,0
BP10,DT30,0
BP10,DT31,0
BP10,DT32,0
BP10,DT5,1
BP10,DT6,0
BP10,DT7,1
BP10,DT8,0
BP10,EW1,1
BP10,EW10,0
BP10,EW11,1
BP10,EW12,1
BP10,EW13-NS25,1
BP10,EW14-NS26,1
BP10,EW15,4
BP10,EW16,2
BP10,EW17,5
BP10,EW18,7
BP10,EW19,6
BP10,EW2,0
BP10,EW20,8
BP10,EW21,6
BP10,EW22,17
BP10,EW23,30
BP10,EW24-NS1,218
BP10,EW25,6
BP10,EW26,19
BP10,EW27,47
BP10,EW28,17
BP10,EW29,28
BP10,EW3,0
BP10,EW30,5
BP10,EW31,3
BP10,EW32,5
BP10,EW33,3
BP10,EW4,0
BP10,EW5,1
BP10,EW6,0
BP10,EW7,0
BP10,EW8,2
BP10,EW9,1
BP10,NE1,1
BP10,NE10,0
BP10,NE11,0
BP10,NE12,0
BP10,NE13,0
BP10,NE14,0
BP10,NE15,0
BP10,NE16-STC,0
BP10,NE17-PTC,0
BP10,NE4,1
BP10,NE5,0
BP10,NE7,1
BP10,NE8,0
BP10,NE9,0
BP10,NS10,19
BP10,NS11,18
BP10,NS13,22
BP10,NS14,6
BP10,NS15,19
BP10,NS16,14
BP10,NS17,3
BP10,NS18,1
BP10,NS19,3
BP10,NS2,51
BP10,NS20,1
BP10,NS21,0
BP10,NS22,0
BP10,NS23,0
BP10,NS27,0
BP10,NS28,0
BP10,NS3,33
BP10,NS4,283
BP10,NS5,45
BP10,NS7,40
BP10,NS8,8
BP10,NS9,40
BP10,PE5,0
BP10,PE7,0
BP10,PW7,0
BP10,SE2,0
BP10,SE4,0
BP10,SW2,0
BP10,SW6,0
BP11,BP10,129
BP11,BP12,71
BP11,BP13,83
BP11,BP2,55
BP11,BP3,70
BP11,BP4,49
BP11,BP5,118
BP11,BP6,1558
BP11,BP7,69
BP11,BP8,261
BP11,BP9,199
BP11,CC1-NE6-NS24,0
BP11,CC10,0
BP11,CC11,0
BP11,CC12,0
BP11,CC14,0
BP11,CC16,0
BP11,CC17,0
BP11,CC19,1
BP11,CC2,0
BP11,CC20,0
BP11,CC21,0
BP11,CC23,2
BP11,CC24,4
BP11,CC25,1
BP11,CC26,1
BP11,CC27,0
BP11,CC28,0
BP11,CC3,0
BP11,CC4-DT15,1
BP11,CC5,0
BP11,CC6,0
BP11,CC7,0
BP11,CE1,2
BP11,CG1,0
BP11,CG2,1
BP11,DT1,0
BP11,DT10,0
BP11,DT11,2
BP11,DT13,0
BP11,DT17,2
BP11,DT18,1
BP11,DT2,0
BP11,DT20,0
BP11,DT21,0
BP11,DT23,0
BP11,DT24,0
BP11,DT27,0
BP11,DT28,0
BP11,DT3,0
BP11,DT30,0
BP11,DT32,0
BP11,DT33,0
BP11,DT34,0
BP11,DT5,2
BP11,DT6,1
BP11,DT7,0
BP11,DT8,0
BP11,EW1,1
BP11,EW10,0
BP11,EW11,1
BP11,EW12,3
BP11,EW13-NS25,2
BP11,EW14-NS26,0
BP11,EW15,4
BP11,EW16,1
BP11,EW17,7
BP11,EW18,10
BP11,EW19,8
BP11,EW2,1
BP11,EW20,11
BP11,EW21,9
BP11,EW22,22
BP11,EW23,60
BP11,EW24-NS1,312
BP11,EW25,4
BP11,EW26,28
BP11,EW27,62
BP11,EW28,24
BP11,EW29,31
BP11,EW3,0
BP11,EW30,6
BP11,EW31,4
BP11,EW32,6
BP11,EW33,2
BP11,EW4,0
BP11,EW5,1
BP11,EW6,0
BP11,EW7,1
BP11,EW8,2
BP11,EW9,1
BP11,NE1,2
BP11,NE10,0
BP11,NE11,0
BP11,NE12,1
BP11,NE13,0
BP11,NE14,0
BP11,NE16-STC,0
BP11,NE17-PTC,0
BP11,NE4,1
BP11,NE5,0
BP11,NE7,1
BP11,NE8,1
