,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,92.0,182.0,151.0,99.0,80.0,76.0,71.0,67.0,70.0,52.0,48.0,56.0,65.0,70.0,35.0,34.0,25.0,16.0,4.0
WEEKDAY,BP10,BP9,,44.0,62.0,62.0,50.0,11.0,5.0,5.0,6.0,3.0,7.0,3.0,6.0,23.0,19.0,17.0,5.0,,2.0,
WEEKDAY,BP11,BP10,,25.0,40.0,45.0,42.0,8.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,22.0,18.0,9.0,2.0,,1.0,
WEEKDAY,BP11,BP12,,191.0,357.0,314.0,162.0,111.0,102.0,103.0,96.0,106.0,89.0,70.0,69.0,81.0,97.0,53.0,37.0,35.0,19.0,8.0
WEEKDAY,BP12,BP11,,18.0,33.0,46.0,59.0,24.0,19.0,27.0,30.0,34.0,29.0,45.0,54.0,124.0,132.0,80.0,59.0,39.0,19.0,5.0
WEEKDAY,BP12,BP13,,245.0,461.0,415.0,192.0,118.0,114.0,113.0,123.0,131.0,108.0,84.0,82.0,97.0,106.0,55.0,43.0,36.0,21.0,7.0
WEEKDAY,BP13,BP12,,14.0,32.0,50.0,69.0,33.0,28.0,36.0,46.0,47.0,42.0,62.0,82.0,182.0,205.0,117.0,83.0,53.0,27.0,8.0
WEEKDAY,BP13,DT1,,294.0,543.0,484.0,218.0,132.0,122.0,126.0,136.0,144.0,115.0,93.0,86.0,112.0,121.0,58.0,42.0,39.0,22.0,5.0
WEEKDAY,BP2,BP3,,169.0,333.0,453.0,347.0,235.0,169.0,184.0,220.0,219.0,197.0,260.0,328.0,607.0,550.0,317.0,287.0,162.0,92.0,13.0
WEEKDAY,BP2,NS4,,364.0,838.0,746.0,328.0,220.0,187.0,196.0,214.0,232.0,213.0,223.0,243.0,350.0,339.0,190.0,155.0,106.0,79.0,12.0
WEEKDAY,BP3,BP2,,349.0,776.0,671.0,304.0,211.0,183.0,186.0,210.0,233.0,214.0,234.0,252.0,368.0,376.0,214.0,171.0,123.0,91.0,15.0
WEEKDAY,BP3,BP4,,198.0,381.0,504.0,384.0,250.0,177.0,185.0,207.0,212.0,188.0,240.0,292.0,544.0,481.0,275.0,258.0,146.0,85.0,9.0
WEEKDAY,BP4,BP3,,302.0,657.0,556.0,254.0,178.0,157.0,168.0,198.0,224.0,215.0,236.0,250.0,389.0,406.0,235.0,182.0,131.0,95.0,17.0
WEEKDAY,BP4,BP5,,213.0,399.0,519.0,386.0,256.0,183.0,186.0,211.0,217.0,195.0,246.0,284.0,528.0,463.0,257.0,247.0,138.0,74.0,10.0
WEEKDAY,BP5,BP4,,285.0,620.0,536.0,249.0,166.0,149.0,165.0,190.0,211.0,209.0,230.0,250.0,388.0,426.0,252.0,194.0,142.0,105.0,18.0
WEEKDAY,BP5,DT1,,214.0,414.0,544.0,401.0,274.0,199.0,202.0,226.0,231.0,210.0,260.0,305.0,553.0,491.0,269.0,253.0,146.0,79.0,13.0
WEEKDAY,BP7,BP8,,24.0,66.0,112.0,115.0,90.0,84.0,83.0,94.0,100.0,97.0,133.0,160.0,253.0,226.0,134.0,114.0,78.0,59.0,16.0
WEEKDAY,BP7,DT1,,147.0,210.0,200.0,90.0,58.0,49.0,54.0,59.0,42.0,45.0,40.0,33.0,64.0,67.0,33.0,24.0,14.0,4.0,
WEEKDAY,BP8,BP7,,112.0,155.0,145.0,75.0,53.0,48.0,51.0,55.0,38.0,46.0,38.0,31.0,59.0,59.0,34.0,24.0,13.0,5.0,
WEEKDAY,BP8,BP9,,11.0,49.0,91.0,101.0,80.0,78.0,80.0,85.0,92.0,87.0,126.0,145.0,231.0,219.0,119.0,109.0,67.0,49.0,14.0
