ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP12,CC23,1
BP12,CC24,2
BP12,CC25,0
BP12,CC27,0
BP12,CC28,0
BP12,CC3,0
BP12,CC4-DT15,0
BP12,CC5,0
BP12,CC7,0
BP12,CC8,0
BP12,CE1,0
BP12,CG1,0
BP12,CG2,0
BP12,DT1,0
BP12,DT10,0
BP12,DT11,1
BP12,DT17,0
BP12,DT18,0
BP12,DT2,0
BP12,DT23,0
BP12,DT24,0
BP12,DT27,0
BP12,DT28,0
BP12,DT29,0
BP12,DT3,0
BP12,DT31,0
BP12,DT32,0
BP12,DT33,0
BP12,DT5,0
BP12,DT6,0
BP12,DT7,0
BP12,DT8,0
BP12,EW1,1
BP12,EW10,0
BP12,EW11,0
BP12,EW12,1
BP12,EW13-NS25,1
BP12,EW14-NS26,0
BP12,EW15,3
BP12,EW16,1
BP12,EW17,7
BP12,EW18,10
BP12,EW19,6
BP12,EW2,0
BP12,EW20,9
BP12,EW21,5
BP12,EW22,33
BP12,EW23,42
BP12,EW24-NS1,228
BP12,EW25,3
BP12,EW26,26
BP12,EW27,44
BP12,EW28,20
BP12,EW29,29
BP12,EW3,0
BP12,EW30,5
BP12,EW31,3
BP12,EW32,1
BP12,EW33,2
BP12,EW4,0
BP12,EW5,0
BP12,EW6,0
BP12,EW7,0
BP12,EW8,1
BP12,EW9,0
BP12,NE1,1
BP12,NE12,0
BP12,NE13,0
BP12,NE14,0
BP12,NE15,0
BP12,NE16-STC,0
BP12,NE17-PTC,0
BP12,NE4,1
BP12,NE5,0
BP12,NE7,0
BP12,NE8,0
BP12,NE9,0
BP12,NS10,25
BP12,NS11,27
BP12,NS13,36
BP12,NS14,9
BP12,NS15,31
BP12,NS16,11
BP12,NS17,1
BP12,NS18,2
BP12,NS19,1
BP12,NS2,37
BP12,NS20,1
BP12,NS21,0
BP12,NS22,0
BP12,NS23,1
BP12,NS27,0
BP12,NS28,0
BP12,NS3,33
BP12,NS4,321
BP12,NS5,54
BP12,NS7,19
BP12,NS8,12
BP12,NS9,62
BP12,SW5,0
BP13,BP10,120
BP13,BP11,114
BP13,BP12,67
BP13,BP14,1
BP13,BP2,48
BP13,BP3,53
BP13,BP4,49
BP13,BP5,39
BP13,BP6,678
BP13,BP7,18
BP13,BP8,57
BP13,BP9,159
BP13,CC1-NE6-NS24,0
BP13,CC10,0
BP13,CC11,0
BP13,CC14,0
BP13,CC16,0
BP13,CC17,0
BP13,CC19,0
BP13,CC2,0
BP13,CC21,0
BP13,CC23,0
BP13,CC24,1
BP13,CC25,0
BP13,CC26,0
BP13,CC27,0
BP13,CC3,0
BP13,CC4-DT15,0
BP13,CC6,0
BP13,CC7,0
BP13,CE1,0
BP13,CG1,0
BP13,CG2,0
BP13,DT1,0
BP13,DT11,0
BP13,DT13,0
BP13,DT17,0
BP13,DT18,0
BP13,DT20,0
BP13,DT24,0
BP13,DT3,0
BP13,DT32,1
BP13,DT5,0
BP13,DT6,0
BP13,DT8,0
BP13,EW1,0
BP13,EW10,0
BP13,EW11,0
BP13,EW12,0
BP13,EW13-NS25,1
BP13,EW14-NS26,0
BP13,EW15,1
BP13,EW16,1
BP13,EW17,5
BP13,EW18,5
BP13,EW19,6
BP13,EW2,0
BP13,EW20,6
BP13,EW21,3
BP13,EW22,27
BP13,EW23,33
BP13,EW24-NS1,209
BP13,EW25,1
BP13,EW26,9
BP13,EW27,27
BP13,EW28,13
BP13,EW29,23
BP13,EW30,3
BP13,EW31,2
BP13,EW32,6
BP13,EW33,1
BP13,EW4,0
BP13,EW5,0
BP13,EW6,0
BP13,EW7,0
BP13,EW8,0
BP13,EW9,0
BP13,NE1,1
BP13,NE12,0
BP13,NE13,0
BP13,NE16-STC,0
BP13,NE17-PTC,0
BP13,NE4,0
BP13,NE7,0
BP13,NE8,0
BP13,NS10,19
BP13,NS11,25
BP13,NS13,19
BP13,NS14,5
BP13,NS15,24
BP13,NS16,9
BP13,NS17,1
BP13,NS18,1
BP13,NS19,1
BP13,NS2,28
BP13,NS20,1
BP13,NS22,0
BP13,NS23,0
BP13,NS27,0
BP13,NS28,0
BP13,NS3,23
BP13,NS4,226
BP13,NS5,38
BP13,NS7,8
BP13,NS8,4
BP13,NS9,36
BP13,PW7,0
BP14,BP10,9
BP14,BP11,8
BP14,BP12,5
BP14,BP13,4
BP14,BP2,1
BP14,BP3,2
BP14,BP4,1
BP14,BP5,0
BP14,BP6,24
BP14,BP7,2
BP14,BP8,2
BP14,BP9,6
BP14,EW12,0
BP14,EW18,0
BP14,EW20,0
BP14,EW22,0
BP14,EW23,0
BP14,EW24-NS1,2
BP14,EW26,0
BP14,EW27,0
BP14,EW28,0
BP14,EW29,0
BP14,EW9,0
BP14,NS10,0
BP14,NS11,0
BP14,NS13,0
BP14,NS14,0
BP14,NS16,0
BP14,NS19,0
BP14,NS2,0
BP14,NS3,0
BP14,NS4,5
BP14,NS5,0
BP14,NS7,0
BP14,NS8,0
BP14,NS9,0
BP14,PW5,0
BP2,BP10,62
BP2,BP11,64
BP2,BP12,82
BP2,BP13,40
BP2,BP14,0
BP2,BP3,56
BP2,BP4,91
BP2,BP5,84
BP2,BP6,1525
BP2,BP7,49
BP2,BP8,119
BP2,BP9,91
BP2,CC1-NE6-NS24,1
BP2,CC10,1
BP2,CC11,2
BP2,CC12,0
BP2,CC14,0
BP2,CC16,0
BP2,CC17,0
BP2,CC19,0
BP2,CC2,0
BP2,CC20,0
BP2,CC21,3
BP2,CC23,18
BP2,CC24,21
BP2,CC25,4
BP2,CC26,8
BP2,CC27,5
BP2,CC28,1
BP2,CC3,0
BP2,CC4-DT15,0
BP2,CC5,0
BP2,CC6,0
BP2,CC7,0
BP2,CC8,0
BP2,CE1,0
BP2,CG1,0
BP2,CG2,3
BP2,DT1,0
BP2,DT10,0
BP2,DT11,1
BP2,DT13,0
BP2,DT17,1
BP2,DT18,0
BP2,DT2,0
BP2,DT20,0
BP2,DT25,0
BP2,DT27,1
BP2,DT29,0
BP2,DT3,0
BP2,DT31,0
BP2,DT32,0
BP2,DT34,0
BP2,DT5,1
BP2,DT6,0
BP2,DT7,0
BP2,DT8,0
BP2,EW1,1
BP2,EW10,1
BP2,EW11,2
BP2,EW12,3
BP2,EW13-NS25,9
BP2,EW14-NS26,15
BP2,EW15,33
BP2,EW16,17
BP2,EW17,17
BP2,EW18,15
BP2,EW19,18
BP2,EW2,2
BP2,EW20,28
BP2,EW21,31
BP2,EW22,46
BP2,EW23,66
BP2,EW24-NS1,220
BP2,EW25,4
BP2,EW26,23
BP2,EW27,38
BP2,EW28,15
BP2,EW29,27
BP2,EW3,0
BP2,EW30,3
BP2,EW31,5
BP2,EW32,4
BP2,EW33,2
BP2,EW4,2
BP2,EW5,3
BP2,EW6,0
BP2,EW7,1
BP2,EW8,4
BP2,EW9,2
BP2,NE1,14
BP2,NE10,0
BP2,NE11,0
BP2,NE12,2
BP2,NE13,0
BP2,NE14,0
BP2,NE15,0
BP2,NE16-STC,0
BP2,NE17-PTC,0
BP2,NE4,3
BP2,NE5,2
BP2,NE7,1
BP2,NE8,0
BP2,NE9,0
BP2,NS10,33
BP2,NS11,33
BP2,NS13,41
BP2,NS14,12
BP2,NS15,52
BP2,NS16,23
BP2,NS17,14
BP2,NS18,5
BP2,NS19,11
BP2,NS2,77
BP2,NS20,5
BP2,NS21,0
BP2,NS22,3
BP2,NS23,2
BP2,NS27,0
BP2,NS28,0
BP2,NS3,33
BP2,NS4,291
BP2,NS5,89
BP2,NS7,41
BP2,NS8,24
BP2,NS9,99
BP2,PE2,0
BP2,PE3,0
BP2,PW1,0
BP2,SE3,0
BP2,SW5,0
BP3,BP10,61
BP3,BP11,71
BP3,BP12,113
BP3,BP13,51
BP3,BP14,1
BP3,BP2,54
BP3,BP4,31
BP3,BP5,113
BP3,BP6,1569
BP3,BP7,42
BP3,BP8,109
BP3,BP9,82
BP3,CC1-NE6-NS24,1
BP3,CC10,0
BP3,CC11,4
BP3,CC12,0
BP3,CC14,1
BP3,CC16,0
BP3,CC17,0
BP3,CC19,0
BP3,CC2,0
BP3,CC20,0
BP3,CC21,2
BP3,CC23,15
BP3,CC24,18
BP3,CC25,1
BP3,CC26,4
BP3,CC27,8
BP3,CC28,1
BP3,CC3,0
BP3,CC4-DT15,0
BP3,CC5,0
BP3,CC6,0
BP3,CC7,0
BP3,CC8,0
BP3,CE1,1
BP3,CG1,0
BP3,CG2,3
BP3,DT1,0
BP3,DT10,0
BP3,DT11,1
BP3,DT13,0
BP3,DT17,0
BP3,DT18,0
BP3,DT2,0
BP3,DT20,0
BP3,DT21,0
BP3,DT22,0
BP3,DT24,0
BP3,DT25,0
BP3,DT27,0
BP3,DT28,0
BP3,DT29,0
BP3,DT3,0
BP3,DT31,0
BP3,DT32,0
BP3,DT33,0
BP3,DT5,1
BP3,DT6,0
BP3,DT7,0
BP3,EW1,2
BP3,EW10,1
BP3,EW11,3
BP3,EW12,3
BP3,EW13-NS25,9
BP3,EW14-NS26,14
BP3,EW15,33
BP3,EW16,15
BP3,EW17,21
BP3,EW18,35
BP3,EW19,18
BP3,EW2,2
BP3,EW20,31
BP3,EW21,35
BP3,EW22,48
BP3,EW23,87
BP3,EW24-NS1,299
BP3,EW25,8
BP3,EW26,44
BP3,EW27,62
BP3,EW28,20
BP3,EW29,41
BP3,EW3,1
BP3,EW30,5
BP3,EW31,4
BP3,EW32,5
BP3,EW33,2
BP3,EW4,2
BP3,EW5,2
BP3,EW6,1
BP3,EW7,1
BP3,EW8,3
BP3,EW9,2
