DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP10,BP11,132.0,22
WEEKDAY,BP10,BP12,192.0,22
WEEKDAY,BP10,BP13,120.0,22
WEEKDAY,BP10,BP14,9.0,22
WEEKDAY,BP10,BP2,54.0,22
WEEKDAY,BP10,BP3,76.0,22
WEEKDAY,BP10,BP4,94.0,22
WEEKDAY,BP10,BP5,169.0,22
WEEKDAY,BP10,BP6,1454.0,22
WEEKDAY,BP10,BP7,170.0,22
WEEKDAY,BP10,BP8,583.0,22
WEEKDAY,BP10,BP9,287.0,22
WEEKDAY,BP10,CC1-NE6-NS24,0.0,22
WEEKDAY,BP10,CC10,0.0,22
WEEKDAY,BP10,CC11,0.0,22
WEEKDAY,BP10,CC12,0.0,22
WEEKDAY,BP10,CC16,0.0,22
WEEKDAY,BP10,CC19,0.0,22
WEEKDAY,BP10,CC2,0.0,22
WEEKDAY,BP10,CC20,0.0,22
WEEKDAY,BP10,CC21,0.0,22
WEEKDAY,BP10,CC23,1.0,22
WEEKDAY,BP10,CC24,3.0,22
WEEKDAY,BP10,CC25,0.0,22
WEEKDAY,BP10,CC26,0.0,22
WEEKDAY,BP10,CC27,0.0,22
WEEKDAY,BP10,CC28,0.0,22
WEEKDAY,BP10,CC3,0.0,22
WEEKDAY,BP10,CC4-DT15,0.0,22
WEEKDAY,BP10,CC6,0.0,22
WEEKDAY,BP10,CE1,0.0,22
WEEKDAY,BP10,CG1,0.0,22
WEEKDAY,BP10,CG2,0.0,22
WEEKDAY,BP10,DT1,0.0,22
WEEKDAY,BP10,DT10,0.0,22
WEEKDAY,BP10,DT11,0.0,22
WEEKDAY,BP10,DT13,0.0,22
WEEKDAY,BP10,DT17,0.0,22
WEEKDAY,BP10,DT18,0.0,22
WEEKDAY,BP10,DT2,0.0,22
WEEKDAY,BP10,DT27,0.0,22
WEEKDAY,BP10,DT28,0.0,22
WEEKDAY,BP10,DT31,0.0,22
WEEKDAY,BP10,DT32,0.0,22
WEEKDAY,BP10,DT33,0.0,22
WEEKDAY,BP10,DT5,1.0,22
WEEKDAY,BP10,DT6,0.0,22
WEEKDAY,BP10,DT7,0.0,22
WEEKDAY,BP10,DT8,0.0,22
WEEKDAY,BP10,EW1,0.0,22
WEEKDAY,BP10,EW10,0.0,22
WEEKDAY,BP10,EW11,1.0,22
WEEKDAY,BP10,EW12,1.0,22
WEEKDAY,BP10,EW13-NS25,0.0,22
WEEKDAY,BP10,EW14-NS26,0.0,22
WEEKDAY,BP10,EW15,3.0,22
WEEKDAY,BP10,EW16,1.0,22
WEEKDAY,BP10,EW17,8.0,22
WEEKDAY,BP10,EW18,6.0,22
WEEKDAY,BP10,EW19,8.0,22
WEEKDAY,BP10,EW2,0.0,22
WEEKDAY,BP10,EW20,13.0,22
WEEKDAY,BP10,EW21,8.0,22
WEEKDAY,BP10,EW22,39.0,22
WEEKDAY,BP10,EW23,33.0,22
WEEKDAY,BP10,EW24-NS1,261.0,22
WEEKDAY,BP10,EW25,5.0,22
WEEKDAY,BP10,EW26,19.0,22
WEEKDAY,BP10,EW27,66.0,22
WEEKDAY,BP10,EW28,20.0,22
WEEKDAY,BP10,EW29,35.0,22
WEEKDAY,BP10,EW3,0.0,22
WEEKDAY,BP10,EW30,5.0,22
WEEKDAY,BP10,EW31,3.0,22
WEEKDAY,BP10,EW32,5.0,22
WEEKDAY,BP10,EW33,3.0,22
WEEKDAY,BP10,EW4,1.0,22
WEEKDAY,BP10,EW5,0.0,22
WEEKDAY,BP10,EW6,0.0,22
WEEKDAY,BP10,EW7,0.0,22
WEEKDAY,BP10,EW8,1.0,22
WEEKDAY,BP10,EW9,0.0,22
WEEKDAY,BP10,NE1,2.0,22
WEEKDAY,BP10,NE12,0.0,22
WEEKDAY,BP10,NE13,0.0,22
WEEKDAY,BP10,NE14,0.0,22
WEEKDAY,BP10,NE16-STC,0.0,22
WEEKDAY,BP10,NE17-PTC,0.0,22
WEEKDAY,BP10,NE4,1.0,22
WEEKDAY,BP10,NE5,0.0,22
WEEKDAY,BP10,NE7,0.0,22
WEEKDAY,BP10,NE8,0.0,22
WEEKDAY,BP10,NE9,0.0,22
WEEKDAY,BP10,NS10,20.0,22
WEEKDAY,BP10,NS11,13.0,22
WEEKDAY,BP10,NS13,20.0,22
WEEKDAY,BP10,NS14,7.0,22
WEEKDAY,BP10,NS15,37.0,22
WEEKDAY,BP10,NS16,18.0,22
WEEKDAY,BP10,NS17,5.0,22
WEEKDAY,BP10,NS18,0.0,22
WEEKDAY,BP10,NS19,1.0,22
WEEKDAY,BP10,NS2,42.0,22
WEEKDAY,BP10,NS20,2.0,22
WEEKDAY,BP10,NS21,0.0,22
WEEKDAY,BP10,NS22,0.0,22
WEEKDAY,BP10,NS23,0.0,22
WEEKDAY,BP10,NS27,0.0,22
WEEKDAY,BP10,NS28,0.0,22
WEEKDAY,BP10,NS3,27.0,22
WEEKDAY,BP10,NS4,339.0,22
WEEKDAY,BP10,NS5,68.0,22
WEEKDAY,BP10,NS7,38.0,22
WEEKDAY,BP10,NS8,10.0,22
WEEKDAY,BP10,NS9,45.0,22
WEEKDAY,BP10,PE4,0.0,22
WEEKDAY,BP10,PW5,0.0,22
WEEKDAY,BP10,PW6,0.0,22
WEEKDAY,BP10,SE4,0.0,22
WEEKDAY,BP11,BP10,135.0,22
WEEKDAY,BP11,BP12,89.0,22
