PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,4323,4414
BP11,4524,4031
BP12,3981,3682
BP13,2279,2073
BP14,82,73
BP2,3931,3288
BP3,4681,4053
BP4,4089,3909
BP5,2758,2076
BP6,14182,16420
BP7,1930,1751
BP8,3326,3112
BP9,3346,3347
CC1-NE6-NS24,39874,38436
CC10,16307,15231
CC11,17218,17263
CC12,6712,5652
CC14,7800,7377
CC16,11251,10541
CC17,3823,3711
CC19,8032,8734
CC2,5920,6448
CC20,5738,5544
CC21,9086,9882
CC23,14869,14808
CC24,18710,18516
CC25,7357,6773
CC26,4658,4842
CC27,6879,6787
CC28,3986,4268
CC3,9561,8960
CC4-DT15,20339,20810
CC5,5335,5505
CC6,11050,11254
CC7,7370,7498
CC8,8771,7993
CE1,34876,33613
CG1,15633,16168
CG2,20122,18782
DT1,31465,30316
DT10,5302,4253
DT11,31361,32218
DT13,9667,10001
DT17,22809,23468
DT18,15549,16487
DT2,2891,2322
DT20,7036,7751
DT21,7153,7184
DT22,7159,7492
DT23,3973,3982
DT24,4692,4506
DT25,3449,3495
DT27,7040,6815
DT28,10052,9385
DT29,6388,5957
DT3,7858,6886
DT30,7228,7043
DT31,7663,8173
DT32,20242,21820
DT33,17428,16511
DT34,4466,4169
DT5,14003,13729
DT6,7747,6342
DT7,3835,4767
DT8,4925,4584
EW1,33448,32065
EW10,13171,13468
EW11,22718,22824
EW12,60635,63172
EW13-NS25,47349,47706
EW14-NS26,57693,57050
EW15,42664,45221
EW16,30163,29854
EW17,28223,29369
EW18,18512,18734
EW19,15202,14387
EW2,35702,35741
EW20,16349,15617
EW21,27597,26162
EW22,14755,14732
EW23,45820,46606
EW24-NS1,78781,83608
EW25,9562,8648
EW26,33094,28672
EW27,48609,55993
EW28,30674,23113
EW29,17338,17158
EW3,19228,19381
EW30,2504,2071
EW31,2788,2322
EW32,2815,2785
EW33,2288,2537
EW4,18725,16531
EW5,36149,35738
EW6,12238,13848
EW7,15964,18257
EW8,39100,39581
EW9,25140,24512
NE1,52423,52473
NE10,14229,14337
NE11,4923,4555
NE12,60193,62101
NE13,22097,22185
NE14,32422,31229
NE15,17021,15957
NE16-STC,43335,44417
NE17-PTC,38374,37230
NE4,59153,59489
NE5,17141,19758
NE7,29438,31376
NE8,30186,32476
NE9,23732,20999
NS10,45629,40720
NS11,42372,42307
NS13,56177,59722
NS14,31919,28305
NS15,30222,28156
NS16,50944,54505
NS17,49546,47901
NS18,15560,14375
NS19,40466,42329
NS2,27145,28027
NS20,40091,39384
NS21,32721,34419
NS22,65294,70244
NS23,36972,39816
NS27,6155,6365
NS28,1654,1671
NS3,17405,16699
NS4,42151,43828
NS5,31984,30448
NS7,21236,18937
NS8,22995,18336
NS9,49107,57149
PE1,3619,3582
PE2,5480,5053
PE3,5977,5953
PE4,1472,1417
PE5,5277,4897
PE6,5473,5214
PE7,3940,3708
PW1,606,621
PW3,383,383
PW4,343,353
PW5,1950,2235
PW6,1005,798
PW7,1354,1599
SE1,4436,4449
SE2,5788,5267
SE3,3233,3057
SE4,3778,3565
SE5,2728,2739
SW1,967,1003
SW2,3974,3670
SW3,2066,2023
SW4,852,760
SW5,7419,6886
SW6,3393,3245
SW7,2980,2703
SW8,2033,1998
