DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP10,BP11,128.0,23
WEEKDAY,BP10,BP12,181.0,23
WEEKDAY,BP10,BP13,110.0,23
WEEKDAY,BP10,BP14,8.0,23
WEEKDAY,BP10,BP2,46.0,23
WEEKDAY,BP10,BP3,79.0,23
WEEKDAY,BP10,BP4,97.0,23
WEEKDAY,BP10,BP5,162.0,23
WEEKDAY,BP10,BP6,1471.0,23
WEEKDAY,BP10,BP7,154.0,23
WEEKDAY,BP10,BP8,556.0,23
WEEKDAY,BP10,BP9,280.0,23
WEEKDAY,BP10,CC1-NE6-NS24,0.0,23
WEEKDAY,BP10,CC10,0.0,23
WEEKDAY,BP10,CC11,0.0,23
WEEKDAY,BP10,CC12,0.0,23
WEEKDAY,BP10,CC14,0.0,23
WEEKDAY,BP10,CC16,0.0,23
WEEKDAY,BP10,CC19,0.0,23
WEEKDAY,BP10,CC2,0.0,23
WEEKDAY,BP10,CC20,0.0,23
WEEKDAY,BP10,CC21,0.0,23
WEEKDAY,BP10,CC23,1.0,23
WEEKDAY,BP10,CC24,4.0,23
WEEKDAY,BP10,CC25,1.0,23
WEEKDAY,BP10,CC26,0.0,23
WEEKDAY,BP10,CC27,0.0,23
WEEKDAY,BP10,CC28,0.0,23
WEEKDAY,BP10,CC3,0.0,23
WEEKDAY,BP10,CC4-DT15,0.0,23
WEEKDAY,BP10,CC5,0.0,23
WEEKDAY,BP10,CC6,0.0,23
WEEKDAY,BP10,CC7,0.0,23
WEEKDAY,BP10,CC8,0.0,23
WEEKDAY,BP10,CE1,1.0,23
WEEKDAY,BP10,CG1,1.0,23
WEEKDAY,BP10,CG2,0.0,23
WEEKDAY,BP10,DT1,0.0,23
WEEKDAY,BP10,DT11,3.0,23
WEEKDAY,BP10,DT13,1.0,23
WEEKDAY,BP10,DT17,2.0,23
WEEKDAY,BP10,DT18,1.0,23
WEEKDAY,BP10,DT2,0.0,23
WEEKDAY,BP10,DT20,0.0,23
WEEKDAY,BP10,DT21,0.0,23
WEEKDAY,BP10,DT23,0.0,23
WEEKDAY,BP10,DT24,0.0,23
WEEKDAY,BP10,DT25,0.0,23
WEEKDAY,BP10,DT27,0.0,23
WEEKDAY,BP10,DT28,0.0,23
WEEKDAY,BP10,DT29,0.0,23
WEEKDAY,BP10,DT3,0.0,23
WEEKDAY,BP10,DT30,0.0,23
WEEKDAY,BP10,DT31,0.0,23
WEEKDAY,BP10,DT32,0.0,23
WEEKDAY,BP10,DT33,0.0,23
WEEKDAY,BP10,DT5,1.0,23
WEEKDAY,BP10,DT6,1.0,23
WEEKDAY,BP10,DT7,1.0,23
WEEKDAY,BP10,DT8,0.0,23
WEEKDAY,BP10,EW1,0.0,23
WEEKDAY,BP10,EW10,0.0,23
WEEKDAY,BP10,EW11,1.0,23
WEEKDAY,BP10,EW12,3.0,23
WEEKDAY,BP10,EW13-NS25,0.0,23
WEEKDAY,BP10,EW14-NS26,1.0,23
WEEKDAY,BP10,EW15,2.0,23
WEEKDAY,BP10,EW16,2.0,23
WEEKDAY,BP10,EW17,6.0,23
WEEKDAY,BP10,EW18,6.0,23
WEEKDAY,BP10,EW19,7.0,23
WEEKDAY,BP10,EW2,0.0,23
WEEKDAY,BP10,EW20,12.0,23
WEEKDAY,BP10,EW21,7.0,23
WEEKDAY,BP10,EW22,30.0,23
WEEKDAY,BP10,EW23,40.0,23
WEEKDAY,BP10,EW24-NS1,252.0,23
WEEKDAY,BP10,EW25,4.0,23
WEEKDAY,BP10,EW26,19.0,23
WEEKDAY,BP10,EW27,63.0,23
WEEKDAY,BP10,EW28,25.0,23
WEEKDAY,BP10,EW29,37.0,23
WEEKDAY,BP10,EW3,0.0,23
WEEKDAY,BP10,EW30,6.0,23
WEEKDAY,BP10,EW31,5.0,23
WEEKDAY,BP10,EW32,4.0,23
WEEKDAY,BP10,EW33,3.0,23
WEEKDAY,BP10,EW4,0.0,23
WEEKDAY,BP10,EW5,1.0,23
WEEKDAY,BP10,EW6,0.0,23
WEEKDAY,BP10,EW7,0.0,23
WEEKDAY,BP10,EW8,0.0,23
WEEKDAY,BP10,EW9,0.0,23
WEEKDAY,BP10,NE1,2.0,23
WEEKDAY,BP10,NE12,0.0,23
WEEKDAY,BP10,NE13,0.0,23
WEEKDAY,BP10,NE14,0.0,23
WEEKDAY,BP10,NE16-STC,0.0,23
WEEKDAY,BP10,NE17-PTC,0.0,23
WEEKDAY,BP10,NE4,1.0,23
WEEKDAY,BP10,NE5,1.0,23
WEEKDAY,BP10,NE7,1.0,23
WEEKDAY,BP10,NE8,0.0,23
WEEKDAY,BP10,NE9,0.0,23
WEEKDAY,BP10,NS10,18.0,23
WEEKDAY,BP10,NS11,16.0,23
WEEKDAY,BP10,NS13,18.0,23
WEEKDAY,BP10,NS14,8.0,23
WEEKDAY,BP10,NS15,37.0,23
WEEKDAY,BP10,NS16,16.0,23
WEEKDAY,BP10,NS17,5.0,23
WEEKDAY,BP10,NS18,1.0,23
WEEKDAY,BP10,NS19,2.0,23
WEEKDAY,BP10,NS2,44.0,23
WEEKDAY,BP10,NS20,1.0,23
WEEKDAY,BP10,NS21,0.0,23
WEEKDAY,BP10,NS22,0.0,23
WEEKDAY,BP10,NS23,0.0,23
WEEKDAY,BP10,NS28,0.0,23
WEEKDAY,BP10,NS3,35.0,23
WEEKDAY,BP10,NS4,309.0,23
WEEKDAY,BP10,NS5,60.0,23
WEEKDAY,BP10,NS7,41.0,23
WEEKDAY,BP10,NS8,10.0,23
WEEKDAY,BP10,NS9,39.0,23
WEEKDAY,BP10,PE3,0.0,23
WEEKDAY,BP10,PE5,0.0,23
WEEKDAY,BP10,PW5,0.0,23
WEEKDAY,BP10,SE4,0.0,23
WEEKDAY,BP10,SW3,0.0,23
WEEKDAY,BP10,SW8,0.0,23
WEEKDAY,BP11,BP10,142.0,23
WEEKDAY,BP11,BP12,100.0,23
WEEKDAY,BP11,BP13,117.0,23
WEEKDAY,BP11,BP14,3.0,23
WEEKDAY,BP11,BP2,78.0,23
WEEKDAY,BP11,BP3,85.0,23
WEEKDAY,BP11,BP4,132.0,23
WEEKDAY,BP11,BP5,182.0,23
WEEKDAY,BP11,BP6,1849.0,23
WEEKDAY,BP11,BP7,98.0,23
WEEKDAY,BP11,BP8,335.0,23
WEEKDAY,BP11,BP9,224.0,23
WEEKDAY,BP11,CC1-NE6-NS24,0.0,23
WEEKDAY,BP11,CC10,0.0,23
WEEKDAY,BP11,CC11,0.0,23
WEEKDAY,BP11,CC12,0.0,23
WEEKDAY,BP11,CC14,0.0,23
WEEKDAY,BP11,CC16,0.0,23
WEEKDAY,BP11,CC17,0.0,23
WEEKDAY,BP11,CC19,0.0,23
WEEKDAY,BP11,CC2,0.0,23
WEEKDAY,BP11,CC20,0.0,23
WEEKDAY,BP11,CC21,1.0,23
WEEKDAY,BP11,CC23,1.0,23
WEEKDAY,BP11,CC24,4.0,23
WEEKDAY,BP11,CC25,0.0,23
WEEKDAY,BP11,CC26,0.0,23
WEEKDAY,BP11,CC27,0.0,23
WEEKDAY,BP11,CC28,0.0,23
WEEKDAY,BP11,CC3,0.0,23
WEEKDAY,BP11,CC4-DT15,0.0,23
WEEKDAY,BP11,CC5,0.0,23
WEEKDAY,BP11,CC6,0.0,23
WEEKDAY,BP11,CC7,0.0,23
WEEKDAY,BP11,CE1,1.0,23
WEEKDAY,BP11,CG1,1.0,23
WEEKDAY,BP11,CG2,1.0,23
WEEKDAY,BP11,DT1,0.0,23
WEEKDAY,BP11,DT10,0.0,23
WEEKDAY,BP11,DT11,3.0,23
WEEKDAY,BP11,DT13,1.0,23
WEEKDAY,BP11,DT17,2.0,23
WEEKDAY,BP11,DT18,3.0,23
WEEKDAY,BP11,DT2,0.0,23
WEEKDAY,BP11,DT20,0.0,23
WEEKDAY,BP11,DT21,0.0,23
WEEKDAY,BP11,DT23,0.0,23
WEEKDAY,BP11,DT27,1.0,23
WEEKDAY,BP11,DT28,0.0,23
WEEKDAY,BP11,DT29,0.0,23
WEEKDAY,BP11,DT3,1.0,23
WEEKDAY,BP11,DT30,0.0,23
WEEKDAY,BP11,DT31,0.0,23
WEEKDAY,BP11,DT32,1.0,23
WEEKDAY,BP11,DT33,0.0,23
WEEKDAY,BP11,DT34,0.0,23
WEEKDAY,BP11,DT5,1.0,23
WEEKDAY,BP11,DT6,0.0,23
WEEKDAY,BP11,DT7,1.0,23
WEEKDAY,BP11,DT8,0.0,23
WEEKDAY,BP11,EW1,0.0,23
WEEKDAY,BP11,EW10,0.0,23
WEEKDAY,BP11,EW11,1.0,23
WEEKDAY,BP11,EW12,3.0,23
WEEKDAY,BP11,EW13-NS25,1.0,23
WEEKDAY,BP11,EW14-NS26,1.0,23
WEEKDAY,BP11,EW15,4.0,23
WEEKDAY,BP11,EW16,3.0,23
WEEKDAY,BP11,EW17,7.0,23
WEEKDAY,BP11,EW18,14.0,23
WEEKDAY,BP11,EW19,11.0,23
WEEKDAY,BP11,EW2,0.0,23
WEEKDAY,BP11,EW20,14.0,23
WEEKDAY,BP11,EW21,6.0,23
WEEKDAY,BP11,EW22,45.0,23
WEEKDAY,BP11,EW23,59.0,23
WEEKDAY,BP11,EW24-NS1,330.0,23
WEEKDAY,BP11,EW25,3.0,23
WEEKDAY,BP11,EW26,35.0,23
WEEKDAY,BP11,EW27,77.0,23
WEEKDAY,BP11,EW28,31.0,23
WEEKDAY,BP11,EW29,53.0,23
WEEKDAY,BP11,EW3,0.0,23
WEEKDAY,BP11,EW30,7.0,23
WEEKDAY,BP11,EW31,4.0,23
WEEKDAY,BP11,EW32,7.0,23
WEEKDAY,BP11,EW33,2.0,23
WEEKDAY,BP11,EW4,0.0,23
WEEKDAY,BP11,EW5,1.0,23
WEEKDAY,BP11,EW6,0.0,23
WEEKDAY,BP11,EW7,0.0,23
WEEKDAY,BP11,EW8,1.0,23
WEEKDAY,BP11,EW9,0.0,23
WEEKDAY,BP11,NE1,3.0,23
