DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,1532.0,1669.0
WEEKDAY,BP11,1524.0,1300.0
WEEKDAY,BP12,1079.0,871.0
WEEKDAY,BP13,678.0,473.0
WEEKDAY,BP2,1277.0,1066.0
WEEKDAY,BP3,1731.0,1477.0
WEEKDAY,BP4,1002.0,939.0
WEEKDAY,BP5,954.0,724.0
WEEKDAY,BP6,3904.0,4926.0
WEEKDAY,BP7,535.0,558.0
WEEKDAY,BP8,973.0,924.0
WEEKDAY,BP9,1086.0,995.0
WEEKDAY,CC1-NE6-NS24,6619.0,5927.0
WEEKDAY,CC10,5223.0,4994.0
WEEKDAY,CC11,5527.0,5678.0
WEEKDAY,CC12,1481.0,1338.0
WEEKDAY,CC14,1699.0,1603.0
WEEKDAY,CC16,2691.0,2651.0
WEEKDAY,CC17,1086.0,1039.0
WEEKDAY,CC19,1393.0,1466.0
WEEKDAY,CC2,943.0,960.0
WEEKDAY,CC20,1354.0,1378.0
WEEKDAY,CC21,2062.0,2172.0
WEEKDAY,CC23,2524.0,2626.0
WEEKDAY,CC24,6454.0,6288.0
WEEKDAY,CC25,2383.0,2255.0
WEEKDAY,CC26,2426.0,2491.0
WEEKDAY,CC27,1093.0,1203.0
WEEKDAY,CC28,1265.0,1223.0
WEEKDAY,CC3,1001.0,972.0
WEEKDAY,CC4-DT15,2511.0,2577.0
WEEKDAY,CC5,871.0,904.0
WEEKDAY,CC6,1707.0,1684.0
WEEKDAY,CC7,1789.0,1845.0
WEEKDAY,CC8,2102.0,1870.0
WEEKDAY,CE1,2032.0,2011.0
WEEKDAY,CG1,3753.0,4002.0
WEEKDAY,CG2,3428.0,3238.0
WEEKDAY,DT1,7737.0,7561.0
WEEKDAY,DT10,1156.0,921.0
WEEKDAY,DT11,5989.0,6157.0
WEEKDAY,DT13,2050.0,2063.0
WEEKDAY,DT17,3011.0,3041.0
WEEKDAY,DT18,2842.0,3111.0
WEEKDAY,DT2,710.0,524.0
WEEKDAY,DT20,1184.0,1251.0
