,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ORIGIN_PT_CODE,DESTINATION_PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,
BP10,BP11,WEEKDAY,,0.5,0.8,3.1,4.2,5.1,5.0,5.3,4.3,3.7,4.0,3.8,4.0,3.8,4.5,4.0,2.9,1.8,0.4,0.3
BP10,BP11,WEEKENDS/HOLIDAY,,0.3,0.6,2.8,3.4,6.0,5.7,6.4,4.0,4.7,4.0,4.0,4.3,3.6,3.8,1.7,1.2,0.2,0.9,0.2
BP10,BP12,WEEKDAY,,0.2,3.6,11.2,8.3,7.4,4.6,3.9,3.6,3.9,2.5,2.3,2.9,2.6,3.5,3.7,1.6,0.5,0.3,0.1
BP10,BP12,WEEKENDS/HOLIDAY,,0.4,2.3,5.2,7.2,8.1,7.9,7.0,3.8,3.3,2.6,2.2,1.8,2.4,2.3,1.9,1.9,0.2,0.2,0.2
BP10,BP13,WEEKDAY,,1.9,3.1,5.7,5.2,5.4,3.6,3.6,3.4,4.5,2.1,1.8,2.4,2.5,3.8,2.3,1.5,1.0,1.2,0.7
BP10,BP13,WEEKENDS/HOLIDAY,,0.4,1.8,6.3,4.9,9.3,6.3,3.6,4.3,2.6,3.7,1.4,1.7,2.2,2.6,1.1,1.1,0.6,1.0,0.4
BP10,BP2,WEEKDAY,,1.1,1.7,0.8,1.3,0.9,0.5,0.6,0.6,1.2,1.2,0.8,1.4,1.3,2.0,1.5,1.0,0.9,1.7,0.5
BP10,BP2,WEEKENDS/HOLIDAY,,0.6,0.4,0.6,1.3,2.0,0.9,1.1,0.7,0.3,1.4,0.3,0.4,1.1,0.7,1.1,1.4,0.9,1.7,
BP10,BP3,WEEKDAY,,0.5,2.9,5.4,1.7,1.1,1.5,1.5,1.6,2.6,2.7,1.8,1.0,1.7,2.7,0.7,2.8,1.3,0.8,0.3
BP10,BP3,WEEKENDS/HOLIDAY,,0.2,0.2,1.7,1.2,1.1,0.9,0.9,1.0,1.6,1.3,0.7,2.0,1.4,0.8,1.1,1.0,1.6,0.8,0.2
