,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,128.0,267.6,227.6,123.0,84.7,70.8,59.8,62.4,75.1,59.0,48.0,50.1,63.0,74.5,54.2,36.1,23.1,18.2,7.1,0.0,11.2,50.0,75.3,76.7,73.4,59.4,64.1,70.8,76.6,82.0,95.0,114.4,148.8,227.9,169.2,101.3,86.6,58.9,27.5
BP10,WEEKENDS/HOLIDAY,0.0,61.4,86.0,72.6,63.8,76.6,72.4,59.0,63.6,61.6,54.6,42.8,42.8,53.1,47.4,35.4,31.6,20.6,20.4,5.8,0.0,8.1,32.9,45.9,68.9,70.8,60.9,61.0,66.9,71.8,76.3,70.3,68.0,76.8,74.9,79.6,64.7,61.9,50.7,25.0
BP11,WEEKDAY,0.0,135.7,272.0,277.1,124.9,72.5,54.1,58.0,64.6,67.1,53.9,44.3,42.0,67.1,75.7,51.4,25.3,20.5,11.6,6.1,0.0,8.6,28.4,57.9,45.8,50.9,39.7,40.2,47.7,52.9,57.5,64.2,73.9,134.5,207.9,148.1,98.0,81.3,43.6,19.0
BP11,WEEKENDS/HOLIDAY,0.0,60.2,83.7,67.6,58.7,59.7,53.6,61.9,58.6,61.9,49.2,45.6,41.1,44.1,59.9,38.8,24.9,21.3,13.3,7.0,0.0,4.7,10.6,25.6,36.1,46.1,33.2,43.4,46.4,52.6,51.0,54.7,50.9,57.0,61.1,44.4,62.3,58.7,40.1,16.1
BP12,WEEKDAY,0.0,73.6,166.0,191.6,102.0,46.7,36.2,36.5,53.3,49.8,66.8,49.7,39.0,51.1,48.9,26.0,19.8,12.1,7.2,2.5,0.0,4.6,31.1,112.4,57.4,38.0,27.4,28.9,26.8,34.7,31.5,33.8,36.7,73.8,127.7,93.5,44.5,31.5,21.6,14.6
BP12,WEEKENDS/HOLIDAY,0.0,34.6,50.2,45.9,43.2,39.9,39.6,33.9,30.7,31.7,25.8,23.4,20.6,28.9,32.8,20.2,17.9,10.9,6.0,3.6,0.0,2.8,7.8,26.1,35.4,44.8,34.2,32.4,28.9,29.2,26.4,26.1,27.7,28.1,31.0,26.6,26.0,24.1,18.0,11.8
BP13,WEEKDAY,0.0,65.8,128.1,113.8,62.6,34.5,26.2,25.5,26.9,25.9,19.4,20.5,16.0,34.7,34.0,18.6,9.5,9.3,5.1,1.8,0.0,5.7,16.4,32.4,24.1,21.1,18.0,18.8,20.0,23.6,17.0,21.1,24.5,45.2,77.4,54.7,22.6,14.0,10.7,5.5
BP13,WEEKENDS/HOLIDAY,0.0,24.6,37.6,31.2,33.3,29.2,29.4,23.7,23.6,20.9,19.6,17.7,16.0,17.4,21.1,11.0,8.7,8.4,5.8,1.9,0.0,3.0,7.6,19.4,24.1,27.2,21.9,21.1,22.4,18.3,18.4,16.4,16.1,14.2,16.7,13.1,12.1,8.6,9.1,4.6
BP2,WEEKDAY,0.0,75.0,198.5,241.0,134.2,75.0,51.1,55.2,57.0,65.1,43.6,36.7,37.1,51.5,58.1,38.5,27.2,15.6,12.8,3.3,0.0,11.7,31.0,46.7,45.5,30.1,29.0,30.7,35.9,47.0,49.0,58.1,70.6,87.9,156.6,117.9,83.2,66.9,50.4,17.7
BP2,WEEKENDS/HOLIDAY,0.0,36.2,80.3,71.6,47.3,54.4,48.7,56.1,54.4,50.1,44.7,38.3,37.0,43.6,47.2,37.0,21.0,17.6,15.4,3.6,0.0,7.3,19.3,21.8,31.7,36.1,27.3,32.9,37.0,47.3,40.3,45.8,45.2,49.3,47.9,50.8,51.8,50.7,44.8,14.6
BP3,WEEKDAY,0.0,104.0,271.3,315.9,162.4,99.9,71.9,73.9,78.2,76.6,64.9,56.6,53.4,82.9,75.2,50.9,42.2,24.9,20.2,5.4,0.0,5.8,35.4,60.5,48.0,37.0,36.0,44.2,58.3,73.0,85.4,82.8,98.1,138.6,226.0,165.1,115.4,85.5,58.4,23.7
BP3,WEEKENDS/HOLIDAY,0.0,60.3,100.8,94.1,70.2,71.1,71.2,73.2,70.2,68.9,60.7,55.3,54.4,67.9,60.4,43.0,33.8,27.3,18.2,8.0,0.0,3.0,16.9,27.2,35.7,37.7,37.8,44.3,51.9,64.9,64.0,70.3,71.2,76.4,72.6,70.0,70.8,69.0,56.1,21.3
BP4,WEEKDAY,0.0,43.9,118.1,120.4,71.4,49.0,41.7,52.6,61.3,48.8,52.0,74.7,63.1,70.9,53.2,26.2,22.3,19.1,9.9,3.8,0.0,7.7,27.1,63.7,100.4,59.3,29.3,27.8,44.1,46.5,47.1,46.9,50.4,63.0,100.7,74.0,54.4,49.0,34.7,12.7
BP4,WEEKENDS/HOLIDAY,0.0,21.6,53.4,40.1,37.4,36.4,28.4,31.0,32.1,34.3,29.9,28.4,27.7,33.9,34.2,20.2,19.1,12.6,10.2,4.0,0.0,5.9,13.2,23.6,25.3,21.7,16.0,21.7,24.3,27.7,26.4,35.4,34.7,33.4,37.4,41.4,36.4,38.6,31.8,10.8
BP5,WEEKDAY,0.0,31.9,98.1,109.9,58.9,45.3,44.0,42.6,47.8,43.1,43.5,47.4,53.4,70.8,80.6,52.2,34.8,25.1,16.7,8.0,0.0,16.5,42.2,49.6,43.5,29.9,28.4,26.9,38.3,36.8,41.8,40.5,46.1,52.7,72.8,52.5,42.2,27.9,25.0,10.5
BP5,WEEKENDS/HOLIDAY,0.0,23.9,32.1,38.9,34.7,40.0,40.1,42.2,41.9,36.3,39.2,36.4,38.8,40.1,37.1,34.7,27.3,19.1,17.7,5.8,0.0,9.1,18.7,20.0,24.9,30.0,27.6,28.0,34.2,30.1,34.9,29.4,26.4,31.0,38.2,26.1,27.2,22.1,22.0,9.2
BP6,WEEKDAY,0.0,20.2,123.9,173.4,132.2,107.8,107.7,122.6,164.4,193.1,219.3,237.4,262.0,378.6,542.4,415.9,274.1,214.3,168.9,46.0,0.1,308.3,556.3,780.9,460.2,275.6,210.6,201.7,221.7,225.5,234.9,221.5,188.2,234.3,308.4,194.9,129.4,91.8,62.9,18.8
BP6,WEEKENDS/HOLIDAY,0.0,19.8,61.4,96.8,101.3,99.3,108.6,135.4,156.3,180.3,178.4,198.6,188.7,184.2,207.9,199.9,173.3,171.9,160.6,40.1,0.0,136.4,202.2,235.8,197.9,205.1,213.2,208.7,207.9,205.3,200.9,180.7,167.9,182.7,185.7,127.9,105.3,80.0,62.6,21.3
BP7,WEEKDAY,0.0,50.9,92.8,103.9,55.0,23.1,15.4,19.1,16.2,16.4,15.5,14.8,17.9,23.8,29.9,18.3,11.0,4.7,5.3,0.9,0.0,10.8,19.6,28.2,22.9,20.8,16.0,17.4,18.3,24.3,27.4,28.2,37.4,51.6,82.0,55.0,36.4,31.2,21.1,9.1
BP7,WEEKENDS/HOLIDAY,0.0,15.4,16.8,18.0,18.7,20.2,17.0,19.7,15.6,15.6,16.3,15.1,14.3,13.2,14.4,8.8,8.6,7.3,3.6,1.3,0.0,5.0,7.8,9.7,15.6,13.6,17.3,20.3,19.3,22.4,21.2,25.2,21.0,19.3,23.8,21.1,22.9,24.2,18.4,8.4
BP8,WEEKDAY,0.0,65.0,126.4,112.0,55.5,31.6,29.4,29.0,32.8,38.8,38.4,41.3,47.7,75.9,92.9,64.4,41.2,26.5,19.0,5.7,0.0,27.8,87.5,96.2,76.9,44.5,24.7,26.9,28.0,34.3,38.0,36.9,44.9,63.5,103.9,68.3,47.5,36.0,25.8,12.2
