PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,1914.0,2111.0
BP11,1915.0,1636.0
BP12,1488.0,1248.0
BP13,853.0,606.0
BP14,0.0,0.0
BP2,1690.0,1410.0
BP3,2252.0,1947.0
BP4,2039.0,1927.0
BP5,1276.0,957.0
BP7,672.0,736.0
BP8,1215.0,1098.0
BP9,1511.0,1354.0
CC10/DT26,6606.0,6262.0
CC11,6173.0,6176.0
CC12,2225.0,1939.0
CC14,2756.0,2600.0
CC16,3725.0,3619.0
CC17,1410.0,1371.0
CC19/DT9,1965.0,2172.0
CC2,843.0,821.0
CC20,1948.0,1973.0
CC21,2895.0,3102.0
CC22/EW21,7429.0,6806.0
CC23,2862.0,2839.0
CC24,6617.0,6341.0
CC25,2708.0,2575.0
CC26,2123.0,2254.0
CC27,1119.0,1176.0
CC28,1637.0,1575.0
CC3,1602.0,1471.0
CC4/DT15,3351.0,3373.0
CC5,1166.0,1193.0
CC6,2284.0,2239.0
CC7,2579.0,2600.0
CC8,3269.0,2850.0
CE1/DT16,2340.0,2235.0
CG1/DT35,4445.0,4489.0
CG2,2984.0,2900.0
DT1/PB6,14482.0,15622.0
DT10,1594.0,1233.0
DT13,2564.0,2674.0
DT17,2822.0,2763.0
DT18,3067.0,3230.0
DT2,962.0,748.0
DT20,1376.0,1451.0
DT21,1474.0,1294.0
DT22,2018.0,2166.0
DT23,1121.0,1098.0
DT24,2262.0,2276.0
DT25,1625.0,1730.0
DT27,3060.0,3067.0
DT28,3799.0,3694.0
DT29,3098.0,2842.0
DT3,2373.0,2058.0
DT30,2778.0,2719.0
DT31,3040.0,3349.0
DT33,6925.0,6657.0
DT34,1368.0,1244.0
DT5,3732.0,3871.0
DT6,1615.0,1506.0
DT7,1223.0,1269.0
DT8,1648.0,1493.0
EW1,12245.0,11876.0
EW10,4474.0,4498.0
EW11,7220.0,7131.0
EW12/DT14,13234.0,13978.0
EW13/NS25,10215.0,10457.0
EW14/NS26,9979.0,9635.0
EW15,9840.0,10344.0
EW16/NE3,12724.0,11988.0
EW17,11374.0,11926.0
EW18,6858.0,7153.0
EW19,5502.0,5211.0
EW2/DT32,21548.0,22262.0
EW20,6763.0,6420.0
EW22,2877.0,2927.0
EW23,17973.0,18369.0
EW24/NS1,30686.0,31929.0
EW25,3689.0,3300.0
EW26,15724.0,13960.0
EW27,20581.0,23501.0
EW28,12464.0,9764.0
EW29,7976.0,8496.0
EW3,7438.0,7403.0
EW30,1936.0,1755.0
EW31,1922.0,1642.0
EW32,1876.0,1744.0
EW33,1201.0,1073.0
EW4,5974.0,5246.0
EW5,14182.0,14151.0
EW6,3736.0,4408.0
EW7,5839.0,6763.0
EW8/CC9,16090.0,16297.0
EW9,7829.0,7731.0
NE1/CC29,10456.0,10653.0
NE10,5808.0,6031.0
NE11,1953.0,1775.0
NE12/CC13,10552.0,9866.0
NE13,8462.0,8493.0
NE14,13323.0,13287.0
NE15,6433.0,6391.0
NE16/STC,18019.0,18614.0
NE17/PTC,15878.0,15373.0
NE4/DT19,16167.0,16236.0
NE5,3585.0,3444.0
NE7/DT12,8702.0,9143.0
NE8,7970.0,9068.0
NE9,10162.0,9000.0
NS10,23732.0,20898.0
NS11,19208.0,19514.0
NS12,5195.0,4529.0
NS13,24082.0,25473.0
NS14,15016.0,13593.0
NS15,10554.0,9877.0
NS16,22601.0,24404.0
NS17/CC15,8074.0,5022.0
NS18,7042.0,6492.0
NS19,16190.0,17383.0
NS2,12623.0,13353.0
NS20,15607.0,15040.0
NS21/DT11,16569.0,16952.0
NS22,17930.0,18996.0
NS23,8801.0,9530.0
NS24/NE6/CC1,9722.0,8721.0
NS27/CE2,864.0,856.0
NS28,590.0,525.0
NS3,9200.0,8948.0
NS4/BP1,17601.0,18962.0
NS5,14572.0,14075.0
NS7,2646.0,2775.0
NS8,11841.0,9650.0
NS9/TE2,19136.0,23585.0
PE1,1525.0,1520.0
PE2,2399.0,2335.0
PE3,2380.0,2394.0
PE4,665.0,662.0
PE5,2331.0,2284.0
PE6,2862.0,2808.0
PE7,1786.0,1779.0
PW1,185.0,183.0
PW3,109.0,115.0
PW4,173.0,187.0
PW5,1123.0,1086.0
PW6,571.0,562.0
PW7,895.0,1088.0
SE1,1982.0,1942.0
SE2,2583.0,2453.0
SE3,1394.0,1319.0
SE4,1613.0,1556.0
SE5,1349.0,1416.0
SW1,945.0,1109.0
SW2,1494.0,1442.0
SW3,1241.0,1240.0
SW4,522.0,541.0
SW5,3454.0,3185.0
SW6,1689.0,1620.0
SW7,1258.0,1176.0
SW8,1041.0,1041.0
TE1,401.0,382.0
TE3,1342.0,1079.0
