DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,BP12,BP2,36.7
WEEKDAY,BP12,BP3,60.0
WEEKDAY,BP12,BP4,40.599999999999994
WEEKDAY,BP12,BP5,70.8
WEEKDAY,BP12,BP7,18.7
WEEKDAY,BP12,BP8,54.5
WEEKDAY,BP12,BP9,52.5
WEEKDAY,BP12,CC21,0.3
WEEKDAY,BP12,CC22/EW21,3.6
WEEKDAY,BP12,CC23,0.1
WEEKDAY,BP12,CC24,0.2
WEEKDAY,BP12,DT1/PB6,699.4000000000001
WEEKDAY,BP12,DT31,0.1
WEEKDAY,BP12,EW1,0.1
WEEKDAY,BP12,EW10,0.1
WEEKDAY,BP12,EW12/DT14,0.1
WEEKDAY,BP12,EW13/NS25,0.2
WEEKDAY,BP12,EW14/NS26,0.1
WEEKDAY,BP12,EW15,0.1
WEEKDAY,BP12,EW16/NE3,0.8999999999999999
WEEKDAY,BP12,EW17,1.8000000000000005
WEEKDAY,BP12,EW18,6.199999999999998
WEEKDAY,BP12,EW19,3.6
WEEKDAY,BP12,EW20,7.0
WEEKDAY,BP12,EW22,5.0
WEEKDAY,BP12,EW23,19.499999999999996
WEEKDAY,BP12,EW24/NS1,107.1
WEEKDAY,BP12,EW25,1.3
WEEKDAY,BP12,EW26,13.8
WEEKDAY,BP12,EW27,24.7
WEEKDAY,BP12,EW28,14.6
WEEKDAY,BP12,EW29,23.800000000000004
WEEKDAY,BP12,EW30,3.7
WEEKDAY,BP12,EW31,1.9000000000000001
WEEKDAY,BP12,EW32,2.2
WEEKDAY,BP12,EW33,1.5999999999999999
WEEKDAY,BP12,EW4,0.2
WEEKDAY,BP12,EW5,0.1
WEEKDAY,BP12,NE1/CC29,0.8
WEEKDAY,BP12,NS10,13.700000000000001
WEEKDAY,BP12,NS11,16.5
WEEKDAY,BP12,NS12,0.8
WEEKDAY,BP12,NS13,14.0
WEEKDAY,BP12,NS14,7.0
WEEKDAY,BP12,NS15,13.9
WEEKDAY,BP12,NS16,6.0
WEEKDAY,BP12,NS17/CC15,0.1
WEEKDAY,BP12,NS18,0.8
WEEKDAY,BP12,NS19,0.6000000000000001
WEEKDAY,BP12,NS2,20.6
WEEKDAY,BP12,NS20,0.2
WEEKDAY,BP12,NS22,0.1
WEEKDAY,BP12,NS3,18.6
WEEKDAY,BP12,NS4/BP1,144.79999999999998
WEEKDAY,BP12,NS5,36.7
WEEKDAY,BP12,NS7,6.7
WEEKDAY,BP12,NS8,7.8
WEEKDAY,BP12,NS9/TE2,27.599999999999998
WEEKDAY,BP12,TE1,0.30000000000000004
WEEKDAY,BP13,BP10,41.4
WEEKDAY,BP13,BP11,19.900000000000002
WEEKDAY,BP13,BP12,29.599999999999998
WEEKDAY,BP13,BP2,18.0
WEEKDAY,BP13,BP3,19.7
WEEKDAY,BP13,BP4,27.199999999999996
WEEKDAY,BP13,BP5,15.6
WEEKDAY,BP13,BP7,6.6
WEEKDAY,BP13,BP8,25.4
WEEKDAY,BP13,BP9,63.89999999999999
WEEKDAY,BP13,CC12,0.1
WEEKDAY,BP13,CC22/EW21,1.2000000000000002
WEEKDAY,BP13,CC24,0.2
WEEKDAY,BP13,DT1/PB6,259.6
WEEKDAY,BP13,EW13/NS25,0.1
WEEKDAY,BP13,EW15,0.5
WEEKDAY,BP13,EW16/NE3,0.30000000000000004
WEEKDAY,BP13,EW17,2.2
WEEKDAY,BP13,EW18,4.6
WEEKDAY,BP13,EW19,3.4000000000000004
WEEKDAY,BP13,EW20,3.1
WEEKDAY,BP13,EW22,2.2
WEEKDAY,BP13,EW23,18.399999999999995
WEEKDAY,BP13,EW24/NS1,96.6
WEEKDAY,BP13,EW25,0.4
WEEKDAY,BP13,EW26,4.999999999999999
WEEKDAY,BP13,EW27,15.500000000000002
WEEKDAY,BP13,EW28,6.300000000000001
WEEKDAY,BP13,EW29,16.7
WEEKDAY,BP13,EW30,2.3000000000000003
WEEKDAY,BP13,EW31,2.3
WEEKDAY,BP13,EW32,1.9000000000000001
WEEKDAY,BP13,EW33,1.2999999999999998
WEEKDAY,BP13,NE4/DT19,0.1
WEEKDAY,BP13,NS10,13.8
WEEKDAY,BP13,NS11,8.499999999999998
WEEKDAY,BP13,NS12,0.7
WEEKDAY,BP13,NS13,8.500000000000002
WEEKDAY,BP13,NS14,2.4
WEEKDAY,BP13,NS15,7.3999999999999995
WEEKDAY,BP13,NS16,4.6
WEEKDAY,BP13,NS19,0.1
WEEKDAY,BP13,NS2,13.3
WEEKDAY,BP13,NS3,12.500000000000002
WEEKDAY,BP13,NS4/BP1,104.50000000000001
WEEKDAY,BP13,NS5,16.599999999999998
WEEKDAY,BP13,NS7,2.3
WEEKDAY,BP13,NS8,2.7000000000000006
WEEKDAY,BP13,NS9/TE2,18.599999999999994
WEEKDAY,BP13,TE3,1.1
WEEKDAY,BP2,BP10,42.3
WEEKDAY,BP2,BP11,28.8
WEEKDAY,BP2,BP12,27.90000000000001
WEEKDAY,BP2,BP13,11.599999999999998
WEEKDAY,BP2,BP3,33.0
WEEKDAY,BP2,BP4,44.1
WEEKDAY,BP2,BP5,54.5
WEEKDAY,BP2,BP7,24.000000000000004
WEEKDAY,BP2,BP8,56.2
WEEKDAY,BP2,BP9,63.69999999999999
WEEKDAY,BP2,CC10/DT26,0.1
WEEKDAY,BP2,CC11,2.2
WEEKDAY,BP2,CC16,0.1
WEEKDAY,BP2,CC21,2.4000000000000004
WEEKDAY,BP2,CC22/EW21,10.0
WEEKDAY,BP2,CC23,5.499999999999998
