,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ORIGIN_PT_CODE,DESTINATION_PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,
BP10,BP11,WEEKDAY,,0.2,1.2,5.2,5.1,6.3,4.6,5.7,4.8,3.7,4.3,4.2,5.7,5.4,5.5,4.4,2.0,1.7,0.6,0.2
BP10,BP11,WEEKENDS/HOLIDAY,,,0.2,3.1,3.9,7.2,6.0,6.4,7.2,5.5,3.4,3.5,3.6,5.8,3.8,3.1,1.6,2.5,0.9,0.6
BP10,BP12,WEEKDAY,,0.4,9.1,20.5,11.8,7.6,5.1,5.1,5.5,5.0,4.5,4.3,4.2,5.3,5.4,4.6,2.5,0.8,0.6,0.1
BP10,BP12,WEEKENDS/HOLIDAY,,0.2,1.6,5.5,7.8,7.8,8.5,10.5,7.2,3.6,3.5,3.1,3.9,4.4,4.0,3.2,1.2,0.4,0.4,0.1
BP10,BP13,WEEKDAY,,2.0,3.4,6.5,6.0,5.5,6.2,5.2,5.1,4.5,2.4,3.5,4.3,5.6,5.2,2.5,1.4,1.1,1.6,0.7
BP10,BP13,WEEKENDS/HOLIDAY,,0.6,2.8,4.6,5.4,6.8,10.5,7.8,6.0,4.5,2.4,2.1,2.1,3.6,4.5,2.1,2.9,0.9,2.0,0.4
BP10,BP2,WEEKDAY,,1.0,1.2,1.7,1.4,1.0,1.4,0.8,1.1,2.0,2.0,1.9,3.1,2.4,4.0,1.3,2.1,1.7,1.6,1.2
BP10,BP2,WEEKENDS/HOLIDAY,,0.8,1.1,1.1,1.1,1.0,0.9,0.6,1.8,1.2,1.8,1.1,1.6,1.1,1.4,0.6,3.2,2.2,3.0,1.0
BP10,BP3,WEEKDAY,,0.3,4.5,7.3,2.4,1.1,1.0,2.0,2.9,7.2,5.1,3.5,2.4,2.8,2.5,2.6,1.7,2.4,0.8,0.2
BP10,BP3,WEEKENDS/HOLIDAY,,0.1,0.5,2.2,0.9,2.0,2.2,0.9,1.5,2.5,2.4,1.6,1.8,1.9,2.1,1.6,1.2,0.6,1.1,0.9
