,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,149.9,354.5,322.6,186.7,122.5,86.3,85.0,95.5,102.9,82.5,70.0,76.3,103.0,102.4,67.0,37.6,29.0,25.4,7.5,0.0,11.4,72.4,123.2,107.3,94.3,77.9,85.4,97.8,127.0,136.2,141.2,167.6,214.1,302.6,204.9,126.6,102.4,66.1,30.5
BP10,WEEKENDS/HOLIDAY,0.0,63.6,93.4,84.8,83.9,97.6,101.0,108.0,97.2,95.5,75.4,79.0,66.5,90.1,77.8,54.2,42.9,29.6,32.0,11.4,0.0,11.2,31.5,50.6,75.9,84.6,93.2,87.1,99.8,101.9,94.2,101.1,107.0,125.1,125.4,113.6,113.6,93.0,78.9,32.8
BP11,WEEKDAY,0.0,150.5,395.3,387.4,191.6,116.6,81.0,82.0,87.2,97.9,70.0,65.7,63.6,102.5,105.0,62.8,31.6,20.6,13.2,7.4,0.0,8.5,48.9,100.2,68.3,66.5,50.9,53.3,68.9,91.8,91.4,102.8,124.3,186.5,278.5,190.0,111.8,96.4,54.7,25.0
BP11,WEEKENDS/HOLIDAY,0.0,60.9,92.4,76.2,80.4,99.2,97.5,101.4,96.4,88.6,84.0,79.9,68.6,79.0,78.2,50.4,32.1,26.4,20.1,7.5,0.0,4.9,12.9,29.4,42.0,56.8,53.5,49.6,67.4,73.6,75.4,72.8,78.0,82.6,99.6,78.1,85.4,74.1,66.9,29.4
BP12,WEEKDAY,0.0,90.1,243.2,286.1,153.8,73.9,53.8,54.0,97.2,131.4,147.5,84.5,75.3,87.6,66.9,35.3,21.6,14.2,8.3,2.5,0.0,4.2,85.7,275.5,88.1,47.2,34.9,38.3,46.4,60.0,56.5,63.3,66.7,123.0,170.2,127.1,62.4,43.6,28.4,16.2
BP12,WEEKENDS/HOLIDAY,0.0,31.1,55.2,58.8,65.6,56.1,62.5,67.0,62.5,53.9,46.4,44.1,43.9,49.0,43.4,35.1,23.9,18.5,10.9,2.8,0.0,3.2,8.5,27.8,47.8,48.2,44.9,53.2,53.1,45.8,42.9,44.2,47.6,46.2,48.8,40.9,39.8,39.9,28.8,15.8
BP13,WEEKDAY,0.0,70.9,183.4,174.2,102.6,47.6,38.0,35.3,37.5,45.1,31.1,27.1,25.2,45.8,39.9,19.4,9.9,11.0,5.4,1.5,0.0,5.7,21.8,47.8,29.7,26.8,25.0,28.0,30.8,39.7,37.9,36.6,28.7,70.2,111.2,67.0,29.5,17.1,14.9,4.8
BP13,WEEKENDS/HOLIDAY,0.0,27.1,41.1,40.1,43.0,46.6,45.0,46.4,38.5,38.4,35.0,36.2,24.2,35.2,31.0,20.4,11.0,13.0,7.6,2.2,0.0,3.6,9.1,18.6,29.8,28.6,36.0,32.5,30.2,33.1,24.1,21.2,24.9,24.5,27.8,23.1,20.9,14.6,13.1,5.5
BP14,WEEKDAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP2,WEEKDAY,0.0,78.1,278.5,360.1,201.5,117.9,80.8,74.8,83.0,115.1,59.1,55.8,63.1,80.9,79.0,52.7,30.3,18.6,17.4,5.1,0.0,14.1,49.4,71.2,61.4,41.6,34.0,39.9,61.5,77.9,91.5,102.1,110.0,139.6,212.3,153.6,111.1,83.9,60.2,22.7
BP2,WEEKENDS/HOLIDAY,0.0,36.8,77.5,86.9,83.4,93.4,87.6,89.9,95.8,88.1,73.8,74.1,68.9,84.6,66.0,51.8,36.8,24.5,20.6,5.9,0.0,7.2,18.4,24.4,38.1,35.9,41.1,51.4,54.8,75.2,69.4,72.8,71.0,78.5,87.6,73.9,79.0,83.4,70.0,25.8
BP3,WEEKDAY,0.0,107.3,395.6,420.1,239.2,138.2,98.8,104.8,122.8,111.2,93.2,86.8,101.7,137.0,108.4,72.9,53.7,32.5,27.0,7.6,0.0,6.9,46.7,87.4,83.6,55.6,45.2,62.3,74.2,120.3,158.8,147.5,156.6,220.6,304.0,223.5,137.0,101.9,73.6,25.9
BP3,WEEKENDS/HOLIDAY,0.0,62.6,105.9,103.6,96.1,117.6,118.4,122.5,118.0,112.5,104.8,101.1,98.4,108.2,105.8,71.8,56.9,40.2,29.6,8.1,0.0,4.5,21.0,33.6,41.0,38.8,45.0,62.5,82.4,101.2,104.6,107.5,109.2,113.0,119.1,113.1,121.4,108.4,80.9,30.2
BP4,WEEKDAY,0.0,46.5,151.1,174.0,100.5,77.3,95.6,215.0,282.2,148.9,152.0,275.8,303.1,264.7,84.5,43.2,30.0,35.7,16.1,4.5,0.0,7.0,37.7,291.6,494.2,279.0,76.1,74.3,204.4,133.3,89.8,69.2,74.9,101.6,148.0,105.1,70.0,52.2,45.7,14.0
BP4,WEEKENDS/HOLIDAY,0.0,20.9,55.5,49.4,53.2,56.6,48.4,53.5,48.8,54.6,49.1,47.2,44.6,50.2,44.8,32.5,27.0,18.4,10.2,3.9,0.0,4.8,13.2,25.6,30.8,31.9,22.5,30.4,38.4,41.9,41.4,48.2,48.1,50.8,61.2,54.6,55.8,54.5,44.8,14.5
BP5,WEEKDAY,0.0,37.0,154.1,176.5,94.6,69.6,60.0,62.2,62.8,69.7,74.5,68.4,78.2,107.3,122.5,68.6,43.5,28.8,20.6,7.4,0.0,17.8,63.2,95.0,72.5,49.3,36.0,32.8,53.5,59.5,67.4,59.8,65.9,82.7,95.7,69.7,51.1,36.2,29.1,11.5
BP5,WEEKENDS/HOLIDAY,0.0,22.4,41.1,46.8,47.6,60.0,62.1,66.1,65.2,64.9,55.5,50.5,58.0,64.0,64.4,49.4,38.4,29.5,24.0,8.9,0.0,6.2,21.0,23.5,30.0,36.2,40.6,38.2,47.2,42.8,50.4,47.2,40.4,49.6,52.1,45.5,40.8,42.2,33.0,16.9
BP7,WEEKDAY,0.0,63.2,130.7,156.7,72.1,37.3,21.1,23.3,26.9,26.6,30.0,24.1,28.5,36.1,37.8,26.5,13.1,8.7,5.0,1.5,0.0,13.0,30.8,44.5,27.9,31.3,20.1,21.7,30.6,38.8,49.2,48.6,61.3,87.8,110.0,68.7,52.1,35.3,26.4,12.6
BP7,WEEKENDS/HOLIDAY,0.0,19.2,18.2,22.0,25.8,32.1,29.8,28.5,35.5,28.4,21.9,25.8,24.1,23.0,25.2,16.6,11.9,9.4,5.0,2.0,0.0,4.4,9.1,10.4,20.5,24.8,20.6,31.9,33.5,33.2,37.4,39.2,39.2,35.4,45.8,34.5,36.2,34.0,27.4,11.6
BP8,WEEKDAY,0.0,65.9,182.7,177.2,88.4,48.6,38.2,37.5,49.8,80.5,55.3,65.9,63.7,107.0,122.5,79.5,47.5,33.3,20.3,5.0,0.0,34.4,119.0,155.4,99.8,57.3,33.7,32.6,39.8,50.6,52.9,56.3,63.7,89.5,126.4,83.3,56.8,40.7,31.0,13.4
BP8,WEEKENDS/HOLIDAY,0.0,28.6,36.0,31.9,41.4,47.2,53.4,46.5,51.6,53.5,46.5,49.5,44.1,58.1,52.5,46.2,40.9,34.2,22.0,9.0,0.0,11.0,27.0,33.9,40.2,36.8,31.9,36.9,47.6,41.5,43.8,46.2,45.2,49.5,48.8,39.0,42.1,39.4,41.5,15.6
