,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,141.0,397.0,462.0,274.0,188.0,159.0,148.0,156.0,183.0,117.0,106.0,116.0,170.0,170.0,112.0,72.0,62.0,41.0,14.0
WEEKDAY,BP10,BP9,,67.0,128.0,158.0,104.0,53.0,11.0,10.0,11.0,14.0,9.0,5.0,11.0,45.0,53.0,40.0,7.0,4.0,3.0,
WEEKDAY,BP11,BP10,,34.0,82.0,112.0,76.0,40.0,9.0,8.0,9.0,9.0,6.0,3.0,8.0,35.0,36.0,24.0,2.0,2.0,1.0,
WEEKDAY,BP11,BP12,,294.0,802.0,938.0,530.0,332.0,269.0,243.0,265.0,294.0,184.0,165.0,178.0,254.0,250.0,158.0,92.0,79.0,48.0,17.0
WEEKDAY,BP12,BP11,,23.0,87.0,120.0,105.0,70.0,40.0,54.0,78.0,89.0,88.0,96.0,147.0,272.0,335.0,230.0,152.0,121.0,82.0,16.0
WEEKDAY,BP12,BP13,,386.0,1037.0,1240.0,715.0,432.0,354.0,330.0,395.0,409.0,275.0,225.0,262.0,357.0,331.0,181.0,98.0,85.0,50.0,17.0
WEEKDAY,BP13,BP12,,21.0,193.0,247.0,145.0,89.0,60.0,84.0,114.0,135.0,130.0,142.0,216.0,425.0,528.0,355.0,214.0,170.0,119.0,28.0
WEEKDAY,BP13,DT1,,453.0,1211.0,1401.0,817.0,495.0,395.0,371.0,431.0,434.0,306.0,249.0,281.0,394.0,365.0,195.0,103.0,96.0,51.0,18.0
WEEKDAY,BP2,BP3,,306.0,923.0,1558.0,1256.0,850.0,609.0,582.0,710.0,704.0,626.0,645.0,853.0,1568.0,1645.0,850.0,645.0,526.0,334.0,51.0
WEEKDAY,BP2,NS4,,496.0,1742.0,2007.0,1025.0,634.0,551.0,631.0,734.0,711.0,668.0,763.0,968.0,1281.0,1191.0,713.0,519.0,527.0,340.0,104.0
WEEKDAY,BP3,BP2,,460.0,1619.0,1799.0,914.0,579.0,520.0,616.0,728.0,706.0,687.0,789.0,994.0,1347.0,1293.0,810.0,592.0,607.0,401.0,123.0
WEEKDAY,BP3,BP4,,353.0,1061.0,1778.0,1385.0,915.0,633.0,607.0,715.0,683.0,597.0,604.0,798.0,1449.0,1494.0,757.0,562.0,459.0,289.0,48.0
WEEKDAY,BP4,BP3,,392.0,1374.0,1499.0,754.0,501.0,466.0,574.0,685.0,711.0,691.0,783.0,994.0,1368.0,1380.0,895.0,660.0,664.0,448.0,131.0
WEEKDAY,BP4,BP5,,369.0,1104.0,1672.0,1193.0,770.0,607.0,618.0,674.0,674.0,619.0,660.0,889.0,1489.0,1470.0,735.0,541.0,449.0,268.0,44.0
WEEKDAY,BP5,BP4,,373.0,1304.0,1504.0,867.0,565.0,462.0,499.0,647.0,697.0,627.0,628.0,762.0,1230.0,1412.0,939.0,697.0,676.0,473.0,141.0
WEEKDAY,BP5,DT1,,373.0,1175.0,1763.0,1226.0,805.0,647.0,652.0,718.0,707.0,637.0,680.0,911.0,1510.0,1498.0,770.0,565.0,454.0,275.0,52.0
WEEKDAY,BP7,BP8,,43.0,258.0,324.0,239.0,173.0,164.0,166.0,218.0,257.0,245.0,268.0,361.0,561.0,602.0,410.0,311.0,254.0,188.0,52.0
WEEKDAY,BP7,DT1,,206.0,441.0,537.0,266.0,162.0,122.0,124.0,165.0,173.0,135.0,102.0,107.0,167.0,193.0,116.0,59.0,33.0,21.0,3.0
WEEKDAY,BP8,BP7,,157.0,317.0,373.0,211.0,141.0,119.0,118.0,153.0,162.0,123.0,91.0,97.0,151.0,172.0,108.0,54.0,31.0,20.0,2.0
