,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,CC11,CC10,9.0,707.0,3027.0,7631.0,7832.0,3704.0,2334.0,2102.0,2464.0,2352.0,1927.0,1979.0,2214.0,4069.0,5666.0,3013.0,1777.0,1769.0,1317.0,379.0
WEEKDAY,CC11,CC12,70.0,323.0,2073.0,3852.0,2969.0,1792.0,1508.0,1679.0,2240.0,2265.0,2120.0,2584.0,3135.0,7224.0,10621.0,5542.0,3622.0,3374.0,2627.0,939.0
WEEKDAY,CC12,CC11,8.0,861.0,3650.0,9881.0,10449.0,4577.0,2597.0,2141.0,2349.0,2366.0,1888.0,1841.0,2058.0,3492.0,4477.0,2599.0,1578.0,1710.0,1284.0,333.0
WEEKDAY,CC12,NE12,63.0,323.0,2123.0,4057.0,3264.0,1951.0,1616.0,1788.0,2348.0,2346.0,2163.0,2644.0,3209.0,7296.0,10630.0,5520.0,3591.0,3309.0,2585.0,912.0
WEEKDAY,CC14,NE12,20.0,1900.0,6626.0,15463.0,17425.0,8542.0,5601.0,5059.0,5242.0,4939.0,4127.0,4261.0,4983.0,9285.0,10989.0,5843.0,3611.0,3489.0,2457.0,643.0
WEEKDAY,CC14,NS17,620.0,1008.0,4859.0,9913.0,8457.0,4544.0,3152.0,3199.0,3775.0,4041.0,3974.0,4806.0,5955.0,11496.0,16687.0,9646.0,7125.0,7639.0,6337.0,2430.0
WEEKDAY,CC16,CC17,7.0,1135.0,4428.0,8389.0,7316.0,3572.0,1890.0,1661.0,1716.0,1590.0,1390.0,1433.0,1647.0,3088.0,3784.0,2082.0,1287.0,1307.0,920.0,264.0
WEEKDAY,CC16,NS17,15.0,425.0,2068.0,3952.0,2883.0,1639.0,1297.0,1456.0,1923.0,1790.0,1576.0,1918.0,2628.0,6286.0,7748.0,3924.0,2344.0,2118.0,1541.0,470.0
WEEKDAY,CC17,CC16,28.0,406.0,2055.0,3927.0,2810.0,1571.0,1202.0,1311.0,1760.0,1678.0,1506.0,1881.0,2583.0,6181.0,7490.0,3869.0,2378.0,2139.0,1568.0,488.0
WEEKDAY,CC17,CC19,5.0,1177.0,4535.0,8622.0,7581.0,3736.0,1969.0,1721.0,1773.0,1627.0,1421.0,1470.0,1682.0,3158.0,3910.0,2147.0,1305.0,1319.0,918.0,264.0
WEEKDAY,CC19,CC17,32.0,409.0,2115.0,4027.0,2886.0,1588.0,1201.0,1320.0,1771.0,1707.0,1547.0,1925.0,2657.0,6398.0,7654.0,3945.0,2486.0,2235.0,1644.0,511.0
WEEKDAY,CC19,CC20,94.0,2130.0,7531.0,12455.0,10460.0,5375.0,3180.0,2994.0,3365.0,3360.0,3230.0,3647.0,4296.0,7415.0,9033.0,5475.0,4280.0,4681.0,3634.0,1110.0
WEEKDAY,CC19,DT10,1.0,1254.0,5070.0,10908.0,12132.0,6394.0,4835.0,4857.0,4996.0,4549.0,3896.0,3855.0,4475.0,8124.0,8906.0,4650.0,2615.0,2207.0,1588.0,414.0
WEEKDAY,CC19,DT8,306.0,140.0,1092.0,2048.0,1554.0,934.0,849.0,1008.0,1362.0,1519.0,1700.0,2058.0,2598.0,5149.0,7272.0,4507.0,3397.0,3557.0,2732.0,1165.0
WEEKDAY,CC2,CC3,2.0,55.0,158.0,440.0,749.0,521.0,373.0,346.0,335.0,318.0,283.0,268.0,267.0,361.0,433.0,233.0,144.0,129.0,110.0,35.0
WEEKDAY,CC2,NS24,219.0,6.0,31.0,73.0,167.0,154.0,265.0,394.0,572.0,537.0,616.0,737.0,886.0,1269.0,1772.0,1086.0,930.0,1057.0,905.0,348.0
WEEKDAY,CC20,CC19,19.0,1264.0,4764.0,8678.0,6909.0,4168.0,3568.0,3698.0,4441.0,4148.0,3723.0,4099.0,5398.0,11968.0,13703.0,7041.0,4260.0,3598.0,2547.0,752.0
WEEKDAY,CC20,CC21,84.0,2112.0,7492.0,12333.0,10434.0,5424.0,3199.0,2996.0,3371.0,3340.0,3199.0,3579.0,4243.0,7315.0,8867.0,5376.0,4214.0,4599.0,3572.0,1087.0
WEEKDAY,CC21,CC20,22.0,1261.0,4725.0,8511.0,6641.0,4052.0,3492.0,3650.0,4404.0,4129.0,3707.0,4104.0,5388.0,11956.0,13652.0,7027.0,4257.0,3602.0,2552.0,752.0
WEEKDAY,CC21,EW21,87.0,2109.0,7463.0,12322.0,10482.0,5411.0,3137.0,2964.0,3394.0,3538.0,3246.0,3563.0,4192.0,7140.0,8600.0,5281.0,4197.0,4605.0,3601.0,1117.0
WEEKDAY,CC23,CC24,,835.0,2929.0,6274.0,5486.0,2820.0,1563.0,1474.0,1554.0,1564.0,1122.0,890.0,805.0,1286.0,1393.0,717.0,418.0,335.0,183.0,55.0
WEEKDAY,CC23,EW21,55.0,59.0,250.0,686.0,834.0,605.0,719.0,1254.0,1851.0,1658.0,1409.0,1977.0,2797.0,6770.0,8439.0,4723.0,2704.0,2139.0,1443.0,459.0
WEEKDAY,CC24,CC23,50.0,56.0,262.0,695.0,899.0,661.0,668.0,1021.0,1381.0,1318.0,1121.0,1531.0,2117.0,4643.0,5594.0,3222.0,1959.0,1655.0,1180.0,376.0
WEEKDAY,CC24,CC25,,581.0,1802.0,3238.0,2907.0,1295.0,866.0,965.0,1027.0,905.0,695.0,686.0,787.0,1445.0,1612.0,799.0,459.0,362.0,194.0,58.0
WEEKDAY,CC25,CC24,54.0,74.0,401.0,958.0,1079.0,681.0,405.0,473.0,635.0,810.0,679.0,765.0,1029.0,2348.0,3134.0,1919.0,1203.0,1067.0,935.0,316.0
WEEKDAY,CC25,CC26,,451.0,1381.0,2608.0,2577.0,1254.0,869.0,1015.0,1052.0,891.0,700.0,681.0,797.0,1550.0,1730.0,817.0,431.0,284.0,155.0,33.0
WEEKDAY,CC26,CC25,65.0,80.0,433.0,965.0,962.0,521.0,321.0,371.0,549.0,750.0,625.0,697.0,916.0,1913.0,2666.0,1672.0,1151.0,1123.0,959.0,306.0
WEEKDAY,CC26,CC27,,241.0,748.0,2057.0,2257.0,1161.0,874.0,1036.0,1098.0,918.0,732.0,731.0,860.0,1801.0,2066.0,1068.0,507.0,322.0,188.0,49.0
WEEKDAY,CC27,CC26,70.0,200.0,724.0,1229.0,1156.0,562.0,322.0,360.0,528.0,740.0,626.0,689.0,853.0,1555.0,2203.0,1337.0,1063.0,1120.0,945.0,291.0
WEEKDAY,CC27,CC28,,177.0,535.0,1165.0,1239.0,876.0,821.0,1077.0,1238.0,1005.0,809.0,835.0,1030.0,2437.0,3296.0,1618.0,725.0,435.0,242.0,63.0
WEEKDAY,CC28,CC27,70.0,233.0,909.0,2144.0,2283.0,922.0,408.0,411.0,538.0,854.0,659.0,662.0,765.0,1137.0,1459.0,989.0,916.0,1018.0,897.0,281.0
WEEKDAY,CC28,NE1,,195.0,586.0,1307.0,1466.0,1004.0,903.0,1164.0,1322.0,1075.0,864.0,878.0,1067.0,2472.0,3381.0,1655.0,724.0,432.0,231.0,61.0
WEEKDAY,CC3,CC2,222.0,6.0,34.0,80.0,157.0,114.0,187.0,304.0,430.0,455.0,511.0,591.0,696.0,899.0,1271.0,833.0,794.0,898.0,784.0,296.0
WEEKDAY,CC3,CC4,81.0,1.0,7.0,34.0,80.0,82.0,96.0,147.0,200.0,263.0,264.0,287.0,313.0,424.0,575.0,433.0,337.0,384.0,330.0,121.0
WEEKDAY,CC4,CC3,101.0,23.0,98.0,235.0,429.0,301.0,319.0,415.0,511.0,478.0,466.0,504.0,526.0,667.0,962.0,536.0,519.0,440.0,304.0,129.0
WEEKDAY,CC4,CC5,116.0,51.0,217.0,670.0,878.0,433.0,328.0,360.0,493.0,569.0,536.0,536.0,607.0,1049.0,1641.0,971.0,656.0,655.0,504.0,226.0
WEEKDAY,CC4,CE1,116.0,592.0,1809.0,5135.0,8833.0,4124.0,2366.0,2227.0,2447.0,3277.0,2554.0,2311.0,2368.0,3033.0,3952.0,2996.0,2132.0,2065.0,1673.0,556.0
WEEKDAY,CC4,EW12,1579.0,50.0,354.0,567.0,653.0,506.0,652.0,1155.0,1739.0,1735.0,1902.0,2387.0,2930.0,5385.0,8997.0,5372.0,4766.0,4996.0,4413.0,2727.0
WEEKDAY,CC5,CC4,26.0,50.0,240.0,641.0,1291.0,761.0,465.0,488.0,611.0,613.0,480.0,448.0,469.0,894.0,1221.0,692.0,481.0,446.0,400.0,188.0
WEEKDAY,CC5,CC6,98.0,39.0,161.0,299.0,328.0,238.0,220.0,269.0,429.0,434.0,454.0,459.0,528.0,981.0,1566.0,887.0,569.0,579.0,446.0,204.0
WEEKDAY,CC6,CC5,24.0,53.0,243.0,693.0,1400.0,736.0,412.0,401.0,483.0,516.0,388.0,334.0,353.0,550.0,725.0,458.0,341.0,320.0,273.0,132.0
WEEKDAY,CC6,CC7,157.0,20.0,101.0,217.0,239.0,152.0,172.0,213.0,341.0,414.0,414.0,448.0,565.0,931.0,1373.0,870.0,797.0,878.0,713.0,385.0
WEEKDAY,CC7,CC6,,81.0,379.0,901.0,1484.0,821.0,504.0,492.0,558.0,520.0,416.0,374.0,360.0,562.0,783.0,445.0,233.0,176.0,130.0,39.0
WEEKDAY,CC7,CC8,116.0,28.0,190.0,317.0,368.0,218.0,212.0,263.0,412.0,392.0,376.0,428.0,532.0,945.0,1335.0,795.0,680.0,740.0,636.0,347.0
WEEKDAY,CC8,CC7,3.0,95.0,405.0,1107.0,1475.0,759.0,489.0,441.0,476.0,525.0,431.0,406.0,398.0,586.0,833.0,491.0,277.0,252.0,165.0,49.0
WEEKDAY,CC8,EW8,78.0,53.0,305.0,607.0,765.0,432.0,352.0,426.0,569.0,522.0,466.0,520.0,646.0,1016.0,1349.0,861.0,711.0,725.0,633.0,325.0
WEEKDAY,CE1,CC4,1398.0,86.0,464.0,836.0,1170.0,689.0,793.0,1468.0,2069.0,1878.0,1936.0,2287.0,2729.0,4723.0,7659.0,4630.0,4223.0,4058.0,3561.0,2474.0
WEEKDAY,CE1,DT17,453.0,218.0,847.0,3282.0,6853.0,2815.0,1261.0,1191.0,1387.0,1982.0,1410.0,1236.0,1318.0,1659.0,2173.0,1364.0,1482.0,1583.0,1286.0,689.0
WEEKDAY,CE1,NS27,13.0,86.0,238.0,717.0,920.0,313.0,179.0,172.0,173.0,194.0,194.0,204.0,199.0,211.0,216.0,162.0,158.0,209.0,201.0,69.0
WEEKDAY,CG1,CG2,,313.0,1043.0,1403.0,1453.0,1175.0,1355.0,1486.0,1608.0,1586.0,1434.0,1315.0,1297.0,1484.0,1595.0,1235.0,933.0,684.0,437.0,88.0
WEEKDAY,CG1,DT34,,62.0,74.0,151.0,197.0,168.0,166.0,258.0,465.0,507.0,530.0,695.0,795.0,1436.0,2386.0,1573.0,1166.0,973.0,786.0,247.0
WEEKDAY,CG1,EW4,8.0,225.0,279.0,471.0,557.0,550.0,595.0,702.0,979.0,1134.0,1259.0,1624.0,1631.0,2119.0,2542.0,1710.0,1549.0,1430.0,1607.0,542.0
WEEKDAY,CG2,CG1,8.0,280.0,340.0,555.0,672.0,668.0,693.0,735.0,994.0,1187.0,1364.0,1731.0,1673.0,1898.0,1879.0,1523.0,1573.0,1546.0,1944.0,674.0
WEEKDAY,DT1,DT2,,428.0,2052.0,4898.0,5186.0,2469.0,1539.0,1354.0,1224.0,1145.0,950.0,776.0,811.0,1149.0,1266.0,744.0,455.0,435.0,294.0,71.0
WEEKDAY,DT10,CC19,422.0,1052.0,3886.0,5412.0,3943.0,2426.0,2113.0,2299.0,2898.0,3202.0,3516.0,4201.0,5090.0,8962.0,11925.0,7564.0,6251.0,6898.0,5436.0,2002.0
WEEKDAY,DT10,DT11,1.0,1245.0,5133.0,11101.0,12709.0,6695.0,5007.0,5021.0,5125.0,4655.0,3980.0,3921.0,4554.0,8232.0,9061.0,4764.0,2678.0,2289.0,1628.0,424.0
WEEKDAY,DT11,DT10,439.0,1065.0,3976.0,5552.0,3995.0,2442.0,2124.0,2335.0,2945.0,3266.0,3578.0,4289.0,5197.0,9138.0,12194.0,7739.0,6378.0,7027.0,5531.0,2053.0
WEEKDAY,DT11,NE7,6.0,1256.0,5239.0,10894.0,13532.0,7414.0,5361.0,5261.0,5490.0,5050.0,4345.0,4220.0,4833.0,8639.0,9707.0,5307.0,3014.0,2644.0,1963.0,545.0
WEEKDAY,DT13,EW12,82.0,1377.0,5058.0,11020.0,14675.0,7552.0,5443.0,5420.0,5952.0,6060.0,5487.0,5501.0,6131.0,9469.0,10858.0,6733.0,4926.0,5338.0,4270.0,1238.0
WEEKDAY,DT13,NE7,957.0,1204.0,4096.0,6190.0,5617.0,3829.0,3419.0,3726.0,4410.0,4932.0,4865.0,5601.0,6477.0,10858.0,14986.0,8989.0,7173.0,7483.0,6150.0,2900.0
WEEKDAY,DT17,CE1,274.0,113.0,292.0,635.0,1050.0,741.0,852.0,1448.0,1946.0,1696.0,1573.0,1642.0,1864.0,3694.0,6306.0,3632.0,2045.0,1414.0,950.0,359.0
WEEKDAY,DT17,DT18,531.0,58.0,217.0,561.0,1005.0,740.0,789.0,1536.0,1994.0,1357.0,1225.0,1224.0,1371.0,1918.0,2906.0,1722.0,1586.0,1582.0,1255.0,688.0
WEEKDAY,DT18,DT17,9.0,137.0,383.0,894.0,1851.0,1130.0,888.0,1095.0,1533.0,2301.0,1462.0,1256.0,1279.0,1789.0,2397.0,1624.0,1094.0,879.0,625.0,212.0
WEEKDAY,DT18,NE4,586.0,52.0,195.0,469.0,737.0,647.0,801.0,1626.0,2210.0,1603.0,1508.0,1612.0,1853.0,3506.0,5955.0,3216.0,2389.0,2126.0,1759.0,925.0
WEEKDAY,DT2,DT1,204.0,61.0,363.0,480.0,422.0,319.0,381.0,527.0,781.0,852.0,910.0,1176.0,1592.0,3230.0,4445.0,2834.0,2155.0,2202.0,1721.0,726.0
WEEKDAY,DT2,DT3,,436.0,2290.0,5161.0,5504.0,2604.0,1625.0,1433.0,1306.0,1189.0,991.0,827.0,885.0,1357.0,1406.0,802.0,465.0,437.0,298.0,71.0
WEEKDAY,DT20,DT21,138.0,78.0,467.0,1305.0,1411.0,662.0,503.0,683.0,1004.0,1101.0,1109.0,1249.0,1472.0,2986.0,4649.0,2803.0,2077.0,2062.0,1636.0,706.0
WEEKDAY,DT20,NE4,12.0,315.0,1539.0,3819.0,5040.0,2572.0,1531.0,1370.0,1297.0,1281.0,1003.0,936.0,1013.0,1770.0,2491.0,1221.0,640.0,524.0,432.0,191.0
WEEKDAY,DT21,DT20,3.0,340.0,1679.0,4165.0,5245.0,2551.0,1508.0,1306.0,1166.0,1171.0,950.0,900.0,978.0,1701.0,2417.0,1144.0,568.0,456.0,317.0,127.0
