DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,DT8,CC19,48445.0
WEEKDAY,DT8,DT7,43573.0
WEEKDAY,EW1,EW2,29683.0
WEEKDAY,EW10,EW11,126646.0
WEEKDAY,EW10,EW9,123096.0
WEEKDAY,EW11,EW10,125539.0
WEEKDAY,EW11,EW12,132859.0
WEEKDAY,EW12,CC4,63529.0
WEEKDAY,EW12,DT13,110629.0
WEEKDAY,EW12,EW11,132242.0
WEEKDAY,EW12,NS25,53934.0
WEEKDAY,EW15,EW16,57068.0
WEEKDAY,EW15,NS26,75994.0
WEEKDAY,EW16,EW15,62250.0
WEEKDAY,EW16,EW17,74032.0
WEEKDAY,EW16,NE1,49593.0
WEEKDAY,EW16,NE4,79340.0
WEEKDAY,EW17,EW16,78834.0
WEEKDAY,EW17,EW18,67298.0
WEEKDAY,EW18,EW17,73178.0
WEEKDAY,EW18,EW19,65381.0
WEEKDAY,EW19,EW18,71932.0
WEEKDAY,EW19,EW20,66354.0
WEEKDAY,EW2,EW1,27437.0
WEEKDAY,EW2,EW3,49026.0
WEEKDAY,EW20,EW19,71607.0
WEEKDAY,EW20,EW21,69012.0
WEEKDAY,EW21,CC21,98111.0
WEEKDAY,EW21,CC23,41930.0
WEEKDAY,EW21,EW20,73627.0
WEEKDAY,EW21,EW22,149020.0
WEEKDAY,EW22,EW21,155551.0
WEEKDAY,EW22,EW23,148388.0
WEEKDAY,EW23,EW22,155105.0
WEEKDAY,EW23,NS1,143852.0
WEEKDAY,EW25,EW26,97429.0
WEEKDAY,EW25,NS1,109515.0
WEEKDAY,EW26,EW25,105425.0
WEEKDAY,EW26,EW27,81684.0
WEEKDAY,EW27,EW26,84535.0
WEEKDAY,EW27,EW28,43665.0
WEEKDAY,EW28,EW27,52479.0
WEEKDAY,EW28,EW29,29173.0
WEEKDAY,EW29,EW28,30551.0
WEEKDAY,EW29,EW30,13166.0
WEEKDAY,EW3,EW2,47275.0
WEEKDAY,EW3,EW4,57075.0
WEEKDAY,EW30,EW29,14589.0
WEEKDAY,EW30,EW31,10337.0
WEEKDAY,EW31,EW30,11277.0
WEEKDAY,EW31,EW32,7224.0
WEEKDAY,EW32,EW31,7289.0
WEEKDAY,EW32,EW33,3538.0
WEEKDAY,EW33,EW32,3398.0
WEEKDAY,EW4,CG1,27144.0
WEEKDAY,EW4,EW3,55041.0
WEEKDAY,EW4,EW5,80790.0
WEEKDAY,EW5,EW4,82816.0
WEEKDAY,EW5,EW6,98101.0
WEEKDAY,EW6,EW5,99621.0
WEEKDAY,EW6,EW7,102313.0
WEEKDAY,EW7,EW6,105351.0
WEEKDAY,EW7,EW8,108269.0
WEEKDAY,EW8,CC10,53540.0
WEEKDAY,EW8,CC8,11232.0
WEEKDAY,EW8,EW7,113263.0
WEEKDAY,EW8,EW9,120799.0
WEEKDAY,EW9,EW10,124349.0
WEEKDAY,EW9,EW8,119913.0
WEEKDAY,NE1,CC28,18858.0
WEEKDAY,NE1,EW16,50489.0
WEEKDAY,NE10,NE11,150730.0
WEEKDAY,NE10,NE9,159818.0
WEEKDAY,NE11,NE10,158899.0
WEEKDAY,NE11,NE12,150779.0
WEEKDAY,NE12,CC12,60745.0
WEEKDAY,NE12,CC14,120270.0
WEEKDAY,NE12,NE11,158521.0
WEEKDAY,NE12,NE13,118306.0
WEEKDAY,NE13,NE12,126761.0
